taxonID,scientificName,vernacularName,scientificNameAuthority,primaryDiscipline,establishmentMeans,taxonRank,speciesGroup,ffgactstatus,epbcactStatus,vicadvisorystatus,restrictedFlag,modified,extractDate,status,sourceStatus
1297,Calamoecia australica,copepod,"Sars, 1908 ",Aquatic invertebrates,,species,Aquatic inverts,Vulnerable,,Vulnerable,,2010-09-16,2023-01-16,Vulnerable,Vulnerable
75159,Calamoecia australis,Centropagid copepod,"(Searle, 1911)",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Vulnerable,,2013-12-16,2023-01-16,Vulnerable,Vulnerable
1914,Caliagrion billinghursti,Large River Damselfly,"(Martin, 1901)",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Endangered,,2014-02-18,2023-01-16,Vulnerable,Vulnerable
75160,Colubotelson joyneri,freshwater isopod,"(Nicholls, 1926)",Aquatic invertebrates,,species,Invertebrates,Critically Endangered,,Vulnerable,rest,2012-11-20,2023-01-16,Critically Endangered,Critically Endangered
75161,Colubotelson searli,freshwater isopod,"Nicholls, 1944",Aquatic invertebrates,,species,Invertebrates,Critically Endangered,,Vulnerable,rest,2012-11-20,2023-01-16,Critically Endangered,Critically Endangered
75162,Crenoicus mixtus,freshwater isopod,"Nicholls, 1944",Aquatic invertebrates,,species,Invertebrates,Extinct,,Presumed extinct,,2010-09-16,2023-01-16,Extinct,Extinct
2911,Ecnomus neboissi,Caddisfly,"Cartwright, 1990",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Vulnerable,,2010-09-16,2023-01-16,Vulnerable,Vulnerable
75163,Gariwerdeus beehivensis,freshwater isopod,"Wilson & Keable, 2002",Aquatic invertebrates,,species,Invertebrates,Critically Endangered,,Vulnerable,rest,2010-12-02,2023-01-16,Critically Endangered,Critically Endangered
75164,Gariwerdeus ingletonensis,freshwater isopod,"Wilson & Keable, 2002",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Vulnerable,rest,2010-12-02,2023-01-16,Vulnerable,Vulnerable
75165,Gariwerdeus turretensis,freshwater isopod,"Wilson & Keable, 2002",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Vulnerable,rest,2010-12-02,2023-01-16,Vulnerable,Vulnerable
1668,Geocharax falcata,Western Bush Yabby,"Clark, 1941",Aquatic invertebrates,,species,"Mussels, decapod crustacea",Endangered,,Endangered,,2019-04-26,2023-01-16,Endangered,Endangered
1669,Geocharax tasmanicus,Otway Bush Yabby,"(Erichson, 1846)",Aquatic invertebrates,,species,"Mussels, decapod crustacea",Endangered,,Endangered,,2019-08-20,2023-01-16,Endangered,Endangered
1887,Hemiphlebia mirabilis,Ancient Greenling Damselfly,"Selys, 1869",Aquatic invertebrates,,species,Invertebrates,Endangered,,Endangered,rest,2017-05-05,2023-01-16,Endangered,Endangered
3518,Hygrobia australasiae,squeak beetle,"(Clark, 1862)",Aquatic invertebrates,,species,Aquatic inverts,Endangered,,Vulnerable,,2010-09-16,2023-01-16,Endangered,Endangered
619,Hyridella (Hyridella) depressa,Depressed Mussel,"(Lamark, 1819)",Aquatic invertebrates,,species,"Mussels, decapod crustacea",Endangered,,,,2017-03-28,2023-01-16,Endangered,Endangered
621,Hyridella glenelgensis,Glenelg Freshwater Mussel / Bocara Timbonn,"(Dennant, 1898)",Aquatic invertebrates,,species,"Mussels, decapod crustacea",Critically Endangered,Critically Endangered,Critically endangered,rest,2020-10-06,2023-01-16,Critically Endangered,Critically Endangered
622,Hyridella narracanensis,Narracan Corrugated Mussel,"(Cotton & Gabriel, 1932)",Aquatic invertebrates,,species,"Mussels, decapod crustacea",Endangered,,,,2018-08-21,2023-01-16,Endangered,Endangered
3097,Leptocerus souta,Caddisfly,"Mosely, 1953",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Vulnerable,,2010-09-16,2023-01-16,Vulnerable,Vulnerable
2455,Leptoperla kallistae,Kallista Flightless Stonefly,Hynes 1974,Aquatic invertebrates,,species,Invertebrates,Critically Endangered,,Critically endangered,rest,2013-02-22,2023-01-16,Critically Endangered,Critically Endangered
75166,Naiopegia xiphagrostis,freshwater isopod,"Wilson & Keable, 2002",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Vulnerable,rest,2010-12-02,2023-01-16,Vulnerable,Vulnerable
3120,Notoperata sparsa,Caddisfly,"(Kimmins, 1953)",Aquatic invertebrates,,species,Invertebrates,Vulnerable,,Vulnerable,rest,2010-09-16,2023-01-16,Vulnerable,Vulnerable
