taxonRank,kingdom,class,order,family,genus,scientificName,specificEpithet,vernacularName,establishmentMeans,sourceStatus,protectedInNSW,sensitivityClass,tsprofileid,countryConservation,dcterms_modified,speciesID,taxonID,status
Subspecies,Plantae,Flora,Flora,Proteaceae,Grevillea,Grevillea parviflora subsp. supplicans,parviflora,,"Alive in NSW, Native",Endangered,false,Not Sensitive,10374.0,Not Listed,2017-10-04T17:20:21.183+11:00,13497,13497,Endangered
Species,Plantae,Flora,Flora,Proteaceae,Hakea,Hakea archaeoides,archaeoides,Big Nellie Hakea,"Alive in NSW, Native",Vulnerable,false,Category 3,10387.0,Vulnerable,2017-10-04T17:20:26.263+11:00,13521,13521,Vulnerable
Species,Plantae,Flora,Flora,Proteaceae,Hakea,Hakea dohertyi,dohertyi,Kowmung Hakea,"Alive in NSW, Native",Endangered,false,Not Sensitive,10388.0,Endangered,2017-10-04T17:20:26.48+11:00,13522,13522,Endangered
Subspecies,Plantae,Flora,Flora,Rhamnaceae,Pomaderris,Pomaderris paniculosa subsp. paniculosa,paniculosa,,"Extinct in NSW, Native",Extinct,false,Not Sensitive,20231.0,Not Listed,2020-01-22T14:53:35.997+11:00,13530,13530,Extinct
Species,Plantae,Flora,Flora,Acanthaceae,Harnieria,Harnieria hygrophiloides,hygrophiloides,,"Alive in NSW, Native",Endangered,false,Not Sensitive,10134.0,Not Listed,2017-10-04T17:20:38.39+11:00,13567,13567,Endangered
Species,Plantae,Flora,Flora,Poaceae,Rytidosperma,Rytidosperma vickeryae,vickeryae,Perisher Wallaby-grass,"Alive in NSW, Native",Endangered,false,Not Sensitive,20112.0,Not Listed,2017-10-04T17:20:38.84+11:00,13573,13573,Endangered
Species,Plantae,Flora,Flora,Rutaceae,Asterolasia,Asterolasia buxifolia,buxifolia,,"Alive in NSW, Native",Endangered,false,Not Sensitive,10071.0,Not Listed,2017-10-04T17:20:43.59+11:00,13607,13607,Endangered
Species,Plantae,Flora,Flora,Myrtaceae,Eucalyptus,Eucalyptus oresbia,oresbia,Small-fruited Mountain Gum,"Alive in NSW, Native",Vulnerable,false,Not Sensitive,10303.0,Not Listed,2017-10-04T17:20:44.03+11:00,13611,13611,Vulnerable
Species,Plantae,Flora,Flora,Myrtaceae,Eucalyptus,Eucalyptus canobolensis,canobolensis,Silver-Leaf Candlebark,"Alive in NSW, Native",Endangered,false,Not Sensitive,10290.0,Endangered,2017-10-04T17:20:44.467+11:00,13613,13613,Endangered
Species,Plantae,Flora,Flora,Cyperaceae,Carex,Carex klaphakei,klaphakei,Klaphake's Sedge,"Alive in NSW, Native",Endangered,false,Not Sensitive,10148.0,Not Listed,2017-10-04T17:20:46.653+11:00,13630,13630,Endangered
Subspecies,Plantae,Flora,Flora,Proteaceae,Grevillea,Grevillea juniperina subsp. juniperina,juniperina,Juniper-leaved Grevillea,"Alive in NSW, Native",Vulnerable,false,Not Sensitive,10367.0,Not Listed,2017-10-04T17:20:49.373+11:00,13653,13653,Vulnerable
Species,Plantae,Flora,Flora,Orchidaceae,Prasophyllum,Prasophyllum canaliculatum,canaliculatum,Summer Leek Orchid,"Alive in NSW, Native",Critically Endangered,true,Category 2,20064.0,Not Listed,2017-10-04T17:20:52.983+11:00,13671,13671,Critically Endangered
Species,Plantae,Flora,Flora,Sapindaceae,Dodonaea,Dodonaea stenozyga,stenozyga,Desert Hopbush,"Alive in NSW, Native",Critically Endangered,false,Not Sensitive,10248.0,Not Listed,2017-10-04T17:20:53.623+11:00,13674,13674,Critically Endangered
Species,Plantae,Flora,Flora,Cunoniaceae,Davidsonia,Davidsonia jerseyana,jerseyana,Davidson's Plum,"Alive in NSW, Native",Endangered,false,Category 2,10208.0,Endangered,2017-10-04T17:20:54.28+11:00,13681,13681,Endangered
Species,Plantae,Flora,Flora,Cunoniaceae,Davidsonia,Davidsonia johnsonii,johnsonii,Smooth Davidson's Plum,"Alive in NSW, Native",Endangered,false,Not Sensitive,10209.0,Endangered,2017-10-04T17:20:54.497+11:00,13682,13682,Endangered
Species,Plantae,Flora,Flora,Poaceae,Rytidosperma,Rytidosperma pumilum,pumilum,Feldmark Grass,"Alive in NSW, Native",Vulnerable,false,Not Sensitive,10740.0,Vulnerable,2017-10-04T17:20:54.937+11:00,13684,13684,Vulnerable
Subspecies,Plantae,Flora,Flora,Myrtaceae,Eucalyptus,Eucalyptus alligatrix subsp. alligatrix,alligatrix,,"Alive in NSW, Native",Vulnerable,false,Not Sensitive,10281.0,Vulnerable,2018-10-26T23:43:22.003+11:00,13687,13687,Vulnerable
Subspecies,Plantae,Flora,Flora,Rutaceae,Philotheca,Philotheca angustifolia subsp. angustifolia,angustifolia,,"Extinct in NSW, Native",Extinct,true,Not Sensitive,20235.0,Not Listed,2020-01-22T14:54:29.56+11:00,13726,13726,Extinct
Species,Plantae,Flora,Flora,Fabaceae (Mimosoideae),Acacia,Acacia atrox,atrox,Myall Creek Wattle,"Alive in NSW, Native",Endangered,false,Category 3,10003.0,Not Listed,2020-01-21T10:58:52.833+11:00,13734,13734,Endangered
Species,Plantae,Flora,Flora,Aponogetonaceae,Aponogeton,Aponogeton queenslandicus,queenslandicus,,"Alive in NSW, Native",Endangered,false,Not Sensitive,10059.0,Not Listed,2017-10-04T17:21:13.857+11:00,13781,13781,Endangered
Species,Animalia,Insecta,Coleoptera,Carabidae,Nurus,Nurus atlas,atlas,Atlas Rainforest Ground-beetle,"Alive in NSW, Native",Endangered,false,Category 3,10564.0,Not Listed,2012-11-05T16:32:20.143+11:00,13783,13783,Endangered
Species,Animalia,Insecta,Coleoptera,Carabidae,Nurus,Nurus brevis,brevis,Shorter Rainforest Ground-beetle,"Alive in NSW, Native",Endangered,false,Category 3,10565.0,Not Listed,2012-11-05T16:33:09.093+11:00,13784,13784,Endangered
Species,Plantae,Flora,Flora,Loganiaceae,Mitrasacme,Mitrasacme pygmaea,pygmaea,Pygmy Bishop's Hat,"Alive in NSW, Native",Endangered,false,Not Sensitive,10535.0,Not Listed,2017-10-04T17:21:21.983+11:00,13869,13869,Endangered
Species,Plantae,Flora,Flora,Araucariaceae,Wollemia,Wollemia nobilis,nobilis,Wollemi Pine,"Alive in NSW, Native",Critically Endangered,true,Category 1,10840.0,Critically Endangered,2018-10-26T23:43:22.22+11:00,13940,13940,Critically Endangered
Species,Plantae,Flora,Flora,Orchidaceae,Diuris,"Diuris sp. (Oaklands, D.L. Jones 5380)","sp. (Oaklands, D.L. Jones 5380)",Oaklands Diuris,"Alive in NSW, Native",Endangered,true,Category 2,10242.0,Not Listed,2017-10-04T17:21:30.623+11:00,13945,13945,Endangered
Species,Animalia,Oligochaeta,Haplotaxida,Megascolecidae,Pericryptodrilus,Pericryptodrilus nanus,nanus,Lord Howe Earthworm,"Alive in NSW, Native",Critically Endangered,false,Not Sensitive,10888.0,Not Listed,2011-11-11T11:23:07+11:00,13957,13957,Critically Endangered
Species,Plantae,Flora,Flora,Asteraceae,Brachyscome,Brachyscome ascendens,ascendens,Border Ranges Daisy,"Alive in NSW, Native",Endangered,false,Not Sensitive,10108.0,Not Listed,2017-10-04T17:21:32.403+11:00,13960,13960,Endangered
Species,Plantae,Flora,Flora,Orchidaceae,Caladenia,Caladenia attenuata,attenuata,Duramana Fingers,"Alive in NSW, Native",Critically Endangered,true,Category 2,20276.0,Critically Endangered,2018-10-26T23:43:22.487+11:00,13987,13987,Critically Endangered
Species,Plantae,Flora,Flora,Apiaceae,Xanthosia,Xanthosia scopulicola,scopulicola,,"Alive in NSW, Native",Vulnerable,false,Not Sensitive,10842.0,Not Listed,2017-10-04T17:21:39.03+11:00,13992,13992,Vulnerable
Species,Plantae,Flora,Flora,Fabaceae (Faboideae),Pultenaea,Pultenaea humilis,humilis,Dwarf Bush-pea,"Alive in NSW, Native",Vulnerable,false,Not Sensitive,20095.0,Not Listed,2017-12-04T10:11:00.1+11:00,13999,13999,Vulnerable
