scientificName,class,family,sourceStatus,status,vernacularName,vernacularName_alt,,sensitivityZoneId
Commersonia craurophylla,Angiospermae,Sterculiaceae,Vulnerable,Vulnerable,Brittle-leaf Rulingia,,,SA
Conilurus albipes,,,SA: E,Endangered,White-footed Tree-rat,,,SA
Conopophila whitei,,,SA: R,Rare,Grey Honeyeater,,,SA
Convolvulus arvensis,Angiospermae,Convolvulaceae,Declared,Declared,Field Bindweed,Common Bindweed,,SA
Coracina papuensis,,,SA: R,Rare,White-bellied Cuckooshrike,,,SA
Corcorax melanorhamphos,,,SA: R,Rare,White-winged Chough,,,SA
Coronidium adenophorum,Angiospermae,Compositae,Rare,Rare,Branched Everlasting,,,SA
Coronidium gunnianum,Angiospermae,Compositae,Endangered,Endangered,Pale Everlasting,,,SA
Correa aemula,Angiospermae,Rutaceae,Rare,Rare,Hairy Correa,,,SA
Correa alba,Angiospermae,Rutaceae,Rare,Rare,White Correa,,,SA
Correa backhouseana,Angiospermae,Rutaceae,Rare,Rare,Round-leaf Correa,Kangaroo Island Correa,,SA
Correa calycina,Angiospermae,Rutaceae,Vulnerable,Vulnerable,Hindmarsh Correa,,,SA
Correa calycina,Angiospermae,Rutaceae,Endangered,Endangered,Hindmarsh Correa,,,SA
Correa eburnea,Angiospermae,Rutaceae,Vulnerable,Vulnerable,Deep Creek Correa,,,SA
Correa glabra,Angiospermae,Rutaceae,Rare,Rare,Rock Correa,,,SA
Corybas dentatus,Angiospermae,Orchidaceae,Endangered,Endangered,Finniss Helmet-orchid,,,SA
Corybas expansus,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Dune Helmet-orchid,,,SA
Corybas fordhamii,Angiospermae,Orchidaceae,Endangered,Endangered,Swamp Helmet-orchid,Banded Helmet-orchid,,SA
Corybas unguiculatus,Angiospermae,Orchidaceae,Rare,Rare,Small Helmet-orchid,Pelicans,,SA
Corynotheca licrota,Angiospermae,Liliaceae,Rare,Rare,Sand Lily,,,SA
Coturnix ypsilophora,,,SA: V,Vulnerable,Brown Quail,,,SA
Craspedia paludicola,Angiospermae,Compositae,Vulnerable,Vulnerable,Swamp Buttons,,,SA
Crassula exserta,Angiospermae,Crassulaceae,Rare,Rare,Large-fruit Crassula,,,SA
Crassula peduncularis,Angiospermae,Crassulaceae,Rare,Rare,Purple Crassula,Purple Stonecrop,,SA
Crassula sieberiana,Angiospermae,Crassulaceae,Endangered,Endangered,Sieber's Crassula,Australian Stonecrop,,SA
Crataegus monogyna,Angiospermae,Rosaceae,Declared,Declared,Hawthorn,May,,SA
Crataegus sinaica,Angiospermae,Rosaceae,Declared,Declared,Hawthorn,May,,SA
Cryptandra campanulata,Angiospermae,Rhamnaceae,Rare,Rare,Long-flower Cryptandra,Bell-flower Cryptandra,,SA
Cryptostylis subulata,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Moose Orchid,Large Tongue-orchid,,SA
Ctenophorus maculatus,,,SA: R,Rare,Spotted Dragon ,,,SA
Ctenophorus mckenziei,,,SA: R,Rare,McKenzie’s Dragon ,,,SA
Ctenophorus salinarum,,,SA: R,Rare,Claypan Dragon ,,,SA
Ctenotus astarte,,,SA: R,Rare,Ashy Downs Ctenotus ,,,SA
Ctenotus grandis,,,SA: R,Rare,Giant Desert Ctenotus ,,,SA
Ctenotus greeri,,,SA: R,Rare,Greer’s Ctenotus ,,,SA
Ctenotus joanae,,,SA: R,Rare,Blacksoil Ctenotus ,,,SA
Ctenotus piankai,,,SA: R,Rare,Paleface Ctenotus ,,,SA
Cullen microcephalum,Angiospermae,Leguminosae,Endangered,Endangered,Mountain Scurf-pea,Dusky Scurf-pea,,SA
Cullen parvum,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Small Scurf-pea,Small Psoralea,,SA
Cuscuta campestris,Angiospermae,Convolvulaceae,Declared,Declared,Golden Dodder,Field Dodder,,SA
Cuscuta planiflora,Angiospermae,Convolvulaceae,Declared,Declared,Small-seed Alfalfa-dodder,,,SA
Cuscuta suaveolens,Angiospermae,Convolvulaceae,Declared,Declared,Fringed Dodder,,,SA
Cuscuta tasmanica,Angiospermae,Convolvulaceae,Vulnerable,Vulnerable,Tasmanian Dodder,Golden Dodder,,SA
Cyclorana cultripes,,,SA: R,Rare,Knife-footed Frog  ,,,SA
Cycnogeton alcockiae,Angiospermae,Juncaginaceae,Rare,Rare,Alcock's Water-ribbons,,,SA
Cylindropuntia fulgida,Angiospermae,Cactaceae,Declared,Declared,,,,SA
Cylindropuntia imbricata,Angiospermae,Cactaceae,Declared,Declared,Devil's Rope Pear,Chain-link Cactus,,SA
Cylindropuntia kleiniae,Angiospermae,Cactaceae,Declared,Declared,,,,SA
Cylindropuntia pallida,Angiospermae,Cactaceae,Declared,Declared,,,,SA
Cylindropuntia prolifera,Angiospermae,Cactaceae,Declared,Declared,,,,SA
Cylindropuntia spinosior,Angiospermae,Cactaceae,Declared,Declared,,,,SA
Cylindropuntia tunicata,Angiospermae,Cactaceae,Declared,Declared,,,,SA
Cynara cardunculus,Angiospermae,Compositae,Declared,Declared,Artichoke Thistle,Spanish Artichoke,,SA
Cyperus bifax,Angiospermae,Cyperaceae,Rare,Rare,Downs Flat-sedge,Downs Nut-grass,,SA
Cyperus castaneus,Angiospermae,Cyperaceae,Rare,Rare,,,,SA
Cyperus concinnus,Angiospermae,Cyperaceae,Rare,Rare,,,,SA
Cyperus dactylotes,Angiospermae,Cyperaceae,Vulnerable,Vulnerable,,,,SA
Cyperus flaccidus,Angiospermae,Cyperaceae,Rare,Rare,Flaccid Flat-sedge,,,SA
Cyperus lhotskyanus,Angiospermae,Cyperaceae,Rare,Rare,,,,SA
Cyperus lucidus,Angiospermae,Cyperaceae,Endangered,Endangered,Leafy Flat-sedge,,,SA
Cyperus nervulosus,Angiospermae,Cyperaceae,Rare,Rare,,,,SA
Cyperus rotundus,Angiospermae,Cyperaceae,Declared,Declared,Nut-grass,Nut-grass Flat-sedge,,SA
Cyperus sanguinolentus,Angiospermae,Cyperaceae,Rare,Rare,Dark Flat-sedge,,,SA
Cyperus sphaeroideus,Angiospermae,Cyperaceae,Rare,Rare,,,,SA
Cytisus scoparius,Angiospermae,Leguminosae,Declared,Declared,English Broom,Common Broom,,SA
Dampiera lanceolata,Angiospermae,Goodeniaceae,Endangered,Endangered,Aldinga Dampiera,,,SA
Dampiera roycei,Angiospermae,Goodeniaceae,Rare,Rare,,,,SA
Dasycercus blythi,,,SA: E,Endangered,Brush-tailed Mulgara (Mulgara),,,SA
Dasyornis broadbenti,,,SA: R,Rare,Rufous Bristlebird,,,SA
Dasyuroides byrnei,,,SA: V,Vulnerable,Kowari,,,SA
Dasyurus geoffroii,,,SA: E,Endangered,Western Quoll,,,SA
Dasyurus maculatus,,,SA: E,Endangered,Spotted-tailed Quoll (Tiger Quoll),,,SA
Dasyurus viverrinus,,,SA: E,Endangered,Eastern Quoll,,,SA
Daucus carota,Angiospermae,Umbelliferae,Declared,Declared,Carrot,,,SA
Daviesia devito,Angiospermae,Leguminosae,Rare,Rare,Mallee Bitter-pea,Spiny Bitter-pea,,SA
Daviesia pectinata,Angiospermae,Leguminosae,Rare,Rare,Zig-zag Bitter-pea,Barbed-wire Bitter-pea,,SA
Daviesia schwarzenegger,Angiospermae,Leguminosae,Rare,Rare,Mallee Bitter-pea,Spiny Bitter-pea,,SA
Daviesia sejugata,Angiospermae,Leguminosae,Endangered,Endangered,Disjunct Bitter-pea,,,SA
Daviesia stricta,Angiospermae,Leguminosae,Rare,Rare,Flinders Ranges Bitter-pea,,,SA
Delma borea,,,SA: R,Rare,Northern Snake-lizard ,,,SA
Delma desmosa,,,SA: R,Rare,Desert Snake-lizard ,,,SA
Delma impar,,,SA: E,Endangered,Striped Snake-lizard,,,SA
Demansia rimicola,,,SA: R,Rare,Channel Country Whipsnake ,,,SA
Dennstaedtia davallioides,Pteridophyta,Dennstaedtiaceae,Endangered,Endangered,Lacy Ground-fern,,,SA
Dermochelys coriacea,,,SA: V,Vulnerable,Leathery Turtle ,,,SA
Desmocladus diacolpicus,Angiospermae,Restionaceae,Vulnerable,Vulnerable,Bundled Cord-rush,,,SA
Deyeuxia densa,Angiospermae,Gramineae,Rare,Rare,Heath Bent-grass,,,SA
Deyeuxia minor,Angiospermae,Gramineae,Vulnerable,Vulnerable,Small Bent-grass,,,SA
Dianella callicarpa,Angiospermae,Liliaceae,Endangered,Endangered,Swamp Flax-lily,,,SA
Dianella longifolia,Angiospermae,Liliaceae,Rare,Rare,Pale Flax-lily,Yellow-anther Flax-lily,,SA
Dianella porracea,Angiospermae,Liliaceae,Vulnerable,Vulnerable,Pale Flax-lily,Yellow-anther Flax-lily,,SA
Dianella tarda,Angiospermae,Liliaceae,Endangered,Endangered,Late-flowered Flax-lily,,,SA
Dicksonia antarctica,Pteridophyta,Dicksoniaceae,Endangered,Endangered,Soft Tree-fern,Tree-fern,,SA
Dillwynia cinerascens,Angiospermae,Leguminosae,Endangered,Endangered,Grey Parrot-pea,,,SA
Diomedea exulans,,,SA: V,Vulnerable,Wandering Albatross,,,SA
Diplodactylus pulcher,,,SA: R,Rare,Patchwork Gecko ,,,SA
Diplotaxis tenuifolia,Angiospermae,Cruciferae,Declared,Declared,Lincoln Weed,Sand Rocket,,SA
Dipodium campanulatum,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Bell-flower Hyacinth Orchid,,,SA
Dipodium pardalinum,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Leopard Hyacinth-orchid,Spotted Hyacinth-orchid,,SA
Dipodium punctatum,Angiospermae,Orchidaceae,Endangered,Endangered,,,,SA
Diuris behrii,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Behr's Cowslip Orchid,Golden Moths,,SA
Diuris brevifolia,Angiospermae,Orchidaceae,Endangered,Endangered,Short-leaf Donkey-orchid,Late Donkey-orchid,,SA
Diuris chryseopsis,Angiospermae,Orchidaceae,Endangered,Endangered,Cowslip Orchid,Golden Moths,,SA
Diuris punctata,Angiospermae,Orchidaceae,Endangered,Endangered,Purple Donkey-orchid,Purple Diuris,,SA
Diuris sulphurea,Angiospermae,Orchidaceae,Rare,Rare,Tiger Orchid,Hornet Orchid,,SA
Dodonaea procumbens,Angiospermae,Sapindaceae,Vulnerable,Vulnerable,Trailing Hop-bush,,,SA
Dodonaea subglandulifera,Angiospermae,Sapindaceae,Endangered,Endangered,,,,SA
Dromaius baudinianus,,,SA: E,Endangered,Kangaroo Island Emu,,,SA
Drosera binata,Angiospermae,Droseraceae,Rare,Rare,Forked Sundew,,,SA
Drosera praefolia,Angiospermae,Droseraceae,Rare,Rare,Early Sundew,,,SA
Drosera stricticaulis,Angiospermae,Droseraceae,Vulnerable,Vulnerable,Erect Sundew,,,SA
Drysdalia coronoides,,,SA: R,Rare,White-lipped Snake ,,,SA
Duma horrida,Angiospermae,Polygonaceae,Rare,Rare,Spiny Lignum,,,SA
Echinochloa lacunaria,Angiospermae,Gramineae,Endangered,Endangered,Lake Millet,,,SA
Echinopogon ovatus,Angiospermae,Gramineae,Rare,Rare,Rough-beard Grass,Forest Hedgehog Grass,,SA
Echiopsis curta,,,SA: R,Rare,Bardick ,,,SA
Echium plantagineum,Angiospermae,Boraginaceae,Declared,Declared,Salvation Jane,Paterson's Curse,,SA
Egeria densa,Angiospermae,Hydrocharitaceae,Declared,Declared,,,,SA
Egernia cunninghami,,,SA: E,Endangered,Cunningham’s Skink ,,,SA
Egretta cra,,,SA: R,Rare,Pacific Reef Heron (Eastern Reef Egret),,,SA
Egretta garzetta,,,SA: R,Rare,Little Egret,,,SA
Eichhornia crassipes,Angiospermae,Pontederiaceae,Declared,Declared,Water Hyacinth,,,SA
Elachanthus glaber,Angiospermae,Compositae,Rare,Rare,Shiny Elachanth,,,SA
Elacholoma prostrata,Angiospermae,Scrophulariaceae,Rare,Rare,Small Monkey-flower,,,SA
Elanus scriptus,,,SA: R,Rare,Letter-winged Kite,,,SA
Elatine gratioloides,Angiospermae,Elatinaceae,Rare,Rare,Waterwort,,,SA
Eleocharis atricha,Angiospermae,Cyperaceae,Vulnerable,Vulnerable,Tuber Spike-rush,Tuber Spike-sedge,,SA
Eleocharis geniculata,Angiospermae,Cyperaceae,Rare,Rare,Spike-rush,,,SA
Eleocharis papillosa,Angiospermae,Cyperaceae,Rare,Rare,,,,SA
Eleocharis plana,Angiospermae,Cyperaceae,Rare,Rare,Flat Spike-rush,Ribbed Spike-rush,,SA
Elodea canadensis,Angiospermae,Hydrocharitaceae,Declared,Declared,,,,SA
Embadium johnstonii,Angiospermae,Boraginaceae,Rare,Rare,Johnston's Slipper-plant,Johnston's Embadium,,SA
Embadium stagnense,Angiospermae,Boraginaceae,Rare,Rare,Arcoona Slipper-plant,Arcoona Embadium,,SA
Emblema pictum,,,SA: R,Rare,Painted Finch,,,SA
Emydura macquarii,,,SA: V,Vulnerable,Macquarie Tortoise ,,,SA
Entomyzon cyanotis,,,SA: R,Rare,Blue-faced Honeyeater,,,SA
Epthianura crocea,,,SA: E,Endangered,Yellow Chat,,,SA
Eragrostis curvula,Angiospermae,Gramineae,Declared,Declared,African Love-grass,Weeping Love-grass,,SA
Eragrostis infecunda,Angiospermae,Gramineae,Rare,Rare,Barren Cane-grass,Infertile Love-grass,,SA
Eragrostis lacunaria,Angiospermae,Gramineae,Rare,Rare,Purple Love-grass,Neverfail,,SA
Eremiornis carteri,,,SA: E,Endangered,Spinifexbird,,,SA
Eremophila barbata,Angiospermae,Myoporaceae,Rare,Rare,Blue Range Emubush,,,SA
Eremophila gibbifolia,Angiospermae,Myoporaceae,Rare,Rare,Coccid Emubush,,,SA
Eremophila hillii,Angiospermae,Myoporaceae,Rare,Rare,Hill's Emubush,,,SA
Eremophila interstans,Angiospermae,Myoporaceae,Rare,Rare,,,,SA
Eremophila parvifolia,Angiospermae,Myoporaceae,Rare,Rare,Small-leaf Emubush,,,SA
Eremophila pentaptera,Angiospermae,Myoporaceae,Rare,Rare,,,,SA
Eremophila polyclada,Angiospermae,Myoporaceae,Rare,Rare,Twiggy Emubush,Flowering Lignum,,SA
Eremophila praecox,Angiospermae,Myoporaceae,Rare,Rare,,,,SA
Eremophila subfloccosa,Angiospermae,Myoporaceae,Rare,Rare,Green-flower Emubush,,,SA
Eriocaulon carsonii,Angiospermae,Eriocaulaceae,Endangered,Endangered,Salt Pipewort,,,SA
Eriochilus paludosus,Angiospermae,Orchidaceae,Endangered,Endangered,,,,SA
Erodium sp. Blesing (J.R.Wheeler 471),Angiospermae,Geraniaceae,Rare,Rare,Blesing Heron's-bill,,,SA
Eryngium ovinum,Angiospermae,Umbelliferae,Vulnerable,Vulnerable,Blue Devil,,,SA
Eryngium vesiculosum,Angiospermae,Umbelliferae,Rare,Rare,Prostrate Blue Devil,Prickfoot,,SA
Eubalaena australis,,,SA: V,Vulnerable,Southern Right Whale,,,SA
Eucalyptus alatissima,Angiospermae,Myrtaceae,Rare,Rare,Kingsmill's Mallee,,,SA
Eucalyptus albens,Angiospermae,Myrtaceae,Rare,Rare,White Box,,,SA
Eucalyptus arcana,Angiospermae,Myrtaceae,Vulnerable,Vulnerable,Carpenters Rocks Manna Gum,Mallee Manna Gum,,SA
Eucalyptus behriana,Angiospermae,Myrtaceae,Rare,Rare,Broad-leaf Box,Bull Mallee,,SA
Eucalyptus bicostata,Angiospermae,Myrtaceae,Vulnerable,Vulnerable,Southern Blue Gum,Eurabbie,,SA
Eucalyptus calycogona,Angiospermae,Myrtaceae,Endangered,Endangered,Spafford's Square-fruit Mallee,,,SA
Eucalyptus canescens,Angiospermae,Myrtaceae,Rare,Rare,Beadell's Mallee,,,SA
Eucalyptus conglobata,Angiospermae,Myrtaceae,Rare,Rare,Port Lincoln Mallee,Cong Mallee,,SA
Eucalyptus cretata,Angiospermae,Myrtaceae,Rare,Rare,Darke Peak Mallee,Chalky Mallee,,SA
Eucalyptus dalrympleana,Angiospermae,Myrtaceae,Rare,Rare,Candlebark Gum,White Gum,,SA
Eucalyptus diversifolia,Angiospermae,Myrtaceae,Rare,Rare,Coastal White Mallee,Soap Mallee,,SA
Eucalyptus fasciculosa,Angiospermae,Myrtaceae,Rare,Rare,Pink Gum,Hill Gum,,SA
Eucalyptus gillenii,Angiospermae,Myrtaceae,Rare,Rare,Mount Lindsay Mallee,Mallee Red Gum,,SA
Eucalyptus goniocalyx,Angiospermae,Myrtaceae,Vulnerable,Vulnerable,Long-leaf Box,Bastard Box,,SA
Eucalyptus leucoxylon,Angiospermae,Myrtaceae,Rare,Rare,Large-fruit Blue Gum,,,SA
Eucalyptus macrorhyncha,Angiospermae,Myrtaceae,Rare,Rare,Red Stringybark,,,SA
Eucalyptus paludicola,Angiospermae,Myrtaceae,Endangered,Endangered,Mount Compass Swamp Gum,Swamp Cup Gum,,SA
Eucalyptus pauciflora,Angiospermae,Myrtaceae,Vulnerable,Vulnerable,Snow Gum,White Sally,,SA
Eucalyptus percostata,Angiospermae,Myrtaceae,Rare,Rare,Ribbed White Mallee,,,SA
Eucalyptus phenax,Angiospermae,Myrtaceae,Rare,Rare,Kangaroo Island Mallee,Kangaroo Island White Mallee,,SA
Eucalyptus viminalis,Angiospermae,Myrtaceae,Rare,Rare,Manna Gum,Ribbon Gum,,SA
Eucalyptus wimmerensis,Angiospermae,Myrtaceae,Rare,Rare,Wimmera Mallee Box,,,SA
Eucalyptus wyolensis,Angiospermae,Myrtaceae,Rare,Rare,Wyola Mallee,,,SA
Eulamprus heatwolei,,,SA: V,Vulnerable,Yellow-bellied Water Skink ,,,SA
Eulamprus tympanum,,,SA: R,Rare,Southern Water Skink ,,,SA
Euphorbia terracina,Angiospermae,Euphorbiaceae,Declared,Declared,False Caper,Terracina Spurge,,SA
Euphrasia collina,Angiospermae,Scrophulariaceae,Vulnerable,Vulnerable,Purple Eyebright,,,SA
Euphrasia collina,Angiospermae,Scrophulariaceae,Endangered,Endangered,Mueller's Eyebright,,,SA
Euphrasia collina,Angiospermae,Scrophulariaceae,Endangered,Endangered,Osborn's Eyebright,,,SA
Euphrasia collina,Angiospermae,Scrophulariaceae,Endangered,Endangered,Swamp Eyebright,,,SA
Euphrasia collina,Angiospermae,Scrophulariaceae,Endangered,Endangered,,,,SA
Euphrasia scabra,Angiospermae,Scrophulariaceae,Endangered,Endangered,Rough Eyebright,Yellow Eyebright,,SA
Eurychorda complanata,Angiospermae,Restionaceae,Vulnerable,Vulnerable,Flat Cord-rush,,,SA
Excalfactoria chinensis,,,SA: E,Endangered,King Quail,,,SA
Exocarpos strictus,Angiospermae,Santalaceae,Rare,Rare,Pale-fruit Cherry,Pale-fruit Ballart,,SA
Falco hypoleucos,,,SA: R,Rare,Grey Falcon,,,SA
Falco peregrinus,,,SA: R,Rare,Peregrine Falcon,,,SA
Falsistrellus tasmaniensis,,,SA: E,Endangered,Eastern False Pipistrelle (Tasmanian Falsistrelle),,,SA
Festuca benthamiana,Angiospermae,Gramineae,Rare,Rare,Bentham's Fescue,,,SA
Fimbristylis aestivalis,Angiospermae,Cyperaceae,Rare,Rare,Summer Fringe-rush,Summer Fringe-sedge,,SA
Frankenia cinerea,Angiospermae,Frankeniaceae,Rare,Rare,,,,SA
Frankenia cupularis,Angiospermae,Frankeniaceae,Rare,Rare,,,,SA
Frankenia plicata,Angiospermae,Frankeniaceae,Vulnerable,Vulnerable,,,,SA
Frankenia subteres,Angiospermae,Frankeniaceae,Rare,Rare,,,,SA
Gahnia clarkei,Angiospermae,Cyperaceae,Rare,Rare,Tall Saw-sedge,,,SA
Gahnia halmaturina,Angiospermae,Cyperaceae,Rare,Rare,,,,SA
Gahnia hystrix,Angiospermae,Cyperaceae,Rare,Rare,Spiky Saw-sedge,Kangaroo Island Saw-sedge,,SA
Gahnia radula,Angiospermae,Cyperaceae,Rare,Rare,Thatch Saw-sedge,,,SA
Galium curvihirtum,Angiospermae,Rubiaceae,Rare,Rare,Tight Bedstraw,,,SA
Galium propinquum,Angiospermae,Rubiaceae,Endangered,Endangered,,,,SA
Galium tricornutum,Angiospermae,Rubiaceae,Declared,Declared,Three-horned Bedstraw,Rough Corn Bedstraw,,SA
Gallinago hardwickii,,,SA: R,Rare,Latham’s Snipe,,,SA
Gastrodia sesamoides,Angiospermae,Orchidaceae,Rare,Rare,Potato Orchid,Cinnamon Bells,,SA
Gastrodia vescula,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Lesser Potato Orchid,,,SA
Geijera parviflora,Angiospermae,Rutaceae,Rare,Rare,Wilga,,,SA
Genista monspessulana,Angiospermae,Leguminosae,Declared,Declared,Montpellier Broom,Cape Broom,,SA
Genoplesium ciliatum,Angiospermae,Orchidaceae,Endangered,Endangered,Swamp Midge-orchid,,,SA
Genoplesium despectans,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Sharp Midge-orchid,,,SA
Genoplesium morrisii,Angiospermae,Orchidaceae,Endangered,Endangered,Bearded Midge-orchid,,,SA
Gentianella clelandii,Angiospermae,Gentianaceae,Endangered,Endangered,,,,SA
Gentianella gunniana,Angiospermae,Gentianaceae,Vulnerable,Vulnerable,Mountain Gentian,Gentian,,SA
Geocrinia laevis,,,SA: R,Rare,Smooth Frog  ,,,SA
Geophaps plumifera,,,SA: R,Rare,Spinifex Pigeon,,,SA
Gerygone fusca,,,SA: R,Rare,Western Gerygone,,,SA
Gerygone olivacea,,,SA: R,Rare,White-throated Gerygone,,,SA
Gilesia biniflora,Angiospermae,Sterculiaceae,Rare,Rare,Western Tar-vine,,,SA
Gleichenia microphylla,Pteridophyta,Gleicheniaceae,Rare,Rare,Coral Fern,Scrambling Coral-fern,,SA
Globicephala macrorhynchus,,,SA: R,Rare,Short-finned Pilot Whale,,,SA
Glossopsitta pusilla,,,SA: E,Endangered,Little Lorikeet,,,SA
Glossostigma sp. Long stout-pedicelled (W.R.Barker 2481),Angiospermae,Scrophulariaceae,Vulnerable,Vulnerable,,,,SA
Glycine latrobeana,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Clover Glycine,,,SA
Glycine tabacina,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Variable Glycine,,,SA
Gonocarpus humilis,Angiospermae,Haloragaceae,Rare,Rare,Shade Raspwort,,,SA
Gonocarpus micranthus,Angiospermae,Haloragaceae,Rare,Rare,Creeping Raspwort,,,SA
Goodenia anfracta,Angiospermae,Goodeniaceae,Rare,Rare,,,,SA
Goodenia benthamiana,Angiospermae,Goodeniaceae,Rare,Rare,Bentham's Goodenia,Small-leaf Goodenia,,SA
Goodenia brunnea,Angiospermae,Goodeniaceae,Rare,Rare,,,,SA
Goodenia chambersii,Angiospermae,Goodeniaceae,Rare,Rare,,,,SA
Goodenia cycnopotamica,Angiospermae,Goodeniaceae,Rare,Rare,,,,SA
Goodenia elongata,Angiospermae,Goodeniaceae,Endangered,Endangered,Lanky Goodenia,,,SA
Goodenia glandulosa,Angiospermae,Goodeniaceae,Rare,Rare,,,,SA
Goodenia gracilis,Angiospermae,Goodeniaceae,Vulnerable,Vulnerable,Grampians Goodenia,,,SA
Goodenia heteromera,Angiospermae,Goodeniaceae,Rare,Rare,Spreading Goodenia,,,SA
Goodenia saccata,Angiospermae,Goodeniaceae,Rare,Rare,Flinders Ranges Goodenia,,,SA
Goodenia valdentata,Angiospermae,Goodeniaceae,Rare,Rare,Davenport Range Goodenia,,,SA
Grampus griseus,,,SA: R,Rare,Risso's Dolphin,,,SA
Grantiella picta,,,SA: R,Rare,Painted Honeyeater,,,SA
Gratiola pedunculata,Angiospermae,Scrophulariaceae,Rare,Rare,Stalked Brooklime,Heartsease,,SA
Gratiola pubescens,Angiospermae,Scrophulariaceae,Rare,Rare,Glandular Brooklime,,,SA
Gratiola pumilo,Angiospermae,Scrophulariaceae,Rare,Rare,Dwarf Brooklime,,,SA
Gratwickia monochaeta,Angiospermae,Compositae,Rare,Rare,,,,SA
Grevillea anethifolia,Angiospermae,Proteaceae,Rare,Rare,,,,SA
Grevillea angustiloba,Angiospermae,Proteaceae,Endangered,Endangered,Dissected Holly-leaf Grevillea,,,SA
Grevillea angustiloba,Angiospermae,Proteaceae,Endangered,Endangered,Dissected Holly-leaf Grevillea,,,SA
Grevillea aquifolium,Angiospermae,Proteaceae,Rare,Rare,Prickly Grevillea,Variable Prickly Grevillea,,SA
Grevillea halmaturina,Angiospermae,Proteaceae,Rare,Rare,Prickly Grevillea,Small-flower Grevillea,,SA
Grevillea halmaturina,Angiospermae,Proteaceae,Rare,Rare,Prickly Grevillea,Small-flower Grevillea,,SA
Grevillea lavandulacea,Angiospermae,Proteaceae,Rare,Rare,Rogers' Spider-flower,Rogers' Grevillea,,SA
Grevillea muricata,Angiospermae,Proteaceae,Rare,Rare,Rough Spider-flower,Kangaroo Island Spider-flower,,SA
Grevillea pauciflora,Angiospermae,Proteaceae,Rare,Rare,Narrow-leaf Grevillea,,,SA
Grevillea treueriana,Angiospermae,Proteaceae,Vulnerable,Vulnerable,Mt Finke Grevillea,Scarlet Grevillea,,SA
Grus rubicunda,,,SA:V,Vulnerable,Brolga,,,SA
Gymnoschoenus sphaerocephalus,Angiospermae,Cyperaceae,Endangered,Endangered,Button Grass,,,SA
Haeckeria cassiniiformis,Angiospermae,Compositae,Rare,Rare,Dogwood Haeckeria,,,SA
Haegiela tatei,Angiospermae,Compositae,Rare,Rare,Small Nut-heads,,,SA
Haematopus fuliginosus,,,SA: R,Rare,Sooty Oystercatcher,,,SA
Haematopus longirostris,,,SA: R,Rare,(Australian) Pied Oystercatcher,,,SA
Hakea aenigma,Angiospermae,Proteaceae,Rare,Rare,Enigma Hakea,,,SA
Hakea tephrosperma,Angiospermae,Proteaceae,Rare,Rare,Hooked Needlewood,,,SA
Haliaeetus leucogaster,,,SA: E,Endangered,White-bellied Sea Eagle,,,SA
Haloragis eichleri,Angiospermae,Haloragaceae,Rare,Rare,Eichler's Raspwort,,,SA
Haloragis eyreana,Angiospermae,Haloragaceae,Endangered,Endangered,Prickly Raspwort,,,SA
Haloragis myriocarpa,Angiospermae,Haloragaceae,Rare,Rare,,,,SA
Hamirostra melanosternon,,,SA: R,Rare,Black-breasted Buzzard,,,SA
Hemichroa mesembryanthema,Angiospermae,Amaranthaceae,Vulnerable,Vulnerable,Pigface Hemichroa,,,SA
Hibbertia cinerea,Angiospermae,Dilleniaceae,Rare,Rare,Port Lincoln Guinea-flower,,,SA
Hibbertia crispula,Angiospermae,Dilleniaceae,Vulnerable,Vulnerable,Ooldea Guinea-flower,,,SA
Hibbertia glaberrima,Angiospermae,Dilleniaceae,Rare,Rare,Central Australian Guinea-flower,Inland Guinea-flower,,SA
Hibbertia glebosa,Angiospermae,Dilleniaceae,Rare,Rare,,,,SA
Hibbertia obtusibracteata,Angiospermae,Dilleniaceae,Vulnerable,Vulnerable,Prickly Guinea-flower,,,SA
Hibbertia sessiliflora,Angiospermae,Dilleniaceae,Endangered,Endangered,,,,SA
Hibbertia tenuis,Angiospermae,Dilleniaceae,Endangered,Endangered,,,,SA
Hirschfeldia incana,Angiospermae,Cruciferae,Declared,Declared,Hoary Mustard,Buchan Weed,,SA
Histiopteris incisa,Pteridophyta,Dennstaedtiaceae,Endangered,Endangered,Bat's-wing Fern,,,SA
Hovea heterophylla,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Common Hovea,,,SA
Hovea purpurea,Angiospermae,Leguminosae,Rare,Rare,Tall Hovea,Rusty Pods,,SA
Hyalosperma stoveae,Angiospermae,Compositae,Rare,Rare,Dwarf Sunray,,,SA
Hydrilla verticillata,Angiospermae,Hydrocharitaceae,Rare,Rare,Waterthyme,Hydrilla,,SA
Hydrocotyle comocarpa,Angiospermae,Umbelliferae,Rare,Rare,Fringe-fruit Pennywort,Hairy-fruit Pennywort,,SA
