scientificName,class,family,sourceStatus,status,vernacularName,vernacularName_alt,,sensitivityZoneId
Spiranthes australis,Angiospermae,Orchidaceae,Rare,Rare,Austral Lady's Tresses,Ladies Tresses,,SA
Sprengelia incarnata,Angiospermae,Epacridaceae,Rare,Rare,Pink Swamp-heath,,,SA
Spyridium bifidum,Angiospermae,Rhamnaceae,Vulnerable,Vulnerable,Marble Range Spyridium,,,SA
Spyridium bifidum,Angiospermae,Rhamnaceae,Vulnerable,Vulnerable,Wanilla Spyridium,,,SA
Spyridium coactilifolium,Angiospermae,Rhamnaceae,Vulnerable,Vulnerable,Butterfly Spyridium,,,SA
Spyridium coalitum,Angiospermae,Rhamnaceae,Rare,Rare,Flinders Chase Spyridium,,,SA
Spyridium daphnoides,Angiospermae,Rhamnaceae,Rare,Rare,Spoon-leaved Spyridium,,,SA
Spyridium eriocephalum,Angiospermae,Rhamnaceae,Endangered,Endangered,Macgillivray Spyridium,,,SA
Spyridium erymnocladum,Angiospermae,Rhamnaceae,Rare,Rare,Cloaked Spyridium,,,SA
Spyridium fontis-woodii,Angiospermae,Rhamnaceae,Endangered,Endangered,Woods Well Spyridium,,,SA
Spyridium leucopogon,Angiospermae,Rhamnaceae,Rare,Rare,Silvery Spyridium,,,SA
Spyridium scabridum,Angiospermae,Rhamnaceae,Rare,Rare,Rough Spyridium,,,SA
Spyridium tricolor,Angiospermae,Rhamnaceae,Vulnerable,Vulnerable,Rusty Spyridium,,,SA
Stackhousia annua,Angiospermae,Stackhousiaceae,Vulnerable,Vulnerable,Annual Candles,,,SA
Stagonopleura bella,,,SA: R,Rare,Beautiful Firetail,,,SA
Stagonopleura guttata,,,SA: V,Vulnerable,Diamond Firetail,,,SA
Stellaria angustifolia,Angiospermae,Caryophyllaceae,Rare,Rare,Swamp Starwort,,,SA
Stellaria multiflora,Angiospermae,Caryophyllaceae,Rare,Rare,Rayless Starwort,,,SA
Stellaria multiflora,Angiospermae,Caryophyllaceae,Rare,Rare,Rayless Starwort,,,SA
Stellaria multiflora,Angiospermae,Caryophyllaceae,Rare,Rare,Rayless Starwort,,,SA
Stellaria pungens,Angiospermae,Caryophyllaceae,Rare,Rare,Prickly Starwort,,,SA
Stemodia sp. Haegii (J.Z.Weber 9055),Angiospermae,Scrophulariaceae,Rare,Rare,Haegi's Stemodia,,,SA
Stenanthemum arens,Angiospermae,Rhamnaceae,Rare,Rare,,,,SA
Stercorarius antarcticus,,,SA: V,Vulnerable,Brown Skua,,,SA
Sterna hirundo,,,SA: R,Rare,Common Tern,,,SA
Sternula albifrons,,,SA: E,Endangered,Little Tern,,,SA
Sternula nereis,,,SA:E,Endangered,Fairy Tern,,,SA
Stictonetta naevosa,,,SA: V,Vulnerable,Freckled Duck,,,SA
Stipiturus mallee,,,SA:E,Endangered,Mallee Emuwren,,,SA
Stipiturus ruficeps,,,SA: R,Rare,Rufous-crowned Emuwren,,,SA
Strepera graculina,,,SA: E,Endangered,Pied Currawong,,,SA
Stylidium beaugleholei,Angiospermae,Stylidiaceae,Rare,Rare,Beauglehole's Trigger-plant,,,SA
Stylidium desertorum,Angiospermae,Stylidiaceae,Vulnerable,Vulnerable,,,,SA
Stylidium ecorne,Angiospermae,Stylidiaceae,Rare,Rare,,,,SA
Stylidium inaequipetalum,Angiospermae,Stylidiaceae,Vulnerable,Vulnerable,,,,SA
Stylidium tepperianum,Angiospermae,Stylidiaceae,Rare,Rare,Kangaroo Island Trigger-plant,Tepper's Trigger-plant,,SA
Stypandra glauca,Angiospermae,Liliaceae,Vulnerable,Vulnerable,Nodding Grass-lily,Nodding Blue-lily,,SA
Styphelia clelandii,Angiospermae,Epacridaceae,Rare,Rare,Cleland's Beard-heath,Small Beard-heath,,SA
Swainsona behriana,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Behr's Swainson-pea,,,SA
Swainsona dictyocarpa,Angiospermae,Leguminosae,Vulnerable,Vulnerable,,,,SA
Swainsona fuscoviridis,Angiospermae,Leguminosae,Rare,Rare,Dark Green Swainson-pea,,,SA
Swainsona kingii,Angiospermae,Leguminosae,Vulnerable,Vulnerable,,,,SA
Swainsona leeana,Angiospermae,Leguminosae,Rare,Rare,Lee's Swainson-pea,,,SA
Swainsona microcalyx,Angiospermae,Leguminosae,Rare,Rare,Wild Violet,,,SA
Swainsona minutiflora,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Small-flower Swainson-pea,,,SA
Swainsona murrayana,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Murray Swainson-pea,Slender Swainson-pea,,SA
Swainsona oligophylla,Angiospermae,Leguminosae,Rare,Rare,,,,SA
Swainsona procumbens,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Broughton Pea,Tatiara Pea,,SA
Swainsona pyrophila,Angiospermae,Leguminosae,Rare,Rare,Yellow Swainson-pea,Yellow Darling Pea,,SA
Swainsona sericea,Angiospermae,Leguminosae,Endangered,Endangered,Silky Swainson-pea,,,SA
Swainsona vestita,Angiospermae,Leguminosae,Vulnerable,Vulnerable,,,,SA
Swainsona viridis,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Creeping Darling Pea,,,SA
Synostemon ramosissimus,Angiospermae,Euphorbiaceae,Rare,Rare,,,,SA
Taphozous hilli,,,SA:R,Rare,Hill’s Sheath-tailed Bat,,,SA
Tasmacetus shepherdi,,,SA: R,Rare,Shepherd’s Beaked Whale (Tasman Beaked Whale),,,SA
Tecticornia cupuliformis,Angiospermae,Chenopodiaceae,Vulnerable,Vulnerable,,,,SA
Tecticornia flabelliformis,Angiospermae,Chenopodiaceae,Vulnerable,Vulnerable,Bead Samphire,Bead Glasswort,,SA
Tecticornia lepidosperma,Angiospermae,Chenopodiaceae,Rare,Rare,,,,SA
Templetonia battii,Angiospermae,Leguminosae,Rare,Rare,Spiny Templetonia,,,SA
Templetonia stenophylla,Angiospermae,Leguminosae,Vulnerable,Vulnerable,Leafy Templetonia,,,SA
Tephrocactus articulatus,Angiospermae,Cactaceae,Declared,Declared,Paper-spine Cactus,Paper-spine Cholla,,SA
Tetrarrhena distichophylla,Angiospermae,Gramineae,Vulnerable,Vulnerable,Hairy Rice-grass,,,SA
Teucrium grandiusculum,Angiospermae,Labiatae,Vulnerable,Vulnerable,,,,SA
Teucrium grandiusculum,Angiospermae,Labiatae,Endangered,Endangered,,,,SA
Thalassarche bulleri,,,SA:V,Vulnerable,Buller’s Albatross,,,SA
Thalassarche cauta,,,SA:V,Vulnerable,Shy Albatross,,,SA
Thalassarche chrysostoma,,,SA:V,Vulnerable,Grey-headed Albatross,,,SA
Thalassarche lvini,,,SA:V,Vulnerable,Salvin’s Albatross,,,SA
Thelionema caespitosum,Angiospermae,Liliaceae,Vulnerable,Vulnerable,Tufted Lily,Tufted Blue-lily,,SA
Thelymitra aristata,Angiospermae,Orchidaceae,Endangered,Endangered,Great Sun-orchid,Giant Sun-orchid,,SA
Thelymitra batesii,Angiospermae,Orchidaceae,Rare,Rare,,,,SA
Thelymitra carnea,Angiospermae,Orchidaceae,Rare,Rare,Small Pink Sun-orchid,Tiny Sun-orchid,,SA
Thelymitra circumsepta,Angiospermae,Orchidaceae,Endangered,Endangered,Naked Sun-orchid,Bog Sun-orchid,,SA
Thelymitra crenulata,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,,,,SA
Thelymitra cyanapicata,Angiospermae,Orchidaceae,Endangered,Endangered,,,,SA
Thelymitra cyanea,Angiospermae,Orchidaceae,Endangered,Endangered,Veined Sun-orchid,,,SA
Thelymitra epipactoides,Angiospermae,Orchidaceae,Endangered,Endangered,Metallic Sun-orchid,Stout Sun-orchid,,SA
Thelymitra flexuosa,Angiospermae,Orchidaceae,Rare,Rare,Twisted Sun-orchid,Zig-zag Sun-orchid,,SA
Thelymitra grandiflora,Angiospermae,Orchidaceae,Rare,Rare,Great Sun-orchid,Scented Sun-orchid,,SA
Thelymitra holmesii,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Blue Star Sun-orchid,Slender Swamp Sun-orchid,,SA
Thelymitra hygrophila,Angiospermae,Orchidaceae,Endangered,Endangered,Blue Star Sun-orchid,Slender Swamp Sun-orchid,,SA
Thelymitra inflata,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Plum Sun-orchid,Horay Sun-orchid,,SA
Thelymitra ixioides,Angiospermae,Orchidaceae,Endangered,Endangered,Spotted Sun-orchid,Dotted Sun-orchid,,SA
Thelymitra latifolia,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Blue Star Sun-orchid,Slender Swamp Sun-orchid,,SA
Thelymitra malvina,Angiospermae,Orchidaceae,Endangered,Endangered,Mauve-tufted Sun-orchid,,,SA
Thelymitra matthewsii,Angiospermae,Orchidaceae,Endangered,Endangered,Spiral Sun-orchid,,,SA
Thelymitra merraniae,Angiospermae,Orchidaceae,Endangered,Endangered,,,,SA
Thelymitra mucida,Angiospermae,Orchidaceae,Rare,Rare,Plum Sun-orchid,Horay Sun-orchid,,SA
Thelymitra occidentalis,Angiospermae,Orchidaceae,Rare,Rare,Azure Sun-orchid,,,SA
Thelymitra orientalis,Angiospermae,Orchidaceae,Rare,Rare,Plum Sun-orchid,Horay Sun-orchid,,SA
Thelymitra peniculata,Angiospermae,Orchidaceae,Vulnerable,Vulnerable,Blue Star Sun-orchid,Slender Swamp Sun-orchid,,SA
Thinornis rubricollis,,,SA: V,Vulnerable,Hooded Plover [Hooded Dotterel],,,SA
Thylogale billardierii,,,SA: E,Endangered,Tasmanian Pademelon,,,SA
Thysanotus nudicaulis,Angiospermae,Liliaceae,Endangered,Endangered,,,,SA
Thysanotus tenellus,Angiospermae,Liliaceae,Rare,Rare,Grassy Fringe-lily,,,SA
Thysanotus tuberosus,Angiospermae,Liliaceae,Vulnerable,Vulnerable,Tuber Fringe-lily,,,SA
Thysanotus tuberosus,Angiospermae,Liliaceae,Vulnerable,Vulnerable,Tuber Fringe-lily,,,SA
Thysanotus wangariensis,Angiospermae,Liliaceae,Rare,Rare,Eyre Peninsula Fringe-lily,,,SA
Tiliqua adelaidensis,,,SA: E,Endangered,Pygmy Bluetongue ,,,SA
Todea barbara,Pteridophyta,Osmundaceae,Endangered,Endangered,King Fern,Austral King-fern,,SA
Trachymene thysanocarpa,Angiospermae,Umbelliferae,Rare,Rare,Native Parsnip,Parsnip Trachymene,,SA
Tribulus terrestris,Angiospermae,Zygophyllaceae,Declared,Declared,Caltrop,Cat-head,,SA
Trichosurus vulpecula,,,SA: R,Rare,Common Brushtail Possum,,,SA
Tricostularia pauciflora,Angiospermae,Cyperaceae,Endangered,Endangered,Needle Bog-rush,Needle Bog-sedge,,SA
Triglochin minutissima,Angiospermae,Juncaginaceae,Rare,Rare,Tiny Arrowgrass,,,SA
Triglochin turrifera,Angiospermae,Juncaginaceae,Vulnerable,Vulnerable,Turret Arrowgrass,Tiny Arrowgrass,,SA
Tringa brevipes,,,SA: R,Rare,Grey-tailed Tattler,,,SA
Tringa glareola,,,SA: R,Rare,Wood ndpiper,,,SA
Triodia pungens,Angiospermae,Gramineae,Rare,Rare,Gummy Spinifex,Soft Spinifex,,SA
Turnix pyrrhothorax,,,SA: R,Rare,Red-chested Buttonquail,,,SA
Turnix varius,,,SA: R,Rare,Painted Buttonquail,,,SA
Typhonium alismifolium,Angiospermae,Araceae,Rare,Rare,,,,SA
Tyto longimembris,,,SA: R,Rare,Eastern Grass Owl,,,SA
Tyto novaehollandiae,,,SA: E,Endangered,Australian Masked Owl,,,SA
Ulex europaeus,Angiospermae,Leguminosae,Declared,Declared,Gorse,Furze,,SA
Uperoleia capitulata,,,SA: R,Rare,Small-headed Toadlet  ,,,SA
Utricularia australis,Angiospermae,Lentibulariaceae,Rare,Rare,Yellow Bladderwort,,,SA
Utricularia beaugleholei,Angiospermae,Lentibulariaceae,Vulnerable,Vulnerable,Beauglehole's Bladderwort,,,SA
Utricularia lateriflora,Angiospermae,Lentibulariaceae,Vulnerable,Vulnerable,Small Bladderwort,Tiny Bladderwort,,SA
Utricularia violacea,Angiospermae,Lentibulariaceae,Rare,Rare,Violet Bladderwort,,,SA
Varanus brevicauda,,,SA: R,Rare,Short-tailed Pygmy Goanna ,,,SA
Varanus rosenbergi,,,SA: V,Vulnerable,Heath Goanna ,,,SA
Varanus varius,,,SA: R,Rare,Lace Monitor ,,,SA
Vermicella annulata,,,SA: R,Rare,Common Bandy Bandy ,,,SA
Veronica decorosa,Angiospermae,Scrophulariaceae,Rare,Rare,Showy Speedwell,Rock Speedwell,,SA
Veronica derwentiana,Angiospermae,Scrophulariaceae,Rare,Rare,Kangaroo Island Speedwell,Derwent Speedwell,,SA
Veronica derwentiana,Angiospermae,Scrophulariaceae,Endangered,Endangered,Mt Lofty Speedwell,Derwent Speedwell,,SA
Veronica derwentiana,Angiospermae,Scrophulariaceae,Endangered,Endangered,Derwent Speedwell,,,SA
Veronica gracilis,Angiospermae,Scrophulariaceae,Vulnerable,Vulnerable,Slender Speedwell,,,SA
Veronica parnkalliana,Angiospermae,Scrophulariaceae,Endangered,Endangered,Port Lincoln Speedwell,Rare Speedwell,,SA
Veronica subtilis,Angiospermae,Scrophulariaceae,Vulnerable,Vulnerable,Slender Speedwell,,,SA
Viminaria juncea,Angiospermae,Leguminosae,Rare,Rare,Native Broom,Golden Spray,,SA
Viola betonicifolia,Angiospermae,Violaceae,Endangered,Endangered,Showy Violet,Purple Violet,,SA
Vittadinia australasica,Angiospermae,Compositae,Vulnerable,Vulnerable,New Holland Daisy,,,SA
Vombatus ursinus,,,SA: R,Rare,Common Wombat,,,SA
Wahlenbergia gymnoclada,Angiospermae,Campanulaceae,Vulnerable,Vulnerable,Naked Bluebell,,,SA
Wallabia bicolor,,,SA: V,Vulnerable,Swamp Wallaby,,,SA
Watsonia meriana,Angiospermae,Iridaceae,Declared,Declared,Bulbil Watsonia,Wild Watsonia,,SA
Wurmbea decumbens,Angiospermae,Liliaceae,Rare,Rare,Trailing Nancy,Trailing Star-lily,,SA
Wurmbea deserticola,Angiospermae,Liliaceae,Rare,Rare,Desert Nancy,Desert Star-lily,,SA
Wurmbea dioica,Angiospermae,Liliaceae,Endangered,Endangered,Lagoon Nancy,Lagoon Star-lily,,SA
Wurmbea latifolia,Angiospermae,Liliaceae,Vulnerable,Vulnerable,Broad-leaf Nancy,Broad-leaf Star-lily,,SA
Wurmbea latifolia,Angiospermae,Liliaceae,Rare,Rare,Broad-leaf Nancy,Broad-leaf Star-lily,,SA
Wurmbea nilpinna,Angiospermae,Liliaceae,Vulnerable,Vulnerable,,,,SA
Wurmbea sinora,Angiospermae,Liliaceae,Endangered,Endangered,,,,SA
Wurmbea stellata,Angiospermae,Liliaceae,Rare,Rare,Star Nancy,Star-lily,,SA
Wurmbea uniflora,Angiospermae,Liliaceae,Endangered,Endangered,One-flower Nancy,Single-flower Star-lily,,SA
Xanthium spinosum,Angiospermae,Compositae,Declared,Declared,Bathurst Burr,Spiny Cocklebur,,SA
Xanthium strumarium,Angiospermae,Compositae,Declared,Declared,Californian Burr,,,SA
Xanthorrhoea minor,Angiospermae,Liliaceae,Endangered,Endangered,Little Yacca,Little Grass-tree,,SA
Xanthorrhoea semiplana,Angiospermae,Liliaceae,Rare,Rare,Tate's Grass-tree,,,SA
