Taxon_Id,Kingdom,Class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,EPBC_status,Significant,Confidential,Endemicity,status
1563,animals,birds,Maluridae,Amytornis barbatus,grey grasswren,"Favaloro & McEvey, 1968",NT,,Y,Y,QA,Near threatened
29885,animals,birds,Maluridae,Amytornis barbatus barbatus,grey grasswren (Bulloo),"Favaloro & McEvey, 1968",E,E,Y,Y,QA,Endangered
29886,animals,birds,Maluridae,Amytornis barbatus diamantina,grey grasswren (Lake Eyre basin),"Schodde & Christidis, 1987",NT,,Y,Y,QA,Near threatened
1564,animals,birds,Maluridae,Amytornis dorotheae,Carpentarian grasswren,"(Mathews, 1914)",E,E,Y,Y,QA,Endangered
1568,animals,birds,Maluridae,Amytornis rowleyi,rusty grasswren,"(Gould, 1840)",NT,,Y,Y,QA,Near threatened
1569,animals,birds,Maluridae,Malurus coronatus,purple-crowned fairy-wren,"Gould, 1858",V,,Y,N,QA,Vulnerable
1549,animals,birds,Maluridae,Stipiturus malachurus,southern emu-wren,"(Shaw, 1798)",V,,Y,Y,QA,Vulnerable
1405,animals,birds,Dasyornithidae,Dasyornis brachypterus,eastern bristlebird,"(Latham, 1801)",E,E,Y,Y,QA,Endangered
1400,animals,birds,Acanthizidae,Aphelocephala leucopsis,southern whiteface,"(Gould, 1841)",V,V,Y,N,QA,Vulnerable
1478,animals,birds,Meliphagidae,Anthochaera phrygia,regent honeyeater,"(Shaw, 1794)",CR,CE,Y,Y,QA,Critically endangered
1514,animals,birds,Meliphagidae,Bolemoreus hindwoodi,Eungella honeyeater,"(Longmore & Boles, 1983)",V,,Y,N,Q,Vulnerable
1528,animals,birds,Meliphagidae,Epthianura crocea,yellow chat,"Castelnau & Ramsay, 1877",V,,Y,Y,QA,Vulnerable
22458,animals,birds,Meliphagidae,Epthianura crocea crocea,yellow chat (gulf),"Castelnau & Ramsay, 1877",V,,Y,Y,QA,Vulnerable
22459,animals,birds,Meliphagidae,Epthianura crocea macgregori,yellow chat (Dawson),"Keast, 1958",E,CE,Y,Y,Q,Endangered
1521,animals,birds,Meliphagidae,Grantiella picta,painted honeyeater,"(Gould, 1838)",V,V,Y,N,QA,Vulnerable
22461,animals,birds,Petroicidae,Melanodryas cucullata cucullata,hooded robin (south-eastern),"Latham, 1802",E,E,Y,N,QA,Endangered
1376,animals,birds,Estrildidae,Chloebia gouldiae,Gouldian finch,"(Gould, 1844)",E,E,Y,Y,QA,Endangered
1378,animals,birds,Estrildidae,Erythrura trichroa,blue-faced parrot-finch,"(Kittlitz, 1835)",NT,,Y,Y,QAI,Near threatened
1370,animals,birds,Estrildidae,Neochmia phaeton evangelinae,crimson finch (white-bellied subspecies),"(Hombron & Jacquinot, 1841)",E,E,Y,Y,QI,Endangered
18452,animals,birds,Estrildidae,Neochmia ruficauda ruficauda,star finch (eastern subspecies),"(Gould, 1837)",E,E,Y,N,QA,Endangered
1365,animals,birds,Estrildidae,Poephila cincta cincta,black-throated finch (white-rumped subspecies),"Gould, 1837",E,E,Y,Y,QA,Endangered
1355,animals,birds,Estrildidae,Stagonopleura guttata,diamond firetail,"(Shaw, 1796)",V,V,Y,Y,QA,Vulnerable
22531,animals,cartilaginous fishes,Odontaspididae,Carcharias taurus,greynurse shark,"Rafinesque, 1810",E,CE,Y,N,QAI,Endangered
22620,animals,cartilaginous fishes,Dasyatidae,Hemitrygon fluviorum,estuary stingray,"(Ogilby, 1908)",NT,,Y,N,QAI,Near threatened
32708,animals,insects,Oecophoridae,Trisyntopa scatophaga,antbed moth,"(White, 1922)",E,E,Y,N,Q,Endangered
2014,animals,insects,Papilionidae,Ornithoptera richmondia,Richmond birdwing,"(Gray, [1853])",V,,Y,N,QA,Vulnerable
2008,animals,insects,Nymphalidae,Argynnis hyperbius inconstans,Australian fritillary,"Butler, 1873",E,CE,Y,Y,QA,Endangered
27,animals,insects,Lycaenidae,Acrodipsas illidgei,Illidge's ant-blue,"Waterhouse & Lyell, 1914",V,,Y,N,QA,Vulnerable
18,animals,insects,Lycaenidae,Hypochrysops apollo apollo,Apollo jewel (Wet Tropics subspecies),"Miskin, 1891",V,,Y,Y,Q,Vulnerable
6,animals,insects,Lycaenidae,Hypochrysops piceatus,bulloak jewel,"(Kerr, Macqueen & Sands, 1969)",CR,,Y,Y,Q,Critically endangered
9,animals,insects,Lycaenidae,Jalmenus eubulus,pale imperial hairstreak,"Miskin, 1876",V,,Y,N,QA,Vulnerable
13,animals,insects,Lycaenidae,Nacaduba pactolus cela,bold blue-line,"Waterhouse & Lyell, 1914",V,,Y,N,Q,Vulnerable
33588,animals,malacostracans,Parastacidae,Cherax robustus,,"Riek, 1951",V,,Y,Y,Q,Vulnerable
33590,animals,malacostracans,Parastacidae,Euastacus bindal,Mt Elliot crayfish,"Morgan, 1989",CR,CE,Y,Y,Q,Critically endangered
36167,animals,malacostracans,Parastacidae,Euastacus binzayedi,,"Coughran & Furse, 2013",CR,,Y,Y,Q,Critically endangered
36176,animals,malacostracans,Parastacidae,Euastacus dalagarbe,,"Coughran, 2005",CR,,Y,N,QA,Critically endangered
33591,animals,malacostracans,Parastacidae,Euastacus eungella,,"Morgan, 1988",E,,Y,Y,Q,Endangered
33593,animals,malacostracans,Parastacidae,Euastacus hystricosus,,"Riek, 1951",E,,Y,Y,Q,Endangered
33594,animals,malacostracans,Parastacidae,Euastacus jagara,Jagara hairy crayfish,"Morgan, 1988",CR,,Y,Y,Q,Critically endangered
33595,animals,malacostracans,Parastacidae,Euastacus maidae,,"(Riek, 1956)",CR,,Y,Y,Q,Critically endangered
33596,animals,malacostracans,Parastacidae,Euastacus monteithorum,,"Morgan, 1989",E,,Y,Y,Q,Endangered
33597,animals,malacostracans,Parastacidae,Euastacus robertsi,,"Monroe, 1977",E,,Y,Y,Q,Endangered
33603,animals,malacostracans,Parastacidae,Tenuibranchiurus glypticus,swamp crayfish,"Riek, 1951",E,,Y,Y,Q,Endangered
35003,animals,mammals,Dasyuridae,Antechinus argentus,silver-headed antechinus,"Baker, Mutton & Hines 2013",E,E,Y,N,Q,Endangered
823,animals,mammals,Dasyuridae,Antechinus arktos,black-tailed antechinus,"Baker, Mutton, Hines & Van Dyck (2014)",E,E,Y,N,QA,Endangered
824,animals,mammals,Dasyuridae,Dasycercus blythi,brush-tailed mulgara,"(Waite, 1904)",V,,Y,N,QA,Vulnerable
26895,animals,mammals,Dasyuridae,Dasycercus cristicauda,crest-tailed mulgara,"(Krefft, 1867)",V,,Y,N,QA,Vulnerable
827,animals,mammals,Dasyuridae,Dasyuroides byrnei,kowari,"(Spencer, 1896)",V,V,Y,N,QA,Vulnerable
813,animals,mammals,Dasyuridae,Dasyurus geoffroii geoffroii,western quoll,"Gould, 1841",PE,V,Y,N,QA,Extinct in the wild
802,animals,mammals,Dasyuridae,Dasyurus maculatus gracilis,spotted-tailed quoll (northern subspecies),"(Ramsay, 1888)",E,E,Y,N,Q,Endangered
803,animals,mammals,Dasyuridae,Dasyurus maculatus maculatus,spotted-tailed quoll (southern subspecies),"(Kerr, 1792)",E,E,Y,N,QA,Endangered
799,animals,mammals,Dasyuridae,Sminthopsis archeri,chestnut dunnart,"Van Dyck, 1986",NT,,Y,N,QAI,Near threatened
789,animals,mammals,Dasyuridae,Sminthopsis douglasi,Julia Creek dunnart,"Archer, 1979",E,V,Y,N,Q,Endangered
791,animals,mammals,Dasyuridae,Sminthopsis leucopus janetzkiae,Wet Tropics white-footed dunnart,"Lavery, Collett, Fisher, Hoskin & Rowland, 2022",V,,Y,N,Q,Vulnerable
841,animals,mammals,Thylacomyidae,Macrotis lagotis,greater bilby,"(Reid, 1837)",E,V,Y,N,QA,Endangered
860,animals,mammals,Phascolarctidae,Phascolarctos cinereus,koala,"(Goldfuss, 1817)",E,E,Y,N,QA,Endangered
828,animals,mammals,Vombatidae,Lasiorhinus krefftii,northern hairy-nosed wombat,"(Owen, 1872)",CR,CE,Y,N,QA,Critically endangered
831,animals,mammals,Vombatidae,Vombatus ursinus,common wombat,"(Shaw, 1800)",NT,,Y,N,QA,Near threatened
875,animals,mammals,Petauridae,Petaurus australis australis,yellow-bellied glider (southern subspecies),"Shaw, 1791",V,V,Y,N,QA,Vulnerable
876,animals,mammals,Petauridae,Petaurus australis unnamed subsp.,yellow-bellied glider (northern subspecies),"Thomas, 1923",E,E,Y,N,Q,Endangered
878,animals,mammals,Petauridae,Petaurus gracilis,mahogany glider,"(de Vis, 1883)",E,E,Y,N,Q,Endangered
845,animals,mammals,Pseudocheiridae,Hemibelideus lemuroides,lemuroid ringtail possum,"(Collett, 1884)",CR,,Y,N,Q,Critically endangered
2455,animals,mammals,Pseudocheiridae,Petauroides armillatus,central greater glider,"Thomas, 1923",E,E,Y,N,QA,Endangered
2456,animals,mammals,Pseudocheiridae,Petauroides minor,northern greater glider,"(Collett, 1887)",V,V,Y,N,Q,Vulnerable
848,animals,mammals,Pseudocheiridae,Petauroides volans sensu lato,greater glider,"(Kerr, 1792)",V,V,Y,N,QA,Vulnerable
864,animals,mammals,Potoroidae,Bettongia gaimardi gaimardi,eastern bettong,"(Desmarest, 1822)   ",EX,EX,Y,N,QA,Extinct
29916,animals,mammals,Potoroidae,Bettongia lesueur graii,burrowing bettong,"(Gould, 1841)",EX,EX,Y,N,QA,Extinct
866,animals,mammals,Potoroidae,Bettongia tropica,northern bettong,"Wakefield, 1967",E,E,Y,N,Q,Endangered
867,animals,mammals,Potoroidae,Caloprymnus campestris,desert rat-kangaroo,"(Gould, 1843)",PE,EX,Y,N,QA,Extinct in the wild
18794,animals,mammals,Potoroidae,Potorous tridactylus tridactylus,long-nosed potoroo,"(Kerr, 1792)",V,V,Y,N,QA,Vulnerable
920,animals,mammals,Macropodidae,Dendrolagus bennettianus,Bennett's tree-kangaroo,"De Vis, 1887",NT,,Y,N,Q,Near threatened
921,animals,mammals,Macropodidae,Dendrolagus lumholtzi,Lumholtz's tree-kangaroo,"Collett, 1884",NT,,Y,N,Q,Near threatened
907,animals,mammals,Macropodidae,Onychogalea frenata,bridled nailtail wallaby,"(Gould, 1840)",E,E,Y,N,Q,Endangered
898,animals,mammals,Macropodidae,Petrogale coenensis,Cape York rock-wallaby,"Eldridge & Close, 1992",V,E,Y,N,Q,Vulnerable
890,animals,mammals,Macropodidae,Petrogale penicillata,brush-tailed rock-wallaby,"(Gray, 1825)",V,V,Y,N,QA,Vulnerable
891,animals,mammals,Macropodidae,Petrogale persephone,Proserpine rock-wallaby,"Maynes, 1982",E,E,Y,N,Q,Endangered
888,animals,mammals,Macropodidae,Petrogale purpureicollis,purple-necked rock-wallaby,"Le Souef, 1924",V,,Y,N,Q,Vulnerable
892,animals,mammals,Macropodidae,Petrogale sharmani,Sharman's rock-wallaby,"Eldridge & Close, 1992",V,V,Y,N,Q,Vulnerable
894,animals,mammals,Macropodidae,Petrogale xanthopus celeris,yellow-footed rock-wallaby,"Gray, 1855",V,V,Y,N,Q,Vulnerable
985,animals,mammals,Pteropodidae,Pteropus brunneus,Percy Island flying-fox,"Dobson, 1878",EX,EX,Y,N,Q,Extinct
986,animals,mammals,Pteropodidae,Pteropus conspicillatus,spectacled flying-fox,"Gould, 1850",E,E,Y,N,QAI,Endangered
994,animals,mammals,Megadermatidae,Macroderma gigas,ghost bat,"(Dobson, 1880)",E,V,Y,N,QA,Endangered
969,animals,mammals,Rhinolophidae,Rhinolophus philippinensis,greater large-eared horseshoe bat,"Waterhouse, 1843",E,V,Y,Y,QI,Endangered
1002,animals,mammals,Hipposideridae,Hipposideros cervinus,fawn leaf-nosed bat,"(Gould, 1854)",V,,Y,N,QAI,Vulnerable
1003,animals,mammals,Hipposideridae,Hipposideros diadema reginae,diadem leaf-nosed bat,"Troughton, 1937.",NT,,Y,N,QAI,Near threatened
1004,animals,mammals,Hipposideridae,Hipposideros semoni,Semon`s leaf-nosed bat,"Matschie, 1903",E,V,Y,N,QAI,Endangered
991,animals,mammals,Hipposideridae,Hipposideros stenotis,northern leaf-nosed bat,"Thomas, 1913",V,,Y,N,QA,Vulnerable
992,animals,mammals,Hipposideridae,Rhinonicteris aurantia,orange leaf-nosed bat,"(Gray, 1845)",V,,Y,N,QA,Vulnerable
1008,animals,mammals,Emballonuridae,Saccolaimus saccolaimus nudicluniatus,bare-rumped sheathtail bat,"(De Vis, 1905)",E,V,Y,N,QAI,Endangered
1010,animals,mammals,Emballonuridae,Taphozous australis,coastal sheathtail bat,"Gould, 1854",NT,,Y,N,QAI,Near threatened
971,animals,mammals,Vespertilionidae,Chalinolobus dwyeri,large-eared pied bat,"Ryan, 1966",V,V,Y,N,QA,Vulnerable
957,animals,mammals,Vespertilionidae,Murina florium,tube-nosed insectivorous bat,"Thomas, 1908",V,,Y,N,QAI,Vulnerable
939,animals,mammals,Vespertilionidae,Nyctophilus corbeni,eastern long-eared bat,"Parnaby, 2009",V,V,Y,N,QA,Vulnerable
779,animals,mammals,Muridae,Conilurus albipes,white-footed rabbit-rat,"(Lichenstein, 1829)",PE,EX,Y,N,QA,Extinct in the wild
36772,animals,mammals,Muridae,Conilurus capricornensis,Capricorn rabbit-rat,"Cramb & Hocknull, 2010",EX,EX,Y,N,Q,Extinct
780,animals,mammals,Muridae,Conilurus penicillatus,brush-tailed tree-rat,"(Gould, 1842)",V,V,Y,N,QAI,Vulnerable
760,animals,mammals,Muridae,Melomys rubicola,Bramble Cay melomys,"Thomas, 1924",PE,EX,Y,N,Q,Extinct in the wild
752,animals,mammals,Muridae,Notomys aquilo,northern hopping-mouse,"Thomas, 1921",V,E,Y,N,QA,Vulnerable
754,animals,mammals,Muridae,Notomys fuscus,dusky hopping-mouse,"(Jones, 1925)",E,V,Y,N,QA,Endangered
756,animals,mammals,Muridae,Notomys mordax,Darling Downs hopping-mouse,"Thomas, 1922",PE,EX,Y,N,Q,Extinct in the wild
