taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,Significant,Confidential,status,Endemicity,EPBC Status
1218,Animalia,Aves,Procellariidae,Procellaria aequinoctialis,white-chinned petrel,"Linnaeus, 1758",SL,Y,N,Special least concern,Vagrant (Unknown),
30328,Animalia,Aves,Procellariidae,Procellaria parkinsoni,black petrel,"Gray, 1862",SL,Y,N,Special least concern,Vagrant (International),
18334,Animalia,Aves,Procellariidae,Procellaria westlandica,Westland petrel,"Falla, 1946",SL,Y,N,Special least concern,Vagrant (Unknown),
22453,Animalia,Aves,Procellariidae,Pterodroma heraldica,Herald petrel,"Salvin, 1888",CR,Y,N,Critically Endangered,Not Endemic to Australia,Critically Endangered
1281,Animalia,Aves,Fregatidae,Fregata ariel,lesser frigatebird,"(Gray, 1845)",SL,Y,N,Special least concern,Not Endemic to Australia,
1282,Animalia,Aves,Fregatidae,Fregata minor,great frigatebird,"(Gmelin, 1789)",SL,Y,N,Special least concern,Not Endemic to Australia,
1267,Animalia,Aves,Sulidae,Sula dactylatra,masked booby,"Lesson, 1831",SL,Y,N,Special least concern,Not Endemic to Australia,
1268,Animalia,Aves,Sulidae,Sula leucogaster,brown booby,"(Boddaert, 1783)",SL,Y,N,Special least concern,Not Endemic to Australia,
1270,Animalia,Aves,Sulidae,Sula sula,red-footed booby,"(Linnaeus, 1766)",SL,Y,N,Special least concern,Not Endemic to Australia,
1836,Animalia,Aves,Ardeidae,Botaurus poiciloptilus,Australasian bittern,"(Wagler, 1827)",E,Y,N,Endangered,Not Endemic to Australia,Endangered
1825,Animalia,Aves,Threskiornithidae,Plegadis falcinellus,glossy ibis,"(Linnaeus, 1766)",SL,Y,N,Special least concern,Not Endemic to Australia,
1728,Animalia,Aves,Accipitridae,Erythrotriorchis radiatus,red goshawk,"(Latham, 1801)",E,Y,N,Endangered,Intranational,Vulnerable
1702,Animalia,Aves,Accipitridae,Pandion cristatus,eastern osprey,"(Linnaeus, 1758)",SL,Y,N,Special least concern,Not Endemic to Australia,
1705,Animalia,Aves,Falconidae,Falco hypoleucos,grey falcon,"Gould, 1841",V,Y,Y,Vulnerable,Intranational,Vulnerable
