TaxonID,scientificName,vernacularName,status,EPBCThreatenedSpeciesListedName,EPBCThreatenedSpeciesDateEffective,EPBCActMigratory,Bonn,ListedNameBonn,CAMBA,ListedNameCamba,JAMBA,ListedNameJamba,ROKAMBA,ListedNameRokamba,MarineStatus,ListedNameMarine,Cetacean,FinalisedPriorityAssessmentListFPAL,ListedNameFPAL,ConservationAdvice,RecoveryPlan,RecoveryPlanDecisions,Kingdom,Phylum,Class,Order,Family,Genus,taxonRemarks,ACTNCAct,ListedName,NSWTSCActandFMAct,ListedName1NSWTSCActandFMAct,NTTPWCAct,ListedName2NTTPWCAct,QldNCAct,ListedName3QldNCAct,SANPWAct,ListedName4SANPWAct,TasTSPAct,ListedName5TasTSPAct,VicFFGActAdvisoryLists,ListedName6VicFFGActAdvisoryLists,WAWCAct,ListedName7WAWCAct,IUCNRedList,IUCNRedListListedNames,AustralianCapitalTerritory,NewSouthWales,NorthernTerritory,Queensland,SouthAustralia,Tasmania,Victoria,WesternAustralia,AshmoreandCartierIslands,CocosKeelingIslands,ChristmasIsland,CoralSeaIslands,JervisBayTerritory,NorfolkIsland,HeardandMcDonaldIslands,AustralianAntarcticTerritory,CommonwealthMarineArea
1060,Macronectes giganteus,"Southern Giant-Petrel, Southern Giant Petrel",Endangered,Macronectes giganteus,04-APR-2001,Listed,B2,Macronectes giganteus,,,,,,,Listed,Macronectes giganteus,,,,,25-May-11,Recovery Plan required,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,birds,,,Endangered,Macronectes giganteus,,,Endangered,Macronectes giganteus,Vulnerable,Macronectes giganteus,Vulnerable,Macronectes giganteus,Endangered,Macronectes giganteus,,,Least Concern,Macronectes giganteus,,Present,,Present,Present,Present,Present,Present,,,,Present,Present,Present,Present,Present,Present
1061,Macronectes halli,Northern Giant Petrel,Vulnerable,Macronectes halli,04-APR-2001,Listed,B2,Macronectes halli,,,,,,,Listed,Macronectes halli,,,,,25-May-11,Recovery Plan required,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,birds,,,Vulnerable,Macronectes halli,,,Vulnerable,Macronectes halli,,,Rare,Macronectes halli,Endangered,Macronectes halli,,,Least Concern,Macronectes halli,,Present,,Present,Present,Present,Present,Present,,,,Present,Present,Present,Present,Present,Present
38,Megaptera novaeangliae,Humpback Whale,,,,Listed,B1,Megaptera novaeangliae,,,,,,,,,Cetacean,Completed,Megaptera novaeangliae,,,Recovery Plan not required,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Megaptera,mammals,,,Vulnerable,Megaptera novaeangliae,,,,,Vulnerable,Megaptera novaeangliae,Endangered,Megaptera novaeangliae,,,Conservation Dependent,Megaptera novaeangliae,Least Concern,Megaptera novaeangliae,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
90033,Mobula alfredi,"Reef Manta Ray, Coastal Manta Ray",,,,Listed,"B1, B2",Manta alfredi,,,,,,,,,,,,,,,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,Mobula,sharks,,,,,,,,,,,,,,,,,Vulnerable,Mobula alfredi,,,,,,,,,,,,,,,,,
90034,Mobula birostris,Giant Manta Ray,,,,Listed,"B1, B2",Manta birostris,,,,,,,,,,,,,,,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,Mobula,sharks,,,,,,,,,,,,,,,,,Endangered,Mobula birostris,,,,,,,,,Present,,Present,Present,Present,,,,Present
91487,Mobula eregoodoo,"Pygmy Devilray, Longhorned Pygmy Devil Ray",,,,Listed,"B1, B2",Mobula eregoodootenkee,,,,,,,,,,,,,,,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,Mobula,sharks,,,,,,,,,,,,,,,,,Endangered,Mobula eregoodoo,,,,,,,,,,,,,,,,,
91305,Mobula mobular,"Japanese Devilray, Spinetail Devil Ray",,,,Listed,"B1, B2",Mobula japanica,,,,,,,,,,,,,,,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,Mobula,sharks,,,,,,,,,,,,,,,,,Endangered,Mobula mobular,,,,,,,,,,,,,,,,,
88191,Mobula thurstoni,Bentfin Devilray,,,,Listed,"B1, B2",Mobula thurstoni,,,,,,,,,,,,,,,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Mobulidae,Mobula,sharks,,,,,,,,,,,,,,,,,Endangered,Mobula thurstoni,,,,,,,,,,,,,,,,,
607,Monarcha frater,Black-winged Monarch,,,,Listed as Muscicapidae,B2C,Monarcha frater,,,,,,,Listed - overfly marine area,Monarcha frater,,,,,,,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Monarcha,birds,,,,,,,,,,,,,,,,,Least Concern,Monarcha frater,,,,Present,,,,,,,,,,,,,
609,Monarcha melanopsis,Black-faced Monarch,,,,Listed as Muscicapidae,B2C,Monarcha melanopsis,,,,,,,Listed - overfly marine area,Monarcha melanopsis,,,,,,,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Monarcha,birds,,,,,,,,,,,,,,,,,Least Concern,Monarcha melanopsis,,Present,,Present,,,Present,,,,,,Present,,,,
612,Myiagra cyanoleuca,Satin Flycatcher,,,,Listed as Muscicapidae,B2C,Myiagra cyanoleuca,,,,,,,Listed - overfly marine area,Myiagra cyanoleuca,,,,,,,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Myiagra,birds,,,,,,,,,Endangered,Myiagra cyanoleuca,,,,,,,Least Concern,Myiagra cyanoleuca,Present,Present,,Present,Present,Present,Present,,,,,,Present,,,,
59257,Natator depressus,Flatback Turtle,Vulnerable,Natator depressus,16-JUL-2000,Listed as Cheloniidae,B2C,Natator depressus,,,,,,,Listed,Natator depressus,,,,,03-Jun-17,Recovery Plan required,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Natator,reptiles,,,,,,,Vulnerable,Natator depressus,,,,,,,Vulnerable,Natator depressus,Data Deficient,Natator depressus,,Present,Present,Present,,,,Present,Present,Present,Present,Present,Present,Present,,,Present
847,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",Critically Endangered,Numenius madagascariensis,26-MAY-2015,Listed,B1,Numenius madagascariensis,Listed,Numenius madagascariensis,Listed,Numenius madagascariensis,Listed,Numenius madagascariensis,Listed,Numenius madagascariensis,,"30/10/2022, Completed","Numenius madagascariensis, Numenius madagascariensis",26-May-15,,Recovery Plan not required,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,birds,,,,,Vulnerable,Numenius madagascariensis,Endangered,Numenius madagascariensis,Endangered,Numenius madagascariensis,Endangered,Numenius madagascariensis,Critically Endangered,Numenius madagascariensis,Critically Endangered,Numenius madagascariensis,Endangered,Numenius madagascariensis,,Present,Present,Present,Present,Present,Present,Present,,,,,Present,,,,Present
848,Numenius minutus,"Little Curlew, Little Whimbrel",,,,Listed,B2C,Numenius minutus,Listed,Numenius minutus,Listed,Numenius minutus,Listed,Numenius minutus,Listed - overfly marine area,Numenius minutus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,birds,,,,,,,,,,,,,,,,,Least Concern,Numenius minutus,,,Present,Present,Present,,,Present,,,,,,,,,
849,Numenius phaeopus,Whimbrel,,,,Listed,B2C,Numenius phaeopus,Listed,Numenius phaeopus,Listed,Numenius phaeopus,Listed,Numenius phaeopus,Listed,Numenius phaeopus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,birds,,,,,,,,,,,,,Endangered,Numenius phaeopus,,,Least Concern,Numenius phaeopus,,Present,Present,Present,,,,Present,,,,Present,,,,,Present
81322,Orcaella heinsohni,Australian Snubfin  Dolphin,,,,Listed,B2,Orcaella heinsohni,,,,,,,,,Cetacean,30/10/2023,Orcaella heinsohni,,,,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Orcaella,mammals,,,,,,,Vulnerable,Orcaella heinsohni,,,,,,,,,Vulnerable,Orcaella heinsohni,,,Present,"Present, Present",,,,Present,Present,,,Present,,,,,Present
46,Orcinus orca,"Killer Whale, Orca",,,,Listed,B2,Orcinus orca,,,,,,,,,Cetacean,,,,,,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Orcinus,mammals,,,,,,,,,,,,,,,,,Data Deficient,Orcinus orca,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
952,Pandion haliaetus,Osprey,,,,Listed,B2,Pandion haliaetus,,,,,,,Listed,Pandion haliaetus,,,,,,,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Pandion,birds,,,,,,,,,,,,,,,,,Least Concern,Pandion haliaetus,,,,,Present,,,,,,,,,,,,Present
838,Phalaropus lobatus,Red-necked Phalarope,,,,Listed,B2C,Phalaropus lobatus,Listed,Phalaropus lobatus,Listed,Phalaropus lobatus,Listed,Phalaropus lobatus,Listed,Phalaropus lobatus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,birds,,,,,,,,,,,,,,,,,Least Concern,Phalaropus lobatus,,,,,,,,,,,,,,,,,Present
850,Philomachus pugnax,Ruff (Reeve),,,,Listed,B2C,Philomachus pugnax,Listed,Philomachus pugnax,Listed,Philomachus pugnax,Listed,Philomachus pugnax,Listed - overfly marine area,Philomachus pugnax,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Philomachus,birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66728,Phocoena dioptrica,Spectacled Porpoise,,,,Listed,B2,Phocoena dioptrica,,,,,,,,,Cetacean,,,,,,Animalia,Chordata,Mammalia,Cetacea,Phocoenidae,Phocoena,mammals,,,,,,,,,,,,,,,,,Least Concern,Phocoena dioptrica,,,,,,Present,,,,,,,,,Present,Present,Present
66696,Phoebastria immutabilis,Laysan Albatross,,,,Listed,B2*,Phoebastria immutabilis,,,,,,,Listed,Phoebastria immutabilis,,,,,,,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,birds,,,,,,,,,,,,,,,,,Near Threatened,Phoebastria immutabilis,,,,,,,,,,,,,,,,,
1075,Phoebetria fusca,Sooty Albatross,Vulnerable,Phoebetria fusca,16-JUL-2000,Listed,B2,Phoebetria fusca,,,,,,,Listed,Phoebetria fusca,,,,,25-May-11,Recovery Plan required,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebetria,birds,,,Vulnerable,Phoebetria fusca,,,Vulnerable,Phoebetria fusca,Endangered,Phoebetria fusca,Rare,Phoebetria fusca,Critically Endangered,Phoebetria fusca,Endangered,Phoebetria fusca,Endangered,Phoebetria fusca,,Present,,Present,"Present, Present",Present,Present,Present,,,,,,,Present,Present,Present
1076,Phoebetria palpebrata,Light-mantled Sooty Albatross,,,,Listed,B2,Phoebetria palpebrata,,,,,,,Listed,Phoebetria palpebrata,,,,,,,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebetria,birds,,,,,,,,,Vulnerable,Phoebetria palpebrata,Vulnerable,Phoebetria palpebrata,Critically Endangered ,Phoebetria palpebrata,,,Near Threatened,Phoebetria palpebrata,,,,,Present,Present,Present,,,,,,,,Present,Present,Present
59,Physeter macrocephalus,Sperm Whale,,,,Listed,"B1, B2",Physeter macrocephalus,,,,,,,,,Cetacean,,,,,,Animalia,Chordata,Mammalia,Cetacea,Physeteridae,Physeter,mammals,,,Vulnerable,Physeter macrocephalus,,,,,Rare,Physeter macrocephalus,,,,,Vulnerable,Physeter macrocephalus,Vulnerable,Physeter macrocephalus,,Present,,Present,Present,Present,,Present,Present,Present,Present,Present,,Present,Present,Present,Present
991,Plegadis falcinellus,Glossy Ibis,,,,Listed,B2,Plegadis falcinellus,,,,,,,Listed - overfly marine area,Plegadis falcinellus,,,,,,,Animalia,Chordata,Aves,Ciconiiformes,Threskiornithidae,Plegadis,birds,,,,,,,,,Rare,Plegadis falcinellus,,,,,,,Least Concern,Plegadis falcinellus,,,,,,,,,,,,,,,,,
25545,Pluvialis fulva,Pacific Golden Plover,,,,Listed,B2C,Pluvialis fulva,Listed,Pluvialis fulva,Listed,Pluvialis fulva,Listed,Pluvialis fulva,Listed,Pluvialis fulva,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,birds,,,,,,,,,Rare,Pluvialis fulva,,,Vulnerable,Pluvialis fulva,,,Least Concern,Pluvialis fulva,,Present,Present,Present,Present,Present,Present,Present,,,,Present,,,,,Present
865,Pluvialis squatarola,Grey Plover,,,,Listed,B2C,Pluvialis squatarola,Listed,Pluvialis squatarola,Listed,Pluvialis squatarola,Listed,Pluvialis squatarola,Listed - overfly marine area,Pluvialis squatarola,,30/10/2022,Pluvialis squatarola,,,,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,birds,,,,,,,,,,,,,Vulnerable,Pluvialis squatarola,,,Least Concern,Pluvialis squatarola,,,Present,Present,Present,Present,Present,Present,,,,,,,,,
68447,Pristis clavata,"Dwarf Sawfish, Queensland Sawfish",Vulnerable,Pristis clavata,20-OCT-2009,Listed,"B1, B2",Pristis clavata,,,,,,,,,,,,20-Oct-09,07-Nov-15,Recovery Plan required,Animalia,Chordata,Chondrichthyes,Rajiformes,Pristidae,Pristis,sharks,,,,,,,,,,,,,,,,,Endangered,Pristis clavata,,,Present,Present,,,,Present,,,,,,,,,Present
60756,Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",Vulnerable,Pristis pristis,16-JUL-2000,Listed,"B1, B2",Pristis pristis,,,,,,,,,,30/10/2022,Pristis pristis,11-Apr-14,07-Nov-15,Recovery Plan required,Animalia,Chordata,Chondrichthyes,Rajiformes,Pristidae,Pristis,sharks,,,,,,,,,,,,,,,,,Critically Endangered,Pristis pristis,,,"Present, Present","Present, Present",,,,"Present, Present",,,,,,,,,Present
68442,Pristis zijsron,"Green Sawfish, Dindagubba, Narrowsnout Sawfish",Vulnerable,Pristis zijsron,07-MAR-2008,Listed,"B1, B2",Pristis zijsron,,,,,,,,,,Completed,Pristis zijsron,07-Mar-08,07-Nov-15,Recovery Plan required,Animalia,Chordata,Chondrichthyes,Rajiformes,Pristidae,Pristis,sharks,,,Presumed extinct,Pristis zijsron,,,,,,,,,,,Vulnerable,Pristis zijsron,Critically Endangered,Pristis zijsron,,Present,Present,Present,,,,Present,,,,,,,,,Present
1046,Procellaria aequinoctialis,White-chinned Petrel,,,,Listed,B2,Procellaria aequinoctialis,,,,,,,Listed,Procellaria aequinoctialis,,,,,,,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,birds,,,,,,,,,,,,,,,Vulnerable,Procellaria aequinoctialis,Vulnerable,Procellaria aequinoctialis,,,,,,,,Present,,,,,,,,,Present
1047,Procellaria cinerea,Grey Petrel,,,,Listed,B2,Procellaria cinerea,,,,,,,Listed,Procellaria cinerea,,,,,,,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,birds,,,,,,,,,,,Endangered,Procellaria cinerea,,,,,Near Threatened,Procellaria cinerea,,,,,,Present,,,,,,,,,,,Present
86121,Procellaria conspicillata,Spectacled Petrel,,,,Listed,B2*,Procellaria conspicillata,,,,,,,,,,,,,,,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,birds,,,,,,,,,,,,,,,,,Vulnerable,Procellaria conspicillata,,,,,,,,,,,,,,,,,
1048,Procellaria parkinsoni,Black Petrel,,,,Listed,B2,Procellaria parkinsoni,,,,,,,Listed,Procellaria parkinsoni,,,,,,,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,birds,,,,,,,,,,,,,,,,,Vulnerable,Procellaria parkinsoni,,,,,,,,,,,,,,,,,Present
1049,Procellaria westlandica,Westland Petrel,,,,Listed,B2,Procellaria westlandica,,,,,,,Listed,Procellaria westlandica,,,,,,,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,birds,,,,,,,,,,,,,,,,,Endangered,Procellaria westlandica,,,,,,,,,,,,,,,,,Present
66680,Rhincodon typus,Whale Shark,Vulnerable,Rhincodon typus,16-OCT-2001,Listed,B2,Rhincodon typus,,,,,,,,,,,,01-Oct-15,,Recovery Plan not required,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,sharks,,,,,,,,,,,,,,,Other protected fauna,Rhincodon typus,Endangered,Rhincodon typus,,Present,Present,Present,,Present,Present,Present,Present,,Present,Present,Present,,,,Present
592,Rhipidura rufifrons,Rufous Fantail,,,,Listed as Muscicapidae,B2C,Rhipidura rufifrons,,,,,,,Listed - overfly marine area,Rhipidura rufifrons,,,,,,,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Rhipidura,birds,,,,,,,,,,,,,,,,,Least Concern,Rhipidura rufifrons,Present,Present,Present,Present,,,Present,Present,,,,,Present,,,,
87942,Sousa sahulensis,Australian Humpback Dolphin,,,,Listed,B2,Sousa chinensis,,,,,,,,,Cetacean,30/10/2023,Sousa sahulensis,,,,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Sousa,mammals,,,,,,,Vulnerable,Sousa sahulensis,,,,,,,,,Vulnerable,Sousa sahulensis,,Present,Present,"Present, Present",,,,Present,,,,Present,,,,,Present
91690,Spatula querquedula,"Garganey, Garganey Teal",,,,Listed,B2C,Anas querquedula,Listed,Anas querquedula,Listed,Anas querquedula,Listed,Anas querquedula,Listed - overfly marine area,Anas querquedula,,,,,,,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,birds,,,,,,,,,,,,,,,,,Least Concern,Spatula querquedula,,,,,,,,,,,,,,,,,
78922,"Stenella attenuata E Tropical Pacific, SE Asian populations","Spotted Dolphin, Pantropical Spotted Dolphin",,,,Listed,B2,"Stenella attenuata E Tropical Pacific, SE Asian populations",,,,,,,,,Cetacean,,,,,,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Stenella,mammals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78921,"Stenella longirostris E Tropical Pacific, SE Asian populations",Long-snouted Spinner Dolphin,,,,Listed,B2,"Stenella longirostris E Tropical Pacific, SE Asian populations",,,,,,,,,Cetacean,,,,,,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Stenella,mammals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86123,Sterna hirundo hirundo (Western Palearctic populations),"Atlantic Common Tern, Common Tern (Western Palearctic populations)",,,,Listed,B2,Sterna hirundo hirundo (Western Palearctic populations),,,,,,,,,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86124,Sterna paradisaea (Atlantic populations),Arctic Tern  (Atlantic populations),,,,Listed,B2,Sterna paradisaea (Atlantic populations),,,,,,,,,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82849,Sternula albifrons,Little Tern,,,,Listed,B2,Sternula albifrons,Listed,Sternula albifrons,Listed,Sternula albifrons,Listed,Sternula albifrons,Listed,Sterna albifrons,,30/10/2022,Sternula albifrons,,,,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,birds,,,Endangered,Sternula albifrons,,,,,,,,,Critically Endangered ,Sternula albifrons,,,Least Concern,Sternula albifrons,Present,Present,Present,Present,Present,Present,Present,Present,Present,,,,Present,,,,Present
83946,Symposiachrus trivirgatus,Spectacled Monarch,,,,Listed as Muscicapidae,B2C,Symposiachrus trivirgatus,,,,,,,Listed - overfly marine area,Monarcha trivirgatus,,,,,,,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Symposiachrus,birds,,,,,,,,,,,,,,,,,Least Concern,Symposiachrus trivirgatus,,Present,,Present,,,,,,,,,Present,,,,
64460,Thalassarche bulleri,"Buller's Albatross, Pacific Albatross",Vulnerable,Thalassarche bulleri,16-JUL-2000,Listed,B2*,Thalassarche bulleri,,,,,,,Listed,Thalassarche bulleri,,,,,25-May-11,Recovery Plan required,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,,,,,,,Vulnerable,Thalassarche bulleri,Vulnerable,Thalassarche bulleri,,,Endangered,Thalassarche bulleri,,,Near Threatened,Thalassarche bulleri,,Present,,Present,"Present, Present",Present,Present,,,,,Present,Present,Present,,,Present
64464,Thalassarche carteri,Indian Yellow-nosed  Albatross,Vulnerable,Thalassarche carteri,16-JUL-2000,Listed,B2,Thalassarche carteri,,,,,,,Listed,Thalassarche carteri,,,,,25-May-11,Recovery Plan required,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,,,,,,,Vulnerable,Thalassarche carteri,Endangered,Thalassarche carteri,,,Endangered,Thalassarche carteri,Endangered,Thalassarche carteri,Endangered,Thalassarche carteri,,,,Present,"Present, Present",,Present,Present,,,,,,,,,Present
89224,Thalassarche cauta,Shy Albatross,Endangered,Thalassarche cauta,03-JUL-2020,Listed,B2*,Thalassarche cauta,,,,,,,Listed,Thalassarche cauta,,Completed,Thalassarche cauta cauta,03-Jul-20,25-May-11,Recovery Plan required,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,,,Vulnerable,Thalassarche cauta,,,Endangered,Thalassarche cauta,Vulnerable,Thalassarche cauta cauta,Vulnerable,Thalassarche cauta,Endangered,Thalassarche cauta,Vulnerable,Thalassarche cauta cauta,Near Threatened,Thalassarche cauta,,"Present, Present",,"Present, Present","Present, Present, Present","Present, Present, Present","Present, Present, Present","Present, Present",,,,Present,"Present, Present",,,,"Present, Present, Present"
66481,Thalassarche chlororhynchos, Atlantic Yellow-nosed Albatross,,,,Listed,B2*,Thalassarche chlororhynchos,,,,,,,Listed,Thalassarche chlororhynchos,,,,,,,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,,,,,,,,,Endangered,Thalassarche chlororhynchos,,,,,Vulnerable,Thalassarche chlororhynchos,Endangered,Thalassarche chlororhynchos,,Present,,Present,"Present, Present",Present,Present,Present,,,,,,,,,Present
66491,Thalassarche chrysostoma,Grey-headed Albatross,Endangered,Thalassarche chrysostoma,24-DEC-2009,Listed,B2,Thalassarche chrysostoma,,,,,,,Listed,Thalassarche chrysostoma,,Completed,Thalassarche chrysostoma,24-Dec-09,25-May-11,Recovery Plan required,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,,,,,,,Endangered,Thalassarche chrysostoma,Vulnerable,Thalassarche chrysostoma,Endangered,Thalassarche chrysostoma,Endangered,Thalassarche chrysostoma,Vulnerable,Thalassarche chrysostoma,Endangered,Thalassarche chrysostoma,,Present,,Present,"Present, Present",Present,Present,Present,,,,,,,Present,Present,Present
64457,Thalassarche eremita,Chatham Albatross,Endangered,Thalassarche eremita,16-JUL-2000,Listed,B2,Thalassarche eremita,,,,,,,Listed,Thalassarche eremita,,,,,25-May-11,Recovery Plan required,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,,,,,,,,,,,,,,,,,Vulnerable,Thalassarche eremita,,Present,,Present,,Present,Present,,,,,Present,Present,Present,,,Present
64459,Thalassarche impavida,"Campbell Albatross, Campbell Black-browed Albatross",Vulnerable,Thalassarche impavida,16-JUL-2000,Listed,B2,Thalassarche impavida,,,,,,,Listed,Thalassarche impavida,,,,,25-May-11,Recovery Plan required,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,,,,,,,,,Vulnerable,Thalassarche impavida,,,,,Vulnerable,Thalassarche impavida,Vulnerable,Thalassarche impavida,,"Present, Present",,"Present, Present","Present, Present, Present","Present, Present","Present, Present","Present, Present",,,,,"Present, Present",Present,,Present,Present
66472,Thalassarche melanophris,Black-browed Albatross,Vulnerable,Thalassarche melanophris,06-JUN-2005,Listed,B2*,Thalassarche melanophris,,,,,,,Listed,Thalassarche melanophris,,,,,25-May-11,Recovery Plan required,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,,,Vulnerable,Thalassarche melanophris,,,,,,,Endangered,Thalassarche melanophris,,,Endangered,Thalassarche melanophris,Least Concern,Thalassarche melanophris,,Present,,Present,Present,"Present, Present",Present,Present,,,,Present,Present,Present,Present,Present,Present
64463,Thalassarche salvini,Salvin's Albatross,Vulnerable,Thalassarche salvini,16-JUL-2000,Listed,B2,Thalassarche salvini,,,,,,,Listed,Thalassarche salvini,,,,,25-May-11,Recovery Plan required,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,,,,,,,,,Vulnerable,Thalassarche salvini,,,,,Vulnerable,Thalassarche salvini,Vulnerable,Thalassarche salvini,,"Present, Present",,"Present, Present","Present, Present, Present","Present, Present","Present, Present",,,,,,"Present, Present",Present,,,Present
64462,Thalassarche steadi,White-capped Albatross,Vulnerable,Thalassarche steadi,16-JUL-2000,Listed,B2,Thalassarche steadi,,,,,,,Listed,Thalassarche steadi,,,,,25-May-11,Recovery Plan required,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,birds,,,,,,,Vulnerable,Thalassarche steadi,,,,,,,Vulnerable,Thalassarche cauta steadi,Near Threatened,Thalassarche steadi,,"Present, Present",,"Present, Present","Present, Present","Present, Present","Present, Present","Present, Present",,,,Present,"Present, Present",Present,Present,Present,Present
851,Tringa brevipes,Grey-tailed Tattler,,,,Listed,B2C,Tringa brevipes,Listed,Tringa brevipes,Listed,Tringa brevipes,Listed,Tringa brevipes,Listed,Heteroscelus brevipes,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,,,,,,,,,Rare,Tringa brevipes,,,Critically Endangered ,Tringa brevipes,,,Near Threatened,Tringa brevipes,,Present,Present,Present,Present,Present,Present,Present,,,,Present,,,,,Present
829,Tringa glareola,Wood Sandpiper,,,,Listed,B2C,Tringa glareola,Listed,Tringa glareola,Listed,Tringa glareola,Listed,Tringa glareola,Listed - overfly marine area,Tringa glareola,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,,,,,,,,,Rare,Tringa glareola,,,Endangered,Tringa glareola,,,Least Concern,Tringa glareola,Vagrant,Present,Present,Present,Present,Vagrant,Present,Present,,,,,,,,,
831,Tringa incana,Wandering Tattler,,,,Listed,B2C,Tringa incana,,,Listed,Tringa incana,,,Listed,Heteroscelus incanus,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,,,,,,,,,,,,,,,,,Least Concern,Tringa incana,,,,,,,,,,,,,,,,,
832,Tringa nebularia,"Common Greenshank, Greenshank",,,,Listed,B2C,Tringa nebularia,Listed,Tringa nebularia,Listed,Tringa nebularia,Listed,Tringa nebularia,Listed - overfly marine area,Tringa nebularia,,30/10/2022,Tringa nebularia,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,,,,,,,,,,,,,Endangered,Tringa nebularia,,,Least Concern,Tringa nebularia,,Present,Present,Present,Present,Present,Present,Present,,,,,,,,,
833,Tringa stagnatilis,"Marsh Sandpiper, Little Greenshank",,,,Listed,B2C,Tringa stagnatilis,Listed,Tringa stagnatilis,Listed,Tringa stagnatilis,Listed,Tringa stagnatilis,Listed - overfly marine area,Tringa stagnatilis,,,,,,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,birds,,,,,,,,,,,,,Endangered,Tringa stagnatilis,,,Least Concern,Tringa stagnatilis,,Present,Present,Present,Present,,Present,Present,,,,,,,,,
