scientificName,vernacularName,Current Scientific Name,status,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos  Keeling  Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area,listed sprat taxonID,current sprat taxonID,kingdom,class,Profile,Date extracted,nsl name,family,genus,species,Infraspecific Rank,Infraspecies,Species Author,Infraspecies Author,sourceStatus
Acacia lanuginophylla,Woolly Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,55575,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55575,2022-10-05,https://id.biodiversity.org.au/name/apni/117986,Fabaceae,Acacia,lanuginophylla,-,-,R.S.Cowan and Maslin,-,Endangered
Acacia latzii,Latz's Wattle,-,Vulnerable,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,14275,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14275,2022-10-05,https://id.biodiversity.org.au/name/apni/65314,Fabaceae,Acacia,latzii,-,-,Maslin,-,Vulnerable
Acacia lauta,Tara Wattle,-,Vulnerable,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,4165,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=4165,2022-10-05,https://id.biodiversity.org.au/name/apni/65324,Fabaceae,Acacia,lauta,-,-,Pedley,-,Vulnerable
Acacia leptalea,Chinocup Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,56701,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56701,2022-10-05,https://id.biodiversity.org.au/name/apni/151309,Fabaceae,Acacia,leptalea,-,-,Maslin,-,Endangered
Acacia leptoneura,-,-,Critically Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,15610,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=15610,2022-10-05,https://id.biodiversity.org.au/name/apni/65504,Fabaceae,Acacia,leptoneura,-,-,Benth.,-,Critically Endangered
Acacia lobulata,Chiddarcooping Wattle,-,Endangered,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,55567,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55567,2022-10-05,https://id.biodiversity.org.au/name/apni/117978,Fabaceae,Acacia,lobulata,-,-,R.S.Cowan  Maslin,-,Endangered
Acacia macnuttiana,McNutt's Wattle,-,Vulnerable,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10711,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10711,2022-10-05,https://id.biodiversity.org.au/name/apni/66509,Fabaceae,Acacia,macnuttiana,-,-,Maiden  Blakely,-,Vulnerable
Acacia meiantha,-,-,Endangered,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55608,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55608,2022-10-05,https://id.biodiversity.org.au/name/apni/118024,Fabaceae,Acacia,meiantha,-,-,Tindale  Herscovitch,-,Endangered
Acacia menzelii,Menzel's Wattle,-,Vulnerable,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,9218,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9218,2022-10-05,https://id.biodiversity.org.au/name/apni/66714,Fabaceae,Acacia,menzelii,-,-,J.Black,-,Vulnerable
Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",-,Vulnerable,-,-,Yes,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,-,8301,-,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8301,2022-10-05,https://id.biodiversity.org.au/name/apni/68505,Fabaceae,Acacia,peuce,-,-,F.Muell.,-,Vulnerable
