scientificName,scientificNameAuthorship,vernacularName,family,class,sourceStatus,status,EPBCA_status,sourceKingdom,kingdom,speciesGroup,,sourceOrigin,higherGeography
Ecnomina vega ,Neboiss,Caddis Fly (Macquarie River),Trichoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Enchymus sp. nov. ,Zimmerman,Weldborough Forest Weevil,Coleoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Exquisitiropa agnewi,(Legrand),Silky Pinhead Snail,Sigmurethra,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Hickmanoxyomma cavaticum ,Hickman,Ida Bay Cave Harvestman,Opilionida,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Hickmanoxyomma gibbergunyar ,Hunt,Cave Harvestman,Opilionida,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Hydrobiosella sagitta ,Neboiss,Caddis Fly (St. Columba Falls),Trichoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Hydroptila scamandra ,Neboiss,Caddis Fly (Upper Scamander River),Trichoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Idacarabus cordicollis ,Moore,Cave Beetle (Hastings Cave),Coleoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Idacarabus troglodytes ,Lea,Ida Bay Cave Beetle,Coleoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Lissotes menalcas ,Westwood,Mount Mangana Stag Beetle,Coleoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Mesacanthotelson setosus ,Nicholls,Isopod (Great Lake),Isopoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Mesacanthotelson tasmaniae ,Thomson,Isopod (Great Lake),Isopoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Oecetis gilva ,Neboiss,Caddis Fly (South Esk River),Trichoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Olgania excavata ,Hickman,Cave Spider (Bubs Hill Cave),Araneae,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Onchotelson brevicaudatus ,Smith,Isopod (Great Lake & Shannon Lagoon),Isopoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Oxyethira mienica ,Wells,Caddis Fly (Ouse River),Trichoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Parvotettix rangaensis ,Richards,Cave Cricket,Orthoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Parvotettix whinrayi ,Richards,Whinray's Cave Cricket,Orthoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Phrantela annamurrayae ,Ponder & Clark,Warratah Road Hydrobiid Snail,Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Phrantela conica ,Ponder & Clark,Little Henty River Hydrobiid Snail,Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Phrantela marginata ,Petterd,Heazlewood River Hydrobiid Snail,Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Phrantela pupiformis ,Ponder & Clark,Tyenna River Freshwater Snail,Mesogastropoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Pseudalmenus chlorinda myrsilus,Couchman,Tasmanian Hairstreak (butterfly),Lepidoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Pseudotyrannochthonius typhlus ,Dartnall,Cave Pseudoscorpion (Mole Creek),Pseudoscorpionida,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Ramiheithrus kocinus ,Neboiss,Caddis Fly (Corinna),Trichoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Stenopsychodes lineata ,Neboiss,Caddis Fly (Bluff Hill Creek),Trichoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Tasimia drepana ,Neboiss,Caddis Fly (Huon & Picton Rivers),Trichoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Tasmanipatus barretti ,Ruhberg,Giant Velvet Worm,Onychophora,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Tasmanotrechus cockerilli ,Moore,Cave Beetle (Mole Creek),Coleoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Tasniphargus tyleri ,Williams & Barnard,Amphipod (Great Lake),Amphipoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Theclinesthes serpentata lavara,(Herrich-Schäffer),Chequered blue,Lepidoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Uramphisopus pearsoni ,Nicholls,Isopod (Great Lake),Isopoda,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Galaxias auratus ,Johnston,Golden Galaxias,Fish,Vertebrates,r,Rare,EN,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Paragalaxias julianus ,McDowall and Fulton,Western Paragalaxias,Fish,Vertebrates,r,Rare,,Fauna,Animalia,vertebrate,,end,endemic Tasmania
Austrorhytida lamproides ,(Cox),Keeled Carnivorous Snail,Sigmurethra,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,,
Orphninotrichia maculata ,Mosley,Caddis Fly (Wedge River),Trichoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,,
Orthotrichia adornata ,Wells,Caddis Fly (Derwent River),Trichoptera,Invertebrates,r,Rare,,Fauna,Animalia,invertebrate,,,
Arctocephalus forsteri ,Lesson,New Zealand Fur Seal,Mammals,Vertebrates,r,Rare,,Fauna,Animalia,vertebrate,,,
Dasyurus maculatus maculatus,(Kerr),Spotted-tail Quoll,Mammals,Vertebrates,r,Rare,VU,Fauna,Animalia,vertebrate,,,
Macronectes halli,Mathews,Northern Giant Petrel,Birds,Vertebrates,r,Rare,VU,Fauna,Animalia,vertebrate,,,
Oceanites oceanicus ,Kuhl,Wilson's Storm Petrel,Birds,Vertebrates,r,Rare,,Fauna,Animalia,vertebrate,,,
Phoebetria fusca ,Hilsenberg,Sooty Albatross,Birds,Vertebrates,r,Rare,VU,Fauna,Animalia,vertebrate,,,
Pseudemoia rawlinsoni ,Hutchinson & Donnellan,Glossy Grass Skink,Reptiles,Vertebrates,r,Rare,,Fauna,Animalia,vertebrate,,,
Balaenoptera musculus,Linnaeus,Blue Whale,Mammals,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,mig,migratory
Eubalaena australis,Desmoulins,Southern Right Whale,Mammals,Vertebrates,e,Endangered,EN,Fauna,Animalia,vertebrate,,mig,migratory
Megaptera novaeangliae,Borowski,Humpback Whale,Mammals,Vertebrates,e,Endangered,VU,Fauna,Animalia,vertebrate,,mig,migratory
Ammoniropa vigens,(Legrand),Ammonite Pinwheel Snail,Eupulmonata,Invertebrates,e,Endangered,CR,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Antipodia chaostola leucophaea,Couchman,Tasmanian Chaostola Skipper,Lepidoptera,Invertebrates,e,Endangered,EN,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia averni ,Ponder & Clark,Hydrobiid Snail (West Gawler),Mesogastropoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia camensis ,Ponder & Clark,Hydrobiid Snail (Cam River),Mesogastropoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia capensis ,Ponder & Clark,Hydrobiid Snail (Table Cape),Mesogastropoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia fromensis ,Ponder & Clark,Hydrobiid Snail (Frome River),Mesogastropoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia fultoni ,Ponder & Clark,Hydrobiid Snail (Farnhams Creek),Mesogastropoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia hallae ,Ponder & Clark,Hydrobiid Snail (Buttons Rivulet),Mesogastropoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia hermansi ,Ponder & Clark,Hydrobiid Snail (Viking Creek),Mesogastropoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia kershawi ,Ponder & Clark,Hydrobiid Snail (Macquarie River),Mesogastropoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia launcestonensis ,Johnston,Hydrobiid Snail (Cataract Gorge),Mesogastropoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia petterdi ,Ponder & Clark,Blythe River Freshwater Snail,Mesogastropoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia ronaldi ,Ponder & Clark,Hydrobiid Snail (St. Patricks River),Mesogastropoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia tumida,Petterd,Hydrobiid Snail (Great Lake),Mesogastropoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Beddomeia waterhouseae ,Ponder & Clark,Claytons Rivulet Freshwater Snail,Mesogastropoda,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
Castiarina insculpta,(Carter),Miena Jewel Beetle,Coleoptera,Invertebrates,e,Endangered,,Fauna,Animalia,invertebrate,,end,endemic Tasmania
