taxonID,scientificName,vernacularName,status,EPBC_Threatened_Species_Listed_Name,EPBC_Threatened_Species_Date_Effective,EPBC_Act_Migratory,Bonn,Listed_Name_Bonn,CAMBA,Listed_Name_Camba,JAMBA,Listed_Name_Jamba,ROKAMBA,Listed_Name_Rokamba,Marine_Status,Listed_Name_Marine,Cetacean,Finalised_Priority_Assessment_List_FPAL_,Listed_Name_FPAL,Conservation_Advice,Recovery_Plan,Recovery_Plan_Decisions,kingdom,phylum,class,order,family,genus,taxonRemarks,ACT_NC_Act,ACT_NC_Act_Listed_Name,NSW_TSC_Act_and_FM_Act,NSW_TSC_Act_and_FM_Act_Listed_Name,NT_TPWC_Act,NT_TPWC_Act_Listed_Name,Qld_NC_Act,Qld_NC_Act_Listed_Name,SA_NPW_Act,SA_NPW_Act_Listed_Name,Tas_TSP_Act,Tas_TSP_Act_Listed_Name,Vic_FFG_Act_Advisory_Lists_,Vic_FFG_Act_Advisory_Lists_Listed_Name,WA_WC_Act,WA_WC_Act_Listed_Name,IUCN_Red_List,IUCN_Red_List_Listed_Names,Australian_Capital_Territory,New_South_Wales,Northern_Territory,Queensland,South_Australia,Tasmania,Victoria,Western_Australia,Ashmore_and_Cartier_Islands,Cocos_Keeling_Islands,Christmas_Island,Coral_Sea_Islands,Jervis_Bay_Territory,Norfolk_Island,Heard_and_McDonald_Islands,Australian_Antarctic_Territory,Commonwealth_Marine_Area
17235,Acacia forrestiana,Forest's Wattle,Vulnerable,Acacia forrestiana,16-JUL-2000,,,,,,,,,,,,,,,01-Oct-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Vulnerable,Acacia forrestiana,,,,,,,,,,Endemic,,,,,,,,,
9848,Acacia georgensis,Bega Wattle,Vulnerable,Acacia georgensis,16-JUL-2000,,,,,,,,,,,,,,,29-Apr-14,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,Vulnerable,Acacia georgensis,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,,,
8838,Acacia glandulicarpa,Hairy-pod Wattle,Vulnerable,Acacia glandulicarpa,16-JUL-2000,,,,,,,,,,,,,,,29-Sep-21,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,Endangered,Acacia glandulicarpa,,,Endangered,Acacia glandulicarpa,,,,,,,,,Present,,Present,,,,,,,,,,
5031,Acacia gordonii, ,Endangered,Acacia gordonii,16-JUL-2000,,,,,,,,,,,,,30/04/2023,Acacia gordonii,29-Apr-14,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,Endangered,Acacia gordonii,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,,,
3566,Acacia grandifolia, ,Vulnerable,Acacia grandifolia,16-JUL-2000,,,,,,,,,,,,,,,29-Apr-14,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,
14928,Acacia handonis,"Hando's Wattle, Percy Grant Wattle",Vulnerable,Acacia handonis,16-JUL-2000,,,,,,,,,,,,,,,01-Oct-08,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia handonis,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,
65211,Acacia imitans,Gibson Wattle,Endangered,Acacia imitans,08-JAN-2009,,,,,,,,,,,,,,,08-Jan-09,,Recovery Plan not required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Critically Endangered,Acacia imitans,Endangered,Acacia imitans,,,,,,,,Endemic,,,,,,,,,
64495,Acacia insolita subsp. recurva,Yornaning Wattle,Endangered,Acacia insolita subsp. recurva,16-JUL-2000,,,,,,,,,,,,,,,,12-Mar-10,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Critically Endangered,Acacia insolita subsp. recurva,,,,,,,,,,Endemic,,,,,,,,,
13816,Acacia kingiana, ,Extinct,Acacia kingiana,16-JUL-2000,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Presumed Extinct,Acacia kingiana,,,,,,,,,,Extinct,,,,,,,,,
55575,Acacia lanuginophylla,Woolly Wattle,Endangered,Acacia lanuginophylla,16-JUL-2000,,,,,,,,,,,,,,,,12-Mar-10,Recovery Plan required,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Vulnerable,Acacia lanuginophylla,,,,,,,,,,Endemic,,,,,,,,,
