scientificName,vernacularName,class,family,sourceStatus,status
Carex hypandra,dark fen sedge,Monocotyledonae,Cyperaceae,r,Rare
Carex longebrachiata,drooping sedge,Monocotyledonae,Cyperaceae,r,Rare
Caustis pentandra,thick twistsedge,Monocotyledonae,Cyperaceae,r,Rare
Centipeda cunninghamii,erect sneezeweed,Dicotyledonae,Asteraceae,r,Rare
Centrolepis strigosa subsp. pulvinata,bassian bristlewort,Monocotyledonae,Centrolepidaceae,r,Rare
Centropappus brunonis,tasmanian daisytree,Dicotyledonae,Asteraceae,r,Rare
Chrysocephalum baxteri,fringed everlasting,Dicotyledonae,Asteraceae,r,Rare
Colobanthus curtisiae,grassland cupflower,Dicotyledonae,Caryophyllaceae,r,Rare
Colobanthus pulvinatus,cushion cupflower,Dicotyledonae,Caryophyllaceae,r,Rare
Comesperma defoliatum,leafless milkwort,Dicotyledonae,Polygalaceae,r,Rare
Corunastylis nuda,tiny midge-orchid,Monocotyledonae,Orchidaceae,r,Rare
Cotula vulgaris var. australasica,slender buttons,Dicotyledonae,Asteraceae,r,Rare
Crassula moschata,musky stonecrop,Dicotyledonae,Crassulaceae,r,Rare
Cullen microcephalum,dusky scurfpea ,Dicotyledonae,Fabaceae,r,Rare
Cuscuta tasmanica,golden dodder,Dicotyledonae,Convolvulaceae,r,Rare
Cyathodes platystoma,tall cheeseberry,Dicotyledonae,Ericaceae,r,Rare
Cyphanthera tasmanica,tasmanian rayflower,Dicotyledonae,Solanaceae,r,Rare
Cyrtostylis robusta,large gnat-orchid,Monocotyledonae,Orchidaceae,r,Rare
Damasonium minus,starfruit,Monocotyledonae,Alismataceae,r,Rare
Deschampsia gracillima,slender hairgrass,Monocotyledonae,Poaceae,r,Rare
Deyeuxia apsleyensis,apsley bentgrass,Monocotyledonae,Poaceae,r,Rare
Deyeuxia brachyathera,short bentgrass,Monocotyledonae,Poaceae,r,Rare
Deyeuxia decipiens,trickery bentgrass,Monocotyledonae,Poaceae,r,Rare
Deyeuxia minor,small bentgrass,Monocotyledonae,Poaceae,r,Rare
Dianella amoena,grassland flaxlily,Monocotyledonae,Hemerocallidaceae,r,Rare
Drosera glanduligera,scarlet sundew,Dicotyledonae,Droseraceae,r,Rare
Dryopoa dives,tasmanian giant mountaingrass,Monocotyledonae,Poaceae,r,Rare
Elaeocarpus reticulatus,blueberry ash,Dicotyledonae,Elaeocarpaceae,r,Rare
Epacris curtisiae,northwest heath,Dicotyledonae,Ericaceae,r,Rare
Epacris moscaliana,seepage heath,Dicotyledonae,Ericaceae,r,Rare
Epilobium willisii,carpet willowherb,Dicotyledonae,Onagraceae,r,Rare
Eucalyptus barberi,barbers gum,Dicotyledonae,Myrtaceae,r,Rare
Eucalyptus globulus subsp. pseudoglobulus,gippsland blue gum,Dicotyledonae,Myrtaceae,r,Rare
Eucalyptus perriniana,spinning gum,Dicotyledonae,Myrtaceae,r,Rare
Eucalyptus radiata subsp. radiata,forth river peppermint,Dicotyledonae,Myrtaceae,r,Rare
Eucalyptus risdonii,risdon peppermint,Dicotyledonae,Myrtaceae,r,Rare
Euphrasia amphisysepala,shiny cliff-eyebright,Dicotyledonae,Orobanchaceae,r,Rare
Euphrasia collina subsp. deflexifolia,eastern eyebright,Dicotyledonae,Orobanchaceae,r,Rare
Euphrasia collina subsp. gunnii,gunns eyebright,Dicotyledonae,Orobanchaceae,r,Rare
Euphrasia gibbsiae subsp. pulvinestris,cushionplant eyebright,Dicotyledonae,Orobanchaceae,r,Rare
Euphrasia gibbsiae subsp. wellingtonensis,mt wellington eyebright,Dicotyledonae,Orobanchaceae,r,Rare
Eutaxia microphylla,spiny bushpea,Dicotyledonae,Fabaceae,r,Rare
Frankenia pauciflora var. gunnii,southern seaheath,Dicotyledonae,Frankeniaceae,r,Rare
Geococcus pusillus,earth cress,Dicotyledonae,Brassicaceae,r,Rare
Geum talbotianum,tasmanian snowrose,Dicotyledonae,Rosaceae,r,Rare
Glossostigma elatinoides,small mudmat,Dicotyledonae,Phrymaceae,r,Rare
Gratiola pubescens,hairy brooklime,Dicotyledonae,Plantaginaceae,r,Rare
Gynatrix pulchella,fragrant hempbush,Dicotyledonae,Malvaceae,r,Rare
Gyrostemon thesioides,broom wheelfruit,Dicotyledonae,Gyrostemonaceae,r,Rare
Hackelia latifolia,forest houndstongue,Dicotyledonae,Boraginaceae,r,Rare
Haloragis heterophylla,variable raspwort,Dicotyledonae,Haloragaceae,r,Rare
Haloragis myriocarpa,prickly raspwort,Dicotyledonae,Haloragaceae,r,Rare
Hedycarya angustifolia,australian mulberry,Dicotyledonae,Monimiaceae,r,Rare
Hibbertia rufa,brown guineaflower,Dicotyledonae,Dilleniaceae,r,Rare
Hibbertia virgata,twiggy guineaflower,Dicotyledonae,Dilleniaceae,r,Rare
Hovea corrickiae,glossy purplepea,Dicotyledonae,Fabaceae,r,Rare
Hovea montana,mountain purplepea,Dicotyledonae,Fabaceae,r,Rare
Hovea tasmanica,rockfield purplepea,Dicotyledonae,Fabaceae,r,Rare
Hydrocotyle comocarpa,fringefruit pennywort,Dicotyledonae,Araliaceae,r,Rare
Hydrorchis orbicularis,swamp onion-orchid,Monocotyledonae,Orchidaceae,r,Rare
Hypolepis muelleri,harsh groundfern,Pteridophyta,Dennstaedtiaceae,r,Rare
Isoetes drummondii subsp. drummondii,plain quillwort,Pteridophyta,Isoetaceae,r,Rare
Isoetes elatior,tall quillwort,Pteridophyta,Isoetaceae,r,Rare
Isoetes humilior,veiled quillwort,Pteridophyta,Isoetaceae,r,Rare
Isoetes sp. Maxwell River,limestone quillwort,Pteridophyta,Isoetaceae,r,Rare
Isolepis habra,wispy clubsedge,Monocotyledonae,Cyperaceae,r,Rare
Isolepis stellata,star clubsedge,Monocotyledonae,Cyperaceae,r,Rare
Juncus fockei,slender jointleaf rush,Monocotyledonae,Juncaceae,r,Rare
Juncus prismatocarpus,branching rush,Monocotyledonae,Juncaceae,r,Rare
Juncus vaginatus,clustered rush,Monocotyledonae,Juncaceae,r,Rare
Lachnagrostis billardierei subsp. tenuiseta,small-awn blowngrass,Monocotyledonae,Poaceae,r,Rare
Lachnagrostis punicea subsp. filifolia,narrowleaf blowngrass,Monocotyledonae,Poaceae,r,Rare
Lachnagrostis punicea subsp. punicea,bristle blowngrass,Monocotyledonae,Poaceae,r,Rare
Lachnagrostis robusta,tall blowngrass,Monocotyledonae,Poaceae,r,Rare
Lasiopetalum baueri,slender velvetbush,Dicotyledonae,Malvaceae,r,Rare
Lasiopetalum discolor,coast velvetbush,Dicotyledonae,Malvaceae,r,Rare
Lasiopetalum micranthum,tasmanian velvetbush,Dicotyledonae,Malvaceae,r,Rare
Lepidium flexicaule,springy peppercress,Dicotyledonae,Brassicaceae,r,Rare
Lepidosperma forsythii,stout rapiersedge,Monocotyledonae,Cyperaceae,r,Rare
Lepidosperma tortuosum,twisting rapiersedge,Monocotyledonae,Cyperaceae,r,Rare
Lepidosperma viscidum,sticky swordsedge,Monocotyledonae,Cyperaceae,r,Rare
Lepilaena marina,sea watermat,Monocotyledonae,Potomogetonaceae,r,Rare
Lepilaena patentifolia,spreading watermat,Monocotyledonae,Potomogetonaceae,r,Rare
Lepilaena preissii,slender watermat,Monocotyledonae,Potomogetonaceae,r,Rare
Leucopogon affinis,lanceleaf beardheath,Dicotyledonae,Ericaceae,r,Rare
Leucopogon esquamatus,swamp beardheath,Dicotyledonae,Ericaceae,r,Rare
Leucopogon virgatus var. brevifolius,shortleaf beardheath,Dicotyledonae,Ericaceae,r,Rare
Limonium australe var. australe,yellow sea-lavender,Dicotyledonae,Plumbaginaceae,r,Rare
Liparophyllum exaltatum,erect marshwort,Dicotyledonae,Menyanthaceae,r,Rare
Lobelia rhombifolia,tufted lobelia,Dicotyledonae,Campanulaceae,r,Rare
Lotus australis,australian trefoil,Dicotyledonae,Fabaceae,r,Rare
Luzula atrata,slender woodrush,Monocotyledonae,Juncaceae,r,Rare
Melaleuca pustulata,warty paperbark,Dicotyledonae,Myrtaceae,r,Rare
Micrantheum serpentinum,western tridentbush,Dicotyledonae,Picrodendraceae,r,Rare
Microtidium atratum,yellow onion-orchid ,Monocotyledonae,Orchidaceae,r,Rare
Milligania johnstonii,shortleaf milligania,Monocotyledonae,Asteliaceae,r,Rare
Milligania longifolia,longleaf milligania,Monocotyledonae,Asteliaceae,r,Rare
Monotoca submutica var. autumnalis,roundleaf broomheath,Dicotyledonae,Ericaceae,r,Rare
Muehlenbeckia axillaris,matted lignum,Dicotyledonae,Polygonaceae,r,Rare
Myriophyllum muelleri,hooded watermilfoil,Dicotyledonae,Haloragaceae,r,Rare
Odixia achlaena,golden everlastingbush,Dicotyledonae,Asteraceae,r,Rare
Olearia hookeri,crimsontip daisybush,Dicotyledonae,Asteraceae,r,Rare
Orites milliganii,toothed orites,Dicotyledonae,Proteaceae,r,Rare
Orthoceras strictum,horned orchid,Monocotyledonae,Orchidaceae,r,Rare
Ozothamnus lycopodioides,clubmoss everlastingbush,Dicotyledonae,Asteraceae,r,Rare
Pandorea pandorana,wonga vine,Dicotyledonae,Bignoniaceae,r,Rare
Parietaria debilis,shade pellitory,Dicotyledonae,Urticaceae,r,Rare
Pellaea calidirupium,hotrock fern,Pteridophyta,Adiantaceae,r,Rare
Pentachondra ericifolia,fine frillyheath,Dicotyledonae,Ericaceae,r,Rare
Persoonia moscalii,creeping geebung,Dicotyledonae,Proteaceae,r,Rare
Persoonia muelleri subsp. angustifolia,narrowleaf geebung,Dicotyledonae,Proteaceae,r,Rare
Phyllangium distylis,tiny mitrewort,Dicotyledonae,Loganiaceae,r,Rare
Phylloglossum drummondii,pygmy clubmoss,Pteridophyta,Lycopodiaceae,r,Rare
Pilularia novae-hollandiae,australian pillwort,Pteridophyta,Marsileaceae,r,Rare
Pimelea curviflora var. gracilis,slender curved riceflower,Dicotyledonae,Thymelaeaceae,r,Rare
Pimelea curviflora var. sericea,silky curved riceflower,Dicotyledonae,Thymelaeaceae,r,Rare
Pimelea flava subsp. flava,yellow riceflower,Dicotyledonae,Thymelaeaceae,r,Rare
Pimelea milliganii,silver riceflower,Dicotyledonae,Thymelaeaceae,r,Rare
Planocarpa nitida,black cheeseberry,Dicotyledonae,Ericaceae,r,Rare
Planocarpa sulcata,grooved cheeseberry,Dicotyledonae,Ericaceae,r,Rare
Plantago debilis,shade plantain,Dicotyledonae,Plantaginaceae,r,Rare
