scientificName,vernacularName,status,sourceStatus
Dugong dugon,dugong,Migratory,MI
Dupucharopa millestriata,Depuch Island charopid land snail,Priority 2: Poorly-known species,P2
Egernia stokesii badia,western spiny-tailed skink,Vulnerable,VU
Egernia stokesii stokesii,Houtman Abrolhos spiny-tailed skink,"Priority 4: Rare, Near Threatened",P4
Elanus scriptus,letter-winged kite,"Priority 4: Rare, Near Threatened",P4
Elapognathus minor,short-nosed snake,Priority 2: Poorly-known species,P2
Engaewa pseudoreducta,Margaret River burrowing crayfish,Critically Endangered,CR
Engaewa reducta,Dunsborough burrowing crayfish,Endangered,EN
Engaewa walpolea,Walpole burrowing crayfish,Endangered,EN
Eretmochelys imbricata,hawksbill turtle,Vulnerable,VU
Erythrotriorchis radiatus,red goshawk,Vulnerable,VU
Erythrura gouldiae,Gouldian finch,"Priority 4: Rare, Near Threatened",P4
Eubalaena australis,southern right whale,Vulnerable,VU
Euoplos inornatus,inornate trapdoor spider (northern Jarrah Forest),Priority 3: Poorly-known species,P3
Falco hypoleucos,grey falcon,Vulnerable,VU
Falco peregrinus,peregrine falcon,Other Specially Protected,OS
Falcunculus frontatus whitei,crested shrike-tit (northern),Priority 3: Poorly-known species,P3
Falsistrellus mackenziei,"western false pipistrelle, western falsistrelle","Priority 4: Rare, Near Threatened",P4
Fibulacamptus bisetosus,a non-marine Harpacticoid copepod (Muirillup Rock),Priority 2: Poorly-known species,P2
Fregata andrewsi,Christmas Island frigatebird,Migratory,MI
Fregata ariel,lesser frigatebird,Migratory,MI
Fregata minor,great frigatebird,Migratory,MI
Galaxias truttaceus (Western Australian population),"western trout minnow, western spotted galaxias",Endangered,EN
Galaxiella munda,"mud minnow, western dwarf galaxias",Vulnerable,VU
Galaxiella nigrostriata,"black-stripe minnow, black-striped dwarf galaxias",Endangered,EN
Gallinago hardwickii,Latham's snipe,Migratory,MI
Gallinago megala,Swinhoe's snipe,Migratory,MI
Gallinago stenura,pin-tailed snipe,Migratory,MI
Gelochelidon nilotica,gull-billed tern,Migratory,MI
Geocrinia alba,white-bellied frog,Critically Endangered,CR
Geocrinia lutea,Nornalup frog,"Priority 4: Rare, Near Threatened",P4
