scientificName,Common Name,sourceStatus,status
Adenanthos pungens subsp. effusus,Sprawling Spiky Adenanthos,CR,Critically Endangered
Adenanthos pungens subsp. pungens,Spiky Adenanthos,EN,Endangered
Adenanthos velutinus,Velvet Woollybush,EN,Endangered
Adenanthos x cunninghamii,,P4,"Priority 4: Rare, Near Threatened"
Adenanthos x pamela,,P4,"Priority 4: Rare, Near Threatened"
Adenostemma lavenia var. lanceolatum,,P3,Priority 3: Poorly-known species
Adiantum capillus-veneris,Maidenhair,P2,Priority 2: Poorly-known species
Adiantum hispidulum var. hispidulum,,P2,Priority 2: Poorly-known species
Aenictophyton anomalum,,P1,Priority 1: Poorly-known species
Afrohybanthus bennettiae,,P2,Priority 2: Poorly-known species
Aglaia brownii,,P1,Priority 1: Poorly-known species
Agrostocrinum scabrum subsp. littorale,,P2,Priority 2: Poorly-known species
Ailanthus triphysa,,P1,Priority 1: Poorly-known species
Aldrovanda vesiculosa,,P2,Priority 2: Poorly-known species
Alexgeorgea ganopoda,,P3,Priority 3: Poorly-known species
Allocasuarina anfractuosa,Sinuous Sheoak,P1,Priority 1: Poorly-known species
Allocasuarina eriochlamys subsp. grossa,,P3,Priority 3: Poorly-known species
Allocasuarina fibrosa,Woolly Sheoak,VU,Vulnerable
Allocasuarina globosa,,VU,Vulnerable
Allocasuarina grevilleoides,,P3,Priority 3: Poorly-known species
Allocasuarina hystricosa,,P4,"Priority 4: Rare, Near Threatened"
Allocasuarina ramosissima,,P3,Priority 3: Poorly-known species
Allocasuarina tessellata,,P3,Priority 3: Poorly-known species
Allocasuarina tortiramula,Twisted Sheoak,VU,Vulnerable
Alphitonia excelsa,Red Ash,P2,Priority 2: Poorly-known species
Aluta aspera subsp. localis,,P2,Priority 2: Poorly-known species
Aluta quadrata,,EN,Endangered
Aluta teres,,P1,Priority 1: Poorly-known species
Alyogyne sp. Great Victoria Desert (D.J. Edinger 6212),,P3,Priority 3: Poorly-known species
Alyogyne sp. Hyden (G.S. Durell GD 127),,P1,Priority 1: Poorly-known species
Alyogyne sp. Rockingham (G.J. Keighery 14463),,P2,Priority 2: Poorly-known species
Alysicarpus major,,P3,Priority 3: Poorly-known species
Alysicarpus suffruticosus,,P2,Priority 2: Poorly-known species
Alyxia tetanifolia,,P3,Priority 3: Poorly-known species
Amanita brunneola,,P2,Priority 2: Poorly-known species
Amanita carneiphylla,,P3,Priority 3: Poorly-known species
Amanita cretaceaverruca,,P2,Priority 2: Poorly-known species
Amanita drummondii,,P3,Priority 3: Poorly-known species
Amanita fibrillopes,,P3,Priority 3: Poorly-known species
Amanita grandis,,P2,Priority 2: Poorly-known species
Amanita inculta,,P2,Priority 2: Poorly-known species
Amanita kalamundae,Kalamunda Lepidella,P3,Priority 3: Poorly-known species
Amanita lesueurii,,P2,Priority 2: Poorly-known species
Amanita mallee,,P1,Priority 1: Poorly-known species
Amanita marinae,,P2,Priority 2: Poorly-known species
