scientificName,vernacularName,effectiveDate,status,sourceStatus
Kardomia prominens,,2021-12-07,Critically Endangered,Critically Endangered
Kunzea similis�subsp.�similis,,2018-05-11,Critically Endangered,Critically Endangered
Lasiopetalum�sp. Mount Caroline (S.D. Hopper SDH 6381),,2019-07-04,Critically Endangered,Critically Endangered
Lasiopetalum�sp. Proston (J.A.Baker 17),Proston Lasiopetalum,2010-02-12,Critically Endangered,Critically Endangered
Latrobea colophona,,2018-05-11,Critically Endangered,Critically Endangered
Leionema lamprophyllum�subsp.�fractum,,2021-11-13,Critically Endangered,Critically Endangered
Lepidorrhachis mooreana,"Little Mountain Palm, Moorei Palm",2015-06-26,Critically Endangered,Critically Endangered
"Leucopogon�sp. Flynn (F.Hort, J.Hort & A.Lowrie 859)",,2018-05-11,Critically Endangered,Critically Endangered
Leucopogon spectabilis,Ironstone Beard-heath,2010-08-19,Critically Endangered,Critically Endangered
Lomatia tasmanica,King's Lomatia,2001-10-16,Critically Endangered,Critically Endangered
Lysiosepalum abollatum,Woolly Lysiosepalum,2013-05-14,Critically Endangered,Critically Endangered
Melicytus latifolius,Norfolk Island Mahoe,2003-11-25,Critically Endangered,Critically Endangered
Meryta latifolia,"Shade Tree, Broad-leaved Meryta",2003-11-25,Critically Endangered,Critically Endangered
Myoporum obscurum,"Popwood, Sandalwood, Bastard Ironwood",2003-11-25,Critically Endangered,Critically Endangered
Nematoceras dienemum,Windswept Helmet-orchid,2010-02-12,Critically Endangered,Critically Endangered
Nitella parooensis,a green alga,2020-12-11,Critically Endangered,Critically Endangered
Notelaea ipsviciensis,Cooneana Olive,2009-01-16,Critically Endangered,Critically Endangered
Oberonia attenuata,Mossman Fairy Orchid,2016-04-30,Critically Endangered,Critically Endangered
Paragoodia crenulata,,2013-05-14,Critically Endangered,Critically Endangered
Persoonia pauciflora,North Rothbury Persoonia,2005-07-08,Critically Endangered,Critically Endangered
Phebalium daviesii,"Davies' Waxflower, St Helens Waxflower",2001-10-16,Critically Endangered,Critically Endangered
Phebalium distans,Mt Berryman Phebalium,2008-12-24,Critically Endangered,Critically Endangered
Phebalium speciosum,,2019-07-04,Critically Endangered,Critically Endangered
Philotheca falcata,Sickle-leaved Waxflower,2011-09-30,Critically Endangered,Critically Endangered
Phlegmariurus squarrosus,"Rock Tassel-fern, Water Tassel-fern",2014-01-25,Critically Endangered,Critically Endangered
Phreatia limenophylax,Norfolk Island Phreatia,2003-11-25,Critically Endangered,Critically Endangered
Pimelea bracteata,,2021-12-07,Critically Endangered,Critically Endangered
Pimelea cremnophila,,2021-03-02,Critically Endangered,Critically Endangered
Pimelea spinescens�subsp.�pubiflora,Wimmera Rice-flower,2009-06-10,Critically Endangered,Critically Endangered
Pimelea spinescens�subsp.�spinescens,"Plains Rice-flower, Spiny Rice-flower, Prickly Pimelea",2003-05-01,Critically Endangered,Critically Endangered
Plinthanthesis rodwayi,Budawangs Wallaby-grass,2021-03-03,Critically Endangered,Critically Endangered
