class,order,family,vernacularName,taxonID,genus,species,scientificName,sourceStatus,npwActStatusComments,epbcStatus,epbcActStatusComments,taxonRemarks,bdbsaCreatedDate,bdbsaModifiedDate,scientificNameAuthorship,subspeciesAuthor,status,majorGroup,subSpecies,NPW ACT STATUS,NPW ACT STATUS COMMENT,WEED OF NATIONAL SIGNIFICANCE,LANDSCAPE ACT Weed Status,DATE CREATED IN BDBSA,DATE TAXONOMY MODIFIED IN BDBSA
MAMMALIA,CETACEA,BALAENOPTERIDAE,Sei Whale,Z01571,Balaenoptera,borealis,Balaenoptera borealis,V,,VU,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"Lesson, 1828",,Vulnerable,,,,,,,,
MAMMALIA,CETACEA,BALAENOPTERIDAE,Bryde's Whale,Q01572,Balaenoptera,edeni,Balaenoptera edeni,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"Anderson, 1879",,Rare,,,,,,,,
MAMMALIA,CETACEA,BALAENOPTERIDAE,Blue Whale,W01567,Balaenoptera,musculus,Balaenoptera musculus,E,,EN,,"Two subspecies are found in the Southern Hemispheres: B. m. intermedia the Southern Blue Whale and B. m. brevicauda I'chihara, 1966 the Pygmy Blue Whale. The species is in need of taxonomic revision worldwide.
",1990-03-01 00:00:00,2002-11-01 00:00:00,"(Linnaeus, 1758)",,Endangered,,,,,,,,
MAMMALIA,CETACEA,BALAENOPTERIDAE,Fin Whale,C01569,Balaenoptera,physalus,Balaenoptera physalus,V,,VU,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Linnaeus, 1758)",,Vulnerable,,,,,,,,
MAMMALIA,CETACEA,BALAENOPTERIDAE,Humpback Whale,W01575,Megaptera,novaeangliae,Megaptera novaeangliae,V,,,Removed from national listing as a threatened species Feb 2022,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Borowski, 1781)",,Vulnerable,,,,,,,,
MAMMALIA,CETACEA,NEOBALAENIDAE,Pygmy Right Whale,Q01564,Caperea,marginata,Caperea marginata,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Gray, 1846)",,Rare,,,,,,,,
MAMMALIA,CETACEA,DELPHINIDAE,Short-finned Pilot Whale,C01605,Globicephala,macrorhynchus,Globicephala macrorhynchus,R,,,,,1990-03-01 00:00:00,2007-09-27 00:00:00,"Gray, 1846",,Rare,,,,,,,,
MAMMALIA,CETACEA,DELPHINIDAE,Risso's Dolphin,K01609,Grampus,griseus,Grampus griseus,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Cuvier, 1812)",,Rare,,,,,,,,
MAMMALIA,CETACEA,DELPHINIDAE,False Killer Whale,W01603,Pseudorca,crassidens,Pseudorca crassidens,R,,,,,1990-03-01 00:00:00,2002-11-01 00:00:00,"(Owen, 1846)",,Rare,,,,,,,,
MAMMALIA,CETACEA,PHYSETERIDAE,Sperm Whale,E01578,Physeter,macrocephalus,Physeter macrocephalus,R,Listed as Physeter macrocephalus,,,,1990-03-01 00:00:00,2013-05-27 00:00:00,"Linnaeus, 1758",,Rare,,,,,,,,
