name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Eremophila sp. Coodardo Gap (B. Buirchell BB 330),,Eremophila sp. Coodardo Gap (B.Buirchell BB 330),Priority 1: Poorly-known species,added,,,
Eremophila sp. Lake Carey (E. Mattiske LM 197) PN,,Eremophila sp. Lake Carey (E.Mattiske LM 197),Priority 1: Poorly-known species,added,,,
Eremophila sp. Landor (J. Start D7 33) PN,,Eremophila sp. Landor (J.Start D7 33),Priority 1: Poorly-known species,added,,,
Eremophila sp. Mt Channar Range (C. Keating & M.E. Trudgen CK 408),,Eremophila sp. Mt Channar Range (C.Keating & M.E.Trudgen CK 408),Priority 1: Poorly-known species,added,,,
Eremophila sp. Murgoo (S.J.J. Davies s.n. 15/8/1960),,Eremophila sp. Murgoo (S.J.J.Davies s.n. 15/8/1960),Priority 3: Poorly-known species,added,,,
Eremophila sp. Pingandy dentate (B. Buirchell BB 331),,Eremophila sp. Pingandy dentate (B.Buirchell BB 331),Priority 1: Poorly-known species,added,,,
Eremophila sp. Thundelarra (B. Buirchell BB 324),,Eremophila sp. Thundelarra (B.Buirchell BB 324),Priority 1: Poorly-known species,added,,,
Eremophila sp. Tropicana (B. Buirchell BB 323),,Eremophila sp. Tropicana (B.Buirchell BB 323),Priority 1: Poorly-known species,added,,,
Eremophila sp. Wubin North (R. Wait 8305),,Eremophila sp. Wubin North (R.Wait 8305),Priority 1: Poorly-known species,added,,,
Eremophila sp. long pedicels (G. Cockerton 1975),,Eremophila sp. long pedicels (G. Cockerton 1975),Priority 2: Poorly-known species,added,,,
Eremophila subangustifolia,,Eremophila subangustifolia,Critically Endangered,added,,,
Eremophila waitii,,Eremophila waitii,Priority 1: Poorly-known species,added,,,
Eremophila xantholaemus,,Eremophila xantholaema,Priority 1: Poorly-known species,added,,,
Eriochilus glareosus,Bunny Orchids,Eriochilus,Priority 1: Poorly-known species,added,,,
Eucalyptus caesia subsp. caesia,Gungurru,Eucalyptus caesia,"Priority 4: Rare, Near Threatened",added,,,
Eucalyptus caesia subsp. magna,Gungurru,Eucalyptus caesia,"Priority 4: Rare, Near Threatened",added,,,
Eucalyptus calycogona subsp. miraculum,,Eucalyptus calycogona subsp. miraculum,Priority 1: Poorly-known species,added,,,
Eucalyptus dissimulata subsp. dissimulata,Red Capped Mallee,Eucalyptus dissimulata,"Priority 4: Rare, Near Threatened",added,,,
Eucalyptus dissimulata subsp. plauta,,Eucalyptus sp. Truslove (M.I.H.Brooker 7499),Priority 1: Poorly-known species,added,,,
Eucalyptus efflorescens,,Eucalyptus,Priority 1: Poorly-known species,added,,,
Eucalyptus eremophila subsp. pterocarpa,,Eucalyptus eremophila subsp. pterocarpa,Priority 1: Poorly-known species,added,,,
Eucalyptus foecunda subsp. aeolica,Narrow-leaved Red Mallee,Eucalyptus foecunda,Priority 2: Poorly-known species,added,,,
Eucalyptus foecunda subsp. foecunda,,Eucalyptus foecunda subsp. foecunda,"Priority 4: Rare, Near Threatened",added,,,
Eucalyptus formanii subsp. circulata,Formans Mallee,Eucalyptus formanii,"Priority 4: Rare, Near Threatened",added,,,
Eucalyptus formanii subsp. formanii,Formans Mallee,Eucalyptus formanii,"Priority 4: Rare, Near Threatened",added,,,
Eucalyptus goniantha subsp. kynouron,Bundy,Eucalyptus goniantha,Priority 2: Poorly-known species,added,,,
Eucalyptus merleae,,Eucalyptus,Priority 2: Poorly-known species,added,,,
Eucalyptus polita,,Eucalyptus polita,Priority 3: Poorly-known species,added,,,
Eucalyptus ravensthorpensis,,Eucalyptus ravensthorpensis,"Priority 4: Rare, Near Threatened",added,,,
Eucalyptus revelata,,Eucalyptus revelata,Priority 2: Poorly-known species,added,,,
Eucalyptus sp. Dunbar Road (D. Nicolle & M. French DN 5466) PN,,Eucalyptus sp. Dunbar Road (D.Nicolle & M.French DN 5466),Priority 1: Poorly-known species,added,,,
Eucalyptus uncinata subsp. crassifolia,Hook Leaved Mallee,Eucalyptus uncinata,Priority 2: Poorly-known species,added,,,
Eucalyptus x erectifolia,Stirling Range Mallee,Eucalyptus erectifolia,"Priority 4: Rare, Near Threatened",added,,,
Eucalyptus x graniticola,,Eucalyptus x graniticola,"Priority 4: Rare, Near Threatened",added,,,
Euploca aenigmata,,Euploca aenigmata,Priority 1: Poorly-known species,added,,,
Euploca alcyonium,,Euploca,Priority 1: Poorly-known species,added,,,
Euploca apertum,,Euploca apertum,Priority 1: Poorly-known species,added,,,
Euploca argyrea,,Euploca argyrea,Priority 1: Poorly-known species,added,,,
Euploca calvariavis,,Euploca calvariavis,Priority 1: Poorly-known species,added,,,
Euploca cupressina,,Heliotropium cupressinum,Priority 1: Poorly-known species,added,,,
Euploca discordis,,Euploca discordis,Priority 1: Poorly-known species,added,,,
Euploca foveolata,,Euploca foveolata,Priority 1: Poorly-known species,added,,,
Euploca galioides,,Euploca galioides,Priority 1: Poorly-known species,added,,,
