"taxonRank","kingdom","class","order","family","genus","scientificName","specificEpithet","vernacularName","establishmentMeans","stateConservation","protectedInNSW","sensitivityClass","TSProfileID","countryConservation","dcterms_modified","generalisation"
"Species","Plantae","Flora","Flora","Orchidaceae","Oberonia","Oberonia titania","titania","Red-flowered King of the Fairies","Alive in NSW, Native","Vulnerable","true","Category 2",10571,"Not Listed","2017-10-04T17:41:39.273+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis gibbosa","gibbosa","Illawarra Greenhood","Alive in NSW, Native","Endangered","true","Category 2",10701,"Endangered","2017-10-04T17:35:57.377+11:00","10km"
"Species","Plantae","Flora","Flora","Proteaceae","Grevillea","Grevillea caleyi","caleyi","Caley's Grevillea","Alive in NSW, Native","Critically Endangered","false","Category 3",10361,"Critically Endangered","2017-10-04T17:37:30.643+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Caladenia","Caladenia concolor","concolor","Crimson Spider Orchid","Alive in NSW, Native","Endangered","true","Category 2",10122,"Vulnerable","2017-10-04T17:47:13.61+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Caladenia","Caladenia rosella","rosella","Rosella Spider Orchid","Extinct in NSW, Native","Extinct","true","Category 2",10123,"Endangered","2020-01-22T14:49:05.617+11:00","10km"
"Subspecies","Plantae","Flora","Flora","Pteridaceae","Cheilanthes","Cheilanthes sieberi subsp. pseudovellea","sieberi",NA,"Alive in NSW, Native","Endangered","false","Category 3",10163,"Not Listed","2017-10-04T17:47:10.11+11:00","1km"
"Species","Plantae","Flora","Flora","Grammitidaceae","Grammitis","Grammitis stenophylla","stenophylla","Narrow-leaf Finger Fern","Alive in NSW, Native","Endangered","false","Category 3",10356,"Not Listed","2017-10-04T17:47:05.767+11:00","1km"
"Species","Plantae","Flora","Flora","Proteaceae","Grevillea","Grevillea masonii","masonii","Mason's Grevillea","Alive in NSW, Native","Endangered","false","Category 3",10369,"Endangered","2017-10-04T17:47:07.14+11:00","1km"
"Species","Plantae","Flora","Flora","Orchidaceae","Prasophyllum","Prasophyllum petilum","petilum","Tarengo Leek Orchid","Alive in NSW, Native","Endangered","true","Category 2",10666,"Endangered","2017-10-04T17:47:06.453+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Pterostylis","Pterostylis sp. Botany Bay","sp. Botany Bay","Botany Bay Bearded Orchid","Alive in NSW, Native","Endangered","true","Category 2",10706,"Endangered","2017-10-04T17:47:06.687+11:00","10km"
"Species","Plantae","Flora","Flora","Violaceae","Viola","Viola cleistogamoides","cleistogamoides","Hidden Violet","Alive in NSW, Native","Endangered","false","Category 3",10830,"Not Listed","2017-10-04T17:47:10.33+11:00","1km"
"Species","Plantae","Flora","Flora","Rutaceae","Zieria","Zieria buxijugum","buxijugum","Box Range Zieria","Alive in NSW, Native","Critically Endangered","false","Category 2",10851,"Endangered","2017-10-04T17:47:08.53+11:00","10km"
"Species","Plantae","Flora","Flora","Rutaceae","Zieria","Zieria formosa","formosa","Shapely Zieria","Alive in NSW, Native","Critically Endangered","false","Category 2",10855,"Endangered","2017-10-04T17:47:08.97+11:00","10km"
"Species","Plantae","Flora","Flora","Rutaceae","Zieria","Zieria parrisiae","parrisiae","Parris' Zieria","Alive in NSW, Native","Critically Endangered","false","Category 2",10862,"Critically Endangered","2017-10-04T17:47:25.797+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Genoplesium","Genoplesium superbum","superbum","Superb Midge Orchid","Alive in NSW, Native","Endangered","true","Category 2",20029,"Not Listed","2017-10-04T17:47:19.157+11:00","10km"
"Species","Plantae","Flora","Flora","Orchidaceae","Microtis","Microtis angusii","angusii","Angus's Onion Orchid","Alive in NSW, Native","Endangered","true","Category 2",10531,"Endangered","2017-10-04T17:47:29.5+11:00","10km"
