scientificName,vernacularName,family,genus,status,sourceStatus
Lophochroa leadbeateri,Major Mitchell's Cockatoo,CACATUIDAE,Lophochroa,Rare,R
Zanda funerea whiteae,Yellow-tailed Black Cockatoo,CACATUIDAE,Zanda,Vulnerable,V
Aprosmictus erythropterus erythropterus,Red-winged Parrot,PSITTACULIDAE,Aprosmictus,Rare,R
Lathamus discolor,Swift Parrot,PSITTACULIDAE,Lathamus,Endangered,E
Neophema chrysogaster,Orange-bellied Parrot,PSITTACULIDAE,Neophema,Endangered,E
Neophema chrysostoma,Blue-winged Parrot,PSITTACULIDAE,Neophema,Vulnerable,V
Neophema elegans elegans,Elegant Parrot,PSITTACULIDAE,Neophema,Rare,R
Neophema petrophila zietzi,Rock Parrot,PSITTACULIDAE,Neophema,Rare,R
Neophema splendida,Scarlet-chested Parrot,PSITTACULIDAE,Neophema,Rare,R
Northiella narethae,Naretha Bluebonnet,PSITTACULIDAE,Northiella,Rare,R
Parvipsitta pusilla,Little Lorikeet,PSITTACULIDAE,Parvipsitta,Endangered,E
Pezoporus occidentalis,Night Parrot,PSITTACULIDAE,Pezoporus,Endangered,E
Pezoporus wallicus wallicus,Eastern Ground Parrot,PSITTACULIDAE,Pezoporus,Endangered,E
Polytelis alexandrae,Princess Parrot,PSITTACULIDAE,Polytelis,Vulnerable,V
Polytelis anthopeplus monarchoides,Regent Parrot,PSITTACULIDAE,Polytelis,Vulnerable,V
Chlamydera guttata guttata,Western Bowerbird,PTILONORHYNCHIDAE,Chlamydera,Rare,R
Chlamydera maculata,Spotted Bowerbird,PTILONORHYNCHIDAE,Chlamydera,Endangered,E
Climacteris affinis,White-browed Treecreeper,CLIMACTERIDAE,Climacteris,Rare,R
Amytornis barbatus diamantina,Grey Grasswren,MALURIDAE,Amytornis,Rare,R
Amytornis merrotsyi merrotsyi,Flinders Ranges Short-tailed Grasswren,MALURIDAE,Amytornis,Vulnerable,V
Amytornis merrotsyi pedleri,Gawler Ranges Short-tailed Grasswren,MALURIDAE,Amytornis,Endangered,E
Amytornis striatus howei,Striated Grasswren,MALURIDAE,Amytornis,Rare,R
Amytornis textilis myall,Western Grasswren,MALURIDAE,Amytornis,Vulnerable,V
Amytornis whitei aenigma,Yellabinna Rufous Grasswren,MALURIDAE,Amytornis,Rare,R
Amytornis whitei oweni,Sandhill Rufous Grasswren,MALURIDAE,Amytornis,Rare,R
Stipiturus malachurus halmaturinus,Southern Emuwren (Kangaroo Island),MALURIDAE,Stipiturus,Rare,R
Stipiturus malachurus intermedius,Southern Emuwren (Mount Lofty Ranges),MALURIDAE,Stipiturus,Endangered,E
Stipiturus malachurus parimeda,Southern Emuwren (southern Eyre Peninsula),MALURIDAE,Stipiturus,Endangered,E
