scientificName,vernacularName,family,genus,sourceStatus,status
Lasiorhinus latifrons,Southern Hairy-nosed Wombat,Vombatidae,Lasiorhinus,Endangered,Endangered
Charadrius mongolus,Lesser Sand-plover,Charadriidae,Charadrius,Vulnerable,Vulnerable
Mixophyes balbus,Stuttering Frog,Myobatrachidae,Mixophyes,Endangered,Endangered
Litoria castanea,Yellow-spotted Tree Frog,Hylidae,Litoria,Critically Endangered,Critically Endangered
Mixophyes fleayi,Fleay's Barred Frog,Myobatrachidae,Mixophyes,Endangered,Endangered
Litoria olongburensis,Olongburra Frog,Hylidae,Litoria,Vulnerable,Vulnerable
Daphoenositta chrysoptera,Varied Sittella,Neosittidae,Daphoenositta,Vulnerable,Vulnerable
Ctenotus brooksi,Wedgesnout Ctenotus,Scincidae,Ctenotus,Vulnerable,Vulnerable
Philoria sphagnicolus,Sphagnum Frog,Limnodynastidae,Philoria,Vulnerable,Vulnerable
Hylacola cautus,Shy Heathwren,Acanthizidae,Hylacola,Vulnerable,Vulnerable
Eulamprus leuraensis,Blue Mountains Water Skink,Scincidae,Eulamprus,Endangered,Endangered
Grantiella picta,Painted Honeyeater,Meliphagidae,Grantiella,Vulnerable,Vulnerable
Dugong dugon,Dugong,Dugongidae,Dugong,Endangered,Endangered
Phoniscus papuensis,Golden-tipped Bat,Vespertilionidae,Phoniscus,Vulnerable,Vulnerable
Pseudomys pilligaensis,Pilliga Mouse,Muridae,Pseudomys,Vulnerable,Vulnerable
Polytelis anthopeplus monarchoides,Regent Parrot (eastern subspecies),Psittacidae,Polytelis,Endangered,Endangered
Notomys mitchellii,Mitchell's Hopping-mouse,Muridae,Notomys,Extinct,Extinct
Arctocephalus forsteri,New Zealand Fur-seal,Otariidae,Arctocephalus,Vulnerable,Vulnerable
Philoria kundagungan,Mountain Frog,Limnodynastidae,Philoria,Endangered,Endangered
Pseudomys gracilicaudatus,Eastern Chestnut Mouse,Muridae,Pseudomys,Vulnerable,Vulnerable
Cinclosoma castanotum,Chestnut Quail-thrush,Psophodidae,Cinclosoma,Vulnerable,Vulnerable
Nyctophilus bifax,Eastern Long-eared Bat,Vespertilionidae,Nyctophilus,Vulnerable,Vulnerable
Conilurus albipes,White-footed Tree-rat,Muridae,Conilurus,Extinct,Extinct
Aprasia inaurita,Mallee Worm-lizard,Pygopodidae,Aprasia,Endangered,Endangered
Saccolaimus flaviventris,Yellow-bellied Sheathtail-bat,Emballonuridae,Saccolaimus,Vulnerable,Vulnerable
Heleioporus australiacus,Giant Burrowing Frog,Limnodynastidae,Heleioporus,Vulnerable,Vulnerable
Scoteanax rueppellii,Greater Broad-nosed Bat,Vespertilionidae,Scoteanax,Vulnerable,Vulnerable
Pseudophryne australis,Red-crowned Toadlet,Myobatrachidae,Pseudophryne,Vulnerable,Vulnerable
Tympanocryptis lineata,Canberra Grassland Earless Dragon,Agamidae,Tympanocryptis,Critically Endangered,Critically Endangered
Falsistrellus tasmaniensis,Eastern False Pipistrelle,Vespertilionidae,Falsistrellus,Vulnerable,Vulnerable
Coracina lineata,Barred Cuckoo-shrike,Campephagidae,Coracina,Vulnerable,Vulnerable
Pyrrholaemus brunneus,Redthroat,Acanthizidae,Pyrrholaemus,Vulnerable,Vulnerable
Pachycephala rufogularis,Red-lored Whistler,Pachycephalidae,Pachycephala,Critically Endangered,Critically Endangered
Pteropus poliocephalus,Grey-headed Flying-fox,Pteropodidae,Pteropus,Vulnerable,Vulnerable
Macropus dorsalis,Black-striped Wallaby,Macropodidae,Macropus,Endangered,Endangered
Chalinolobus picatus,Little Pied Bat,Vespertilionidae,Chalinolobus,Vulnerable,Vulnerable
Certhionyx variegatus,Pied Honeyeater,Meliphagidae,Certhionyx,Vulnerable,Vulnerable
Litoria brevipalmata,Green-thighed Frog,Hylidae,Litoria,Vulnerable,Vulnerable
Mixophyes iteratus,Giant Barred Frog,Myobatrachidae,Mixophyes,Endangered,Endangered
Christinus guentheri,Lord Howe Island Southern Gecko,Gekkonidae,Christinus,Vulnerable,Vulnerable
Epthianura albifrons,White-fronted Chat,Meliphagidae,Epthianura,Vulnerable,Vulnerable
Chalinolobus nigrogriseus,Hoary Wattled Bat,Vespertilionidae,Chalinolobus,Vulnerable,Vulnerable
Pseudomys desertor,Desert Mouse,Muridae,Pseudomys,Critically Endangered,Critically Endangered
Lichenostomus cratitius,Purple-gaped Honeyeater,Meliphagidae,Lichenostomus,Vulnerable,Vulnerable
Notomys fuscus,Dusky Hopping-mouse,Muridae,Notomys,Endangered,Endangered
Rattus villosissimus,Long-haired Rat,Muridae,Rattus,Vulnerable,Vulnerable
Litoria piperata,Peppered Tree Frog,Hylidae,Litoria,Critically Endangered,Critically Endangered
Petroica rodinogaster,Pink Robin,Petroicidae,Petroica,Vulnerable,Vulnerable
Coeranoscincus reticulatus,Three-toed Snake-tooth Skink,Scincidae,Coeranoscincus,Vulnerable,Vulnerable
Pseudomys oralis,Hastings River Mouse,Muridae,Pseudomys,Endangered,Endangered
Delma australis,Marble-faced Delma,Pygopodidae,Delma,Endangered,Endangered
Podargus ocellatus,Marbled Frogmouth,Podargidae,Podargus,Vulnerable,Vulnerable
Nyctimene robinsoni,Eastern Tube-nosed Bat,Pteropodidae,Nyctimene,Vulnerable,Vulnerable
Falco hypoleucos,Grey Falcon,Falconidae,Falco,Vulnerable,Vulnerable
Anseranas semipalmata,Magpie Goose,Anseranatidae,Anseranas,Vulnerable,Vulnerable
Myrmecobius fasciatus,Numbat,Myrmecobiidae,Myrmecobius,Extinct,Extinct
Petroica phoenicea,Flame Robin,Petroicidae,Petroica,Vulnerable,Vulnerable
Notomys cervinus,Fawn Hopping-mouse,Muridae,Notomys,Extinct,Extinct
Oligosoma lichenigera,Lord Howe Island Skink,Scincidae,Oligosoma,Vulnerable,Vulnerable
Turnix melanogaster,Black-breasted Button-quail,Turnicidae,Turnix,Critically Endangered,Critically Endangered
Litoria aurea,Green and Golden Bell Frog,Hylidae,Litoria,Endangered,Endangered
Lerista xanthura,Yellow-tailed Plain Slider,Scincidae,Lerista,Vulnerable,Vulnerable
Todiramphus chloris,Collared Kingfisher,Alcedinidae,Todiramphus,Vulnerable,Vulnerable
Chthonicola sagittata,Speckled Warbler,Acanthizidae,Chthonicola,Vulnerable,Vulnerable
Drymodes brunneopygia,Southern Scrub-robin,Petroicidae,Drymodes,Vulnerable,Vulnerable
Pachycephala olivacea,Olive Whistler,Pachycephalidae,Pachycephala,Vulnerable,Vulnerable
Rostratula australis,Australian Painted Snipe,Rostratulidae,Rostratula,Endangered,Endangered
Procelsterna cerulea,Grey Ternlet,Laridae,Procelsterna,Vulnerable,Vulnerable
Hypotaenidia sylvestris,Lord Howe Woodhen,Rallidae,Hypotaenidia,Endangered,Endangered
Haematopus longirostris,Pied Oystercatcher,Haematopodidae,Haematopus,Endangered,Endangered
Anomalopus mackayi,Five-clawed Worm-skink,Scincidae,Anomalopus,Endangered,Endangered
Leggadina forresti,Forrest's Mouse,Muridae,Leggadina,Vulnerable,Vulnerable
Pseudophryne corroboree,Southern Corroboree Frog,Myobatrachidae,Pseudophryne,Critically Endangered,Critically Endangered
Polytelis swainsonii,Superb Parrot,Psittacidae,Polytelis,Vulnerable,Vulnerable
Sminthopsis macroura,Stripe-faced Dunnart,Dasyuridae,Sminthopsis,Vulnerable,Vulnerable
Pedionomus torquatus,Plains-wanderer,Pedionomidae,Pedionomus,Endangered,Endangered
Vespadelus baverstocki,Inland Forest Bat,Vespertilionidae,Vespadelus,Vulnerable,Vulnerable
Petrogale penicillata,Brush-tailed Rock-wallaby,Macropodidae,Petrogale,Endangered,Endangered
Lasiorhinus krefftii,Northern Hairy-nosed Wombat,Vombatidae,Lasiorhinus,Extinct,Extinct
Cercartetus nanus,Eastern Pygmy-possum,Burramyidae,Cercartetus,Vulnerable,Vulnerable
Ningaui yvonneae,Southern Ningaui,Dasyuridae,Ningaui,Vulnerable,Vulnerable
Cercartetus concinnus,Western Pygmy Possum,Burramyidae,Cercartetus,Endangered,Endangered
Ptilinopus superbus,Superb Fruit-Dove,Columbidae,Ptilinopus,Vulnerable,Vulnerable
Macrotis lagotis,Bilby,Thylacomyidae,Macrotis,Extinct,Extinct
Phascolarctos cinereus,Koala,Phascolarctidae,Phascolarctos,Endangered,Endangered
Sternula albifrons,Little Tern,Laridae,Sternula,Endangered,Endangered
Ptilinopus magnificus,Wompoo Fruit-Dove,Columbidae,Ptilinopus,Vulnerable,Vulnerable
Ptilinopus regina,Rose-crowned Fruit-Dove,Columbidae,Ptilinopus,Vulnerable,Vulnerable
Vespadelus troughtoni,Eastern Cave Bat,Vespertilionidae,Vespadelus,Vulnerable,Vulnerable
Eubalaena australis,Southern Right Whale,Balaenidae,Eubalaena,Endangered,Endangered
Micronomus norfolkensis,Eastern Coastal Free-tailed Bat,Molossidae,Micronomus,Vulnerable,Vulnerable
Physeter macrocephalus,Sperm Whale,Physeteridae,Physeter,Vulnerable,Vulnerable
Balaenoptera musculus,Blue Whale,Balaenopteridae,Balaenoptera,Endangered,Endangered
Litoria littlejohni,Littlejohn's Tree Frog,Hylidae,Litoria,Endangered,Endangered
Tylophora woollsii,Cryptic Forest Twiner,Apocynaceae,Tylophora,Endangered,Endangered
Micromyrtus minutiflora,,Myrtaceae,Micromyrtus,Endangered,Endangered
Brachyscome muelleroides,Claypan Daisy,Asteraceae,Brachyscome,Vulnerable,Vulnerable
Pimelea bracteata,,Thymelaeaceae,Pimelea,Critically Endangered,Critically Endangered
Persicaria elatior,Tall Knotweed,Polygonaceae,Persicaria,Vulnerable,Vulnerable
Pterostylis oreophila,Blue-tongued Greenhood,Orchidaceae,Pterostylis,Critically Endangered,Critically Endangered
Maundia triglochinoides,,Juncaginaceae,Maundia,Vulnerable,Vulnerable
Neoastelia spectabilis,Silver Sword Lily,Asteliaceae,Neoastelia,Vulnerable,Vulnerable
Genoplesium baueri,Bauer's Midge Orchid,Orchidaceae,Genoplesium,Endangered,Endangered
Banksia conferta,,Proteaceae,Banksia,Critically Endangered,Critically Endangered
Diuris tricolor,Pine Donkey Orchid,Orchidaceae,Diuris,Vulnerable,Vulnerable
Knoxia sumatrensis,,Rubiaceae,Knoxia,Extinct,Extinct
Persoonia marginata,Clandulla Geebung,Proteaceae,Persoonia,Vulnerable,Vulnerable
Atriplex sturtii,A saltbush,Chenopodiaceae,Atriplex,Endangered,Endangered
Endiandra floydii,Crystal Creek Walnut,Lauraceae,Endiandra,Endangered,Endangered
Swainsona adenophylla,Violet Swainson-Pea,Fabaceae (Faboideae),Swainsona,Endangered,Endangered
Cryptostylis hunteriana,Leafless Tongue Orchid,Orchidaceae,Cryptostylis,Vulnerable,Vulnerable
Peristeranthus hillii,Brown Fairy-chain Orchid,Orchidaceae,Peristeranthus,Vulnerable,Vulnerable
Grevillea hilliana,White Yiel Yiel,Proteaceae,Grevillea,Endangered,Endangered
Pultenaea pedunculata,Matted Bush-pea,Fabaceae (Faboideae),Pultenaea,Endangered,Endangered
Wahlenbergia scopulicola,Rock-face Bluebell,Campanulaceae,Wahlenbergia,Endangered,Endangered
Grevillea quadricauda,Four-tailed Grevillea,Proteaceae,Grevillea,Vulnerable,Vulnerable
Pomaderris parrisiae,Parris' Pomaderris,Rhamnaceae,Pomaderris,Vulnerable,Vulnerable
Boronia ruppii,Rupp's Boronia,Rutaceae,Boronia,Endangered,Endangered
Acacia rivalis,Creek Wattle,Fabaceae (Mimosoideae),Acacia,Endangered,Endangered
Oldenlandia galioides,Sweet False Galium,Rubiaceae,Oldenlandia,Endangered,Endangered
Wilsonia rotundifolia,Round-leafed Wilsonia,Convolvulaceae,Wilsonia,Endangered,Endangered
Tetratheca pilosa subsp. pilosa,,Elaeocarpaceae,Tetratheca,Extinct,Extinct
Eucalyptus rubida subsp. barbigerorum,Blackbutt Candlebark,Myrtaceae,Eucalyptus,Vulnerable,Vulnerable
Thelymitra epipactoides,,Orchidaceae,Thelymitra,Extinct,Extinct
Acacia flocktoniae,Flockton Wattle,Fabaceae (Mimosoideae),Acacia,Vulnerable,Vulnerable
Astrotricha roddii,Rodd's Star Hair,Araliaceae,Astrotricha,Endangered,Endangered
Amphibromus fluitans,Floating Swamp Wallaby-grass,Poaceae,Amphibromus,Vulnerable,Vulnerable
Arthropteris palisotii,Lesser Creeping Fern,Davalliaceae,Arthropteris,Endangered,Endangered
Acacia macnuttiana,MacNutt's Wattle,Fabaceae (Mimosoideae),Acacia,Vulnerable,Vulnerable
Pultenaea baeuerlenii,Budawangs Bush-pea,Fabaceae (Faboideae),Pultenaea,Vulnerable,Vulnerable
Correa baeuerlenii,Chef's Cap Correa,Rutaceae,Correa,Vulnerable,Vulnerable
Acacia acrionastes,Pindari Wattle,Fabaceae (Mimosoideae),Acacia,Endangered,Endangered
Gentiana baeuerlenii,Baeuerlen's Gentian,Gentianaceae,Gentiana,Endangered,Endangered
Erodiophyllum elderi,Koonamore Daisy,Asteraceae,Erodiophyllum,Endangered,Endangered
Cyperus rupicola,Cliff Sedge,Cyperaceae,Cyperus,Vulnerable,Vulnerable
Gaultheria viridicarpa,Green Waxberry,Ericaceae,Gaultheria,Endangered,Endangered
Eucalyptus approximans,Barren Mountain Mallee,Myrtaceae,Eucalyptus,Vulnerable,Vulnerable
Acacia ruppii,Rupp's Wattle,Fabaceae (Mimosoideae),Acacia,Endangered,Endangered
Xylosma terrae-reginae,Queensland Xylosma,Flacourtiaceae,Xylosma,Endangered,Endangered
Haloragis stricta,,Haloragaceae,Haloragis,Extinct,Extinct
Helichrysum calvertianum,,Asteraceae,Helichrysum,Vulnerable,Vulnerable
Melaleuca biconvexa,Biconvex Paperbark,Myrtaceae,Melaleuca,Vulnerable,Vulnerable
Polygala linariifolia,Native Milkwort,Polygalaceae,Polygala,Endangered,Endangered
Lindsaea fraseri,Fraser's Screw Fern,Lindsaeaceae,Lindsaea,Endangered,Endangered
