NSXCODE,SPECIESNR,SYNONYM,SUPRAFAMILY,FAMILY,FAMILY_NUM,STATUS,GENUS,SPECIES,SPECIES_AUTHOR,INFRASP_RANK,INFRASP_NAME,INFRASP_AUTHOR,EPBC_STATUS,NPWSA_STATUS,HYBRID,HYBRIDRANK,SYNQUALIFIER,COMMON_NAME_1,COMMON_NAME_2,NW,NW_QUEST,NW_FLAG,LE,LE_QUEST,LE_FLAG,NU,NU_QUEST,NU_FLAG,GT,GT_QUEST,GT_FLAG,FR,FR_QUEST,FR_FLAG,EA,EA_QUEST,EA_FLAG,EP,EP_QUEST,EP_FLAG,NL,NL_QUEST,NL_FLAG,MU,MU_QUEST,MU_FLAG,YP,YP_QUEST,YP_FLAG,SL,SL_QUEST,SL_FLAG,KI,KI_QUEST,KI_FLAG,SE,SE_QUEST,SE_FLAG,Final data modification on: Tuesday 15 March 2022 2:45 AM. Extract created on: Tuesday 15 March 2022 11:40 AM
K00869,1692,0,Angiospermae,Orchidaceae,91.514,,Thelymitra,matthewsii,Cheeseman,,,,Vulnerable,Endangered,,,,Spiral Sun-orchid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,KI,,,SE,,,
E03302,13015,0,Angiospermae,Compositae,91.435,,Senecio,helichrysoides,F.Muell.,,,,Extinct*,Endangered*,,,,George's Groundsel,Grey Groundsel,,,,,,,,,,,,,,,,,,,,,,,,,MU,,,,,,,,,,,,,,,
U01434,29712,0,Angiospermae,Cruciferae,91.139,,Lepidium,ambiguum,F.Muell.,,,,Endangered*,,,,,Murray Peppercress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,,,,,,,
K05645,27100,0,Angiospermae,Orchidaceae,91.514,,Pterostylis,lepida,(D.L.Jones) G.N.Backh.,,,,Endangered*,Endangered*,,,,Halbury Rustyhood,Halbury Rufous-hood,,,,,,,,,,,,,,,,,,,,,,NL,,,,,,YP,,,SL,,,,,,,,,
U03634,7081,0,Angiospermae,Casuarinaceae,91.001,,Allocasuarina,robusta,(Macklin) L.A.S.Johnson,,,,Endangered,Endangered,,,,Mount Compass Oak-bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,,,,,,,,,
C01437,2980,0,Angiospermae,Cruciferae,91.139,,Lepidium,monoplocoides,F.Muell.,,,,Endangered,Endangered*,,,,Winged Peppercress,,,,,,,,,,,,,,,,,,,,,,,,,,MU,,,,,,,,,,,,,,,
E04606,8630,0,Angiospermae,Leguminosae,91.182,,Acacia,cretacea,Maslin & Whibley,,,,Endangered,Endangered,,,,Chalky Wattle,Spindly Wattle,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,,,,,,,,,,
M01562,3279,0,Angiospermae,Leguminosae,91.182,,Acacia,enterocarpa,R.V.Sm.,,,,Endangered,Endangered,,,,Jumping-jack Wattle,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,YP,,,,,,,,,SE,,,
S01601,3349,0,Angiospermae,Leguminosae,91.182,,Acacia,pinguifolia,J.M.Black,,,,Endangered,Endangered,,,,Fat-leaf Wattle,,,,,,,,,,,,,,,,,,,,EP,,,,,,,,,,,,SL,,,,,,,,,
Z03915,7623,0,Angiospermae,Leguminosae,91.182,,Acacia,spilleriana,J.E.Br.,,,,Endangered,Endangered,,,,Spiller's Wattle,Round-leaf Mulga-bush,,,,,,,,,,,,,,,,,,,EP,,?e,NL,,,MU,,,,,,,,,,,,,,,
