id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,category,generalisation
4430419,Verticordia pityrhops,East Mt Barren Featherflower,Verticordia pityrhops,https://id.biodiversity.org.au/node/apni/2915544,dr467,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '10 km'}]",EN,10 km
4430263,Verticordia plumosa var. ananeotes,Tufted Plumed Featherflower,Verticordia plumosa var. ananeotes,https://id.biodiversity.org.au/node/apni/2894856,dr467,"[{'key': 'category', 'value': 'CR'}, {'key': 'generalisation', 'value': '10 km'}]",CR,10 km
4430623,Verticordia plumosa var. vassensis,Vasse Featherflower,Verticordia plumosa var. vassensis,https://id.biodiversity.org.au/node/apni/2887055,dr467,"[{'key': 'category', 'value': 'EN'}, {'key': 'generalisation', 'value': '10 km'}]",EN,10 km
4431547,Verticordia polytricha,Northern Cauliflower,Verticordia polytricha,https://id.biodiversity.org.au/node/apni/2887342,dr467,"[{'key': 'category', 'value': 'P4'}, {'key': 'generalisation', 'value': '10 km'}]",P4,10 km
4431855,Verticordia pulchella,,Verticordia pulchella,https://id.biodiversity.org.au/node/apni/2911075,dr467,"[{'key': 'category', 'value': 'P2'}, {'key': 'generalisation', 'value': '10 km'}]",P2,10 km
4428817,Verticordia roei subsp. meiogona,,Verticordia roei subsp. meiogona,https://id.biodiversity.org.au/node/apni/2906718,dr467,"[{'key': 'category', 'value': 'P1'}, {'key': 'generalisation', 'value': '10 km'}]",P1,10 km
4432375,Verticordia rutilastra,Little Grandiflora,Verticordia rutilastra,https://id.biodiversity.org.au/node/apni/2908299,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4430293,Verticordia serotina,,Verticordia serotina,https://id.biodiversity.org.au/node/apni/2919371,dr467,"[{'key': 'category', 'value': 'P2'}, {'key': 'generalisation', 'value': '10 km'}]",P2,10 km
4429568,Verticordia serrata var. linearis,,Verticordia serrata var. linearis,https://id.biodiversity.org.au/node/apni/2910459,dr467,"[{'key': 'category', 'value': 'P3'}, {'key': 'generalisation', 'value': '10 km'}]",P3,10 km
4433044,Verticordia serrata var. Udumung (D. Hunter & B. Yarran 941006),,Verticordia serrata var. Udumung (D.Hunter & B.Yarran 941006),https://id.biodiversity.org.au/node/apni/2890805,dr467,"[{'key': 'category', 'value': 'P2'}, {'key': 'generalisation', 'value': '10 km'}]",P2,10 km
4431902,Verticordia setacea,,Verticordia setacea,https://id.biodiversity.org.au/node/apni/2918191,dr467,"[{'key': 'category', 'value': 'P2'}, {'key': 'generalisation', 'value': '10 km'}]",P2,10 km
4429099,Verticordia sieberi var. pachyphylla,,Verticordia sieberi var. pachyphylla,https://id.biodiversity.org.au/node/apni/2906144,dr467,"[{'key': 'category', 'value': 'P1'}, {'key': 'generalisation', 'value': '10 km'}]",P1,10 km
4431530,Verticordia sp. Dundas (C.A. Gardner 2848),,Verticordia sp. Dundas (C.A.Gardner 2848),https://id.biodiversity.org.au/taxon/apni/51290368,dr467,"[{'key': 'category', 'value': 'P1'}, {'key': 'generalisation', 'value': '10 km'}]",P1,10 km
