"Supplied Name","guid","scientificName","family","kingdom","scientificNameAuthorship","kingdom","class","family","status","statusDescription","significant","endemicity","taxonID","vernacular name","countryStatus","countryStatusDescription"
"Hymenophyllum whitei","https://id.biodiversity.org.au/node/apni/2906405","Hymenophyllum whitei","Hymenophyllaceae",,"Goy","Plantae","Equisetopsida","Hymenophyllaceae","CR","Critically endangered wildlife","Y","Queensland endemic","13883",,"EX","Extinct"
"Euastacus monteithorum","urn:lsid:biodiversity.org.au:afd.taxon:9f6f5263-d696-4b38-aaf2-ed4845db65a0","Euastacus monteithorum","Parastacidae",,"Morgan, 1989","Animalia",,"Parastacidae",,,"N","Queensland endemic","33596",,,
"Pomatocalpa marsupiale","https://id.biodiversity.org.au/node/apni/2911462","Pomatocalpa marsupiale","Orchidaceae",,"(Kraenzl.) J.J.Sm.","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Naturally occurs in Queensland and overseas","11376",,,
"Taudactylus liemi","urn:lsid:biodiversity.org.au:afd.taxon:73710142-d11d-401a-bd2c-f04ddb96aa44","Taudactylus liemi","Myobatrachidae",,"Ingram, 1980","Animalia","Amphibia","Myobatrachidae","NT","Near threatened wildlife","Y","Queensland endemic","654","Eungella tinkerfrog",,
"Cestichis fleckeri","https://id.biodiversity.org.au/name/apni/196164","Cestichis fleckeri","Orchidaceae",,"(Nicholls) M.A.Clem. & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","36439",,,
"Dockrillia cucumerina","https://id.biodiversity.org.au/name/apni/181525","Dockrillia cucumerina","Orchidaceae",,"(Macleay ex Lindl.) Brieger","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","18386",,,
"Prasophyllum flavum","https://id.biodiversity.org.au/name/apni/104583","Prasophyllum flavum","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","8895","yellow leek orchid",,
"Macrozamia lucida x Macrozamia macleayi","ALA_Macrozamia_lucida_x_Macrozamia_macleayi","Macrozamia lucida x Macrozamia macleayi",,,,"Plantae","Equisetopsida","Zamiaceae","C","Least concern wildlife","N","Queensland endemic","32994",,,
"Grammitis leonardii","https://id.biodiversity.org.au/node/apni/2899773","Oreogrammitis leonardii","Grammitidaceae",,"Parris","Plantae","Equisetopsida","Polypodiaceae","V","Vulnerable wildlife","Y","Queensland endemic","21841",,,
"Dendrobium canaliculatum","https://id.biodiversity.org.au/name/apni/85247","Dendrobium canaliculatum","Orchidaceae",,"R.Br.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Naturally occurs in Australia and overseas","17449",,,
"Bowenia spectabilis","https://id.biodiversity.org.au/node/apni/2912787","Bowenia spectabilis","Zamiaceae",,"Hook. ex Hook.f.","Plantae","Equisetopsida","Zamiaceae","C","Least concern wildlife","N","Queensland endemic","17846",,,
"Dendrobium aphyllum","https://id.biodiversity.org.au/name/apni/188902","Dendrobium aphyllum","Orchidaceae",,"(Roxb.) C.E.C.Fisch.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","30798",,,
"Dendrobium malbrownii","https://id.biodiversity.org.au/name/apni/86003","Dendrobium malbrownii","Orchidaceae",,"Dockrill","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","11457",,,
"Dendrobium stratiotes","https://id.biodiversity.org.au/name/apni/175639","Dendrobium stratiotes","Orchidaceae",,"Rchb.f.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","37193",,,
"Cycas silvestris","https://id.biodiversity.org.au/node/apni/2896080","Cycas silvestris","Cycadaceae",,"K.D.Hill","Plantae","Equisetopsida","Cycadaceae","V","Vulnerable wildlife","Y","Queensland endemic","8384",,"V","Vulnerable"
"Phlegmariurus phlegmaria","https://id.biodiversity.org.au/node/apni/2913785","Phlegmariurus phlegmaria","Lycopodiaceae",,"(L.) T.Sen & U.Sen","Plantae","Equisetopsida","Lycopodiaceae","C","Least concern wildlife","N","Naturally occurs in Queensland and overseas","34778",,,
"Prasophyllum brevilabre","https://id.biodiversity.org.au/name/apni/87186","Prasophyllum brevilabre","Orchidaceae",,"(Lindl.) Hook.f.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","13104",,,
"Dendrobium gracilicaule","https://id.biodiversity.org.au/name/apni/85615","Dendrobium gracilicaule","Orchidaceae",,"F.Muell.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Australian endemic","12834","slender orchid",,
"Trachoma","https://id.biodiversity.org.au/node/apni/2896824","Trachoma","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae",,,"N","Native to Queensland - endemicity not defined","21895",,,
"Bryobium eriaeoides","https://id.biodiversity.org.au/name/apni/176951","Bryobium eriaeoides","Orchidaceae",,"(F.M.Bailey) M.A.Clem. & D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","35688",,,
"Thunia alba var. marshelliana","ALA_Thunia_alba_var_marshelliana","Thunia alba var. marshelliana",,,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","39044",,,
"Dendrobium schneiderae var. majus","https://id.biodiversity.org.au/name/apni/86353","Dendrobium schneiderae var. majus","Orchidaceae",,"Rupp","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","7930",,,
"Amytornis dorotheae","urn:lsid:biodiversity.org.au:afd.taxon:1cf5305e-96c1-4c5d-b98a-7b7b139138ca","Amytornis (Magnamytis) dorotheae","Maluridae",,"(Mathews, 1914)","Animalia","Aves","Maluridae","E","Endangered wildlife","Y","Australian endemic","1564","Carpentarian grasswren","E","Endangered"
"Eulophia zollingeri","https://id.biodiversity.org.au/name/apni/100976","Eulophia zollingeri","Orchidaceae",,"(Rchb.f.) J.J.Sm.","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","9758",,,
"Caladenia chamaephylla","https://id.biodiversity.org.au/name/apni/147267","Caladenia chamaephylla","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","2326",,,
"Arthrochilus dockrillii","https://id.biodiversity.org.au/name/apni/102167","Arthrochilus dockrillii","Orchidaceae",,"Lavarack","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","13369",,,
"Falco hypoleucos","urn:lsid:biodiversity.org.au:afd.taxon:5c4c5947-83a6-4a42-b861-8c408cfed4e7","Falco (Hierofalco) hypoleucos","Falconidae",,"Gould, 1841","Animalia","Aves","Falconidae","V","Vulnerable wildlife","Y","Australian endemic","1705","grey falcon","V","Vulnerable"
"Plectorrhiza brevilabris","https://id.biodiversity.org.au/name/apni/81708","Plectorrhiza brevilabris","Orchidaceae",,"(F.Muell.) Dockrill","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","12734",,,
"Geodorum","https://id.biodiversity.org.au/node/apni/2905536","Geodorum","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","XU","20762",,,
"Sarcochilus bancroftii","https://id.biodiversity.org.au/name/apni/62707","Sarcochilus bancroftii","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","39908",,,
"Spathoglottis plicata","https://id.biodiversity.org.au/node/apni/2907389","Spathoglottis plicata","Orchidaceae",,"Blume","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Naturally occurs in Queensland and overseas","12667","New Guinea ground orchid",,
"Habenaria rumphii","https://id.biodiversity.org.au/name/apni/116873","Habenaria rumphii","Orchidaceae",,"(Brongn.) Lindl.","Plantae","Equisetopsida","Orchidaceae","NT","Near threatened wildlife","Y","Naturally occurs in Queensland and overseas","12813",,,
"Chiloglottis sp. (Mango Flat D.L.Jones 2547)","ALA_Chiloglottis_sp_Mango_Flat_D_L_Jones_2547","Chiloglottis sp. (Mango Flat D.L.Jones 2547)","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Native to Queensland - endemicity not defined","6156",,,
"Dendrobium albiflorum","ALA_Dendrobium_albiflorum","Dendrobium albiflorum",,,"Ridl.","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife",,"XU","36928",,,
"Micropera","https://id.biodiversity.org.au/node/apni/2887363","Micropera","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Native to Queensland - endemicity not defined","21077",,,
"Grastidium","https://id.biodiversity.org.au/node/apni/2895970","Grastidium","Orchidaceae",,,"Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","XU","20793",,,
"Thelymitra queenslandica","https://id.biodiversity.org.au/name/apni/188220","Thelymitra queenslandica","Orchidaceae",,"Jeanes","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","29280",,,
"Grammitis albosetosa","https://id.biodiversity.org.au/node/apni/8500343","Oreogrammitis albosetosa","Grammitidaceae",,"(F.M.Bailey) Parris","Plantae","Equisetopsida","Polypodiaceae","V","Vulnerable wildlife","Y","Queensland endemic","17069",,,
"Cooktownia robertsii","https://id.biodiversity.org.au/name/apni/178907","Cooktownia robertsii","Orchidaceae",,"D.L.Jones","Plantae","Equisetopsida","Orchidaceae","E","Endangered wildlife","Y","Queensland endemic","18783",,,
"Liparis angustilabris","https://id.biodiversity.org.au/name/apni/65725","Liparis angustilabris","Orchidaceae",,"(F.Muell.) Blaxell","Plantae","Equisetopsida","Orchidaceae","C","Least concern wildlife","N","Queensland endemic","12769",,,
"Dendrobium schneiderae var. schneiderae","https://id.biodiversity.org.au/name/apni/86357","Dendrobium schneiderae var. schneiderae","Orchidaceae",,"F.M.Bailey","Plantae","Equisetopsida","Orchidaceae","NT","Near threatened wildlife","Y","Queensland endemic","12839",,,
"Sarcochilus hirticalcar","https://id.biodiversity.org.au/node/apni/2906295","Sarcochilus hirticalcar","Orchidaceae",,"(Dockrill) M.A.Clem. & B.J.Wallace","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","8224","harlequin orchid","V","Vulnerable"
"Macrozamia lomandroides x M.pauli-guilielmi","ALA_Macrozamia_lomandroides_x_M_pauli_guilielmi","Macrozamia lomandroides x M.pauli-guilielmi","Zamiaceae",,"D.L.Jones","Plantae","Equisetopsida","Zamiaceae","C","Least concern wildlife","N","Native to Queensland - endemicity not defined","5876",,,
"Crepidium fimbriatum","https://id.biodiversity.org.au/name/apni/188943","Crepidium fimbriatum","Orchidaceae",,"(Lavarack) Szlach.","Plantae","Equisetopsida","Orchidaceae","V","Vulnerable wildlife","Y","Queensland endemic","5793",,,
