name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Gastrolobium sp. Yoongarillup (S. Dilkes s.n. 1/9/1969),,Gastrolobium sp. Yoongarillup (S.Dilkes s.n. 1/9/1969),Priority 1: Poorly-known species,added,,,
Geleznowia amabilis,Kalbarri Yellow Bells,Geleznowia amabilis,Priority 2: Poorly-known species,added,,,
Glycine lactivirens,,,Priority 3: Poorly-known species,added,,,
Gompholobium glabristylum,Beardless Pea,Gompholobium glabristylum,Priority 2: Poorly-known species,added,,,
Gomphrena axillaris,,,Priority 1: Poorly-known species,added,,,
Gomphrena longistyla,,,Priority 2: Poorly-known species,added,,,
Gonocarpus keigheryi,,Gonocarpus keigheryi,Priority 2: Poorly-known species,added,,,
Gonocarpus orchardii,,Gonocarpus orchardii,Priority 3: Poorly-known species,added,,,
Goodenia exigua,,Velleia exigua,Priority 2: Poorly-known species,added,,,
Goodenia quartzitica,Quartz-loving Goodenia,Goodenia quartzitica,Priority 1: Poorly-known species,added,,,
Goodenia radicans,Raumangu,Selliera radicans,Priority 1: Poorly-known species,added,,,
Goodenia sp. Charnley River (M.D. Barrett MDB 5163),,,Priority 1: Poorly-known species,added,,,
Goodenia sp. South Coast (A.R. Annels ARA 1846),,Goodenia sp. South Coast (A.R. Annels ARA1846),Priority 3: Poorly-known species,added,,,
Goodenia verreauxii,,Goodenia verreauxii,"Priority 4: Rare, Near Threatened",added,,,
Grammosolen archeri,,Grammosolen archeri,Priority 1: Poorly-known species,added,,,
Grammosolen odgersii subsp. occidentalis,,Grammosolen odgersii subsp. occidentalis,Critically Endangered,added,,,
Grammosolen odgersii subsp. odgersii,,Grammosolen odgersii subsp. odgersii,Priority 2: Poorly-known species,added,,,
Grevillea brachystylis subsp. Yelverton (A. Webb AW09122),,,Priority 2: Poorly-known species,added,,,
Grevillea bronweniae,,Grevillea bronweniae,Priority 3: Poorly-known species,added,,,
Grevillea dissectifolia,,,Priority 3: Poorly-known species,added,,,
Grevillea hystrix,Porcupine Grevillea,Grevillea hystrix,Priority 1: Poorly-known species,added,,,
Grevillea merceri,,Grevillea merceri,Priority 2: Poorly-known species,added,,,
Grevillea ornithopoda,Birdsfoot Grevillea,Grevillea manglesii subsp. ornithopoda,Priority 2: Poorly-known species,added,,,
Grevillea pieroniae,,Grevillea pieroniae,Priority 2: Poorly-known species,added,,,
Grevillea sp. Duranillin (E.F. Shedley 180) PN,,,Priority 2: Poorly-known species,added,,,
Grevillea sp. Nyabing (A. Coates & J. Ward AC 6030) PN,,,Priority 1: Poorly-known species,added,,,
Grevillea sp. Yerilgee Hills (T. Laslett TL 025),,Grevillea sp. Yerilgee Hills (T.Laslett TL 025),Priority 1: Poorly-known species,added,,,
Grevillea speckiana,,,Priority 1: Poorly-known species,added,,,
Grevillea synapheae subsp. latiloba,,Grevillea synapheae subsp. latiloba,Priority 1: Poorly-known species,added,,,
Grevillea trichantha,,,Priority 2: Poorly-known species,added,,,
Grona flagellaris,,Grona flagellaris,Priority 1: Poorly-known species,added,,,
Grona pullenii,,Grona pullenii,Priority 1: Poorly-known species,added,,,
Hakea cygnus subsp. needlei,,,Priority 2: Poorly-known species,added,,,
Haloragis luminosa,Lantern Sea-berry,Haloragis luminosa,Priority 1: Poorly-known species,added,,,
Hemigenia diadela,Mid West Capote,Hemigenia diadela,Priority 2: Poorly-known species,added,,,
Hemigenia dulcis,,,Priority 1: Poorly-known species,added,,,
Hemigenia pimeleifolia,,,Priority 2: Poorly-known species,added,,,
Hemigenia sp. Nillup (R.D. Royce 98),,Hemigenia sp. Nillup (R.D.Royce 98),Priority 2: Poorly-known species,added,,,
Hibbertia acrotoma,,Hibbertia acrotoma,Priority 1: Poorly-known species,added,,,
Hibbertia ambita,,Hibbertia ambita,Priority 1: Poorly-known species,added,,,
Hibbertia archeri,,,Priority 1: Poorly-known species,added,,,
Hibbertia barrettiae,,Hibbertia barrettiae,Critically Endangered,added,,,
Hibbertia elegans,,Hibbertia elegans,Priority 1: Poorly-known species,added,,,
Hibbertia hortiorum,,Hibbertia hortiorum,Priority 1: Poorly-known species,added,,,
Hibbertia inopinata,,Hibbertia inopinata,Priority 2: Poorly-known species,added,,,
Hibbertia leptotheca,,Hibbertia leptotheca,Priority 3: Poorly-known species,added,,,
Hibbertia proberae,Desert Guinea-flower,Hibbertia proberae,Priority 2: Poorly-known species,added,,,
