"Supplied Name","guid","scientificName","family","kingdom","scientificNameAuthorship","S P R A T_listed_ I D","Infraspecies_ Author","family","genus","specificEpithet","Infraspecific Epithet","Profile","N S L_ Name","vernacular name","N T","A C T","infraspecificRank","_class","N F I","kingdom","C S I","H M I","A A T","Current_ S P R A T_ I D","Current_ Scientific_ Name_in_ S P R A T","status","V I C","N S W","Q L D","W A","C M A","T A S","S A","A C I","C K I","C I","J B T","Date_extracted"
"Petrogale xanthopus xanthopus","urn:lsid:biodiversity.org.au:afd.taxon:f47d4454-f95c-4086-908c-6cac6d330849","Petrogale xanthopus xanthopus","Macropodidae",,"Gray,1855","66646","-","Macropodidae","Petrogale","xanthopus","xanthopus","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66646"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66646</a>","-","Yellow-footed Rock-wallaby (SA and NSW)","-","-","-","Mammalia","-","Animalia","-","-","-","-","-","Vulnerable","-","Yes","-","-","-","-","Yes","-","-","-","-","2019-Jul-04"
"Petrophile nivea","https://id.biodiversity.org.au/node/apni/2898231","Petrophile nivea","Proteaceae",,"Hislop  Rye","75847","-","Proteaceae","Petrophile","nivea","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=75847"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=75847</a>","<a href=""https://id.biodiversity.org.au/name/apni/180201"">https://id.biodiversity.org.au/name/apni/180201</a>","-","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Lewinia pectoralis clelandi","urn:lsid:biodiversity.org.au:afd.taxon:1491dbf1-a5a3-4f59-9b8f-ca344de1d073","Lewinia pectoralis clelandi","Rallidae",,"-","82446","(Mathews,1911)","Rallidae","Lewinia","pectoralis","clelandi","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82446"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82446</a>","-","Western Australian Lewin's Rail, Lewin's Rail (western)","-","-","-","Aves","-","Animalia","-","-","-","-","-","Extinct","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Symplocos baeuerlenii","https://id.biodiversity.org.au/node/apni/2909639","Symplocos baeuerlenii","Symplocaceae",,"R.Baker","19010","-","Symplocaceae","Symplocos","baeuerlenii","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19010"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19010</a>","<a href=""https://id.biodiversity.org.au/name/apni/107796"">https://id.biodiversity.org.au/name/apni/107796</a>","Small-leaved Hazelwood, Shrubby Hazelwood","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","Yes","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Delma mitella","urn:lsid:biodiversity.org.au:afd.taxon:6a3f2266-c0df-46a9-8820-774aca39ddc9","Delma mitella","Pygopodidae",,"Shea,1987","25931","-","Pygopodidae","Delma","mitella","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25931"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25931</a>","-","Atherton Delma, Legless Lizard","-","-","-","Reptilia","-","Animalia","-","-","-","-","-","Vulnerable","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Eucalyptus pulverulenta","https://id.biodiversity.org.au/node/apni/2899443","Eucalyptus pulverulenta","Myrtaceae",,"Sims","21537","-","Myrtaceae","Eucalyptus","pulverulenta","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21537"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21537</a>","<a href=""https://id.biodiversity.org.au/name/apni/106609"">https://id.biodiversity.org.au/name/apni/106609</a>","Silver-leaved Mountain Gum, Silver-leaved Gum","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Gossia gonoclada","https://id.biodiversity.org.au/node/apni/2912922","Gossia gonoclada","Myrtaceae",,"(F. Mueller ex Bentham) N.Snow  Guymer","78866","-","Myrtaceae","Gossia","gonoclada","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=78866"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=78866</a>","<a href=""https://id.biodiversity.org.au/name/apni/180920"">https://id.biodiversity.org.au/name/apni/180920</a>","Angle-stemmed Myrtle","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Galaxias parvus","urn:lsid:biodiversity.org.au:afd.taxon:976e8b1e-5f47-4c29-99d2-711a1e68bda4","Galaxias parvus","Galaxiidae",,"Frankenberg, 1968","26175","-","Galaxiidae","Galaxias","parvus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26175"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26175</a>","-","Swamp Galaxias","-","-","-","Actinopterygii","-","Animalia","-","-","-","-","-","Vulnerable","-","-","-","-","-","Yes","-","-","-","-","-","2019-Jul-04"
"Galaxias rostratus","urn:lsid:biodiversity.org.au:afd.taxon:9bf2ae93-1adf-4851-b794-db84a88cfdb3","Galaxias rostratus","Galaxiidae",,"Klunzinger, 1872","84745","-","Galaxiidae","Galaxias","rostratus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84745"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84745</a>","-","Flathead Galaxias, Beaked Minnow, Flat-headed Galaxias, Flat-headed Jollytail, Flat-headed Minnow","-","-","-","Actinopterygii","-","Animalia","-","-","-","-","-","Critically Endangered","Yes","Yes","-","-","-","-","Yes","-","-","-","-","2019-Jul-04"
"Verticordia albida","https://id.biodiversity.org.au/node/apni/2907377","Verticordia albida","Myrtaceae",,"A.S.George","55635","-","Myrtaceae","Verticordia","albida","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55635"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55635</a>","<a href=""https://id.biodiversity.org.au/name/apni/118077"">https://id.biodiversity.org.au/name/apni/118077</a>","White Featherflower","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Anigozanthos viridis subsp. terraspectans","https://id.biodiversity.org.au/node/apni/2902068","Anigozanthos viridis subsp. terraspectans","Haemodoraceae",,"-","3435","Hopper","Haemodoraceae","Anigozanthos","viridis","terraspectans","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3435"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3435</a>","<a href=""https://id.biodiversity.org.au/name/apni/92585"">https://id.biodiversity.org.au/name/apni/92585</a>","Dwarf Green Kangaroo Paw","-","-","subsp.","Liliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Ctenotus zastictus","urn:lsid:biodiversity.org.au:afd.taxon:9ffb7a09-e9dc-4f19-984b-0d31338f3f24","Ctenotus zastictus","Scincidae",,"Storr,1985","25570","-","Scincidae","Ctenotus","zastictus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25570"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=25570</a>","-","Hamelin Ctenotus","-","-","-","Reptilia","-","Animalia","-","-","-","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Quintalia stoddartii","urn:lsid:biodiversity.org.au:afd.taxon:f43fccc7-3667-4540-bbec-9afa318e0128","Quintalia stoddartii","Euconulidae",,"Gray, 1834","81253","-","Helicarionidae","Quintalia","stoddartii","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=81253"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=81253</a>","-","Stoddart's Helicarionid Land Snail","-","-","-","Gastropoda","Yes","Animalia","-","-","-","-","-","Critically Endangered","-","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Atalaya brevialata","https://id.biodiversity.org.au/node/apni/2915822","Atalaya brevialata","Sapindaceae",,"I.D.Cowie  B.Stuckey","86125","-","Sapindaceae","Atalaya","brevialata","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86125"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86125</a>","<a href=""https://id.biodiversity.org.au/name/apni/241686"">https://id.biodiversity.org.au/name/apni/241686</a>","-","Yes","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Critically Endangered","-","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Tetratheca fasciculata","https://id.biodiversity.org.au/node/apni/2907427","Tetratheca fasciculata","Elaeocarpaceae",,"J.Thompson","15534","-","Tremandraceae","Tetratheca","fasciculata","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=15534"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=15534</a>","<a href=""https://id.biodiversity.org.au/name/apni/59103"">https://id.biodiversity.org.au/name/apni/59103</a>","Cronin's Tetratheca","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Extinct","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Genoplesium rhyoliticum","https://id.biodiversity.org.au/node/apni/2904516","Genoplesium rhyoliticum","Orchidaceae",,"D.L.Jones","55116","-","Orchidaceae","Genoplesium","rhyoliticum","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55116"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55116</a>","<a href=""https://id.biodiversity.org.au/name/apni/117479"">https://id.biodiversity.org.au/name/apni/117479</a>","Pambula Midge-orchid","-","-","-","Liliopsida","-","Plantae","-","-","-","-","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Notomys macrotis","urn:lsid:biodiversity.org.au:afd.taxon:4d061f39-5c05-44ac-b3d2-78bc776ba516","Notomys macrotis","Muridae",,"Thomas, 1921","101","-","Muridae","Notomys","macrotis","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=101"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=101</a>","-","Large-eared Hopping-mouse, Noompa, Big -eared Hopping-mouse","-","-","-","Mammalia","-","Animalia","-","-","-","-","-","Extinct","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Callistemon wimmerensis","https://id.biodiversity.org.au/node/apni/2908188","Callistemon wimmerensis","Myrtaceae",,"Marriott  G.W.Carr","82943","-","Myrtaceae","Callistemon","wimmerensis","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82943"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82943</a>","<a href=""https://id.biodiversity.org.au/name/apni/214688"">https://id.biodiversity.org.au/name/apni/214688</a>","Wimmera Bottlebrush","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Critically Endangered","Yes","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Tympanocryptis condaminensis","urn:lsid:biodiversity.org.au:afd.taxon:e74be32c-dc4e-4421-98a5-7ced71b36d78","Tympanocryptis condaminensis","Agamidae",,"Melville, Smith, Hobson, Hunjan  Shoo, 2014","87888","-","Agamidae","Tympanocryptis","condaminensis","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87888"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87888</a>","-","Condamine Earless Dragon","-","-","-","Reptilia","-","Animalia","-","-","-","-","-","Endangered","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Acacia leptoneura","https://id.biodiversity.org.au/node/apni/2909543","Acacia leptoneura","Fabaceae",,"Benth.","15610","-","Fabaceae","Acacia","leptoneura","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=15610"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=15610</a>","<a href=""https://id.biodiversity.org.au/name/apni/65504"">https://id.biodiversity.org.au/name/apni/65504</a>","-","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Critically Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Micromyrtus grandis","https://id.biodiversity.org.au/node/apni/2898424","Micromyrtus grandis","Myrtaceae",,"J.T.Hunter","64647","-","Myrtaceae","Micromyrtus","grandis","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64647"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64647</a>","<a href=""https://id.biodiversity.org.au/name/apni/154607"">https://id.biodiversity.org.au/name/apni/154607</a>","-","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Stylidium amabile","https://id.biodiversity.org.au/node/apni/2908195","Stylidium amabile","Stylidiaceae",,"Wege  D.J.Coates","85007","-","Stylidiaceae","Stylidium","amabile","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=85007"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=85007</a>","-","-","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Critically Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Lepidium ginninderrense","https://id.biodiversity.org.au/taxon/apni/51269792","Lepidium ginninderrense","Brassicaceae",,"Scarlett","78474","-","Brassicaceae","Lepidium","ginninderrense","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=78474"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=78474</a>","<a href=""https://id.biodiversity.org.au/name/apni/165405"">https://id.biodiversity.org.au/name/apni/165405</a>","Ginninderra Peppercress","-","Yes","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Notomys amplus","urn:lsid:biodiversity.org.au:afd.taxon:a84b9233-458d-41ca-ace8-b77fbe9753ef","Notomys amplus","Muridae",,"Brazenor, 1936","122","-","Muridae","Notomys","amplus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=122"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=122</a>","-","Short-tailed Hopping-mouse, Yoontoo","Yes","-","-","Mammalia","-","Animalia","-","-","-","-","-","Extinct","-","-","-","Yes","-","-","Yes","-","-","-","-","2019-Jul-04"
"Acacia pubescens","https://id.biodiversity.org.au/taxon/apni/51285996","Acacia pubescens","Fabaceae",,"(Vent.) R.Br.","18800","-","Fabaceae","Acacia","pubescens","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18800"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18800</a>","<a href=""https://id.biodiversity.org.au/name/apni/69166"">https://id.biodiversity.org.au/name/apni/69166</a>","Downy Wattle, Hairy Stemmed Wattle","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Grevillea treueriana","https://id.biodiversity.org.au/node/apni/2897335","Grevillea treueriana","Proteaceae",,"F.Muell.","18950","-","Proteaceae","Grevillea","treueriana","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18950"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18950</a>","<a href=""https://id.biodiversity.org.au/name/apni/67785"">https://id.biodiversity.org.au/name/apni/67785</a>","Mt Finke Grevillea","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","-","-","-","-","Yes","-","-","-","-","2019-Jul-04"
"Pteris kingiana","https://id.biodiversity.org.au/node/apni/2907660","Pteris kingiana","Pteridaceae",,"Endl.","35183","-","Pteridaceae","Pteris","kingiana","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=35183"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=35183</a>","<a href=""https://id.biodiversity.org.au/name/apni/72816"">https://id.biodiversity.org.au/name/apni/72816</a>","King's Brakefern","-","-","-","Polypodiatae","Yes","Plantae","-","-","-","-","-","Endangered","-","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Daviesia pseudaphylla","https://id.biodiversity.org.au/node/apni/2917692","Daviesia pseudaphylla","Fabaceae",,"Crisp","56747","-","Fabaceae","Daviesia","pseudaphylla","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56747"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56747</a>","<a href=""https://id.biodiversity.org.au/name/apni/135799"">https://id.biodiversity.org.au/name/apni/135799</a>","Stirling Range Daviesia","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Sminthopsis aitkeni","urn:lsid:biodiversity.org.au:afd.taxon:e3eb09e1-807f-4485-afc2-ca7cf02a1899","Sminthopsis griseoventer aitkeni","Dasyuridae",,"Kitchener, Stoddart and Henry, 1984","300","-","Dasyuridae","Sminthopsis","aitkeni","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=300"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=300</a>","-","Kangaroo Island Dunnart","-","-","-","Mammalia","-","Animalia","-","-","-","87634","Sminthopsis griseoventer aitkeni","Endangered","-","-","-","-","-","-","Yes","-","-","-","-","2019-Jul-04"
"Macronectes giganteus","urn:lsid:biodiversity.org.au:afd.taxon:df81ddc9-3b5e-43d1-b132-a16e58f142e5","Macronectes giganteus","Procellariidae",,"(Gmelin, 1789)","1060","-","Procellariidae","Macronectes","giganteus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1060"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=1060</a>","-","Southern Giant-Petrel, Southern Giant Petrel","-","-","-","Aves","Yes","Animalia","Yes","Yes","Yes","-","-","Endangered","Yes","Yes","Yes","Yes","Yes","Yes","Yes","-","-","-","Yes","2019-Jul-04"
"Eulamprus tympanum marnieae","urn:lsid:biodiversity.org.au:afd.taxon:90bf60c6-1f2a-4c25-8b57-f90abff62c13","Eulamprus tympanum marnieae","Scincidae",,"-","64487","Hutchinson and Rawlinson, 1995","Scincidae","Eulamprus","tympanum","marnieae","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64487"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64487</a>","-","Corangamite Water Skink, Dreeite Water Skink","-","-","-","Reptilia","-","Animalia","-","-","-","-","-","Endangered","Yes","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Acacia vassalii","https://id.biodiversity.org.au/node/apni/2920529","Acacia vassalii","Fabaceae",,"Maslin","6144","-","Fabaceae","Acacia","vassalii","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=6144"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=6144</a>","<a href=""https://id.biodiversity.org.au/name/apni/71653"">https://id.biodiversity.org.au/name/apni/71653</a>","Vassal's Wattle","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Asplenium hookerianum","https://id.biodiversity.org.au/node/apni/2896148","Asplenium hookerianum","Aspleniaceae",,"Colenso","3909","-","Aspleniaceae","Asplenium","hookerianum","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3909"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3909</a>","<a href=""https://id.biodiversity.org.au/name/apni/105521"">https://id.biodiversity.org.au/name/apni/105521</a>","Maidenhair Spleenwort","-","-","-","Polypodiatae","-","Plantae","-","-","-","-","-","Vulnerable","Yes","-","-","-","-","Yes","-","-","-","-","-","2019-Jul-04"
"Lachnagrostis adamsonii","https://id.biodiversity.org.au/taxon/apni/51291365","Lachnagrostis adamsonii","Poaceae",,"(J.W.Vickery) S.W.L.Jacobs","76211","-","Poaceae","Lachnagrostis","adamsonii","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=76211"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=76211</a>","<a href=""https://id.biodiversity.org.au/name/apni/177180"">https://id.biodiversity.org.au/name/apni/177180</a>","Adamson's Blown-grass, Adamson's Blowngrass","-","-","-","Liliopsida","-","Plantae","-","-","-","-","-","Endangered","Yes","-","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Sarcochilus weinthalii","https://id.biodiversity.org.au/node/apni/2890229","Sarcochilus weinthalii","Orchidaceae",,"Bailey","12673","-","Orchidaceae","Sarcochilus","weinthalii","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=12673"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=12673</a>","<a href=""https://id.biodiversity.org.au/name/apni/63618"">https://id.biodiversity.org.au/name/apni/63618</a>","Blotched Sarcochilus, Weinthals Sarcanth","-","-","-","Liliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","Yes","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Microtis globula","https://id.biodiversity.org.au/node/apni/2900596","Microtis globula","Orchidaceae",,"R.Bates","6780","-","Orchidaceae","Microtis","globula","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=6780"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=6780</a>","<a href=""https://id.biodiversity.org.au/name/apni/73940"">https://id.biodiversity.org.au/name/apni/73940</a>","South-Coast Mignonette Orchid","-","-","-","Liliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","-","Yes","-","-","-","-","-","-","-","2019-Jul-04"
"Sterna vittata bethunei","urn:lsid:biodiversity.org.au:afd.taxon:90eb722b-b93a-4f26-ad7d-3c9f91e444e8","Sterna (Sterna) vittata bethunei","Laridae",,"Buller, 1896","64451","-","Laridae","Sterna","vittata","bethunei","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64451"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64451</a>","-","New Zealand Antarctic Tern, Antarctic Tern (New Zealand)","-","-","-","Aves","-","Animalia","-","-","-","-","-","Endangered","-","-","-","-","Yes","Yes","-","-","-","-","-","2019-Jul-04"
"Sarcochilus hirticalcar","https://id.biodiversity.org.au/node/apni/2906295","Sarcochilus hirticalcar","Orchidaceae",,"(Dockr.) M.Clements  B.Wallace","11388","-","Orchidaceae","Sarcochilus","hirticalcar","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=11388"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=11388</a>","<a href=""https://id.biodiversity.org.au/name/apni/63127"">https://id.biodiversity.org.au/name/apni/63127</a>","-","-","-","-","Liliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Corymbia rhodops","https://id.biodiversity.org.au/node/apni/2889193","Corymbia rhodops","Myrtaceae",,"(D.J.Carr  S.G.M.Carr) K.D.Hill  L.A.S.Johnson","64015","-","Myrtaceae","Corymbia","rhodops","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64015"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64015</a>","<a href=""https://id.biodiversity.org.au/name/apni/119432"">https://id.biodiversity.org.au/name/apni/119432</a>","-","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Vulnerable","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Persoonia nutans","https://id.biodiversity.org.au/node/apni/2909660","Persoonia nutans","Proteaceae",,"R.Br.","18119","-","Proteaceae","Persoonia","nutans","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18119"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18119</a>","<a href=""https://id.biodiversity.org.au/name/apni/114323"">https://id.biodiversity.org.au/name/apni/114323</a>","Nodding Geebung","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Phlegmariurus carinatus","https://id.biodiversity.org.au/node/apni/2889787","Phlegmariurus carinatus","Lycopodiaceae",,"(Desv. ex Poir.) Ching","86549","-","Lycopodiaceae","Phlegmariurus","carinatus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86549"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86549</a>","<a href=""https://id.biodiversity.org.au/name/apni/242303"">https://id.biodiversity.org.au/name/apni/242303</a>","Keeled Tassel-fern","-","-","-","Lycopodopiatae","-","Plantae","-","-","-","-","-","Endangered","-","-","Yes","-","-","-","-","-","-","-","-","2019-Jul-04"
"Leucopogon confertus","https://id.biodiversity.org.au/node/apni/2895126","Leucopogon confertus","Ericaceae",,"Benth.","14417","-","Epacridaceae","Leucopogon","confertus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14417"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14417</a>","<a href=""https://id.biodiversity.org.au/name/apni/98476"">https://id.biodiversity.org.au/name/apni/98476</a>","Torrington Beard-heath","-","-","-","Magnoliopsida","-","Plantae","-","-","-","-","-","Endangered","-","Yes","-","-","-","-","-","-","-","-","-","2019-Jul-04"
"Pseudomys fumeus","urn:lsid:biodiversity.org.au:afd.taxon:c8ba3449-d6f3-405a-9c8a-7b4db471c52a","Pseudomys fumeus","Muridae",,"Brazenor,1934","88","-","Muridae","Pseudomys","fumeus","-","<a href=""http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88"">http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88</a>","-","Smoky Mouse, Konoom","-","Yes","-","Mammalia","-","Animalia","-","-","-","-","-","Endangered","Yes","Yes","-","-","-","-","Yes","-","-","-","-","2019-Jul-04"
