id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,status,sourceStatus
4390778,Scholtzia eatoniana,,Scholtzia eatoniana,https://id.biodiversity.org.au/node/apni/2899089,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4393770,Scholtzia halophila subsp. meridionalis,,Scholtzia halophila subsp. meridionalis,https://id.biodiversity.org.au/name/apni/51304353,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4392220,Scholtzia halophila subsp. mortlockensis,,Scholtzia halophila subsp. mortlockensis,https://id.biodiversity.org.au/name/apni/51304369,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4394421,Scholtzia inaequalis,,Scholtzia inaequalis,https://id.biodiversity.org.au/name/apni/51304395,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4393725,Scholtzia kalbarri,,Scholtzia kalbarri,https://id.biodiversity.org.au/name/apni/51407436,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4394030,Scholtzia laciniata,Ragged-leaved Scholtzia,Scholtzia laciniata,https://id.biodiversity.org.au/name/apni/51304810,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4394129,Scholtzia longipedata subsp. procera,,Scholtzia longipedata subsp. procera,https://id.biodiversity.org.au/name/apni/51304824,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4394592,Scholtzia multiflora,,Scholtzia multiflora,https://id.biodiversity.org.au/name/apni/51304830,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4390903,Scholtzia oleosa,,Scholtzia oleosa,https://id.biodiversity.org.au/name/apni/51304840,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4391733,Scholtzia peltigera,Eurardy Scholtzia,Scholtzia peltigera,https://id.biodiversity.org.au/name/apni/51304847,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4394749,Scholtzia prostrata,Creeping Scholtzia,Scholtzia prostrata,https://id.biodiversity.org.au/name/apni/51304879,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4390496,Scholtzia quindecim,Gunyidi Scholtzia,Scholtzia quindecim,https://id.biodiversity.org.au/name/apni/51304885,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4394563,Scholtzia recurva,,Scholtzia recurva,https://id.biodiversity.org.au/name/apni/51304893,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4392470,Scholtzia sp. Bickley (W.H. Loaring s.n. PERTH 06165184),,Scholtzia sp. Bickley (W.H.Loaring s.n. PERTH 06165184),https://id.biodiversity.org.au/node/apni/2886650,dr2201,"[{'key': 'status', 'value': 'Extinct'}, {'key': 'sourceStatus', 'value': 'EX'}]",Extinct,EX
4390665,Scholtzia sp. Folly Hill (M.E. Trudgen 12097),,Scholtzia sp. Folly Hill (M.E.Trudgen 12097),https://id.biodiversity.org.au/node/apni/2920368,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4394468,Scholtzia sp. Geraldton (F. Lullfitz L 3216),,Scholtzia sp. Geraldton (F.Lullfitz L 3216),https://id.biodiversity.org.au/node/apni/2901007,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
