"Supplied Name","guid","scientificName","family","kingdom","vernacular","sourceStatus","status"
"Prostanthera calycina","https://id.biodiversity.org.au/node/apni/2905099","Prostanthera calycina","Lamiaceae",,"Red Mintbush","Vulnerable","Endangered"
"Gerygone olivacea","urn:lsid:biodiversity.org.au:afd.taxon:fc8e318d-2b1d-47ff-97b4-155eeff3e696","Gerygone olivacea","Acanthizidae",,"White-throated Gerygone","Rare","Near Threatened"
"Zygophyllum humillimum","https://id.biodiversity.org.au/taxon/apni/51311466","Roepera humillima","Zygophyllaceae",,"Small-fruit Twinleaf","Rare","Near Threatened"
"Templetonia stenophylla","https://id.biodiversity.org.au/node/apni/2901493","Templetonia stenophylla","Fabaceae",,"Leafy Templetonia","Vulnerable","Endangered"
"Asperula sp. A (A.B.Cashmore, September 1933)","https://id.biodiversity.org.au/node/apni/2903743","Asperula sp. A (A.B.Cashmore, September 1933)","Rubiaceae",,"Alpine Woodruff","Extinct or Endangered (needs further qualification)","Endangered"
"Olearia microdisca","https://id.biodiversity.org.au/node/apni/2888562","Olearia microdisca","Asteraceae",,"Small-flower Daisy-bush","Extinct or Endangered","Endangered"
"Erodium sp. Blesing (F.R.Wheeler 471)","https://id.biodiversity.org.au/node/apni/2912581","Erodium sp. Blesing (F.R.Wheeler 471)","Geraniaceae",,"Blesing Heron's-bill","Rare","Near Threatened"
"Acacia ammobia","https://id.biodiversity.org.au/node/apni/2915565","Acacia ammobia","Fabaceae",,,"Rare","Near Threatened"
"Asterolasia muricata","https://id.biodiversity.org.au/node/apni/2886070","Asterolasia muricata","Rutaceae",,"Lemon Star-bush","Rare","Near Threatened"
"Cheiranthera volubilis","https://id.biodiversity.org.au/node/apni/2917952","Cheiranthera volubilis","Pittosporaceae",,"Twining Finger Flower","Vulnerable","Endangered"
"Neophema (Neonanodes) chrysostoma","urn:lsid:biodiversity.org.au:afd.taxon:ceaf58f0-17df-468e-8f34-b4892145df3b","Neophema (Neonanodes) chrysostoma","Psittacidae",,"Blue-winged Parrot","Vulnerable","Endangered"
"Atriplex australasica","https://id.biodiversity.org.au/node/apni/2903363","Atriplex australasica","Chenopodiaceae",,"Native Orache","Rare","Near Threatened"
"Austrostipa petraea","https://id.biodiversity.org.au/node/apni/2902842","Austrostipa petraea","Poaceae",,"Flinders Range Spear-grass","Rare","Near Threatened"
"Olearia pannosa subsp. cardiophylla","https://id.biodiversity.org.au/node/apni/2913399","Olearia pannosa subsp. cardiophylla","Asteraceae",,"Velvet Daisy-bush","Rare","Near Threatened"
"Hibbertia glaberrima","https://id.biodiversity.org.au/node/apni/2890968","Hibbertia glaberrima","Dilleniaceae",,"Central Australian Guinea-flower","Rare","Near Threatened"
"Asperula subsimplex","https://id.biodiversity.org.au/node/apni/2904462","Asperula subsimplex","Rubiaceae",,"Water Woodruff","Rare","Near Threatened"
"Scaevola obovata","https://id.biodiversity.org.au/node/apni/2892967","Scaevola obovata","Goodeniaceae",,,"Vulnerable","Endangered"
"Chiloglottis cornuta","https://id.biodiversity.org.au/name/apni/64764","Chiloglottis cornuta","Orchidaceae",,"Green Bird Orchid","Extinct or Endangered","Endangered"
"Lechenaultia aphylla","https://id.biodiversity.org.au/node/apni/2915476","Lechenaultia aphylla","Goodeniaceae",,"Leafless Lechenaultia","Vulnerable","Endangered"
"Pycnosorus chrysanthes","https://id.biodiversity.org.au/node/apni/2906702","Pycnosorus chrysanthus","Asteraceae",,,"Extinct or Endangered","Endangered"
"Callitriche umbonata","https://id.biodiversity.org.au/node/apni/2900062","Callitriche umbonata","Plantaginaceae",,"Water Starwort","Vulnerable","Endangered"
"Euphrasia collina subsp. muelleri","https://id.biodiversity.org.au/node/apni/2893240","Euphrasia collina subsp. muelleri","Scrophulariaceae",,"Mueller's Eyebright","Extinct or Endangered","Endangered"
"Grevillea angustiloba subsp. wirregaensis","https://id.biodiversity.org.au/node/apni/2892024","Grevillea angustiloba subsp. wirregaensis","Proteaceae",,"Dissected Holly-leaf Grevillea","Extinct or Endangered","Endangered"
"Pterostylis mirabilis","https://id.biodiversity.org.au/node/apni/2914751","Pterostylis mirabilis","Orchidaceae",,"Mount Olinthus Greenhood","Vulnerable (needs further qualification)","Endangered"
"Eremiornis carteri","urn:lsid:biodiversity.org.au:afd.taxon:72488a5f-ea73-4ef5-9e3a-3ac98bea8c26","Eremiornis carteri","Megaluridae",,"Spinifexbird","Extinct or Endangered","Endangered"
"Cercartetus nanus","urn:lsid:biodiversity.org.au:afd.taxon:1cb198f0-1ec4-450c-9af3-6fa4066099cb","Cercartetus nanus","Burramyidae",,"Eastern Pygmy-possum","Vulnerable","Endangered"
"Rhodanthe oppositifolia subsp. oppositifolia","https://id.biodiversity.org.au/node/apni/2912117","Rhodanthe oppositifolia subsp. oppositifolia","Asteraceae",,"Twin-leaf Everlasting","Vulnerable","Endangered"
"Caladenia fulva","https://id.biodiversity.org.au/node/apni/2917537","Caladenia fulva","Orchidaceae",,"Tawny Spider-orchid","Extinct or Endangered","Endangered"
"Embadium stagnense","https://id.biodiversity.org.au/node/apni/2904847","Embadium stagnense","Boraginaceae",,"Arcoona Slipper-plant","Rare","Near Threatened"
"Caladenia fragrantissima subsp. fragrantissima","https://id.biodiversity.org.au/name/apni/119062","Caladenia fragrantissima subsp. fragrantissima","Orchidaceae",,"Scented Spider-orchid","Vulnerable","Endangered"
"Acacia rhetinocarpa","https://id.biodiversity.org.au/node/apni/2920738","Acacia rhetinocarpa","Fabaceae",,"Resin Wattle (sa)","Vulnerable","Endangered"
"Calandrinia stagnensis","https://id.biodiversity.org.au/node/apni/2905287","Calandrinia stagnensis","Portulacaceae",,,"Rare","Near Threatened"
"Sternula nereis","urn:lsid:biodiversity.org.au:afd.taxon:1fdd7319-339b-4786-b555-74ebbefe6e2b","Sternula nereis","Laridae",,"Fairy Tern","Extinct or Endangered","Endangered"
