id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,taxonID,scientificNameAuthorship,sourceStatus,Significant,Confidential,status,Endemicity,E P B C  Status
4195407,Cupaniopsis shirleyana,Wedge-leaf Tuckeroo,Cupaniopsis shirleyana,https://id.biodiversity.org.au/node/apni/2896632,dr652,"[{'key': 'taxonID', 'value': '14648'}, {'key': 'scientificNameAuthorship', 'value': '(F.M.Bailey) Radlk.'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}, {'key': 'E P B C  Status', 'value': 'Vulnerable'}]",14648,(F.M.Bailey) Radlk.,V,Y,N,Vulnerable,Queensland Endemic,Vulnerable
4194961,Cupaniopsis tomentella,Boonah Tuckeroo,Cupaniopsis tomentella,https://id.biodiversity.org.au/node/apni/2888688,dr652,"[{'key': 'taxonID', 'value': '13688'}, {'key': 'scientificNameAuthorship', 'value': '(F.Muell. ex Benth.) S.T.Reynolds'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}, {'key': 'E P B C  Status', 'value': 'Vulnerable'}]",13688,(F.Muell. ex Benth.) S.T.Reynolds,V,Y,N,Vulnerable,Queensland Endemic,Vulnerable
4194908,Diploglottis campbellii,Small-leaved Tamarind,Diploglottis campbellii,https://id.biodiversity.org.au/node/apni/2906814,dr652,"[{'key': 'taxonID', 'value': '14603'}, {'key': 'scientificNameAuthorship', 'value': 'Cheel'}, {'key': 'sourceStatus', 'value': 'E'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'Endemicity', 'value': 'Intranational'}, {'key': 'E P B C  Status', 'value': 'Endangered'}]",14603,Cheel,E,Y,N,Endangered,Intranational,Endangered
4193651,Diploglottis harpullioides,Tamarind,Diploglottis harpullioides,https://id.biodiversity.org.au/node/apni/2909125,dr652,"[{'key': 'taxonID', 'value': '9708'}, {'key': 'scientificNameAuthorship', 'value': 'S.T.Reynolds'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}]",9708,S.T.Reynolds,NT,Y,N,Near Threatened,Queensland Endemic,
4195535,Diploglottis pedleyi,Pedley's Tamarind,Diploglottis pedleyi,https://id.biodiversity.org.au/node/apni/2895732,dr652,"[{'key': 'taxonID', 'value': '14604'}, {'key': 'scientificNameAuthorship', 'value': 'S.T.Reynolds'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}]",14604,S.T.Reynolds,NT,Y,N,Near Threatened,Queensland Endemic,
4194294,Dodonaea hirsuta,,Dodonaea hirsuta,https://id.biodiversity.org.au/node/apni/2901292,dr652,"[{'key': 'taxonID', 'value': '17374'}, {'key': 'scientificNameAuthorship', 'value': '(Maiden & Betche) Maiden & Betche'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'Endemicity', 'value': 'Intranational'}]",17374,(Maiden & Betche) Maiden & Betche,V,Y,N,Vulnerable,Intranational,
4193657,Dodonaea rupicola,Velvet Hopbush,Dodonaea rupicola,https://id.biodiversity.org.au/node/apni/2909839,dr652,"[{'key': 'taxonID', 'value': '14609'}, {'key': 'scientificNameAuthorship', 'value': 'C.T.White'}, {'key': 'sourceStatus', 'value': 'V'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}, {'key': 'E P B C  Status', 'value': 'Vulnerable'}]",14609,C.T.White,V,Y,N,Vulnerable,Queensland Endemic,Vulnerable
4195058,Dodonaea uncinata,,Dodonaea uncinata,https://id.biodiversity.org.au/node/apni/2916526,dr652,"[{'key': 'taxonID', 'value': '13651'}, {'key': 'scientificNameAuthorship', 'value': 'J.G.West'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}]",13651,J.G.West,NT,Y,N,Near Threatened,Queensland Endemic,
4195113,Lepiderema hirsuta,Hairy Lepiderema,Lepiderema hirsuta,https://id.biodiversity.org.au/node/apni/2907188,dr652,"[{'key': 'taxonID', 'value': '13741'}, {'key': 'scientificNameAuthorship', 'value': 'S.T.Reynolds'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}]",13741,S.T.Reynolds,NT,Y,N,Near Threatened,Queensland Endemic,
4194082,Lepiderema largiflorens,,Lepiderema largiflorens,https://id.biodiversity.org.au/node/apni/2908808,dr652,"[{'key': 'taxonID', 'value': '14094'}, {'key': 'scientificNameAuthorship', 'value': 'S.T.Reynolds'}, {'key': 'sourceStatus', 'value': 'NT'}, {'key': 'Significant', 'value': 'Y'}, {'key': 'Confidential', 'value': 'N'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'Endemicity', 'value': 'Queensland Endemic'}]",14094,S.T.Reynolds,NT,Y,N,Near Threatened,Queensland Endemic,
