"Supplied Name","guid","scientificName","family","kingdom","vernacular name","guid","family","status","sourceStatus","Supplied  Name"
"Phaps (Histriophaps) histrionica","urn:lsid:biodiversity.org.au:afd.taxon:6a686033-0629-4fa6-ac84-5e3f7cd2c2b9","Phaps (Histriophaps) histrionica","Columbidae",,"Flock Bronzewing","urn:lsid:biodiversity.org.au:afd.taxon:6a686033-0629-4fa6-ac84-5e3f7cd2c2b9","Columbidae","Endangered","Endangered","Phaps histrionica"
"Olearia flocktoniae","https://id.biodiversity.org.au/node/apni/2897666","Olearia flocktoniae","Asteraceae",,"Dorrigo Daisy Bush","<a href=""https://id.biodiversity.org.au/node/apni/2897666"">https://id.biodiversity.org.au/node/apni/2897666</a>","Asteraceae","Endangered","Endangered","Olearia flocktoniae"
"Litoria piperata","urn:lsid:biodiversity.org.au:afd.taxon:96c8c29a-47fd-49a5-aaf6-5dd046bfb7af","Litoria piperata","Hylidae",,"Peppered Tree Frog","urn:lsid:biodiversity.org.au:afd.taxon:96c8c29a-47fd-49a5-aaf6-5dd046bfb7af","Hylidae","Critically Endangered","Critically Endangered","Litoria piperata"
"Notomys fuscus","urn:lsid:biodiversity.org.au:afd.taxon:dbb2125e-bf71-4388-b129-562e4d7a8eb4","Notomys fuscus","Muridae",,"Dusky Hopping-mouse","urn:lsid:biodiversity.org.au:afd.taxon:dbb2125e-bf71-4388-b129-562e4d7a8eb4","Muridae","Endangered","Endangered","Notomys fuscus"
"Glycine latrobeana","https://id.biodiversity.org.au/node/apni/2892342","Glycine latrobeana","Fabaceae",,"Clover Glycine","<a href=""https://id.biodiversity.org.au/node/apni/2892342"">https://id.biodiversity.org.au/node/apni/2892342</a>","Fabaceae","Critically Endangered","Critically Endangered","Glycine latrobeana"
"Elaeocarpus williamsianus","https://id.biodiversity.org.au/node/apni/2906669","Elaeocarpus williamsianus","Elaeocarpaceae",,"Hairy Quandong","<a href=""https://id.biodiversity.org.au/node/apni/2906669"">https://id.biodiversity.org.au/node/apni/2906669</a>","Elaeocarpaceae","Endangered","Endangered","Elaeocarpus williamsianus"
"Acacia chrysotricha","https://id.biodiversity.org.au/node/apni/2919959","Acacia chrysotricha","Fabaceae",,"Newry Golden Wattle","<a href=""https://id.biodiversity.org.au/node/apni/2919959"">https://id.biodiversity.org.au/node/apni/2919959</a>","Fabaceae","Endangered","Endangered","Acacia chrysotricha"
"Zieria ingramii","https://id.biodiversity.org.au/node/apni/2898210","Zieria ingramii","Rutaceae",,"Keith's Zieria","<a href=""https://id.biodiversity.org.au/node/apni/2898210"">https://id.biodiversity.org.au/node/apni/2898210</a>","Rutaceae","Endangered","Endangered","Zieria ingramii"
"Angophora bakeri subsp. bakeri","https://id.biodiversity.org.au/node/apni/2913071","Angophora bakeri subsp. bakeri","Myrtaceae",,"Gibraltar Rock Apple","<a href=""https://id.biodiversity.org.au/node/apni/2913071"">https://id.biodiversity.org.au/node/apni/2913071</a>","Myrtaceae","Endangered","Endangered","Angophora exul"
"Eucalyptus imlayensis","https://id.biodiversity.org.au/node/apni/2899202","Eucalyptus imlayensis","Myrtaceae",,"Imlay Mallee","<a href=""https://id.biodiversity.org.au/node/apni/2899202"">https://id.biodiversity.org.au/node/apni/2899202</a>","Myrtaceae","Critically Endangered","Critically Endangered","Eucalyptus imlayensis"
"Poephila (Poephila) cincta cincta","urn:lsid:biodiversity.org.au:afd.taxon:faee12dd-a9a7-4e70-8ce3-2d07ba4f397d","Poephila (Poephila) cincta cincta","Estrildidae",,"Black-throated Finch (southern subspecies)","urn:lsid:biodiversity.org.au:afd.taxon:faee12dd-a9a7-4e70-8ce3-2d07ba4f397d","Estrildidae","Presumed Extinct","Presumed Extinct","Poephila cincta cincta"
"Drynaria rigidula","https://id.biodiversity.org.au/node/apni/2904164","Drynaria rigidula","Polypodiaceae",,"Basket Fern","<a href=""https://id.biodiversity.org.au/node/apni/2904164"">https://id.biodiversity.org.au/node/apni/2904164</a>","Polypodiaceae","Endangered","Endangered","Drynaria rigidula"
