id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,status,sourceStatus
4377135,Macrotis leucura,Lesser Bilby,Macrotis leucura,https://biodiversity.org.au/afd/taxa/284d8e3c-2ffe-4c46-a6f7-74d8c78dc9a9,dr651,"[{'key': 'status', 'value': 'Extinct'}, {'key': 'sourceStatus', 'value': 'Extinct'}]",Extinct,Extinct
4377150,Charadrius mongolus,Lesser Sand Plover,Charadrius (Charadrius) mongolus mongolus,https://biodiversity.org.au/afd/taxa/bc2f1f65-2844-4e3c-a07e-b60717967b78,dr651,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",Endangered,Endangered
4377158,Leporillus apicalis,Lesser Stick-nest Rat,Leporillus apicalis,https://biodiversity.org.au/afd/taxa/5ac0db97-0266-442f-86b3-f21c3f98f58a,dr651,"[{'key': 'status', 'value': 'Extinct'}, {'key': 'sourceStatus', 'value': 'Extinct'}]",Extinct,Extinct
4377239,Caretta caretta,Loggerhead Turtle,Caretta caretta,https://biodiversity.org.au/afd/taxa/910b27e8-19c3-4194-b55a-fd95a80ccdf9,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377211,Notomys longicaudatus,Long-tailed Hopping-mouse,Notomys longicaudatus,https://biodiversity.org.au/afd/taxa/b90c3bf4-a12a-4123-9ae6-d798cb716380,dr651,"[{'key': 'status', 'value': 'Extinct'}, {'key': 'sourceStatus', 'value': 'Extinct'}]",Extinct,Extinct
4377177,Pingalla lorentzi,Lorentz Grunter,Pingalla lorentzi,https://biodiversity.org.au/afd/taxa/21f03177-b08e-45e0-a9bf-d550c592414b,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377222,Lagorchestes hirsutus Central Australian subspecies,Mala,Lagorchestes hirsutus Central Australian subspecies,ALA_DR656_1045,dr651,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered (extinct in wild in NT)'}]",Endangered,Endangered (extinct in wild in NT)
4377119,Leipoa ocellata,Malleefowl,Leipoa ocellata,https://biodiversity.org.au/afd/taxa/c44c9098-c4fc-4f64-884c-e367389b194f,dr651,"[{'key': 'status', 'value': 'Critically endangered'}, {'key': 'sourceStatus', 'value': 'Critically endangered'}]",Critically endangered,Critically endangered
4377086,Tyto novaehollandiae kimberli,Masked Owl (northern Mainland),Tyto novaehollandiae kimberli,https://biodiversity.org.au/afd/taxa/d1a27333-c288-46d5-a034-f42920ddb1b8,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377073,Tyto novaehollandiae melvillensis,Masked Owl (tiwi),Tyto novaehollandiae melvillensis,https://biodiversity.org.au/afd/taxa/b656fdb9-e0bc-4acb-ad99-5c6a57ae76a9,dr651,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",Endangered,Endangered
4377067,Trochomorpha melvillensis,Melville Squat-keeled Snail,Trochomorpha melvillensis,https://biodiversity.org.au/afd/taxa/effb2b37-f9cf-4dfc-ad11-cfd530a66e0b,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377129,Varanus mertensi,Mertens' Water Monitor,Varanus mertensi,https://biodiversity.org.au/afd/taxa/80775c81-177b-46f5-badb-1db904a06a21,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377203,Varanus mitchelli,Mitchell's Water Monitor,Varanus mitchelli,https://biodiversity.org.au/afd/taxa/e95605b3-ef06-4a7e-9f58-f00196ba023f,dr651,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'sourceStatus', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4377106,Petrogale concinna canescens,Nabarlek (top End),Petrogale concinna canescens,https://biodiversity.org.au/afd/taxa/32e80463-95f8-4eb7-9f8e-fe75d58fb768,dr651,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'sourceStatus', 'value': 'Endangered'}]",Endangered,Endangered
