"Supplied Name","guid","scientificName","family","kingdom","family","sourceStatus","status","Introduced  Status"
"Herklotsichthys quadrimaculatus","urn:lsid:biodiversity.org.au:afd.taxon:e4cce513-1415-403a-ac67-efd6d7297609","Herklotsichthys quadrimaculatus","Clupeidae",,,,"(not listed)","(not listed)"
"Chama pulchella","urn:lsid:biodiversity.org.au:afd.taxon:5a9b4667-dd5b-43d4-b5d0-4216b5987a02","Chama pulchella","Chamidae",,,,"(not listed)","(not listed)"
"Themeda quadrivalvis  ","https://id.biodiversity.org.au/node/apni/2891763","Themeda quadrivalvis","Poaceae",,,,"Least Concern","Introduced"
"Cyphastrea microphthalma","urn:lsid:biodiversity.org.au:afd.taxon:1b6462ca-24da-4bab-8543-134bed84abd5","Cyphastrea microphthalma","Merulinidae",,,,"(not listed)","(not listed)"
"Rhynchosia australis  ","https://id.biodiversity.org.au/node/apni/2900932","Rhynchosia australis","Fabaceae",,,,"Least Concern","Native to the N.T."
"Cassia fistula  ","https://id.biodiversity.org.au/node/apni/2913225","Cassia fistula","Fabaceae",,,,"Least Concern","Introduced"
"Hypselodoris obscura","urn:lsid:biodiversity.org.au:afd.taxon:9d094961-a30c-4e85-9857-c54b57483e4d","Hypselodoris obscura","Chromodorididae",,,,"(not listed)","(not listed)"
"Sphagneticola trilobata  ","https://id.biodiversity.org.au/node/apni/2901501","Sphagneticola trilobata","Asteraceae",,,,"Least Concern","Introduced"
"Planchonia careya  ","https://id.biodiversity.org.au/node/apni/2904108","Planchonia careya","Lecythidaceae",,,,"Least Concern","Native to the N.T."
"Clavelina meridionalis","urn:lsid:biodiversity.org.au:afd.taxon:c2633bb3-dec2-4912-a0a9-f4ab45f0d87c","Clavelina meridionalis","Clavelinidae",,,,"(not listed)","(not listed)"
"Pluchea mesotes  ","https://id.biodiversity.org.au/taxon/apni/51268813","Pluchea mesotes","Asteraceae",,,,,"Endemic to the N.T."
"Uradolichos longipennis","urn:lsid:biodiversity.org.au:afd.taxon:943474b9-c4e3-42e9-822d-a9a1f0412dd5","Uradolichos longipennis","Cicadidae",,,,"(not listed)","(not listed)"
"Haloragis uncatipila  ","https://id.biodiversity.org.au/node/apni/2914012","Haloragis uncatipila","Haloragaceae",,,,"Least Concern","Native to the N.T."
"Trididemnum pseudodiplosoma","urn:lsid:biodiversity.org.au:afd.taxon:0d09f714-a85d-43f1-ba3f-1ebb33606292","Trididemnum pseudodiplosoma","Didemnidae",,,,"(not listed)","Endemic to the N.T."
"Treptopale paramolos","urn:lsid:biodiversity.org.au:afd.taxon:947da325-70e6-444f-9723-3e93c97e02c5","Treptopale paramolos","Chrysopetalidae",,,,"(not listed)","(not listed)"
"Glyptophysa jukesii","urn:lsid:biodiversity.org.au:afd.taxon:3fdfc8f9-0179-480c-b2ad-0a6b54c194be","Glyptophysa (Oppletora) jukesii","Planorbidae",,,,"(not listed)","(not listed)"
"Lissoclinum patella","urn:lsid:biodiversity.org.au:afd.taxon:7b84f438-db9a-4676-893d-41535da9c8e4","Lissoclinum patella","Didemnidae",,,,"(not listed)","(not listed)"
"Eleocharis caespitosissima  ","https://id.biodiversity.org.au/node/apni/2914287","Eleocharis caespitosissima","Cyperaceae",,,,"Least Concern","Native to the N.T."
"Arrenurus caeruleus","urn:lsid:biodiversity.org.au:afd.taxon:71d9a4a5-5b53-4eb3-bd78-7d70258ca62a","Arrenurus caeruleus","Arrenuridae",,,,"(not listed)","Endemic to the N.T."
"Conus lividus","urn:lsid:biodiversity.org.au:afd.taxon:ded26cd9-b333-4e86-b03b-f6abf1bc8f0e","Conus (Lividoconus) lividus","Conidae",,,,"(not listed)","(not listed)"
"Spermacoce gibba  ","https://id.biodiversity.org.au/node/apni/2898740","Spermacoce gibba","Rubiaceae",,,,"Data Deficient","Native to the N.T."
"Pilea microphylla  ","https://id.biodiversity.org.au/node/apni/2920954","Pilea microphylla","Urticaceae",,,,"Least Concern","Introduced"
"Amaranthus macrocarpus var. macrocarpus","https://id.biodiversity.org.au/taxon/apni/51266522","Amaranthus macrocarpus var. macrocarpus","Amaranthaceae",,,,"Data Deficient","Native to the N.T."
"Asystasia gangetica  ","https://id.biodiversity.org.au/node/apni/2911875","Asystasia gangetica","Acanthaceae",,,,"Not Evaluated","(not listed)"
"Acmella grandiflora var. discoidea","https://id.biodiversity.org.au/node/apni/2918791","Acmella grandiflora var. discoidea","Asteraceae",,,,"Data Deficient","(not listed)"
"Rhantus suturalis","urn:lsid:biodiversity.org.au:afd.taxon:7f6caf7f-6f8d-4291-90e1-69edc735038d","Rhantus suturalis","Dytiscidae",,,,"(not listed)","(not listed)"
"Rimella cancellata","urn:lsid:biodiversity.org.au:afd.taxon:69a17237-d6d7-4c8a-8300-de8e00f9f849","Varicospira cancellata","Rostellariidae",,,,"(not listed)","(not listed)"
"Pyrene punctata","urn:lsid:biodiversity.org.au:afd.taxon:783f15f0-8953-4bbe-9464-7565120c3659","Pyrene punctata","Columbellidae",,,,"(not listed)","(not listed)"
"Iseilema macratherum  ","https://id.biodiversity.org.au/node/apni/2913134","Iseilema macratherum","Poaceae",,,,"Least Concern","Native to the N.T."
"Larus dominicanus","urn:lsid:biodiversity.org.au:afd.taxon:76757d03-0605-47a4-9ca4-cb68320ba3ab","Larus (Larus) dominicanus","Laridae",,,,"Not Evaluated","Native to the N.T."
"Gonodactylaceus falcatus","urn:lsid:biodiversity.org.au:afd.taxon:b041de5c-f9c8-44b2-9a9c-0d0d70011d5e","Gonodactylaceus falcatus","Gonodactylidae",,,,"(not listed)","(not listed)"
"Neobythites purus","urn:lsid:biodiversity.org.au:afd.taxon:89b3978e-37aa-459e-a12f-17c2b3820f4e","Neobythites purus","Ophidiidae",,,,"(not listed)","(not listed)"
"Pleurostylia opposita  ","https://id.biodiversity.org.au/node/apni/2911708","Pleurostylia opposita","Celastraceae",,,,"Near Threatened","Native to the N.T."
"Mormopterus cobourgianus","urn:lsid:biodiversity.org.au:afd.taxon:ef6c4df7-10e2-42c8-8617-d89a2788b109","Ozimops cobourgianus","Molossidae",,,,"Least Concern","Native to the N.T."
"Actinoschoenus arthrostyloides  ","https://id.biodiversity.org.au/taxon/apni/51282928","Actinoschoenus arthrostyloides","Cyperaceae",,,,"Near Threatened","Native to the N.T."
"Leptoclinides pulvinus","urn:lsid:biodiversity.org.au:afd.taxon:e12d2ba0-5b0f-4175-961e-8bd003016081","Leptoclinides pulvinus","Didemnidae",,,,"(not listed)","(not listed)"
"Ipomoea diantha  ","https://id.biodiversity.org.au/node/apni/2901012","Ipomoea diantha","Convolvulaceae",,,,"Data Deficient","(not listed)"
"Laccophilus sharpi","urn:lsid:biodiversity.org.au:afd.taxon:452804a0-df55-4ae5-9155-206951a03903","Laccophilus sharpi","Dytiscidae",,,,"(not listed)","(not listed)"
"Dichanthium fecundum  ","https://id.biodiversity.org.au/node/apni/2897056","Dichanthium fecundum","Poaceae",,,,"Least Concern","Native to the N.T."
"Castiarina loriae","urn:lsid:biodiversity.org.au:afd.taxon:f2811c8b-2918-4489-95d0-b67d194ad915","Castiarina loriae","Buprestidae",,,,"(not listed)","(not listed)"
"Sertularella diaphana","urn:lsid:biodiversity.org.au:afd.taxon:a1d853bd-5e96-46a6-b78d-25a30816c7aa","Sertularella diaphana","Sertulariidae",,,,"(not listed)","(not listed)"
"Liomera venosa","urn:lsid:biodiversity.org.au:afd.taxon:6ee676e0-be87-4959-ba58-2e7fa35f183f","Liomera venosa","Anthidae",,,,"(not listed)","(not listed)"
"Erodium crinitum  ","https://id.biodiversity.org.au/node/apni/2912137","Erodium crinitum","Geraniaceae",,,,"Least Concern","Native to the N.T."
