"Supplied Name","guid","scientificName","family","kingdom","family","sourceStatus","status","Introduced  Status"
"Berosus quadrapunctatus","urn:lsid:biodiversity.org.au:afd.taxon:63faf644-2725-494e-ae55-284f8de215c6","Berosus (Berosus) quadrapunctatus","Hydrophilidae",,,,"(not listed)","(not listed)"
"Lissoporcellana miyakei","urn:lsid:biodiversity.org.au:afd.taxon:12bd6bc7-2321-4cc3-a687-cfa2a5b44680","Lissoporcellana miyakei","Porcellanidae",,,,"(not listed)","(not listed)"
"Lutjanus johnii","urn:lsid:biodiversity.org.au:afd.taxon:f7a04533-0df3-4b94-9dd3-143755b0577e","Lutjanus johnii","Lutjanidae",,,,"(not listed)","(not listed)"
"Upeneus sp.","urn:lsid:biodiversity.org.au:afd.name:f12e9067-fa7b-4473-98bd-42fce9ddec72","Upeneus sp.",,,,,"(not listed)","(not listed)"
"Solenocera pectinata","urn:lsid:biodiversity.org.au:afd.taxon:5a72c16e-32b4-4b52-bb42-2f69346bff81","Solenocera pectinata","Solenoceridae",,,,"(not listed)","(not listed)"
"Ozius tuberculosus","urn:lsid:biodiversity.org.au:afd.taxon:f8a2672f-f8f4-4100-aeca-cef108276de3","Ozius tuberculosus","Oziidae",,,,"(not listed)","(not listed)"
"Synelmis sergi","urn:lsid:biodiversity.org.au:afd.taxon:1440245c-91ae-4313-bdf4-40a0c19ae720","Synelmis sergi","Pilargidae",,,,"(not listed)","(not listed)"
"Parthenope nodosa","urn:lsid:biodiversity.org.au:afd.taxon:3ab66814-71b4-4e8f-ae01-f425c6b2f43f","Parthenope nodosa","Parthenopidae",,,,"(not listed)","(not listed)"
"Hyporhamphus neglectissimus","urn:lsid:biodiversity.org.au:afd.taxon:ca06c97f-be94-4a51-9fb6-82103856903f","Hyporhamphus neglectissimus","Hemiramphidae",,,,"(not listed)","(not listed)"
"Goodenia strangfordii  ","https://id.biodiversity.org.au/node/apni/2887563","Goodenia strangfordii","Goodeniaceae",,,,"Least Concern","Native to the N.T."
"Lysilla pacifica","urn:lsid:biodiversity.org.au:afd.taxon:62fa876b-9d84-4460-8be5-bb69cdfebb59","Lysilla pacifica","Polycirridae",,,,"(not listed)","(not listed)"
"Paraplagusia blochi","37463007","Paraplagusia blochii","Cynoglossidae",,,,"(not listed)","(not listed)"
"Sextius kurandae","urn:lsid:biodiversity.org.au:afd.taxon:2a87d7cb-ee79-4531-88b0-e4821179ea18","Sextius kurandae","Membracidae",,,,"(not listed)","(not listed)"
"Eudalia waterhousii","urn:lsid:biodiversity.org.au:afd.taxon:81821e0a-de36-4830-801f-41c83c491541","Eudalia waterhousii","Carabidae",,,,"(not listed)","(not listed)"
"Torquigener tuberculiferus","urn:lsid:biodiversity.org.au:afd.taxon:d900e576-4b78-4be2-ab21-e3194df0e9ea","Torquigener tuberculiferus","Tetraodontidae",,,,"(not listed)","(not listed)"
"Uropterygius concolor","urn:lsid:biodiversity.org.au:afd.taxon:10931a5d-c83f-4596-b2a2-c2600d61616a","Uropterygius concolor","Muraenidae",,,,"(not listed)","(not listed)"
"Lysiosquilla sulcirostris","urn:lsid:biodiversity.org.au:afd.taxon:d63d44ac-bce0-4ac2-9d66-c954d70adc35","Lysiosquilla sulcirostris","Lysiosquillidae",,,,"(not listed)","(not listed)"
"Desmothrips propinquus","urn:lsid:biodiversity.org.au:afd.taxon:e1274a3c-45fb-447c-ac46-2d53aa47ffdd","Desmothrips propinquus","Aeolothripidae",,,,"(not listed)","(not listed)"
"Alpheus microstylus","urn:lsid:biodiversity.org.au:afd.taxon:bc55693e-8592-4b5b-9449-c61fd0c99d08","Alpheus microstylus","Alpheidae",,,,"(not listed)","(not listed)"
"Sabellaria kooraltha","urn:lsid:biodiversity.org.au:afd.taxon:03212135-8e4f-4c7d-a9d5-e88b2e581b7d","Sabellaria kooraltha","Sabellariidae",,,,"(not listed)","(not listed)"
"Dendrophthoe acacioides  ","https://id.biodiversity.org.au/node/apni/2910554","Dendrophthoe acacioides","Loranthaceae",,,,"Least Concern","Native to the N.T."
"Mothocya renardi","urn:lsid:biodiversity.org.au:afd.taxon:ac95e26d-dd65-417e-8acc-9cbeea23018c","Mothocya renardi","Cymothoidae",,,,"(not listed)","(not listed)"
"Polydactylus multiradiatus","urn:lsid:biodiversity.org.au:afd.taxon:99e860d5-227c-4a84-945b-3263e81568da","Polydactylus multiradiatus","Polynemidae",,,,"(not listed)","(not listed)"
"Vexillum rugosum","urn:lsid:biodiversity.org.au:afd.taxon:50ae4eab-990f-45d5-8a4c-a372165fb2ff","Vexillum (Vexillum) rugosum","Costellariidae",,,,"(not listed)","(not listed)"
"Malurus leucopterus","urn:lsid:biodiversity.org.au:afd.taxon:2bb631d8-627f-4154-a7c9-fc9f96ad5eeb","Malurus (Musciparus) leucopterus","Maluridae",,,,"Least Concern","Native to the N.T."
"Liopholis striata","urn:lsid:biodiversity.org.au:afd.taxon:cc0e7fab-ead7-4aa6-949e-0f40a214d0d0","Liopholis striata","Scincidae",,,,"Least Concern","Native to the N.T."
"Marsilea drummondii  ","https://id.biodiversity.org.au/node/apni/2902272","Marsilea drummondii","Marsileaceae",,,,"Least Concern","Native to the N.T."
"Flabellina rubrolineata","urn:lsid:biodiversity.org.au:afd.taxon:522ee5bb-9e32-47f8-bf37-2cfc53d22d00","Flabellina rubrolineata","Flabellinidae",,,,"(not listed)","(not listed)"
"Sphaeromorphaea littoralis  ","https://id.biodiversity.org.au/node/apni/7069871","Sphaeromorphaea littoralis","Asteraceae",,,,,"(not listed)"
"Cyperus fucosus  ","https://id.biodiversity.org.au/node/apni/2911565","Cyperus fucosus","Cyperaceae",,,,"Data Deficient","Native to the N.T."
"Sauropus sp. sand plains  ","ALA_Sauropus_sp_sand_plains","Sauropus sp. sand plains",,,,,"Not Evaluated","Endemic to the N.T."
"Acanthaster planci","urn:lsid:biodiversity.org.au:afd.taxon:b96636ed-7af2-47a8-b016-d6151bf2414b","Acanthaster planci","Acanthasteridae",,,,"(not listed)","(not listed)"
"Conilurus penicillatus","urn:lsid:biodiversity.org.au:afd.taxon:f2453962-1dcf-49f4-944a-dbad66765ca7","Conilurus penicillatus","Muridae",,,,"Endangered","Native to the N.T."
"Lomandra tropica  ","https://id.biodiversity.org.au/node/apni/2901673","Lomandra tropica","Asparagaceae",,,,"Least Concern","Native to the N.T."
"Riethia stictoptera","urn:lsid:biodiversity.org.au:afd.taxon:8abc2d30-fcbf-4f65-9cd8-eea26a7fbc17","Riethia stictoptera","Chironomidae",,,,"(not listed)","(not listed)"
"Metapenaeopsis lamellata","urn:lsid:biodiversity.org.au:afd.taxon:a4c74954-a15a-42ea-8a70-39d980a012a1","Metapenaeopsis lamellata","Penaeidae",,,,"(not listed)","(not listed)"
"Tephrosia oligophylla  ","https://id.biodiversity.org.au/node/apni/2910748","Tephrosia oligophylla","Fabaceae",,,,"Least Concern","Native to the N.T."
"Raspailia darwinensis","urn:lsid:biodiversity.org.au:afd.taxon:76736ec2-b11d-48ff-8198-d06d00962b4f","Raspailia (Clathriodendron) darwinensis","Raspailiidae",,,,"(not listed)","(not listed)"
"Thairopora mamillaris","urn:lsid:biodiversity.org.au:afd.taxon:1bed37a0-d586-4ba1-ad32-f75370920e90","Thairopora mamillaris","Thalamoporellidae",,,,"(not listed)","(not listed)"
"Pistris serricostata","urn:lsid:biodiversity.org.au:afd.taxon:d41e59ac-3d39-4b78-88a2-ad8563412631","Pistris serricostata","Tellinidae",,,,"(not listed)","(not listed)"
"Josephella marenzelleri","urn:lsid:biodiversity.org.au:afd.taxon:f94ec0fa-8568-4665-99cd-d26afc8f1313","Josephella marenzelleri","Serpulidae",,,,"(not listed)","(not listed)"
"Apowollastonia stirlingii  ","https://id.biodiversity.org.au/node/apni/6942657","Apowollastonia stirlingii","Asteraceae",,,,"Least Concern","Native to the N.T."
"Pingalla lorentzi","urn:lsid:biodiversity.org.au:afd.taxon:21f03177-b08e-45e0-a9bf-d550c592414b","Pingalla lorentzi","Terapontidae",,,,"Vulnerable","(not listed)"
"Austrodolichos errabundus var. variabilis","ALA_Austrodolichos_errabundus_var_variabilis","Austrodolichos errabundus var. variabilis",,,,,"Data Deficient","Endemic to the N.T."
"Ziba flammea","urn:lsid:biodiversity.org.au:afd.taxon:c97fadcb-cbfc-462e-a847-f0fb4240cd67","Imbricaria flammea","Mitridae",,,,"(not listed)","(not listed)"
"Selaginella ciliaris  ","https://id.biodiversity.org.au/node/apni/2907266","Selaginella ciliaris","Selaginellaceae",,,,"Least Concern","Native to the N.T."
"Montipora tuberculosa","urn:lsid:biodiversity.org.au:afd.taxon:5ac9603b-18cb-46d4-98d6-5b23a8de792d","Montipora tuberculosa","Acroporidae",,,,"(not listed)","(not listed)"
"Enochrus maculiceps","urn:lsid:biodiversity.org.au:afd.taxon:7a4909ff-ae16-4200-a514-537df22e150f","Enochrus (Methydrus) maculiceps","Hydrophilidae",,,,"(not listed)","(not listed)"
"Aristolochia pubera  ","https://id.biodiversity.org.au/node/apni/2904466","Aristolochia pubera","Aristolochiaceae",,,,"Least Concern","Native to the N.T."
"Polymeria lanata  ","https://id.biodiversity.org.au/node/apni/2910134","Polymeria lanata","Convolvulaceae",,,,,"(not listed)"
"Lerista karlschmidti","urn:lsid:biodiversity.org.au:afd.taxon:5600e349-0852-472f-90c7-3eca47d9139c","Lerista karlschmidti","Scincidae",,,,"Least Concern","Native to the N.T."
"Corymbia grandifolia subsp. longa","https://id.biodiversity.org.au/node/apni/2918395","Corymbia grandifolia subsp. longa","Myrtaceae",,,,"Least Concern","Native to the N.T."
"Cerceris alastoroides","urn:lsid:biodiversity.org.au:afd.taxon:dcade6c9-3a77-4179-81cb-978bf235672c","Cerceris alastoroides","Crabronidae",,,,"(not listed)","Endemic to the N.T."
"Grallina cyanoleuca","urn:lsid:biodiversity.org.au:afd.taxon:92b72968-495a-442e-a81a-d6f9fe0c5b19","Grallina cyanoleuca","Monarchidae",,,,"Least Concern","Native to the N.T."
"Austracantha minax","urn:lsid:biodiversity.org.au:afd.taxon:74575bd2-593b-46ac-951c-522e48735910","Austracantha minax","Araneidae",,,,"(not listed)","(not listed)"
"Culmacris archaica","urn:lsid:biodiversity.org.au:afd.taxon:4f76a021-751a-4ba5-95f8-529fc7c63eb5","Culmacris archaica","Morabidae",,,,"(not listed)","Endemic to the N.T."
"Omorgus crotchi","urn:lsid:biodiversity.org.au:afd.taxon:07c6c99a-f2e4-403f-9bb3-edbb718e4775","Omorgus (Omorgus) crotchi","Trogidae",,,,"(not listed)","(not listed)"
"Pterygotrigla ryukyuensis","urn:lsid:biodiversity.org.au:afd.taxon:9c84b5b1-5da3-428f-8a4e-28b48f54a3f7","Pterygotrigla ryukyuensis","Triglidae",,,,"(not listed)","(not listed)"
"Dorometra parvicirra","urn:lsid:biodiversity.org.au:afd.taxon:f25d2491-8a23-4ff5-ad51-b7bbc84a1361","Dorometra parvicirra","Antedonidae",,,,"(not listed)","(not listed)"
"Botula silicula","urn:lsid:biodiversity.org.au:afd.taxon:c7aac69d-313b-4284-a3ae-1b364efb00cc","Botula cinnamomea","Mytilidae",,,,"(not listed)","(not listed)"
"Lophiocharon hutchinsi","urn:lsid:biodiversity.org.au:afd.taxon:d1d29889-713e-4188-92a9-ab57d629c3af","Lophiocharon hutchinsi","Antennariidae",,,,"(not listed)","(not listed)"
"Rhadinosticta handschini","urn:lsid:biodiversity.org.au:afd.taxon:82e11aa9-8b69-449e-b2e7-1513a8e1d18d","Rhadinosticta handschini","Isostictidae",,,,"(not listed)","Endemic to the N.T."
"Euphorbia porcata  ","https://id.biodiversity.org.au/node/apni/7213175","Euphorbia porcata","Euphorbiaceae",,,,"Not Evaluated","(not listed)"
"Corynotheca micrantha  ","https://id.biodiversity.org.au/node/apni/2904465","Corynotheca micrantha","Hemerocallidaceae",,,,"INFRA","Native to the N.T."
"Spermacoce brevidens  ","https://id.biodiversity.org.au/node/apni/2908706","Spermacoce brevidens","Rubiaceae",,,,"Data Deficient","Endemic to the N.T."
"Uca longidigita","urn:lsid:biodiversity.org.au:afd.taxon:a6c2742a-92f7-48fe-b032-d23b2546da50","Tubuca longidigitum","Ocypodidae",,,,"(not listed)","(not listed)"
"Amyema quandang var. quandang","https://id.biodiversity.org.au/node/apni/8453926","Amyema quandang var. quandang","Loranthaceae",,,,"Least Concern","Native to the N.T."
"Havelockia versicolor","urn:lsid:biodiversity.org.au:afd.taxon:b6ffc17a-31be-43a1-a972-130ec85a6bcd","Havelockia versicolor","Sclerodactylidae",,,,"(not listed)","(not listed)"
"Neurochyta agrapta","urn:lsid:biodiversity.org.au:afd.taxon:961c7793-5d09-4a13-ba82-039b7c01ff27","Neurochyta agrapta","Lasiocampidae",,,,"(not listed)","(not listed)"
"Artamus cinereus","urn:lsid:biodiversity.org.au:afd.taxon:5f25fcc3-bfad-4e81-bb70-0d9203d2a338","Artamus (Angroyan) cinereus","Artamidae",,,,"Least Concern","Native to the N.T."
"Spermacoce resinosula  ","https://id.biodiversity.org.au/node/apni/2899156","Spermacoce resinosula","Rubiaceae",,,,"Data Deficient","Native to the N.T."
"Fimbristylis densa  ","https://id.biodiversity.org.au/node/apni/2912203","Fimbristylis densa","Cyperaceae",,,,"Least Concern","Native to the N.T."
"Solanum pugiunculiferum  ","https://id.biodiversity.org.au/node/apni/2897572","Solanum pugiunculiferum","Solanaceae",,,,"Least Concern","Native to the N.T."
"Branchiosyllis exilis","urn:lsid:biodiversity.org.au:afd.taxon:575a983c-87d1-4674-98f8-c63ac5aca28d","Branchiosyllis exilis","Syllidae",,,,"(not listed)","Endemic to the N.T."
"Menetia maini","urn:lsid:biodiversity.org.au:afd.taxon:7637a8e7-9936-4a94-b5d6-a700fe3ded78","Menetia maini","Scincidae",,,,"Least Concern","Native to the N.T."
"Epitonium sandwichense","urn:lsid:biodiversity.org.au:afd.taxon:0aaacf2c-24d0-46a6-a486-78f45b49761f","Epitonium (Laeviscala) sandwichense","Epitoniidae",,,,"(not listed)","(not listed)"
"Thalasseus bergii","urn:lsid:biodiversity.org.au:afd.taxon:803a6245-e23d-444c-a2ac-4b8a09e69c3a","Thalasseus bergii","Laridae",,,,"Least Concern","Native to the N.T."
"Maireana pentatropis  ","https://id.biodiversity.org.au/node/apni/2889466","Maireana pentatropis","Chenopodiaceae",,,,"Near Threatened","Native to the N.T."
"Ostorhinchus cookii","urn:lsid:biodiversity.org.au:afd.taxon:857fb3c3-d704-437d-b0cb-2249bc8e9b78","Ostorhinchus cookii","Apogonidae",,,,"(not listed)","(not listed)"
"Paroster pentameres","urn:lsid:biodiversity.org.au:afd.taxon:68834af2-39d8-48e5-bd72-30b4bb657a03","Paroster pentameres","Dytiscidae",,,,"(not listed)","Endemic to the N.T."
"Crotalaria retusa  ","https://id.biodiversity.org.au/node/apni/2895442","Crotalaria retusa","Fabaceae",,,,"Least Concern","Native to the N.T."
"Photololigo edulis","23617903","Uroteuthis edulis complex","Loliginidae",,,,"(not listed)","(not listed)"
"Gleichenia sp. Victoria River  ","ALA_Gleichenia_sp_Victoria_River","Gleichenia sp. Victoria River",,,,,"Vulnerable","Endemic to the N.T."
"Demansia reticulata","urn:lsid:biodiversity.org.au:afd.taxon:c7a6088e-699b-4b64-ad9c-5bec96681b3a","Demansia reticulata","Elapidae",,,,"Least Concern","Native to the N.T."
"Stylidium dunlopianum  ","https://id.biodiversity.org.au/node/apni/2895224","Stylidium dunlopianum","Stylidiaceae",,,,"Least Concern","Native to the N.T."
"Liphyra brassolis major","urn:lsid:biodiversity.org.au:afd.taxon:f161533e-d7f8-44e3-8e9b-59831d379820","Liphyra brassolis major","Lycaenidae",,,,"(not listed)","(not listed)"
"Zenarchopterus gilli","urn:lsid:biodiversity.org.au:afd.taxon:347b2667-dbdb-4b92-afdf-3d22dd2920f7","Zenarchopterus gilli","Hemiramphidae",,,,"(not listed)","(not listed)"
"Brachychiton diversifolius  ","https://id.biodiversity.org.au/node/apni/2902708","Brachychiton diversifolius","Malvaceae",,,,"Least Concern","Native to the N.T."
"Cyperus aquatilis  ","https://id.biodiversity.org.au/node/apni/2889482","Cyperus aquatilis","Cyperaceae",,,,"Least Concern","Native to the N.T."
"Sphallomorpha interioris","urn:lsid:biodiversity.org.au:afd.taxon:bd086a93-925a-49ce-ae29-70aa4b7ec10b","Sphallomorpha interioris","Carabidae",,,,"(not listed)","Endemic to the N.T."
"Canthocalanus pauper","urn:lsid:biodiversity.org.au:afd.taxon:6ab8dabe-f8e4-4bba-b7a9-872ce380fd69","Canthocalanus pauper","Calanidae",,,,"(not listed)","(not listed)"
"Phoracantha solida","urn:lsid:biodiversity.org.au:afd.taxon:7019f927-a5d4-4ee8-b809-cb6d67765101","Phoracantha solida","Cerambycidae",,,,"(not listed)","(not listed)"
"Haliplus sindus","urn:lsid:biodiversity.org.au:afd.taxon:232c7134-03ff-4a65-a4c6-332025d98914","Haliplus sindus","Haliplidae",,,,"(not listed)","(not listed)"
"Millettia pinnata  ","https://id.biodiversity.org.au/node/apni/2905458","Millettia pinnata","Fabaceae",,,,"Least Concern","Native to the N.T."
"Carcinops pumilio","urn:lsid:biodiversity.org.au:afd.taxon:031787e1-543e-462b-86fc-b53cf7385640","Carcinops (Carcinops) pumilio","Histeridae",,,,"(not listed)","(not listed)"
"Chloeia flava","urn:lsid:biodiversity.org.au:afd.taxon:5d27170b-0b17-41d7-8b7f-abf453d52896","Chloeia flava","Amphinomidae",,,,"(not listed)","(not listed)"
"Acacia dictyophleba  ","https://id.biodiversity.org.au/node/apni/2897216","Acacia dictyophleba","Fabaceae",,,,"Least Concern","Native to the N.T."
"Athanas dimorphus","urn:lsid:biodiversity.org.au:afd.taxon:5cae68f9-0b3d-4b43-b58c-41e69c47008d","Athanas dimorphus","Alpheidae",,,,"(not listed)","(not listed)"
"Eulimella amoebaea","urn:lsid:biodiversity.org.au:afd.taxon:713266d7-6f15-4aea-837c-73fb494b4cb0","Eulimella amoebaea","Pyramidellidae",,,,"(not listed)","(not listed)"
"Erythrocles schlegeli","urn:lsid:biodiversity.org.au:afd.taxon:f1e4e81d-cd9a-432c-bc4e-566b3781ce05","Erythrocles schlegelii","Emmelichthyidae",,,,"(not listed)","(not listed)"
"Terminalia savannicola  ","https://id.biodiversity.org.au/node/apni/2905883","Terminalia savannicola","Combretaceae",,,,"Least Concern","Native to the N.T."
"Oligometra serripinna","urn:lsid:biodiversity.org.au:afd.taxon:bca57f6f-e240-4341-828b-52a96eafc7fd","Oligometra serripinna","Colobometridae",,,,"(not listed)","(not listed)"
"Triodia helmsii  ","https://id.biodiversity.org.au/node/apni/2918000","Triodia helmsii","Poaceae",,,,"Data Deficient","Native to the N.T."
"Anhinga novaehollandiae","urn:lsid:biodiversity.org.au:afd.taxon:da8e2ea0-44a8-46a5-9fa4-c5b286e12417","Anhinga novaehollandiae","Anhingidae",,,,"Least Concern","Native to the N.T."
"Opuntia inermis  ","https://id.biodiversity.org.au/node/apni/2920789","Opuntia stricta","Cactaceae",,,,"Least Concern","(not listed)"
"Sphaerostephanos heterocarpus  ","https://id.biodiversity.org.au/node/apni/2899611","Sphaerostephanos heterocarpus","Thelypteridaceae",,,,"Near Threatened","Native to the N.T."
"Hemimetis plicata","urn:lsid:biodiversity.org.au:afd.taxon:d47d6c36-a0df-4a93-aff4-d141015f8d7e","Apolymetis plicata","Tellinidae",,,,"(not listed)","(not listed)"
"Euphorbia schizolepis  ","https://id.biodiversity.org.au/node/apni/2901155","Euphorbia schizolepis","Euphorbiaceae",,,,"Least Concern","Native to the N.T."
"Stylobasium spathulatum  ","https://id.biodiversity.org.au/node/apni/2918445","Stylobasium spathulatum","Surianaceae",,,,"Least Concern","Native to the N.T."
"Cryptophleps cyplus","urn:lsid:biodiversity.org.au:afd.taxon:73412816-3104-4b60-a9dd-2a330b30ef21","Cryptophleps cyplus","Dolichopodidae",,,,"(not listed)","(not listed)"
"Eremophila sp. Arookara Range  ","ALA_Eremophila_sp_Arookara_Range","Eremophila sp. Arookara Range",,,,,"Near Threatened","Endemic to the N.T."
"Wardamanocoris formosus","urn:lsid:biodiversity.org.au:afd.taxon:e7207ce8-6288-4773-a082-7d8711145973","Wardamanocoris formosus","Reduviidae",,,,"(not listed)","Endemic to the N.T."
"Notolibellula bicolor","urn:lsid:biodiversity.org.au:afd.taxon:bf12f7c0-c798-4b14-b195-b3fc96247640","Notolibellula bicolor","Libellulidae",,,,"(not listed)","(not listed)"
"Acacia chippendalei  ","https://id.biodiversity.org.au/node/apni/2893631","Acacia chippendalei","Fabaceae",,,,"Least Concern","Native to the N.T."
"Didemnum moseleyi","urn:lsid:biodiversity.org.au:afd.taxon:ec510c80-16a0-42ae-9d1c-4218e36d4b24","Didemnum moseleyi","Didemnidae",,,,"(not listed)","(not listed)"
"Zenarchopterus rasori","urn:lsid:biodiversity.org.au:afd.taxon:1e4aa46e-680f-4c31-afe0-70b3bda6a2ac","Zenarchopterus rasori","Hemiramphidae",,,,"(not listed)","(not listed)"
"Homalictus behri","urn:lsid:biodiversity.org.au:afd.taxon:ee9288c3-2ab7-4c98-9ed8-6016db69b99b","Homalictus (Homalictus) behri","Halictidae",,,,"(not listed)","(not listed)"
"Vigna sp. Station Creek  ","ALA_Vigna_sp_Station_Creek","Vigna sp. Station Creek",,,,,,"(not listed)"
"Alpheus pacificus","urn:lsid:biodiversity.org.au:afd.taxon:44a9a148-309b-40c8-b257-4f2c658011c6","Alpheus pacificus","Alpheidae",,,,"(not listed)","(not listed)"
"Anthrax maculatus","urn:lsid:biodiversity.org.au:afd.taxon:f9491599-0cea-481c-aab4-cebf6c675b98","Anthrax maculatus","Bombyliidae",,,,"(not listed)","(not listed)"
"Fimbristylis macassarensis  ","https://id.biodiversity.org.au/node/apni/2898030","Fimbristylis macassarensis","Cyperaceae",,,,"Least Concern","Native to the N.T."
"Austromantispa imbecilla","urn:lsid:biodiversity.org.au:afd.taxon:73f495bb-6e25-4f69-9e36-534de4269431","Austromantispa imbecilla","Mantispidae",,,,"(not listed)","(not listed)"
"Taxithelium kerianum  ","https://id.biodiversity.org.au/node/ausmoss/10117148","Taxithelium kerianum","Pylaisiadelphaceae",,,,,"(not listed)"
"Isotropis atropurpurea  ","https://id.biodiversity.org.au/node/apni/2918004","Isotropis atropurpurea","Fabaceae",,,,"Least Concern","Native to the N.T."
"Strophurus jeanae","urn:lsid:biodiversity.org.au:afd.taxon:88a4c3e8-7087-4b08-ab20-539a1c733677","Strophurus jeanae","Diplodactylidae",,,,"Least Concern","Native to the N.T."
"Heteromysis quadrispinosa","urn:lsid:biodiversity.org.au:afd.taxon:4c700eec-ce89-4bcb-bfd5-184c807a0f30","Heteromysis (Olivemysis) quadrispinosa","Mysidae",,,,"(not listed)","(not listed)"
"Diaphania indica","urn:lsid:biodiversity.org.au:afd.taxon:0d6726cc-fd16-437e-bea7-14da24bf8b0f","Diaphania indica","Crambidae",,,,"(not listed)","(not listed)"
"Anachis lurida","urn:lsid:biodiversity.org.au:afd.taxon:cb29eeb0-c5db-47bc-97bc-d42fa0390e37","Pyreneola lurida","Columbellidae",,,,"(not listed)","(not listed)"
"Polinices powisianus","urn:lsid:biodiversity.org.au:afd.taxon:a57d3833-8c0f-433a-8704-97622c6e1e1f","Neverita powisianus","Naticidae",,,,"(not listed)","(not listed)"
"Goondnomdanepa brittoni","urn:lsid:biodiversity.org.au:afd.taxon:c735a4cf-032a-407e-8376-0af65d4bc5c5","Goondnomdanepa brittoni","Nepidae",,,,"(not listed)","Endemic to the N.T."
"Myrmecia nigriceps","urn:lsid:biodiversity.org.au:afd.taxon:38c9c52e-4d2b-4152-b03e-80f24042e6a5","Myrmecia nigriceps","Formicidae",,,,"(not listed)","(not listed)"
"Polycarpaea incana  ","https://id.biodiversity.org.au/node/apni/2888999","Polycarpaea incana","Caryophyllaceae",,,,"Least Concern","Endemic to the N.T."
"Ptilonorhynchus nuchalis","urn:lsid:biodiversity.org.au:afd.taxon:b1c8af67-39aa-4d8c-9d62-9297549063b0","Ptilonorhynchus nuchalis","Ptilonorhynchidae",,,,"Least Concern","Native to the N.T."
"Wydundra churchillae","urn:lsid:biodiversity.org.au:afd.taxon:b59a4851-a640-4719-8c4f-c92555429727","Wydundra churchillae","Prodidomidae",,,,"(not listed)","Endemic to the N.T."
"Ternstroemia cherryi  ","https://id.biodiversity.org.au/node/apni/2920320","Ternstroemia cherryi","Pentaphylacaceae",,,,"Near Threatened","Native to the N.T."
"Lopha cristagalli","urn:lsid:biodiversity.org.au:afd.taxon:8bd5d9cf-739a-4bb2-9226-17e14ba44406","Lopha cristagalli","Ostreidae",,,,"(not listed)","(not listed)"
"Excoecaria ovalis  ","https://id.biodiversity.org.au/node/apni/2904424","Excoecaria ovalis","Euphorbiaceae",,,,"Least Concern","Native to the N.T."
"Limacina bulimoides","urn:lsid:biodiversity.org.au:afd.taxon:8b65637c-09b2-4899-91bd-e90954f95213","Limacina bulimoides","Limacinidae",,,,"(not listed)","(not listed)"
"Eriocaulon inapertum  ","https://id.biodiversity.org.au/node/apni/2904633","Eriocaulon inapertum","Eriocaulaceae",,,,"Near Threatened","Endemic to the N.T."
"Sinezona ferriezi","urn:lsid:biodiversity.org.au:afd.taxon:ce6d4c19-76df-41a7-b173-aa417a7c36ca","Sinezona ferriezi","Scissurellidae",,,,"(not listed)","(not listed)"
"Gonodactylus chiragra","urn:lsid:biodiversity.org.au:afd.taxon:52eab728-deae-4ba7-a13c-6d2ec0b38e2c","Gonodactylus chiragra","Gonodactylidae",,,,"(not listed)","(not listed)"
"Gomphrena connata  ","https://id.biodiversity.org.au/node/apni/2899997","Gomphrena connata","Amaranthaceae",,,,"Least Concern","Native to the N.T."
"Ludwigia adscendens  ","https://id.biodiversity.org.au/node/apni/2919461","Ludwigia adscendens","Onagraceae",,,,"Least Concern","Native to the N.T."
"Ariomma lurida","urn:lsid:biodiversity.org.au:afd.taxon:455b8ac0-e3f6-4c8d-b43b-7bfeacbc9889","Ariomma luridum","Ariommatidae",,,,"(not listed)","(not listed)"
"Cryptoblepharus mertensi","urn:lsid:biodiversity.org.au:afd.taxon:c1eb3632-9538-491d-8e02-8901803bbd66","Cryptoblepharus mertensi","Scincidae",,,,"Least Concern","Native to the N.T."
"Perilitus morabinarum","urn:lsid:biodiversity.org.au:afd.taxon:6b1e7a33-ac83-48a5-93ce-adc31bd58688","Notioperilitus morabinarum","Braconidae",,,,"(not listed)","Endemic to the N.T."
"Ammannia arnhemica  ","https://id.biodiversity.org.au/node/apni/7500738","Ammannia arnhemica","Lythraceae",,,,"Least Concern","Native to the N.T."
"Pseudomesodontrachia cockburnensis","urn:lsid:biodiversity.org.au:afd.taxon:a91975cd-1dd5-45c5-8883-df685bf90e20","Pseudomesodontrachia cockburnensis","Camaenidae",,,,"(not listed)","(not listed)"
"Pisodonophis boro","urn:lsid:biodiversity.org.au:afd.taxon:46dfac1c-164a-4d21-b9a4-b34e364c1bf3","Pisodonophis boro","Ophichthidae",,,,"(not listed)","(not listed)"
"Neagenor anteaureus","urn:lsid:biodiversity.org.au:afd.taxon:5041ea72-f1dc-44dd-8570-677aa06e5442","Neagenor anteaureus","Pentatomidae",,,,"(not listed)","(not listed)"
"Exocoetus volitans","urn:lsid:biodiversity.org.au:afd.taxon:fd1e036b-c5b8-4e82-a4bd-1180c94ea2aa","Exocoetus volitans","Exocoetidae",,,,"(not listed)","(not listed)"
"Hydrochus aschnakiranae","urn:lsid:biodiversity.org.au:afd.taxon:6a008b11-a096-4989-8505-64a3666f81f9","Hydrochus aschnakiranae","Hydrophilidae",,,,"(not listed)","(not listed)"
"Xanthostemon psidioides  ","https://id.biodiversity.org.au/node/apni/2905281","Xanthostemon psidioides","Myrtaceae",,,,"Least Concern","Native to the N.T."
