,status_id,taxon_id,user_id,place_id,source_id,authority,status,url,description,geoprivacy,iucn,created_at,updated_at,place_name,place_display_name,taxon_id_y,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,scientificName,taxonRank,references,preferred_common_name,is_active,current_synonymous_taxon_ids
1596,152924,563605,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:09:29.663254,2019-07-23 00:09:29.663254,Western Australia,"Western Australia, AU",563605,https://www.inaturalist.org/taxa/563605,https://www.inaturalist.org/taxa/563605,https://www.inaturalist.org/taxa/70025,Plantae,Tracheophyta,Liliopsida,Pandanales,Pandanaceae,Pandanus,spiralis,,2019-02-15T07:23:22Z,Pandanus spiralis,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/9760053,,,
1645,152983,57481,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:09:44.525076,2019-07-23 00:09:44.525076,Western Australia,"Western Australia, AU",57481,https://www.inaturalist.org/taxa/57481,https://www.inaturalist.org/taxa/57481,https://www.inaturalist.org/taxa/56031,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Calystegia,sepium,,2020-11-16T18:03:06Z,Calystegia sepium,species,http://www.catalogueoflife.org/annual-checklist/2009/show_species_details.php?record_id=716429,,,
869,153584,586067,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:12:04.765955,2019-08-18 01:46:31.563695,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Fuirena leptostachya forma nudiflora,,,,False,[924320]
2000,153400,587928,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:11:22.651732,2019-07-23 00:11:22.651732,Western Australia,"Western Australia, AU",587928,https://www.inaturalist.org/taxa/587928,https://www.inaturalist.org/taxa/587928,https://www.inaturalist.org/taxa/52346,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,gracilisepala,,2019-02-15T13:38:05Z,Ipomoea gracilisepala,species,,,,
1624,152956,634645,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:09:37.591264,2019-07-23 00:09:37.591264,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Gnephosis intonsa,,,,False,[]
2585,153358,73203,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:11:12.623071,2020-08-22 20:43:50.935597,Western Australia,"Western Australia, AU",73203,https://www.inaturalist.org/taxa/73203,https://www.inaturalist.org/taxa/73203,https://www.inaturalist.org/taxa/3957,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,fulicarius,,2022-11-07T03:52:07Z,Phalaropus fulicarius,species,http://www.birdlife.org/datazone/speciesfactsheet.php?id=3065,,,
2244,153685,75237,708886,6827,16654,WA Department of Environment and Convservation,presumed extinct,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,70,2019-07-23 00:12:27.350582,2019-07-23 00:12:27.350582,Western Australia,"Western Australia, AU",75237,https://www.inaturalist.org/taxa/75237,https://www.inaturalist.org/taxa/75237,https://www.inaturalist.org/taxa/43245,Animalia,Chordata,Mammalia,Monotremata,Tachyglossidae,Zaglossus,bruijnii,,2021-11-06T02:15:48Z,Zaglossus bruijnii,species,http://www.iucnredlist.org/details/23179/0,,,
1929,153313,769943,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:11:02.097564,2019-07-23 00:11:02.097564,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Heliotropium aenigmatum,,,,False,[]
1800,153168,769948,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:10:28.079426,2019-07-23 00:10:28.079426,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Heliotropium alcyonium,,,,False,[]
2271,153717,769954,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:12:35.178311,2019-07-23 00:12:35.178311,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Heliotropium apertum,,,,False,[]
1896,153279,769981,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:10:54.239469,2019-07-23 00:10:54.239469,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Heliotropium calvariavis,,,,False,[]
1793,153157,770008,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:10:25.644235,2019-07-23 00:10:25.644235,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Heliotropium discorde,,,,False,[]
1907,153288,770032,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:10:56.052876,2019-07-23 00:10:56.052876,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Heliotropium foveolatum,,,,False,[]
2300,153749,770035,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:12:42.522503,2019-07-23 00:12:42.522503,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Heliotropium galioides,,,,False,[]
1692,153040,770039,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:09:58.336569,2019-07-23 00:09:58.336569,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Heliotropium geocharis,,,,False,[]
2275,153721,770111,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:12:36.08356,2019-07-23 00:12:36.08356,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Heliotropium muticum,,,,False,[]
1729,153086,770117,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:10:08.480049,2019-07-23 00:10:08.480049,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Heliotropium nesopelydum,,,,False,[]
