vba_taxonID,vba_name,vba_status,vba_geoprivacy,lsid,scientificName,type,genusOrAbove,specificEpithet,parsed,parsedPartially,canonicalName,canonicalNameComplete,canonicalNameWithMarker,rankMarker,infraSpecificEpithet,infraGeneric,sensu,bracketAuthorship,remarks,notho,authorship,vba_scientificName,new_geoprivacy,status_id,scientificName_x,taxon_id,user_id,description,iucn,authority,status,geoprivacy,place_id,place_display_name,new_url,new_description,new_authority,new_place_id,new_username,new_iucn_equivalent,new_status,id,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,infraspecificEpithet,modified,scientificName_y,taxonRank,references
2495,,Vulnerable,,https://biodiversity.org.au/afd/taxa/b18fd912-edc3-4052-b9c1-faf0f09e5c59,,,,,,,,,,,,,,,,,,Riekoperla isosceles,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/b18fd912-edc3-4052-b9c1-faf0f09e5c59,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
3023,,Critically Endangered,,https://biodiversity.org.au/afd/taxa/20cb9c1d-b91e-41bc-ad6f-6bd4d5a55c19,,,,,,,,,,,,,,,,,,Tamasia furcilla,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/20cb9c1d-b91e-41bc-ad6f-6bd4d5a55c19,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Critically Endangered,,,,,,,,,,,,,,,
3040,,Vulnerable,,https://biodiversity.org.au/afd/taxa/c21f68b0-b949-42ec-b92d-3029ab652ce1,,,,,,,,,,,,,,,,,,Taskiria otwayensis,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/c21f68b0-b949-42ec-b92d-3029ab652ce1,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
2368,,,,https://biodiversity.org.au/afd/taxa/7ffb621a-7016-456e-a1eb-a7327333a316,,,,,,,,,,,,,,,,,,Thaumatoperla timmsi,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/7ffb621a-7016-456e-a1eb-a7327333a316,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Sensitive,,,,,,,,,,,,,,,
75193,,Vulnerable,,https://biodiversity.org.au/afd/taxa/ce927666-7783-4a91-983a-0a3222edcf79,,,,,,,,,,,,,,,,,,Triaenodes resima,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/ce927666-7783-4a91-983a-0a3222edcf79,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
75194,,Vulnerable,,https://biodiversity.org.au/afd/taxa/ae92e32d-6b64-4a0e-9452-cadac3901502,,,,,,,,,,,,,,,,,,Triaenodes uvida,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/ae92e32d-6b64-4a0e-9452-cadac3901502,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
3186,,,,https://biodiversity.org.au/afd/taxa/bc25e855-1085-4966-b222-8f00ccd7824b,,,,,,,,,,,,,,,,,,Westriplectes angelae,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/bc25e855-1085-4966-b222-8f00ccd7824b,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Sensitive,,,,,,,,,,,,,,,
3187,,Vulnerable,,https://biodiversity.org.au/afd/taxa/c7a80352-1251-49f4-ac71-168ea7c6e7b9,,,,,,,,,,,,,,,,,,Westriplectes pedderensis,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/c7a80352-1251-49f4-ac71-168ea7c6e7b9,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
75214,,Endangered,,https://biodiversity.org.au/afd/taxa/84eb0b40-28cb-4e69-b5b0-3772023ae43a,,,,,,,,,,,,,,,,,,Dinotoperla walkeri,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/84eb0b40-28cb-4e69-b5b0-3772023ae43a,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Endangered,,,,,,,,,,,,,,,
13168,,Critically Endangered,,https://biodiversity.org.au/afd/taxa/6377e038-68df-4ee3-838b-18090425b361,,,,,,,,,,,,,,,,,,Litoria booroolongensis,obscured,,,,,,,,,,,,https://bie.ala.org.au/species/https://biodiversity.org.au/afd/taxa/6377e038-68df-4ee3-838b-18090425b361,See https://discover.data.vic.gov.au/dataset/victorian-biodiversity-atlas-vba-taxa-list1,"Victorian Department of Energy, Environment and Climate Action",7830,peggydnew,Vulnerable,Critically Endangered,,,,,,,,,,,,,,,
