wildnetTaxonID,name,status,wildnet_geoprivacy,lsid,scientificName,canonicalName,canonicalNameComplete,type,rankMarker,new_geoprivacy,status_id,taxon_id,user_id,description,iucn,authority,status_inat,geoprivacy,place_id,place_display_name,new_authority,new_description,new_url,new_place_id,new_username,new_iucn_equivalent,new_status,id,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,taxonRank,references
18107,,Near Threatened,,https://id.biodiversity.org.au/node/apni/2886973,Acmena mackinnoniana,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=18107,7308,peggydnew,Vulnerable,Near Threatened,,,,,,,,,,,,,,,
9424,,Vulnerable,,https://id.biodiversity.org.au/node/apni/2890784,Acmenosperma pringlei,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=9424,7308,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
30539,,Vulnerable,,https://id.biodiversity.org.au/node/apni/2891555,Actephila bella,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=30539,7308,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
30644,,Vulnerable,,https://id.biodiversity.org.au/node/apni/2900308,Actephila championiae,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=30644,7308,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
41754,,Near Threatened,,ALA_DR652_1083,Aglaia monticola,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=41754,7308,peggydnew,Vulnerable,Near Threatened,,,,,,,,,,,,,,,
40762,,Least concern,,https://id.biodiversity.org.au/node/apni/2917223,Alsophila baileyana,,,,,obscured,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=40762,7308,peggydnew,Vulnerable,Least concern,,,,,,,,,,,,,,,
41582,,Endangered,,ALA_DR652_644,Alsophila exilis,,,,,obscured,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=41582,7308,peggydnew,Vulnerable,Endangered,,,,,,,,,,,,,,,
9879,,Extinct in the wild,,https://id.biodiversity.org.au/node/apni/2894358,Amphibromus whitei,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=9879,7308,peggydnew,Vulnerable,Extinct in the wild,,,,,,,,,,,,,,,
26374,,Critically Endangered,,https://id.biodiversity.org.au/node/apni/2916042,Apatophyllum flavovirens,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=26374,7308,peggydnew,Vulnerable,Critically Endangered,,,,,,,,,,,,,,,
11115,,Endangered,,https://id.biodiversity.org.au/node/apni/2900750,Apatophyllum olsenii,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=11115,7308,peggydnew,Vulnerable,Endangered,,,,,,,,,,,,,,,
30917,,Special least concern,,https://id.biodiversity.org.au/node/apni/2911151,Aponogeton cuneatus,,,,,obscured,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=30917,7308,peggydnew,Vulnerable,Special least concern,,,,,,,,,,,,,,,
21902,,Near Threatened,,https://id.biodiversity.org.au/node/apni/2919039,Aponogeton elongatus elongatus,,,,,obscured,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=21902,7308,peggydnew,Vulnerable,Near Threatened,,,,,,,,,,,,,,,
21903,,Vulnerable,,https://id.biodiversity.org.au/node/apni/2907097,Aponogeton elongatus fluitans,,,,,obscured,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=21903,7308,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
21900,,Endangered,,https://id.biodiversity.org.au/node/apni/2906136,Aponogeton prolifer,,,,,obscured,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=21900,7308,peggydnew,Vulnerable,Endangered,,,,,,,,,,,,,,,
7919,,Special least concern,,https://id.biodiversity.org.au/taxon/apni/51395492,Appendicula australiensis,,,,,obscured,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=7919,7308,peggydnew,Vulnerable,Special least concern,,,,,,,,,,,,,,,
6000,,Vulnerable,,https://id.biodiversity.org.au/node/apni/2910703,Archidendron kanisii,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=6000,7308,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
14036,,Vulnerable,,https://id.biodiversity.org.au/node/apni/2899823,Ardisia fasciculata,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=14036,7308,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
10006,,Vulnerable,,https://id.biodiversity.org.au/node/apni/2916519,Aristida annua,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=10006,7308,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
6514,,Endangered,,https://id.biodiversity.org.au/node/apni/2905760,Aristida forsteri,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=6514,7308,peggydnew,Vulnerable,Endangered,,,,,,,,,,,,,,,
9744,,Endangered,,https://id.biodiversity.org.au/node/apni/2909319,Aristida granitica,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=9744,7308,peggydnew,Vulnerable,Endangered,,,,,,,,,,,,,,,
8037,,Endangered,,https://id.biodiversity.org.au/node/apni/2905717,Aristida thompsonii,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=8037,7308,peggydnew,Vulnerable,Endangered,,,,,,,,,,,,,,,
41060,,Vulnerable,,ALA_DR652_1743,Arthraxon australiensis,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=41060,7308,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
9091,,Endangered,,https://id.biodiversity.org.au/node/apni/2898560,Atalaya collina,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=9091,7308,peggydnew,Vulnerable,Endangered,,,,,,,,,,,,,,,
10088,,Vulnerable,,https://id.biodiversity.org.au/node/apni/2896343,Atriplex morrisii,,,,,open,,,,,,,,,,,Qld Department of Environment and Science,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=10088,7308,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,,
