sourceOrigin,Species,authority,vernacularName,family,sourceStatus,epbcaStatus,class
end,Isoetes humilior,F.Muell. ex A.Braun,veiled quillwort,Isoetaceae,r,,vascular
end,Isoetes sp. Maxwell River,(S.J.Jarman HO314082) Tas. Herbarium,limestone quillwort,Isoetaceae,r,,vascular
,Isoetopsis graminifolia,Turcz.,grass cushion,Asteraceae,v,,vascular
,Isolepis habra,(Edgar) Soják ,wispy clubsedge,Cyperaceae,r,,vascular
,Isolepis stellata,(C.B.Clarke) K.L.Wilson,star clubsedge,Cyperaceae,r,,vascular
,Isopogon ceratophyllus,R.Br.,horny conebush,Proteaceae,v,,vascular
,Juncus fockei,Buchenau,slender jointleaf rush,Juncaceae,r,,vascular
,Juncus prismatocarpus,R.Br.,branching rush,Juncaceae,r,,vascular
,Juncus vaginatus,R.Br.,clustered rush,Juncaceae,r,,vascular
end,Lachnagrostis billardierei subsp. tenuiseta,(D.I.Morris) S.W.L.Jacobs,small-awn blowngrass,Poaceae,r,,vascular
,Lachnagrostis punicea subsp. filifolia,(Vickery) S.W.L.Jacobs,narrowleaf blowngrass,Poaceae,r,,vascular
,Lachnagrostis punicea subsp. punicea,(A.J.Br. & N.G.Walsh) S.W.L.Jacobs,bristle blowngrass,Poaceae,r,,vascular
,Lachnagrostis robusta,(Vickery) S.W.L.Jacobs,tall blowngrass,Poaceae,r,,vascular
,Lasiopetalum baueri,Steetz,slender velvetbush,Malvaceae,r,,vascular
,Lasiopetalum discolor,Hook.,coast velvetbush,Malvaceae,r,,vascular
end,Lasiopetalum micranthum,Hook.f.,tasmanian velvetbush,Malvaceae,r,,vascular
t,Lepidium flexicaule,Kirk,springy peppercress,Brassicaceae,r,,vascular
,Lepidium hyssopifolium,Desv.,soft peppercress,Brassicaceae,e,EN,vascular
,Lepidosperma forsythii,A.A.Hamilton,stout rapiersedge,Cyperaceae,r,,vascular
,Lepidosperma tortuosum,F.Muell.,twisting rapiersedge,Cyperaceae,r,,vascular
,Lepidosperma viscidum,R.Br.,sticky swordsedge,Cyperaceae,r,,vascular
,Lepilaena australis,J.Drumm. ex Harv.,southern watermat,Potomogetonaceae,x,,vascular
,Lepilaena marina,E.L.Robertson,sea watermat,Potomogetonaceae,r,,vascular
,Lepilaena patentifolia,E.L.Robertson,spreading watermat,Potomogetonaceae,r,,vascular
,Lepilaena preissii,(Lehm.) F.Muell.,slender watermat,Potomogetonaceae,r,,vascular
,Leptorhynchos elongatus,DC.,lanky buttons,Asteraceae,e,,vascular
,Leucochrysum albicans subsp. tricolor ,(DC.) N.G.Walsh,grassland paperdaisy,Asteraceae,e,EN,vascular
,Leucopogon affinis,R.Br.,lanceleaf beardheath,Ericaceae,r,,vascular
,Leucopogon esquamatus,R.Br.,swamp beardheath,Ericaceae,r,,vascular
,Leucopogon virgatus var. brevifolius,Benth.,shortleaf beardheath,Ericaceae,r,,vascular
,Levenhookia dubia,Sond.,hairy stylewort,Stylidiaceae,x,,vascular
,Limonium australe var. australe,(R.Br.) Kuntze,yellow sea-lavender,Plumbaginaceae,r,,vascular
end,Limonium australe var. baudinii,(Lincz.) A.M.Gray,tasmanian sea-lavender,Plumbaginaceae,v,VU,vascular
,Liparophyllum exaltatum,(Sol. ex Sims) Tippery & Les,erect marshwort,Menyanthaceae,r,,vascular
,Lobelia pratioides,Benth.,poison lobelia,Campanulaceae,v,,vascular
,Lobelia rhombifolia,de Vriese,tufted lobelia,Campanulaceae,r,,vascular
end,Lomatia tasmanica,W.M.Curtis,kings lomatia,Proteaceae,e,CR,vascular
,Lotus australis,Andrews,australian trefoil,Fabaceae,r,,vascular
,Luzula atrata,Edgar,slender woodrush,Juncaceae,r,,vascular
,Lycopus australis,R.Br.,australian gypsywort,Lamiaceae,e,,vascular
,Lythrum salicaria,L.,purple loosestrife,Lythraceae,v,,vascular
end,Melaleuca pustulata,Hook.f.,warty paperbark,Myrtaceae,r,,vascular
,Mentha australis,R.Br.,river mint,Lamiaceae,e,,vascular
end,Micrantheum serpentinum,Orchard,western tridentbush,Picrodendraceae,r,,vascular
,Microtidium atratum,(Lindl.) D.L.Jones & M.A.Clem.,yellow onion-orchid ,Orchidaceae,r,,vascular
end,Milligania johnstonii,F.Muell. ex Benth.,shortleaf milligania,Asteliaceae,r,,vascular
end,Milligania longifolia,Hook.f.,longleaf milligania,Asteliaceae,r,,vascular
,Millotia muelleri,(Sond.) P.S.Short,clustered bowflower,Asteraceae,e,,vascular
,Mirbelia oxylobioides,F.Muell.,sandstone bushpea,Fabaceae,v,,vascular
end,Monotoca submutica var. autumnalis,Jarman ,roundleaf broomheath,Ericaceae,r,,vascular
,Muehlenbeckia axillaris,(Hook.f.) Endl.,matted lignum,Polygonaceae,r,,vascular
,Myoporum parvifolium,R.Br.,creeping boobialla,Scrophulariaceae,v,,vascular
