,Name ID,Taxon, WA Status,WA Rank,WA IUCN Criteria,EPBC,DBCA Region,DBCA District,Distribution,Flowering Period,Recovery Plan,Notes
3452,31677,Tecticornia bibenda,1,,,,GOLD,KALGOORLIE,Little Sandy Desert,Aug-Oct,,
3453,31617,Tecticornia bulbosa,T,VU,D2,VU,MWST,GERALDTON,Morawa-Koolanooka Hills,Apr,,
3454,31844,Tecticornia cymbiformis,3,,,,"GOLD,MWST","KALGOORLIE,GERALDTON","Lake Anneen, Mt Margaret, Nannine, Yuin, Lorna Glen Stn.",,,
3455,49941,Tecticornia enodis,1,,,,"GOLD,PILB","KALGOORLIE,KARRATHA",Little Sandy Desert,Aug,,
3456,31715,Tecticornia entrichoma,4,,,,SCST,ESPERANCE,Frank Hann N.P.,Aug-Oct,,
3457,31714,Tecticornia fimbriata,3,,,,"MWST,WHTB","MOORA,GREAT SOUTHERN,CENTRAL WHEATBELT","Morawa, Three Springs, Damboring, Cue, Perenjori, Gunyidi",,,
3458,31834,Tecticornia flabelliformis,2,,,VU,"GOLD,WHTB","KALGOORLIE,CENTRAL WHEATBELT","Lake Yindarlgooda, Lake Deborah, Widgiemooltha, Eastern States",Jan to May,,
3459,38509,Tecticornia globulifera,1,,,,PILB,KARRATHA,Fortescue Marsh,,,
3460,31873,Tecticornia indefessa,2,,,,SCST,ESPERANCE,Truslove,Dec-Jan,,
3461,38511,Tecticornia medusa,3,,,,PILB,KARRATHA,"Roy Hill, Fortescue Marsh",Nov,,
3462,46514,Tecticornia mellarium,1,,,,GOLD,KALGOORLIE,"Lake Carey, Little Sandy Desert",,,
3463,33578,Tecticornia papillata,1,,,,GOLD,KALGOORLIE,"Blue Hill Stn, Carnarvon Range",,,
3464,34242,Tecticornia sp. Chinocup (K.A. Shepherd KS 1191),2,,,,WHTB,GREAT SOUTHERN,Chinocup N.R.,,,
3465,34177,Tecticornia sp. Christmas Creek (K.A. Shepherd & T. Colmer et al. KS 1063),1,,,,"GOLD,PILB","KALGOORLIE,KARRATHA","Fortescue Marsh, Roy Hill Stn, Little Sandy Desert",Jul-Aug,,
3466,32998,Tecticornia sp. Coorow (P.G. Wilson 12750),1,,,,MWST,MOORA,Coorow,Oct,,
3467,34243,Tecticornia sp. Lake Wallambin (K.A. Shepherd KS 1157),1,,,,WHTB,CENTRAL WHEATBELT,Lake Wallambin,,,
3468,34958,Tecticornia sp. Lake Way (P. Armstrong 05/961),1,,,,GOLD,KALGOORLIE,Wiluna,,,
3469,31493,Tecticornia uniflora,4,,,,"SCST,WARR,WHTB","ALBANY,FRANKLAND,GREAT SOUTHERN","Camel Lake, Stirling Range, Lake Cairlocup, Lake Magenta, Mt Barker",Oct-Dec,,
3470,48698,Tecticornia willisii,1,,,,GOLD,KALGOORLIE,Little Sandy Desert,August,,
3471,46114,Telmatoblechnum indicum,1,,,,KIMB,EAST KIMBERLEY,Kalumburu,,,
3472,20776,Tephrosia andrewii,3,,,,"KIMB,PILB","KARRATHA,WEST KIMBERLEY","Port Hedland-Broome, La Grange","Apr,Oct",,
3473,49714,Tephrosia cardiophylla,1,,,,KIMB,EAST KIMBERLEY,Kununurra,Feb,,
3474,50595,Tephrosia cowiei,1,,,,KIMB,EAST KIMBERLEY,Durack River Station,Jan,,
3475,50596,Tephrosia funicularis,3,,,,KIMB,WEST KIMBERLEY,"Yampi Peninsula, Mt House Stn., Mornington Stn.","Mar, May",,
3476,50601,Tephrosia lithosperma,1,,,,PILB,KARRATHA,"Hamersley Range, N.T., QLD",,,
3477,48658,Tephrosia pedleyi,3,,,,KIMB,WEST KIMBERLEY,"Broome, Camballin",Aug-Sep,,
3478,42500,Tephrosia rosea var. Napier Range (C.R. Dunlop 7760 & B.K. Simon),3,,,,KIMB,WEST KIMBERLEY,"Napier Range, Leopold Range, Springvale Stn, Mornington Stn.",Apri-May,,
3479,41920,Tephrosia rosea var. Port Hedland (A.S. George 1114),1,,,,PILB,KARRATHA,"Peeawah River, Finucane Is.",Jul-Sep,,
3480,50654,Tephrosia sabulosa,1,,,,PILB,KARRATHA,Gibson Desert,April - November,,
3481,42482,Tephrosia sp. Central (P.K. Latz 17037),3,,,,GOLD,KALGOORLIE,Gibson Desert,,,
3482,39423,Tephrosia sp. Kennedy Range (J.S. Beard 4392),1,,,,MWST,GERALDTON,Williambury Stn.,Aug,,
3483,39424,Tephrosia sp. Kununurra (T. Handasyde TH00 250),2,,,,KIMB,EAST KIMBERLEY,"Theda Stn., Kununurra, Saw Ranges, Cockburn Range, Halls Creek","Feb,Apr,Jul",,
3484,42226,Tephrosia sp. Mistake Creek (A.C. Beauglehole 54424),3,,,,KIMB,EAST KIMBERLEY,"Osmond Range, Purnululu N.P., Carr Boyd Ranges, Argyle Stn.","Jul, Nov",,
3485,46053,Tephrosia sp. North West Cape (G. Marsh 81),2,,,,PILB,EXMOUTH,Exmouth,May,,
3486,20777,Tephrosia valleculata,3,,,,KIMB,EAST KIMBERLEY,"Derby, Keep River NP, Northern Territory, Mt Agnes, Moran River",Apr-Sep,,
