scientificName,family,vernacularName,status,sourceStatus
Digitaria porrecta,Poaceae,Finger Panic Grass,Endangered,Endangered
Grevillea kennedyana,Proteaceae,Flame Spider Flower,Vulnerable,Vulnerable
Grevillea scortechinii subsp. sarmentosa,Proteaceae,Backwater Grevillea,Vulnerable,Vulnerable
Rhizanthella slateri,Orchidaceae,Eastern Australian Underground Orchid,Vulnerable,Vulnerable
Acacia constablei,Fabaceae (Mimosoideae),Narrabarba Wattle,Critically Endangered,Critically Endangered
Eucalyptus cannonii,Myrtaceae,Capertee Stringybark,Vulnerable,Vulnerable
Olearia flocktoniae,Asteraceae,Dorrigo Daisy Bush,Endangered,Endangered
Swainsona murrayana,Fabaceae (Faboideae),Slender Darling Pea,Vulnerable,Vulnerable
Eucalyptus scoparia,Myrtaceae,Wallangarra White Gum,Endangered,Endangered
Corokia whiteana,Argophyllaceae,Corokia,Endangered,Endangered
Eucalyptus kartzoffiana,Myrtaceae,Araluen Gum,Vulnerable,Vulnerable
Phyllota humifusa,Fabaceae (Faboideae),Dwarf Phyllota,Vulnerable,Vulnerable
Eucalyptus mckieana,Myrtaceae,McKie's Stringybark,Vulnerable,Vulnerable
Almaleea cambagei,Fabaceae (Faboideae),Torrington Pea,Endangered,Endangered
Owenia cepiodora,Meliaceae,Onion Cedar,Vulnerable,Vulnerable
Acacia clunies-rossiae,Fabaceae (Mimosoideae),Kanangra Wattle,Vulnerable,Vulnerable
Lepidium monoplocoides,Brassicaceae,Winged Peppercress,Endangered,Endangered
Thesium australe,Santalaceae,Austral Toadflax,Vulnerable,Vulnerable
Gentiana wissmannii,Gentianaceae,New England Gentian,Vulnerable,Vulnerable
Ranunculus anemoneus,Ranunculaceae,Anemone Buttercup,Vulnerable,Vulnerable
Sclerolaena napiformis,Chenopodiaceae,Turnip Copperburr,Endangered,Endangered
Carex raleighii,Cyperaceae,Raleigh Sedge,Endangered,Endangered
Gentiana bredboensis,Gentianaceae,Bredbo Gentian,Critically Endangered,Critically Endangered
Acacia ausfeldii,Fabaceae (Mimosoideae),Ausfeld's Wattle,Vulnerable,Vulnerable
Cynanchum elegans,Apocynaceae,White-flowered Wax Plant,Endangered,Endangered
Eucalyptus pulverulenta,Myrtaceae,Silver-leafed Gum,Vulnerable,Vulnerable
Maireana cheelii,Chenopodiaceae,Chariot Wheels,Vulnerable,Vulnerable
Sarcochilus dilatatus,Orchidaceae,Brown Butterfly Orchid,Endangered,Endangered
Diuris venosa,Orchidaceae,Veined Doubletail,Vulnerable,Vulnerable
Swainsona recta,Fabaceae (Faboideae),Small Purple-pea,Endangered,Endangered
Floydia praealta,Proteaceae,Ball Nut,Vulnerable,Vulnerable
Cadellia pentastylis,Surianaceae,Ooline,Vulnerable,Vulnerable
Bulbophyllum globuliforme,Orchidaceae,Hoop Pine Orchid,Vulnerable,Vulnerable
Xerothamnella parvifolia,Acanthaceae,Small-leaved Little Dry Shrub,Endangered,Endangered
Kennedia retrorsa,Fabaceae (Faboideae),,Vulnerable,Vulnerable
Rutidosis leiolepis,Asteraceae,Monaro Golden Daisy,Vulnerable,Vulnerable
Macadamia tetraphylla,Proteaceae,Rough-shelled Bush Nut,Vulnerable,Vulnerable
Acacia phasmoides,Fabaceae (Mimosoideae),Phantom Wattle,Vulnerable,Vulnerable
Ammobium craspedioides,Asteraceae,Yass Daisy,Vulnerable,Vulnerable
Callitris oblonga,Cupressaceae,Pygmy Cypress Pine,Vulnerable,Vulnerable
Acanthocladium dockeri,Asteraceae,Spiny Everlasting,Extinct,Extinct
Acacia bynoeana,Fabaceae (Mimosoideae),Bynoe's Wattle,Endangered,Endangered
Rutidosis heterogama,Asteraceae,Heath Wrinklewort,Vulnerable,Vulnerable
Eucalyptus nicholii,Myrtaceae,Narrow-leaved Black Peppermint,Vulnerable,Vulnerable
Clematis fawcettii,Ranunculaceae,Northern Clematis,Vulnerable,Vulnerable
Eleocharis obicis,Cyperaceae,Spike-Rush,Vulnerable,Vulnerable
Tephrosia filipes,Fabaceae (Faboideae),,Vulnerable,Vulnerable
Senecio behrianus,Asteraceae,,Extinct,Extinct
Eucalyptus recurva,Myrtaceae,Mongarlowe Mallee,Critically Endangered,Critically Endangered
Lepidium pseudopapillosum,Brassicaceae,Formbe Peppercress,Endangered,Endangered
Bossiaea oligosperma,Fabaceae (Faboideae),Few-seeded Bossiaea,Vulnerable,Vulnerable
Discaria nitida,Rhamnaceae,Leafy Anchor Plant,Vulnerable,Vulnerable
Gentiana wingecarribiensis,Gentianaceae,Wingecarribee Gentian,Critically Endangered,Critically Endangered
Glinus orygioides,Molluginaceae,,Extinct,Extinct
Pterostylis cobarensis,Orchidaceae,Greenhood Orchid,Vulnerable,Vulnerable
Deyeuxia appressa,Poaceae,,Endangered,Endangered
Eucalyptus pumila,Myrtaceae,Pokolbin Mallee,Vulnerable,Vulnerable
Homoranthus darwinioides,Myrtaceae,Fairy Bells,Vulnerable,Vulnerable
Cryptocarya foetida,Lauraceae,Stinking Cryptocarya,Vulnerable,Vulnerable
Melichrus hirsutus,Ericaceae,Hairy Melichrus,Endangered,Endangered
Grevillea renwickiana,Proteaceae,Nerriga Grevillea,Endangered,Endangered
Sarcochilus weinthalii,Orchidaceae,Blotched Sarcochilus,Vulnerable,Vulnerable
Zieria obcordata,Rutaceae,Granite Zieria,Endangered,Endangered
Sarcochilus fitzgeraldii,Orchidaceae,Ravine Orchid,Vulnerable,Vulnerable
Solanum karsense,Solanaceae,Menindee Nightshade,Vulnerable,Vulnerable
Lepidium peregrinum,Brassicaceae,Wandering Pepper Cress,Endangered,Endangered
Grevillea shiressii,Proteaceae,,Vulnerable,Vulnerable
Swainsona plagiotropis,Fabaceae (Faboideae),Red Darling Pea,Vulnerable,Vulnerable
Lepiderema pulchella,Sapindaceae,Fine-leaved Tuckeroo,Vulnerable,Vulnerable
Phaius australis,Orchidaceae,Southern Swamp Orchid,Endangered,Endangered
Euphorbia sarcostemmoides,Euphorbiaceae,Climbing Caustic,Endangered,Endangered
Boronia repanda,Rutaceae,Granite Rose,Endangered,Endangered
Acacia georgensis,Fabaceae (Mimosoideae),Bega Wattle,Vulnerable,Vulnerable
Cassia marksiana,Fabaceae (Caesalpinioideae),,Endangered,Endangered
Syzygium hodgkinsoniae,Myrtaceae,Red Lilly Pilly,Vulnerable,Vulnerable
Olearia cordata,Asteraceae,,Vulnerable,Vulnerable
Persoonia mollis subsp. revoluta,Proteaceae,,Vulnerable,Vulnerable
Aldrovanda vesiculosa,Droseraceae,Waterwheel Plant,Endangered,Endangered
Leptospermum thompsonii,Myrtaceae,Monga Tea Tree,Vulnerable,Vulnerable
Lepidium hyssopifolium,Brassicaceae,Aromatic Peppercress,Endangered,Endangered
Melaleuca groveana,Myrtaceae,Grove's Paperbark,Vulnerable,Vulnerable
Diploglottis campbellii,Sapindaceae,Small-leaved Tamarind,Endangered,Endangered
Leptospermum deanei,Myrtaceae,,Vulnerable,Vulnerable
Grevillea rivularis,Proteaceae,Carrington Falls Grevillea,Critically Endangered,Critically Endangered
Atriplex infrequens,Chenopodiaceae,A saltbush,Vulnerable,Vulnerable
Sarcochilus hartmannii,Orchidaceae,Hartman's Sarcochilus,Vulnerable,Vulnerable
Eucalyptus tetrapleura,Myrtaceae,Square-fruited Ironbark,Vulnerable,Vulnerable
Ochrosia moorei,Apocynaceae,Southern Ochrosia,Endangered,Endangered
Bosistoa transversa,Rutaceae,Yellow Satinheart,Vulnerable,Vulnerable
Codonocarpus pyramidalis,Gyrostemonaceae,,Extinct,Extinct
Acacia curranii,Fabaceae (Mimosoideae),Curly-bark Wattle,Vulnerable,Vulnerable
Prostanthera stricta,Lamiaceae,Mount Vincent Mint-bush,Vulnerable,Vulnerable
Bertya ingramii,Euphorbiaceae,Narrow-leaved Bertya,Endangered,Endangered
Pomaderris queenslandica,Rhamnaceae,Scant Pomaderris,Endangered,Endangered
Senna acclinis,Fabaceae (Caesalpinioideae),Rainforest Cassia,Endangered,Endangered
Pimelea elongata,Thymelaeaceae,Rice Flower,Endangered,Endangered
Boronia deanei,Rutaceae,Deane's Boronia,Vulnerable,Vulnerable
Phebalium glandulosum subsp. eglandulosum,Rutaceae,Rusty Desert Phebalium,Endangered,Endangered
Ozothamnus vagans,Asteraceae,Wollumbin Dogwood,Endangered,Endangered
Bertya mollissima,Euphorbiaceae,,Endangered,Endangered
Acacia meiantha,Fabaceae (Mimosoideae),,Endangered,Endangered
Eucalyptus camphora subsp. relicta,Myrtaceae,Warra Broad-leaved Sally,Endangered,Endangered
Pomaderris cotoneaster,Rhamnaceae,Cotoneaster Pomaderris,Endangered,Endangered
Eucalyptus glaucina,Myrtaceae,Slaty Red Gum,Vulnerable,Vulnerable
Chiloglottis anaticeps,Orchidaceae,Bird Orchid,Endangered,Endangered
Diuris pedunculata,Orchidaceae,Small Snake Orchid,Endangered,Endangered
Doryanthes palmeri,Doryanthaceae,Giant Spear Lily,Vulnerable,Vulnerable
Dampiera fusca,Goodeniaceae,Kydra Dampiera,Endangered,Endangered
Swainsona sericea,Fabaceae (Faboideae),Silky Swainson-pea,Vulnerable,Vulnerable
Pimelea curviflora var. curviflora,Thymelaeaceae,,Vulnerable,Vulnerable
Rhaphidospora bonneyana,Acanthaceae,,Extinct,Extinct
Grevillea mollis,Proteaceae,Soft Grevillea,Endangered,Endangered
Leucopogon exolasius,Ericaceae,Woronora Beard-heath,Vulnerable,Vulnerable
Endiandra muelleri subsp. bracteata,Lauraceae,Green-leaved Rose Walnut,Endangered,Endangered
Atriplex acutiloba,Chenopodiaceae,,Extinct,Extinct
Grevillea iaspicula,Proteaceae,Wee Jasper Grevillea,Critically Endangered,Critically Endangered
Blumea lacera,Asteraceae,,Extinct,Extinct
Lastreopsis hispida,Dryopteridaceae,Bristly Shield Fern,Endangered,Endangered
Galium australe,Rubiaceae,Tangled Bedstraw,Endangered,Endangered
Astrotricha crassifolia,Araliaceae,Thick-leaf Star-hair,Vulnerable,Vulnerable
Hibbertia procumbens,Dilleniaceae,Spreading Guinea Flower,Endangered,Endangered
Plectranthus nitidus,Lamiaceae,Nightcap Plectranthus,Endangered,Endangered
Belvisia mucronata,Polypodiaceae,Needle-leaf Fern,Endangered,Endangered
Carmichaelia exsul,Fabaceae (Faboideae),Lord Howe Island Broom,Critically Endangered,Critically Endangered
Swainsona colutoides,Fabaceae (Faboideae),Bladder Senna,Endangered,Endangered
Persoonia oxycoccoides,Proteaceae,,Endangered,Endangered
Prasophyllum fuscum,Orchidaceae,Slaty Leek Orchid,Critically Endangered,Critically Endangered
Lepidorrhachis mooreana,Arecaceae,Little Mountain Palm,Critically Endangered,Critically Endangered
Angiopteris evecta,Marattiaceae,Giant Fern,Endangered,Endangered
Pterostylis alpina,Orchidaceae,Alpine Greenhood,Vulnerable,Vulnerable
Eleocharis tetraquetra,Cyperaceae,Square-stemmed Spike-rush,Endangered,Endangered
Maireana lanosa,Chenopodiaceae,,Extinct,Extinct
Ipomoea diamantinensis,Convolvulaceae,Desert Cow-Vine,Endangered,Endangered
Senecio garlandii,Asteraceae,Woolly Ragwort,Vulnerable,Vulnerable
Euphrasia bowdeniae,Orobanchaceae,Blue Mountains Cliff Eyebright,Vulnerable,Vulnerable
Isopogon fletcheri,Proteaceae,Fletcher's Drumsticks,Vulnerable,Vulnerable
Santalum murrayanum,Santalaceae,Bitter Quandong,Endangered,Endangered
Hibbertia marginata,Dilleniaceae,Bordered Guinea Flower,Vulnerable,Vulnerable
Ptilotus extenuatus,Amaranthaceae,,Extinct,Extinct
Dodonaea stenophylla,Sapindaceae,,Vulnerable,Vulnerable
Euphrasia ciliolata,Orobanchaceae,Polblue Eyebright,Vulnerable,Vulnerable
Acacia pubifolia,Fabaceae (Mimosoideae),Velvet Wattle,Endangered,Endangered
Prasophyllum affine,Orchidaceae,Jervis Bay Leek Orchid,Endangered,Endangered
Cyperus aquatilis,Cyperaceae,Water Nutgrass,Endangered,Endangered
Dipteracanthus australasicus subsp. corynothecus,Acanthaceae,,Endangered,Endangered
Casuarina obesa,Casuarinaceae,Swamp She-oak,Endangered,Endangered
Tinospora smilacina,Menispermaceae,Tinospora Vine,Endangered,Endangered
Pterostylis pulchella,Orchidaceae,Waterfall Greenhood,Vulnerable,Vulnerable
Angophora robur,Myrtaceae,Sandstone Rough-barked Apple,Vulnerable,Vulnerable
Irenepharsus trypherus,Brassicaceae,Illawarra Irene,Endangered,Endangered
Tinospora tinosporoides,Menispermaceae,Arrow-head Vine,Vulnerable,Vulnerable
Asperula asthenes,Rubiaceae,Trailing Woodruff,Vulnerable,Vulnerable
Micromelum minutum,Rutaceae,,Extinct,Extinct
Elionurus citreus,Poaceae,Lemon-scented Grass,Endangered,Endangered
Cratystylis conocephala,Asteraceae,Bluebush Daisy,Endangered,Endangered
Indigofera leucotricha,Fabaceae (Faboideae),Silver Indigo,Endangered,Endangered
Hypolepis elegans,Dennstaedtiaceae,,Extinct,Extinct
Eucalyptus sturgissiana,Myrtaceae,Ettrema Mallee,Vulnerable,Vulnerable
Platyzoma microphyllum,Pteridaceae,Braid Fern,Endangered,Endangered
Acacia baueri subsp. aspera,Fabaceae (Mimosoideae),,Vulnerable,Vulnerable
Pomaderris pallida,Rhamnaceae,Pale Pomaderris,Vulnerable,Vulnerable
Swainsona viridis,Fabaceae (Faboideae),Creeping Darling Pea,Endangered,Endangered
Genoplesium rhyoliticum,Orchidaceae,Rhyolite Midge Orchid,Endangered,Endangered
Pilularia novae-hollandiae,Marsileaceae,Austral Pillwort,Endangered,Endangered
Darwinia peduncularis,Myrtaceae,,Vulnerable,Vulnerable
Acacia gordonii,Fabaceae (Mimosoideae),,Endangered,Endangered
Pomaderris sericea,Rhamnaceae,Silky Pomaderris,Endangered,Endangered
Geodorum densiflorum,Orchidaceae,Pink Nodding Orchid,Endangered,Endangered
Allocasuarina glareicola,Casuarinaceae,,Endangered,Endangered
Lindsaea brachypoda,Lindsaeaceae,Short-footed Screw Fern,Endangered,Endangered
Zieria adenophora,Rutaceae,Araluen Zieria,Critically Endangered,Critically Endangered
Calotis glandulosa,Asteraceae,Mauve Burr-daisy,Vulnerable,Vulnerable
Homoranthus lunatus,Myrtaceae,Crescent-leaved Homoranthus,Vulnerable,Vulnerable
Brachyscome papillosa,Asteraceae,Mossgiel Daisy,Vulnerable,Vulnerable
Micromyrtus blakelyi,Myrtaceae,,Vulnerable,Vulnerable
Eucalyptus copulans,Myrtaceae,,Endangered,Endangered
Eucalyptus aquatica,Myrtaceae,Broad-leaved Sally,Vulnerable,Vulnerable
Velleia perfoliata,Goodeniaceae,,Vulnerable,Vulnerable
Plinthanthesis rodwayi,Poaceae,Budawangs Wallaby Grass,Critically Endangered,Critically Endangered
Eucalyptus magnificata,Myrtaceae,Northern Blue Box,Endangered,Endangered
Acacia chrysotricha,Fabaceae (Mimosoideae),Newry Golden Wattle,Endangered,Endangered
Melaleuca irbyana,Myrtaceae,Weeping Paperbark,Endangered,Endangered
Eucalyptus largeana,Myrtaceae,Craven Grey Box,Endangered,Endangered
Cupaniopsis serrata,Sapindaceae,Smooth Tuckeroo,Endangered,Endangered
Grevillea banyabba,Proteaceae,Banyabba Grevillea,Vulnerable,Vulnerable
Euphrasia orthocheila subsp. peraspera,Orobanchaceae,Tenterfield Eyebright,Endangered,Endangered
Pterostylis nigricans,Orchidaceae,Dark Greenhood,Vulnerable,Vulnerable
Astrotricha cordata,Araliaceae,Heart-leaved Star Hair,Endangered,Endangered
Acacia pycnostachya,Fabaceae (Mimosoideae),Bolivia Wattle,Vulnerable,Vulnerable
Callitris baileyi,Cupressaceae,Bailey's Cypress Pine,Endangered,Endangered
Trachymene scapigera,Araliaceae,Mountain Trachymene,Endangered,Endangered
Diuris disposita,Orchidaceae,Willawarrin Doubletail,Endangered,Endangered
Euphrasia collina subsp. muelleri,Orobanchaceae,Mueller's Eyebright,Endangered,Endangered
Acacia acanthoclada,Fabaceae (Mimosoideae),Harrow Wattle,Endangered,Endangered
Acacia jucunda,Fabaceae (Mimosoideae),Yetman Wattle,Endangered,Endangered
Eucalyptus microcodon,Myrtaceae,Border Mallee,Endangered,Endangered
Olearia oliganthema,Asteraceae,,Extinct,Extinct
Dysphania platycarpa,Chenopodiaceae,,Endangered,Endangered
Cyperus conicus,Cyperaceae,,Endangered,Endangered
Sida rohlenae,Malvaceae,Shrub Sida,Endangered,Endangered
Psilotum complanatum,Psilotaceae,Flat Fork Fern,Endangered,Endangered
Arthraxon hispidus,Poaceae,Hairy Jointgrass,Vulnerable,Vulnerable
Indigofera helmsii,Fabaceae (Faboideae),Indigo,Endangered,Endangered
Myriophyllum implicatum,Haloragaceae,,Critically Endangered,Critically Endangered
Grevillea obtusiflora,Proteaceae,,Endangered,Endangered
Haloragis exalata subsp. velutina,Haloragaceae,Tall Velvet Sea-berry,Vulnerable,Vulnerable
Hibbertia hexandra,Dilleniaceae,Tree Guinea Flower,Endangered,Endangered
Alexfloydia repens,Poaceae,Floyd's Grass,Endangered,Endangered
Allocasuarina defungens,Casuarinaceae,Dwarf Heath Casuarina,Endangered,Endangered
Caladenia arenaria,Orchidaceae,Sand-hill Spider Orchid,Endangered,Endangered
Polystichum moorei,Dryopteridaceae,Rock Shield Fern,Endangered,Endangered
Epacris sparsa,Ericaceae,Sparse Heath,Vulnerable,Vulnerable
Muellerina myrtifolia,Loranthaceae,Myrtle-leaf Mistletoe,Endangered,Endangered
Senecio georgianus,Asteraceae,,Extinct,Extinct
Lysimachia vulgaris var. davurica,Primulaceae,Yellow Loosestrife,Endangered,Endangered
Zannichellia palustris,Potamogetonaceae,,Endangered,Endangered
Diuris bracteata,Orchidaceae,,Endangered,Endangered
Ipomoea polymorpha,Convolvulaceae,Silky Cow-Vine,Endangered,Endangered
Solanum bauerianum,Solanaceae,,Extinct,Extinct
Capparis canescens,Capparaceae,Wild Orange,Endangered,Endangered
Polycarpaea spirostylis subsp. glabra,Caryophyllaceae,,Endangered,Endangered
Grevillea nematophylla,Proteaceae,Silver-leaved Water Tree,Extinct,Extinct
Melicope vitiflora,Rutaceae,Coast Euodia,Endangered,Endangered
Prostanthera densa,Lamiaceae,Villous Mint-bush,Vulnerable,Vulnerable
Grevillea evansiana,Proteaceae,Evans Grevillea,Vulnerable,Vulnerable
Senecio squarrosus,Asteraceae,Swamp Groundsel,Endangered,Endangered
Persoonia mollis subsp. maxima,Proteaceae,,Endangered,Endangered
Diuris aequalis,Orchidaceae,Buttercup Doubletail,Endangered,Endangered
Caesalpinia bonduc,Fabaceae (Caesalpinioideae),Knicker Nut,Endangered,Endangered
Threlkeldia inchoata,Chenopodiaceae,Tall Bonefruit,Endangered,Endangered
Monotoca rotundifolia,Ericaceae,Trailing Monotoca,Endangered,Endangered
Osteocarpum scleropterum,Chenopodiaceae,Squash Bush,Endangered,Endangered
Zieria murphyi,Rutaceae,Velvet Zieria,Vulnerable,Vulnerable
Gyrostemon thesioides,Gyrostemonaceae,,Endangered,Endangered
Fontainea australis,Euphorbiaceae,Southern Fontainea,Vulnerable,Vulnerable
Acacia petraea,Fabaceae (Mimosoideae),Lancewood,Endangered,Endangered
Comesperma scoparium,Polygalaceae,,Extinct,Extinct
Trianthema cypseleoides,Aizoaceae,,Extinct,Extinct
Hakea fraseri,Proteaceae,Gorge Hakea,Vulnerable,Vulnerable
Euphrasia bella,Orobanchaceae,Pretty Eyebright,Vulnerable,Vulnerable
Oberonia complanata,Orchidaceae,Yellow-flowered King of the Fairies,Endangered,Endangered
Swainsona flavicarinata,Fabaceae (Faboideae),Yellow-Keeled Swainsona,Endangered,Endangered
Irenepharsus magicus,Brassicaceae,Elusive Cress,Endangered,Endangered
Acacia notabilis,Fabaceae (Mimosoideae),Mallee Golden Wattle,Endangered,Endangered
Niemeyera chartacea,Sapotaceae,Smooth-leaved Plum,Endangered,Endangered
Leucopogon confertus,Ericaceae,Torrington Beard-heath,Endangered,Endangered
Monotaxis macrophylla,Euphorbiaceae,Large-leafed Monotaxis,Endangered,Endangered
Centranthera cochinchinensis,Orobanchaceae,Swamp Foxglove,Endangered,Endangered
Grevillea divaricata,Proteaceae,,Endangered,Endangered
Wilsonia backhousei,Convolvulaceae,Narrow-leafed Wilsonia,Vulnerable,Vulnerable
Pimelea serpyllifolia subsp. serpyllifolia,Thymelaeaceae,Thyme Rice-Flower,Endangered,Endangered
Grevillea beadleana,Proteaceae,Beadle's Grevillea,Endangered,Endangered
Pomaderris notata,Rhamnaceae,McPherson Range Pomaderris,Vulnerable,Vulnerable
Stackhousia clementii,Stackhousiaceae,,Endangered,Endangered
Dysphania plantaginella,Chenopodiaceae,,Endangered,Endangered
Indigofera baileyi,Fabaceae (Faboideae),Bailey's Indigo,Endangered,Endangered
Diuris flavescens,Orchidaceae,Pale Yellow Doubletail,Critically Endangered,Critically Endangered
Prostanthera staurophylla,Lamiaceae,Moombahlene Mint-bush,Endangered,Endangered
Hicksbeachia pinnatifolia,Proteaceae,Red Boppel Nut,Vulnerable,Vulnerable
Dendrocnide moroides,Urticaceae,Gympie Stinger,Endangered,Endangered
Westringia davidii,Lamiaceae,David's Westringia,Vulnerable,Vulnerable
Corynocarpus rupestris subsp. rupestris,Corynocarpaceae,Glenugie Karaka,Vulnerable,Vulnerable
Zieria involucrata,Rutaceae,,Endangered,Endangered
Kunzea rupestris,Myrtaceae,,Vulnerable,Vulnerable
Pterostylis chaetophora,Orchidaceae,,Vulnerable,Vulnerable
Osteocarpum pentapterum,Chenopodiaceae,,Extinct,Extinct
Persoonia hirsuta,Proteaceae,Hairy Geebung,Endangered,Endangered
Plectranthus alloplectus,Lamiaceae,Narrow-leaved Plectranthus,Endangered,Endangered
Prostanthera cineolifera,Lamiaceae,Singleton Mint Bush,Vulnerable,Vulnerable
Leptorhynchos waitzia,Asteraceae,Button Immortelle,Endangered,Endangered
Capparis loranthifolia var. loranthifolia,Capparaceae,Narrow-leafed Bumble,Endangered,Endangered
Caladenia tessellata,Orchidaceae,Thick Lip Spider Orchid,Endangered,Endangered
Caesia parviflora var. minor,Anthericaceae,Small Pale Grass-lily,Endangered,Endangered
Lasiopetalum joyceae,Malvaceae,,Vulnerable,Vulnerable
Dendrobium melaleucaphilum,Orchidaceae,Spider orchid,Endangered,Endangered
Eucalyptus parramattensis subsp. decadens,Myrtaceae,,Vulnerable,Vulnerable
Styphelia perileuca,Ericaceae,Montane Green Five-corners,Vulnerable,Vulnerable
Homopholis belsonii,Poaceae,Belson's Panic,Endangered,Endangered
Kunzea cambagei,Myrtaceae,Cambage Kunzea,Vulnerable,Vulnerable
Acacia dangarensis,Fabaceae (Mimosoideae),,Critically Endangered,Critically Endangered
Asterolasia elegans,Rutaceae,,Endangered,Endangered
Isoglossa eranthemoides,Acanthaceae,Isoglossa,Endangered,Endangered
Kippistia suaedifolia,Asteraceae,Fleshy Minuria,Endangered,Endangered
Crotalaria cunninghamii,Fabaceae (Faboideae),Green Bird Flower,Endangered,Endangered
Eucalyptus aggregata,Myrtaceae,Black Gum,Vulnerable,Vulnerable
Tasmannia glaucifolia,Winteraceae,Fragrant Pepperbush,Vulnerable,Vulnerable
Euphrasia arguta,Orobanchaceae,,Critically Endangered,Critically Endangered
Eucalyptus leucoxylon subsp. pruinosa,Myrtaceae,Yellow Gum,Vulnerable,Vulnerable
Lindernia alsinoides,Linderniaceae,Noah's False Chickweed,Endangered,Endangered
Rhodamnia rubescens,Myrtaceae,Scrub Turpentine,Critically Endangered,Critically Endangered
Goodenia occidentalis,Goodeniaceae,Western Goodenia,Endangered,Endangered
Fontainea oraria,Euphorbiaceae,Coastal Fontainea,Critically Endangered,Critically Endangered
Stenopetalum velutinum,Brassicaceae,Velvet Thread-petal,Extinct,Extinct
Lasiopetalum longistamineum,Malvaceae,,Vulnerable,Vulnerable
Rhodomyrtus psidioides,Myrtaceae,Native Guava,Critically Endangered,Critically Endangered
Pterostylis foliata,Orchidaceae,Slender Greenhood,Vulnerable,Vulnerable
Pimelea venosa,Thymelaeaceae,Bolivia Hill Rice-flower,Endangered,Endangered
Oberonia titania,Orchidaceae,Red-flowered King of the Fairies,Vulnerable,Vulnerable
Desmodium acanthocladum,Fabaceae (Faboideae),Thorny Pea,Vulnerable,Vulnerable
Prostanthera discolor,Lamiaceae,,Vulnerable,Vulnerable
Acacia bakeri,Fabaceae (Mimosoideae),Marblewood,Vulnerable,Vulnerable
Eucalyptus saxatilis,Myrtaceae,Suggan Buggan Mallee,Endangered,Endangered
Grevillea acanthifolia subsp. paludosa,Proteaceae,Bog Grevillea,Endangered,Endangered
Pultenaea aristata,Fabaceae (Faboideae),Prickly Bush-pea,Vulnerable,Vulnerable
Pterostylis gibbosa,Orchidaceae,Illawarra Greenhood,Endangered,Endangered
Acacia pubescens,Fabaceae (Mimosoideae),Downy Wattle,Vulnerable,Vulnerable
Sophora fraseri,Fabaceae (Faboideae),Brush Sophora,Vulnerable,Vulnerable
Persoonia nutans,Proteaceae,Nodding Geebung,Endangered,Endangered
Syzygium paniculatum,Myrtaceae,Magenta Lilly Pilly,Endangered,Endangered
Dillwynia tenuifolia,Fabaceae (Faboideae),,Vulnerable,Vulnerable
Melaleuca deanei,Myrtaceae,Deane's Paperbark,Vulnerable,Vulnerable
Haloragodendron lucasii,Haloragaceae,,Endangered,Endangered
Grevillea caleyi,Proteaceae,Caley's Grevillea,Critically Endangered,Critically Endangered
Olax angulata,Olacaceae,Square-stemmed Olax,Vulnerable,Vulnerable
Rutidosis leptorrhynchoides,Asteraceae,Button Wrinklewort,Endangered,Endangered
Pultenaea parviflora,Fabaceae (Faboideae),,Endangered,Endangered
Syzygium moorei,Myrtaceae,Durobby,Vulnerable,Vulnerable
Darwinia glaucophylla,Myrtaceae,,Vulnerable,Vulnerable
Zieria granulata,Rutaceae,Illawarra Zieria,Endangered,Endangered
Tetratheca glandulosa,Elaeocarpaceae,,Vulnerable,Vulnerable
Eucalyptus benthamii,Myrtaceae,Camden White Gum,Critically Endangered,Critically Endangered
Tetratheca juncea,Elaeocarpaceae,Black-eyed Susan,Vulnerable,Vulnerable
Eucalyptus macarthurii,Myrtaceae,"Paddys River Box, Camden Woollybutt",Endangered,Endangered
Pimelea spicata,Thymelaeaceae,Spiked Rice-flower,Endangered,Endangered
Pomaderris brunnea,Rhamnaceae,Brown Pomaderris,Endangered,Endangered
Acronychia littoralis,Rutaceae,Scented Acronychia,Endangered,Endangered
Eucalyptus camfieldii,Myrtaceae,Camfield's Stringybark,Vulnerable,Vulnerable
Darwinia biflora,Myrtaceae,,Vulnerable,Vulnerable
Acrophyllum australe,Cunoniaceae,,Vulnerable,Vulnerable
Pultenaea glabra,Fabaceae (Faboideae),Smooth Bush-Pea,Vulnerable,Vulnerable
Acalypha eremorum,Euphorbiaceae,Acalypha,Endangered,Endangered
Amperea xiphoclada var. pedicellata,Euphorbiaceae,,Extinct,Extinct
Caladenia concolor,Orchidaceae,Crimson Spider Orchid,Endangered,Endangered
Caladenia rosella,Orchidaceae,Rosella Spider Orchid,Extinct,Extinct
Calotis moorei,Asteraceae,A burr-daisy,Endangered,Endangered
Cheilanthes sieberi subsp. pseudovellea,Pteridaceae,,Endangered,Endangered
Dentella minutissima,Rubiaceae,,Endangered,Endangered
Eucalyptus caleyi subsp. ovendenii,Myrtaceae,Ovenden's Ironbark,Vulnerable,Vulnerable
Eucalyptus langleyi,Myrtaceae,Albatross Mallee,Vulnerable,Vulnerable
Eucalyptus parvula,Myrtaceae,Small-leaved Gum,Endangered,Endangered
Eucalyptus robertsonii subsp. hemisphaerica,Myrtaceae,Robertson's Peppermint,Vulnerable,Vulnerable
Grammitis stenophylla,Grammitidaceae,Narrow-leaf Finger Fern,Endangered,Endangered
Grevillea guthrieana,Proteaceae,Guthrie's Grevillea,Endangered,Endangered
