scientificName,vernacularName,sourceStatus,family,genus,species,status
Antechinus minimus maritimus,Swamp Antechinus (mainland),Vulnerable,Dasyuridae,Antechinus,minimus,Vulnerable
Anthocercis gracilis,Slender Tailflower,Vulnerable,Solanaceae,Anthocercis,gracilis,Vulnerable
Anthochaera chrysoptera halmaturina,Kangaroo Island Little Wattlebird,Vulnerable,Meliphagidae,Anthochaera,chrysoptera,Vulnerable
Anthochaera phrygia,Regent Honeyeater,Critically Endangered,Meliphagidae,Anthochaera,phrygia,Critically Endangered
Anthosachne kingiana subsp. kingiana,Phillip Island Wheat Grass,Critically Endangered,Poaceae,Anthosachne,kingiana,Critically Endangered
Antipodia chaostola leucophaea,"Tasmanian Chaostola Skipper, Heath-sand Skipper",Endangered,Hesperiidae,Antipodia,chaostola,Endangered
Antrophyum austroqueenslandicum,"Border Ranges Lined Fern, Lamington Ox Tongue Fern",Critically Endangered,Pteridaceae,Antrophyum,austroqueenslandicum,Critically Endangered
Apatophyllum olsenii,-,Vulnerable,Celastraceae,Apatophyllum,olsenii,Vulnerable
Aphelocephala leucopsis,Southern Whiteface,Vulnerable,Pardalotidae,Aphelocephala,leucopsis,Vulnerable
Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631),"Fine-leaved Apium, Porongurup Celery",Vulnerable,Apiaceae,Apium,prostratum,Vulnerable
Aplonis fusca,Tasman Starling,Extinct,Sturnidae,Aplonis,fusca,Extinct
Aponogeton bullosus,-,Endangered,Aponogetonaceae,Aponogeton,bullosus,Endangered
Aponogeton prolifer,an aquatic herb,Endangered,Aponogetonaceae,Aponogeton,prolifer,Endangered
Aprasia parapulchella,"Pink-tailed Worm-lizard, Pink-tailed Legless Lizard",Vulnerable,Pygopodidae,Aprasia,parapulchella,Vulnerable
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,Vulnerable,Pygopodidae,Aprasia,pseudopulchella,Vulnerable
Aquila audax fleayi,"Tasmanian Wedge-tailed Eagle, Wedge-tailed Eagle (Tasmanian)",Endangered,Accipitridae,Aquila,audax,Endangered
Archidendron lovelliae,"Bacon Wood, Tulip Siris",Vulnerable,Fabaceae,Archidendron,lovelliae,Vulnerable
Archontophoenix myolensis,"Myola Palm, Myola Archontophoenix",Endangered,Arecaceae,Archontophoenix,myolensis,Endangered
Arctocephalus tropicalis,Subantarctic Fur-seal,Endangered,Otariidae,Arctocephalus,tropicalis,Endangered
Ardenna grisea,Sooty Shearwater,Vulnerable,Procellariidae,Ardenna,grisea,Vulnerable
Arenaria interpres,Ruddy Turnstone,Vulnerable,Scolopacidae,Arenaria,interpres,Vulnerable
Argynnis hyperbius inconstans,Australian Fritillary,Critically Endangered,Nymphalidae,Argynnis,hyperbius,Critically Endangered
Argyrotegium nitidulum,Shining Cudweed,Vulnerable,Asteraceae,Argyrotegium,nitidulum,Vulnerable
Aristida annua,-,Vulnerable,Poaceae,Aristida,annua,Vulnerable
Aristida granitica,-,Endangered,Poaceae,Aristida,granitica,Endangered
Arthraxon hispidus,Hairy-joint Grass,Vulnerable,Poaceae,Arthraxon,hispidus,Vulnerable
Asperula asthenes,Trailing Woodruff,Vulnerable,Rubiaceae,Asperula,asthenes,Vulnerable
Asplenium hookerianum,Maidenhair Spleenwort,Vulnerable,Aspleniaceae,Asplenium,hookerianum,Vulnerable
Asplenium listeri,Christmas Island Spleenwort,Critically Endangered,Aspleniaceae,Asplenium,listeri,Critically Endangered
Asplenium pellucidum,-,Vulnerable,Aspleniaceae,Asplenium,pellucidum,Vulnerable
Asplenium wildii,-,Vulnerable,Aspleniaceae,Asplenium,wildii,Vulnerable
Assa darlingtoni,Pouched Frog,Vulnerable,Myobatrachidae,Assa,darlingtoni,Vulnerable
Assa wollumbin,"Mount Wollumbin Hip-pocket Frog, Wollumbin Pouched Frog",Critically Endangered,Myobatrachidae,Assa,wollumbin,Critically Endangered
Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Vulnerable,Parastacidae,Astacopsis,gouldi,Vulnerable
Astelia australiana,Tall Astelia,Vulnerable,Liliaceae,Astelia,australiana,Vulnerable
Asterolasia asteriscophora subsp. albiflora,White Star-bush,Critically Endangered,Rutaceae,Asterolasia,asteriscophora,Critically Endangered
Asterolasia beckersii,Dungowan Starbush,Critically Endangered,Rutaceae,Asterolasia,beckersii,Critically Endangered
Asterolasia buxifolia,-,Critically Endangered,Rutaceae,Asterolasia,buxifolia,Critically Endangered
Asterolasia elegans,-,Endangered,Rutaceae,Asterolasia,elegans,Endangered
Asterolasia nivea,Bindoon Starbush,Vulnerable,Rutaceae,Asterolasia,nivea,Vulnerable
Asterolasia phebalioides,Downy Star-bush,Vulnerable,Rutaceae,Asterolasia,phebalioides,Vulnerable
Astrotricha crassifolia,Thick-leaf Star-hair,Vulnerable,Araliaceae,Astrotricha,crassifolia,Vulnerable
Astrotricha roddii,-,Endangered,Araliaceae,Astrotricha,roddii,Endangered
Astrotricha sp. Wingan Inlet (J.A.Jeanes 2268),Wingan Star-hair,Endangered,Araliaceae,Astrotricha,sp. Wingan Inlet (J.A.Jeanes 2268),Endangered
Atalaya brevialata,-,Critically Endangered,Sapindaceae,Atalaya,brevialata,Critically Endangered
Atalaya collina,Yarwun Whitewood,Endangered,Sapindaceae,Atalaya,collina,Endangered
Atrichornis clamosus,"Noisy Scrub-bird, Tjimiluk",Endangered,Atrichornithidae,Atrichornis,clamosus,Endangered
Atrichornis rufescens,Rufous Scrub-bird,Endangered,Atrichornithidae,Atrichornis,rufescens,Endangered
Atriplex infrequens,-,Vulnerable,Chenopodiaceae,Atriplex,infrequens,Vulnerable
Atriplex yeelirrie,-,Endangered,Chenopodiaceae,Atriplex,yeelirrie,Endangered
Austroablepharus barrylyoni,"Lyon's Grassland Striped Skink, Lyon's Snake-eyed Skink",Critically Endangered,Scincidae,Austroablepharus,barrylyoni,Critically Endangered
Austrocordulia leonardi,Sydney Hawk Dragonfly,Endangered,Austrocorduliidae,Austrocordulia,leonardi,Endangered
Austrostipa bronwenae,-,Endangered,Poaceae,Austrostipa,bronwenae,Endangered
Austrostipa jacobsiana,-,Critically Endangered,Poaceae,Austrostipa,jacobsiana,Critically Endangered
Austrostipa metatoris,-,Vulnerable,Poaceae,Austrostipa,metatoris,Vulnerable
Austrostipa wakoolica,-,Endangered,Poaceae,Austrostipa,wakoolica,Endangered
Azorella macquariensis,"Macquarie Azorella, Macquarie Cushions",Critically Endangered,Apiaceae,Azorella,macquariensis,Critically Endangered
