Origin,Species,Authority,Common Name,Family,Group,sch,EPBCA,Flora/Fauna,Classification
,Perameles gunnii gunnii ,,Eastern-barred bandicoot,Mammals,Vertebrates,,VU,Fauna,vertebrate
,Phoebetria fusca ,Hilsenberg,Sooty Albatross,Birds,Vertebrates,r,VU,Fauna,vertebrate
,Phoebetria palpebrata ,Forster,Light-mantled Albatross,Birds,Vertebrates,v,,Fauna,vertebrate
end,Platycercus caledonicus brownii,(Kuhl),King Island Green Rosella,Birds,Vertebrates,v,VU,Fauna,vertebrate
,Podiceps cristatus,Linne,Great Crested Grebe,Birds,Vertebrates,v,,Fauna,vertebrate
,Procellaria cinerea,Gmelin,Grey Petrel,Birds,Vertebrates,e,,Fauna,vertebrate
,Prototroctes maraena,Gunther,Australian Grayling,Fish,Vertebrates,v,VU,Fauna,vertebrate
,Pseudemoia pagenstecheri ,Lindholm,Tussock Skink,Reptiles,Vertebrates,v,,Fauna,vertebrate
,Pseudemoia rawlinsoni ,Hutchinson & Donnellan,Glossy Grass Skink,Reptiles,Vertebrates,r,,Fauna,vertebrate
,Pseudomys novaehollandiae,Waterhouse,New Holland Mouse,Mammals,Vertebrates,e,VU,Fauna,vertebrate
,Pterodroma lessonii ,Garnot,White-headed Petrel,Birds,Vertebrates,v,,Fauna,vertebrate
,Pterodroma mollis ,Gould,Soft-plumaged Petrel,Birds,Vertebrates,e,VU,Fauna,vertebrate
,Rexea solandri (eastern Australian population),Cuvier,Eastern Gemfish,Fish,Vertebrates,,CD,Fauna,vertebrate
,Rhincodon typus,(Smith),Whale Shark,Fish,Vertebrates,,VU,Fauna,vertebrate
end,Sarcophilus harrisii,(Thomas),Tasmanian Devil,Mammals,Vertebrates,e,EN,Fauna,vertebrate
,Seriolella brama,(Günther),Blue Warehou,Fish,Vertebrates,,CD,Fauna,vertebrate
,Sterna striata ,Gmelin,White-fronted Tern,Birds,Vertebrates,v,,Fauna,vertebrate
,Sterna vittata bethunei ,Buller,Antarctic Tern,Birds,Vertebrates,e,EN,Fauna,vertebrate
,Sternula albifrons sinensis ,Gmelin,Little Tern,Birds,Vertebrates,e,,Fauna,vertebrate
,Sternula nereis nereis,Gould,Fairy Tern,Birds,Vertebrates,v,VU,Fauna,vertebrate
,Strepera fuliginosa colei,Mathews,Black Currawong (King Island),Birds,Vertebrates,,VU,Fauna,vertebrate
,Thalassarche bulleri,(Rothschild) ,"Buller's Albatross, Pacific Albatross ",Birds,Vertebrates,,VU,Fauna,vertebrate
,Thalassarche bulleri platei,(Reichenow) ,"Northern Buller's Albatross, Pacific Albatross",Birds,Vertebrates,,VU,Fauna,vertebrate
,Thalassarche cauta,Gould,Shy Albatross,Birds,Vertebrates,v,EN (sensu stricto),Fauna,vertebrate
,Thalassarche steadi,(Falla),White-capped Albatross,Birds,Vertebrates,*,VU,Fauna,vertebrate
,Thalassarche chrysostoma,Forster,Grey-headed Albatross,Birds,Vertebrates,e,EN,Fauna,vertebrate
,Thalassarche eremita,Chatham  Albatross,Chatham  Albatross,Birds,Vertebrates,*,EN,Fauna,vertebrate
,Thalassarche impavida,Mathews ,Campbell Albatross,Birds,Vertebrates,*,VU,Fauna,vertebrate
,Thalassarche melanophris,(Temminck),Black-browed Albatross,Birds,Vertebrates,e,VU,Fauna,vertebrate
,Thalassarche salvini,(Rothschild) ,Salvin's Albatross,Birds,Vertebrates,*,VU,Fauna,vertebrate
,Thinornis rubricollis rubricollis ,(Gmelin)  ,Hooded Plover (eastern),Birds,Vertebrates,,VU,Fauna,vertebrate
,Thunnus maccoyii,Castelnau,Southern Bluefin Tuna,Fish,Vertebrates,,CD,Fauna,vertebrate
end,Thylacinus cynocephalus ,Harris,Thylacine,Mammals,Vertebrates,x,EX,Fauna,vertebrate
end,Thymichthys politus,(Richardson),Red Handfish,Fish,Vertebrates,e,CR,Fauna,vertebrate
end,Tyto novaehollandiae castanops,(Gould),Masked Owl,Birds,Vertebrates,e,VU,Fauna,vertebrate
,Vombatus ursinus ursinus,,Bass Strait Wombat,Mammals,Vertebrates,,VU,Fauna,vertebrate
end,Zearaja maugeana,Last & Gledhill,Maugean Skate,Fish,Vertebrates,e,EN,Fauna,vertebrate
