Origin,Species,Authority,Common Name,Family,Group,sch,EPBCA,Flora/Fauna,Classification
end,Eucalyptus barberi,L.A.S.Johnson & Blaxell,barbers gum,Myrtaceae,Dicotyledonae,r,,Flora,vascular
,Eucalyptus globulus subsp. pseudoglobulus,(Naudin ex Maiden) J.B.Kirkp.,gippsland blue gum,Myrtaceae,Dicotyledonae,r,,Flora,vascular
end,Eucalyptus gunnii subsp. divaricata,(McAulay & Brett) B.M.Potts,miena cider gum,Myrtaceae,Dicotyledonae,e,EN,Flora,vascular
end,Eucalyptus morrisbyi,Brett,morrisbys gum,Myrtaceae,Dicotyledonae,e,EN,Flora,vascular
,Eucalyptus perriniana,F.Muell. ex Rodway,spinning gum,Myrtaceae,Dicotyledonae,r,,Flora,vascular
,Eucalyptus radiata subsp. radiata,Sieber ex DC.,forth river peppermint,Myrtaceae,Dicotyledonae,r,,Flora,vascular
end,Eucalyptus risdonii,Hook.f.,risdon peppermint,Myrtaceae,Dicotyledonae,r,,Flora,vascular
end,Euphrasia amphisysepala,W.R.Barker,shiny cliff-eyebright,Orobanchaceae,Dicotyledonae,r,VU,Flora,vascular
end,Euphrasia amplidens,W.R.Barker,pieman eyebright,Orobanchaceae,Dicotyledonae,e,,Flora,vascular
end,Euphrasia collina subsp. deflexifolia,(Gand.) W.R.Barker,eastern eyebright,Orobanchaceae,Dicotyledonae,r,,Flora,vascular
end,Euphrasia collina subsp. gunnii,(Du Rietz) W.R.Barker ,gunns eyebright,Orobanchaceae,Dicotyledonae,r,,Flora,vascular
,Euphrasia collina subsp. tetragona,(R.Br.) W.R.Barker ,northcoast eyebright,Orobanchaceae,Dicotyledonae,e,,Flora,vascular
end,Euphrasia fragosa,W.R.Barker,shy eyebright,Orobanchaceae,Dicotyledonae,e,CR,Flora,vascular
end,Euphrasia gibbsiae subsp. psilantherea,(F.Muell.) W.R.Barker,swamp eyebright,Orobanchaceae,Dicotyledonae,e,CR,Flora,vascular
end,Euphrasia gibbsiae subsp. pulvinestris,W.R.Barker ,cushionplant eyebright,Orobanchaceae,Dicotyledonae,r,,Flora,vascular
end,Euphrasia gibbsiae subsp. wellingtonensis,W.R.Barker,mt wellington eyebright,Orobanchaceae,Dicotyledonae,r,,Flora,vascular
end,Euphrasia phragmostoma,W.R.Barker,hairy cliff-eyebright,Orobanchaceae,Dicotyledonae,v,VU,Flora,vascular
,Euphrasia scabra,R.Br.,yellow eyebright,Orobanchaceae,Dicotyledonae,e,,Flora,vascular
end,Euphrasia semipicta,W.R.Barker,peninsula eyebright,Orobanchaceae,Dicotyledonae,e,EN,Flora,vascular
end,Euphrasia sp. Bivouac Bay,(W.R.Barker 7626 et al.) W.R. Barker,masked cliff-eyebright,Orobanchaceae,Dicotyledonae,e,EN,Flora,vascular
,Eutaxia microphylla,(R.Br.) C.H.Wright & Dewar,spiny bushpea,Fabaceae,Dicotyledonae,r,,Flora,vascular
,Frankenia pauciflora var. gunnii,Summerh.,southern seaheath,Frankeniaceae,Dicotyledonae,r,,Flora,vascular
tmi,Galium antarcticum,Hook.f.,subantarctic bedstraw,Rubiaceae,Dicotyledonae,e,CR,Flora,vascular
