id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,sourceOrigin,scientificNameAuthorship,sourceStatus,epbcStatus,status
4241857,Ozothamnus floribundus,Flowery Everlastingbush,Ozothamnus floribundus,ALA_DR654_571,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'de Salas & Schmidt-Leb.'}, {'key': 'sourceStatus', 'value': 'e'}, {'key': 'status', 'value': 'Endangered'}]",end,de Salas & Schmidt-Leb.,e,,Endangered
4241637,Ozothamnus lycopodioides,Clubmoss Everlastingbush,Ozothamnus lycopodioides,https://id.biodiversity.org.au/node/apni/2918905,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'Hook.f.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,Hook.f.,r,,Rare
4241594,Ozothamnus reflexifolius,Reflexed Everlasting,Ozothamnus reflexifolius,https://id.biodiversity.org.au/node/apni/2896450,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'K.Leeson & Rozefelds'}, {'key': 'sourceStatus', 'value': 'v'}, {'key': 'epbcStatus', 'value': 'VU'}, {'key': 'status', 'value': 'Vulnerable'}]",end,K.Leeson & Rozefelds,v,VU,Vulnerable
4241690,Ozothamnus selaginoides,Clubmoss Everlasting,Ozothamnus selaginoides,https://id.biodiversity.org.au/node/apni/2886055,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'Sond. & F.Muell.'}, {'key': 'sourceStatus', 'value': 'x'}, {'key': 'epbcStatus', 'value': 'EX'}, {'key': 'status', 'value': 'Presumed Extinct'}]",end,Sond. & F.Muell.,x,EX,Presumed Extinct
4241683,Pandorea pandorana,Wonga Vine,Pandorea pandorana,https://id.biodiversity.org.au/taxon/apni/51269199,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(Andrews) Steenis'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,(Andrews) Steenis,r,,Rare
4241732,Parietaria debilis,Pellitory,Parietaria debilis,https://id.biodiversity.org.au/node/apni/2888724,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'G.Forst.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,G.Forst.,r,,Rare
4241710,Pellaea calidirupium,Hotrock Fern,Pellaea calidirupium,https://id.biodiversity.org.au/node/apni/2897483,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'Brownsey & Lovis'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,Brownsey & Lovis,r,,Rare
4242082,Pentachondra ericifolia,Fine Frillyheath,Pentachondra ericifolia,https://id.biodiversity.org.au/node/apni/2917805,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'Hook.f.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,Hook.f.,r,,Rare
4241901,Persicaria decipiens,Slender Knotweed,Persicaria decipiens,https://id.biodiversity.org.au/taxon/apni/51291672,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(R.Br.) K.L.Wilson'}, {'key': 'sourceStatus', 'value': 'v'}, {'key': 'status', 'value': 'Vulnerable'}]",,(R.Br.) K.L.Wilson,v,,Vulnerable
4241951,Persicaria subsessilis,Bristly Knotweed,Persicaria subsessilis,https://id.biodiversity.org.au/node/apni/2918061,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(R.Br.) K.L.Wilson'}, {'key': 'sourceStatus', 'value': 'e'}, {'key': 'status', 'value': 'Endangered'}]",,(R.Br.) K.L.Wilson,e,,Endangered
4241838,Persoonia moscalii,Creeping Geebung,Persoonia moscalii,https://id.biodiversity.org.au/node/apni/2902772,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'Orchard'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,Orchard,r,,Rare
4242091,Persoonia muelleri subsp. angustifolia,,Persoonia muelleri var. angustifolia,https://id.biodiversity.org.au/node/apni/2899701,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': '(Benth.) L.A.S.Johnson & P.H.Weston'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",end,(Benth.) L.A.S.Johnson & P.H.Weston,r,,Rare
4241501,Phebalium daviesii,Davies Waxflower,Phebalium daviesii,https://id.biodiversity.org.au/node/apni/2897721,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'Hook.f.'}, {'key': 'sourceStatus', 'value': 'e'}, {'key': 'epbcStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Endangered'}]",end,Hook.f.,e,CR,Endangered
4241791,Pherosphaera hookeriana,Drooping Pine,Pherosphaera hookeriana,https://id.biodiversity.org.au/taxon/apni/51291644,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'W.Archer bis'}, {'key': 'sourceStatus', 'value': 'v'}, {'key': 'status', 'value': 'Vulnerable'}]",end,W.Archer bis,v,,Vulnerable
4241728,Philotheca freyciana,Freycinet Waxflower,Philotheca freyciana,https://id.biodiversity.org.au/node/apni/2918209,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'Rozefelds'}, {'key': 'sourceStatus', 'value': 'e'}, {'key': 'epbcStatus', 'value': 'EN'}, {'key': 'status', 'value': 'Endangered'}]",end,Rozefelds,e,EN,Endangered
4242110,Phyllangium distylis,Tiny Mitrewort,Phyllangium distylis,https://id.biodiversity.org.au/node/apni/2914569,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(F.Muell.) Dunlop'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,(F.Muell.) Dunlop,r,,Rare
4241962,Phyllangium divergens,Wiry Mitrewort,Phyllangium divergens,https://id.biodiversity.org.au/node/apni/2914299,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(Hook.f.) Dunlop'}, {'key': 'sourceStatus', 'value': 'v'}, {'key': 'status', 'value': 'Vulnerable'}]",,(Hook.f.) Dunlop,v,,Vulnerable
4241643,Phylloglossum drummondii,Pygmy Clubmoss,Phylloglossum drummondii,https://id.biodiversity.org.au/node/apni/2899597,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'Kunze'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,Kunze,r,,Rare
4241517,Pilularia novae-hollandiae,Austral Pillwort,Pilularia novae-hollandiae,https://id.biodiversity.org.au/node/apni/2905369,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'A.Braun'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,A.Braun,r,,Rare
4241607,Pimelea axiflora subsp. axiflora,Bootlace Bush,Pimelea axiflora subsp. axiflora,https://id.biodiversity.org.au/node/apni/2894597,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'F.Muell. ex Meisn.'}, {'key': 'sourceStatus', 'value': 'e'}, {'key': 'status', 'value': 'Endangered'}]",,F.Muell. ex Meisn.,e,,Endangered
