,Taxon_Id,Kingdom,Class,Family,Scientific_name,Common_name,Taxon_author,NCA_status,EPBC_status,Significant,Confidential,Endemicity
123,34088,animals,amphibians,Microhylidae,Cophixalus kulakula,Kutini boulder-frog,"Hoskin & Aland, 2011",C,,N,Y,Q
124,709,animals,amphibians,Microhylidae,Cophixalus mcdonaldi,Mount Elliot nurseryfrog,"Zweifel, 1985",CR,CE,Y,Y,Q
125,710,animals,amphibians,Microhylidae,Cophixalus monticola,mountain nurseryfrog,"Richards, Dennis, Trenerry & Werren, 1994",CR,CE,Y,Y,Q
126,711,animals,amphibians,Microhylidae,Cophixalus neglectus,Bellenden Ker nurseryfrog,"Zweifel, 1962",CR,CE,Y,Y,Q
127,34462,animals,amphibians,Microhylidae,Cophixalus ornatus,northern ornate nursery-frog,"(Fry, 1912)",C,,N,N,Q
128,34089,animals,amphibians,Microhylidae,Cophixalus pakayakulangun,golden-capped boulder-frog,"Hoskin & Aland, 2011",C,,N,Y,Q
129,713,animals,amphibians,Microhylidae,Cophixalus peninsularis,Cape York nurseryfrog,"Zweifel, 1985",V,,Y,N,Q
130,34968,animals,amphibians,Microhylidae,Cophixalus petrophilus,blotched boulder-frog,"Hoskin, 2013",C,,N,Y,Q
131,699,animals,amphibians,Microhylidae,Cophixalus saxatilis,Black Mountain boulderfrog,"Zweifel & Parker, 1977",V,,Y,N,Q
132,19463,animals,amphibians,Microhylidae,Cophixalus zweifeli,Cape Melville boulderfrog,"Davies & McDonald, 1998",V,,Y,Y,Q
133,581,animals,amphibians,Ranidae,Papurana daemeli,Australian woodfrog,"(Steindachner, 1868)",C,,N,N,QAI
134,716,animals,amphibians,Bufonidae,Rhinella marina,cane toad,"(Linnaeus, 1758)",,,N,N,II
135,32083,animals,arachnids,Idiopidae,Arbanitis longipes,Brisbane tube spider,"Koch, 1874",,,N,N,Q
136,35638,animals,arachnids,Theraphosidae,Coremiocnemis tropix,tropix,"Raven, 2005",C,,N,N,Q
