id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,status,source Status
4745787,Muehlenbeckia tuggeranong,Tuggeranong Lignum,Muehlenbeckia tuggeranong,https://id.biodiversity.org.au/node/apni/2896218,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745818,Perunga ochracea,Perunga Grasshopper,Perunga ochracea,https://biodiversity.org.au/afd/taxa/ab03e158-f57a-418d-b9cb-274063cb0573,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745789,Petauroides volans,Greater Glider,Petauroides volans,https://biodiversity.org.au/afd/taxa/7e891f26-c72e-4b29-98db-1cd10c4eaa6d,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745791,Petaurus australis,Yellow-bellied Glider,Petaurus australis,https://biodiversity.org.au/afd/taxa/b3a61169-1e3c-4d6e-904f-f4d643df13a6,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745826,Petrogale penicillata,Brush-tailed Rock-wallaby,Petrogale penicillata,https://biodiversity.org.au/afd/taxa/7a7a2817-26e7-44bd-bb34-1dc9c1ed4d38,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745804,Petroica boodang,Scarlet Robin,Petroica (Petroica) boodang,https://biodiversity.org.au/afd/taxa/a3e5376b-f9e6-4bdf-adae-1e7add9f5c29,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745825,Phascolarctos cinereus,Koala,Phascolarctos cinereus,https://biodiversity.org.au/afd/taxa/e9d6fbbd-1505-4073-990a-dc66c930dad6,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745790,Polytelis swainsonii,Superb Parrot,Polytelis swainsonii,https://biodiversity.org.au/afd/taxa/46fca72f-4a32-44c5-a67c-770bd5333f55,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745836,Pomaderris pallida,Pale Pomaderris,Pomaderris pallida,https://id.biodiversity.org.au/node/apni/2897349,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745821,Prasophyllum petilum,Tarengo Leek Orchid,Prasophyllum petilum,https://id.biodiversity.org.au/taxon/apni/51409851,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745816,Pseudomys fumeus,Smoky Mouse,Pseudomys fumeus,https://biodiversity.org.au/afd/taxa/c8ba3449-d6f3-405a-9c8a-7b4db471c52a,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745792,Pseudomys novaehollandiae,New Holland Mouse,Pseudomys novaehollandiae,https://biodiversity.org.au/afd/taxa/47a50ee8-7678-4d8e-8f8a-e11d12a46ec5,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745808,Pseudophryne pengilleyi,Northern Corroboree Frog,Pseudophryne pengilleyi,https://biodiversity.org.au/afd/taxa/cc5315bf-6682-44d9-809c-139afaddf7c8,dr649,"[{'key': 'status', 'value': 'Critically Endangered'}, {'key': 'source Status', 'value': 'Critically Endangered'}]",Critically Endangered,Critically Endangered
4745788,Pteropus poliocephalus,Grey-headed Flying-fox,Pteropus poliocephalus,https://biodiversity.org.au/afd/taxa/7065d246-3017-4768-9c8f-8c58c0e538c1,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745831,Pterostylis oreophila,Blue-tongued Orchid,Pterostylis oreophila,https://id.biodiversity.org.au/taxon/apni/51412246,dr649,"[{'key': 'status', 'value': 'Critically Endangered'}, {'key': 'source Status', 'value': 'Critically Endangered'}]",Critically Endangered,Critically Endangered
4745824,Pycnoptilus floccosus,Pilotbird,Pycnoptilus floccosus,https://biodiversity.org.au/afd/taxa/2e27790b-4503-444b-a7c4-e55c563f2f69,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745835,Rostratula australis,Australian Painted-snipe,Rostratula australis,https://biodiversity.org.au/afd/taxa/0e647393-fbcb-470a-994f-068aebecfceb,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745786,Rutidosis leptorhynchoides,Button Wrinklewort,Rutidosis leptorhynchoides,https://id.biodiversity.org.au/node/apni/7062437,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745838,Swainsona recta,Small Purple-pea,Swainsona recta,https://id.biodiversity.org.au/node/apni/2916272,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745797,Synemon plana,Golden Sun Moth,Synemon plana,https://biodiversity.org.au/afd/taxa/a51dca29-50e7-49b4-ae35-5c35a9c4f854,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745813,Thesium australe,Southern Toadflax,Thesium australe,https://id.biodiversity.org.au/node/apni/2891975,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745822,Tympanocryptis lineata,Grassland Earless Dragon,Tympanocryptis lineata,https://biodiversity.org.au/afd/taxa/49122cf6-e123-47f9-8ee4-a649373a2a47,dr649,"[{'key': 'status', 'value': 'Critically Endangered'}, {'key': 'source Status', 'value': 'Critically Endangered'}]",Critically Endangered,Critically Endangered
