id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,sourceStatus,status
4378294,Zieria obovata,,Zieria obovata,https://id.biodiversity.org.au/node/apni/2917229,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378211,Zieria rimulosa,,Zieria rimulosa,https://id.biodiversity.org.au/node/apni/2913391,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377685,Zieria scopulus,Flinders Peak Stink Bush,Zieria scopulus,https://id.biodiversity.org.au/node/apni/2904113,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4377864,Zieria vagans,Gurgeena Stink Bush,Zieria vagans,https://id.biodiversity.org.au/node/apni/2900138,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4377886,Zieria verrucosa,,Zieria verrucosa,https://id.biodiversity.org.au/taxon/apni/51367860,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378402,Zieria wilhelminae,Mt Jukes Stink Bush,Zieria wilhelminae,ALA_DR652_2004,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4377441,Xylosma craynii,,Xylosma,https://id.biodiversity.org.au/node/apni/2903337,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378264,Xylosma ovata,,Xylosma ovata,https://id.biodiversity.org.au/node/apni/2895760,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4378116,Dendromyza reinwardtiana,Climbing Mistletoe,Dendromyza reinwardtiana,https://id.biodiversity.org.au/node/apni/2894610,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377706,Thesium australe,Southern Toadflax,Thesium australe,https://id.biodiversity.org.au/node/apni/2891975,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377676,Alectryon ramiflorus,Isis Tamarind,Alectryon ramiflorus,https://id.biodiversity.org.au/taxon/apni/51294089,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4378029,Alectryon repandodentatus,,Alectryon repandodentatus,https://id.biodiversity.org.au/taxon/apni/51294085,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4377755,Arytera dictyoneura,,Arytera dictyoneura,https://id.biodiversity.org.au/node/apni/2905495,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4377524,Atalaya collina,Yarwun Whitewood,Atalaya collina,https://id.biodiversity.org.au/node/apni/2898560,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4377634,Cossinia australiana,Cossinia,Cossinia australiana,https://id.biodiversity.org.au/node/apni/2907100,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4377259,Cupaniopsis cooperorum,Cooper's Puzzle,Cupaniopsis cooperorum,https://id.biodiversity.org.au/node/apni/2886368,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378257,Cupaniopsis newmanii,Long-leaved Tuckeroo,Cupaniopsis newmanii,https://id.biodiversity.org.au/node/apni/2902445,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4377263,Cupaniopsis shirleyana,Wedge-leaf Tuckeroo,Cupaniopsis shirleyana,https://id.biodiversity.org.au/node/apni/2896632,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
