id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,vernacularName,category,WildNetTaxonID,status,generalisation
5545260,Litoria longirostris,Long-snouted Frog,Litoria longirostris,https://biodiversity.org.au/afd/taxa/adbee455-548a-4e65-8e86-65bcc4522a60,dr493,"[{'key': 'vernacularName', 'value': 'long snouted treefrog'}, {'key': 'category', 'value': 'NT'}, {'key': 'WildNetTaxonID', 'value': '616'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'generalisation', 'value': '2 km'}]",long snouted treefrog,NT,616,Near Threatened,2 km
5545239,Litoria lorica,Little Waterfall Frog,Litoria lorica,https://biodiversity.org.au/afd/taxa/2edc1a0c-b74a-49da-b053-b7e1328a54a7,dr493,"[{'key': 'vernacularName', 'value': 'little waterfall frog'}, {'key': 'category', 'value': 'CR'}, {'key': 'WildNetTaxonID', 'value': '602'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",little waterfall frog,CR,602,Critically Endangered,2 km
5544670,Litoria myola,Kuranda Treefrog,Litoria myola,https://biodiversity.org.au/afd/taxa/533a80d4-b077-48bd-bc37-3a4619eba0b3,dr493,"[{'key': 'vernacularName', 'value': 'Kuranda treefrog'}, {'key': 'category', 'value': 'CR'}, {'key': 'WildNetTaxonID', 'value': '31630'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Kuranda treefrog,CR,31630,Critically Endangered,2 km
5544388,Litoria subglandulosa,New England Treefrog,Litoria subglandulosa,https://biodiversity.org.au/afd/taxa/782c492f-8c88-4d70-a8e6-92be08896da0,dr493,"[{'key': 'vernacularName', 'value': 'New England treefrog'}, {'key': 'category', 'value': 'VU'}, {'key': 'WildNetTaxonID', 'value': '587'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'generalisation', 'value': '2 km'}]",New England treefrog,VU,587,Vulnerable,2 km
5545312,Mixophyes fleayi,Fleay's Barred Frog,Mixophyes fleayi,https://biodiversity.org.au/afd/taxa/289e1b7c-1323-473a-8c2b-a674324c102e,dr493,"[{'key': 'vernacularName', 'value': ""Fleay's barred frog""}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '675'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Fleay's barred frog,EN,675,Endangered,2 km
5545215,Mixophyes iteratus,Giant Barred Frog,Mixophyes iteratus,https://biodiversity.org.au/afd/taxa/9eef5215-a3d4-4435-b82c-9284d730f002,dr493,"[{'key': 'vernacularName', 'value': 'giant barred frog'}, {'key': 'category', 'value': 'VU'}, {'key': 'WildNetTaxonID', 'value': '676'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'generalisation', 'value': '2 km'}]",giant barred frog,VU,676,Vulnerable,2 km
5544784,Pseudophryne covacevichae,Magnificent Brood Frog,Pseudophryne covacevichae,https://biodiversity.org.au/afd/taxa/019f5d1c-2a0c-4c53-98b6-dad6130c9267,dr493,"[{'key': 'vernacularName', 'value': 'magnificent broodfrog'}, {'key': 'category', 'value': 'VU'}, {'key': 'WildNetTaxonID', 'value': '660'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'generalisation', 'value': '2 km'}]",magnificent broodfrog,VU,660,Vulnerable,2 km
5545198,Taudactylus eungellensis,Eungella Day Frog,Taudactylus eungellensis,https://biodiversity.org.au/afd/taxa/134081e8-0768-441a-bf41-722c82406791,dr493,"[{'key': 'vernacularName', 'value': 'Eungella dayfrog'}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '653'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Eungella dayfrog,EN,653,Endangered,2 km
5544655,Taudactylus liemi,Eungella Tinkerfrog,Taudactylus liemi,https://biodiversity.org.au/afd/taxa/73710142-d11d-401a-bd2c-f04ddb96aa44,dr493,"[{'key': 'vernacularName', 'value': 'Eungella tinkerfrog'}, {'key': 'category', 'value': 'NT'}, {'key': 'WildNetTaxonID', 'value': '654'}, {'key': 'status', 'value': 'Near Threatened'}, {'key': 'generalisation', 'value': '2 km'}]",Eungella tinkerfrog,NT,654,Near Threatened,2 km
5544505,Taudactylus pleione,Pleione's Torrent Frog,Taudactylus pleione,https://biodiversity.org.au/afd/taxa/5908f2e8-065f-48ea-a45a-ae155bf66246,dr493,"[{'key': 'vernacularName', 'value': 'Kroombit tinkerfrog'}, {'key': 'category', 'value': 'CR'}, {'key': 'WildNetTaxonID', 'value': '655'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Kroombit tinkerfrog,CR,655,Critically Endangered,2 km
5545230,Taudactylus rheophilus,Northern Tinkerfrog,Taudactylus rheophilus,https://biodiversity.org.au/afd/taxa/5d2a30f5-deea-467d-9275-880116222f0b,dr493,"[{'key': 'vernacularName', 'value': 'northern tinkerfrog'}, {'key': 'category', 'value': 'CR'}, {'key': 'WildNetTaxonID', 'value': '656'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",northern tinkerfrog,CR,656,Critically Endangered,2 km
5545152,Philoria knowlesi,,Philoria,https://biodiversity.org.au/afd/taxa/494f8b10-8334-4edc-a999-369c9a7cb30d,dr493,"[{'key': 'vernacularName', 'value': 'Mt Ballow mountain frog'}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '36765'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Mt Ballow mountain frog,EN,36765,Endangered,2 km
5544706,Philoria kundagungan,Mountain Frog,Philoria kundagungan,https://biodiversity.org.au/afd/taxa/fcb2e700-8046-4556-94bd-78d188dadd9c,dr493,"[{'key': 'vernacularName', 'value': 'red-and-yellow mountainfrog'}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '687'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",red-and-yellow mountainfrog,EN,687,Endangered,2 km
5544413,Chlamydogobius micropterus,Elizabeth Springs Goby,Chlamydogobius micropterus,https://biodiversity.org.au/afd/taxa/ccae67ed-5ce5-4767-8b3e-c0243d615c92,dr493,"[{'key': 'vernacularName', 'value': 'Elizabeth Springs goby'}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '18163'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Elizabeth Springs goby,EN,18163,Endangered,2 km
5545034,Chlamydogobius squamigenus,Edgbaston Goby,Chlamydogobius squamigenus,https://biodiversity.org.au/afd/taxa/54cdb91c-74d5-4708-8bf5-46c30000d90b,dr493,"[{'key': 'vernacularName', 'value': 'Edgbaston goby'}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '18164'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Edgbaston goby,EN,18164,Endangered,2 km
5545158,Stiphodon pelewensis,Daintree Cling Goby,Stiphodon pelewensis,https://biodiversity.org.au/afd/taxa/2144eb13-3ba3-490d-bc97-bbc0f052fde2,dr493,"[{'key': 'vernacularName', 'value': 'Daintree cling goby'}, {'key': 'category', 'value': 'VU'}, {'key': 'WildNetTaxonID', 'value': '32228'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'generalisation', 'value': '2 km'}]",Daintree cling goby,VU,32228,Vulnerable,2 km
5544371,Nannoperca oxleyana,Oxleyan Pygmy Perch,Nannoperca oxleyana,https://biodiversity.org.au/afd/taxa/82a68310-9784-48d6-8c9d-509aab09b301,dr493,"[{'key': 'vernacularName', 'value': 'Oxleyan pygmy perch'}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '18167'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Oxleyan pygmy perch,EN,18167,Endangered,2 km
5544848,Pseudomugil mellis,Honey Blue Eye,Pseudomugil mellis,https://biodiversity.org.au/afd/taxa/1243bf40-dbce-477f-8a63-5e81c4ba38ef,dr493,"[{'key': 'vernacularName', 'value': 'honey blue eye'}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '18166'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",honey blue eye,EN,18166,Endangered,2 km
5545019,Scaturiginichthys vermeilipinnis,Redfin Blue Eye,Scaturiginichthys vermeilipinnis,https://biodiversity.org.au/afd/taxa/df4e5f69-d850-4d5b-8182-b525024c2902,dr493,"[{'key': 'vernacularName', 'value': 'redfin blue eye'}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '18165'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",redfin blue eye,EN,18165,Endangered,2 km
5544810,Rhadinocentrus ornatus,Ornate Rainbowfish,Rhadinocentrus ornatus,https://biodiversity.org.au/afd/taxa/9ffb5ffb-e00f-4c9f-831c-b3b3ce90b292,dr493,"[{'key': 'vernacularName', 'value': 'ornate rainbowfish'}, {'key': 'category', 'value': 'UK'}, {'key': 'WildNetTaxonID', 'value': '27032'}, {'key': 'generalisation', 'value': '2 km'}]",ornate rainbowfish,UK,27032,,2 km
5544528,Hypochrysops apollo apollo,,Hypochrysops apollo apollo,https://biodiversity.org.au/afd/taxa/5a6b303f-32ae-4a5e-a73d-e263a1b8ad9a,dr493,"[{'key': 'vernacularName', 'value': 'Apollo jewel (Wet Tropics subspecies)'}, {'key': 'category', 'value': 'VU'}, {'key': 'WildNetTaxonID', 'value': '18'}, {'key': 'status', 'value': 'Vulnerable'}, {'key': 'generalisation', 'value': '2 km'}]",Apollo jewel (Wet Tropics subspecies),VU,18,Vulnerable,2 km
5544568,Hypochrysops piceatus,Bulloak Jewel,Hypochrysops piceatus,https://biodiversity.org.au/afd/taxa/e34f8ce7-8b33-4778-95bb-8329316843a9,dr493,"[{'key': 'vernacularName', 'value': 'bulloak jewel'}, {'key': 'category', 'value': 'CR'}, {'key': 'WildNetTaxonID', 'value': '6'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",bulloak jewel,CR,6,Critically Endangered,2 km
5544921,Argynnis hyperbius inconstans,Australian Fritillary,Argynnis hyperbius inconstans,https://biodiversity.org.au/afd/taxa/e06090e3-5151-4fa4-ac56-98b16d549a78,dr493,"[{'key': 'vernacularName', 'value': 'Australian fritillary'}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '2008'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Australian fritillary,EN,2008,Endangered,2 km
5544543,Petalura gigantea,South-eastern Petaltail,Petalura gigantea,https://biodiversity.org.au/afd/taxa/e6b984a4-e9ab-4c5b-8706-9d291bbfd76a,dr493,"[{'key': 'vernacularName', 'value': 'south-eastern petaltail'}, {'key': 'category', 'value': 'UK'}, {'key': 'WildNetTaxonID', 'value': '35259'}, {'key': 'generalisation', 'value': '2 km'}]",south-eastern petaltail,UK,35259,,2 km
5545033,Petalura ingentissima,Giant Petaltail,Petalura ingentissima,https://biodiversity.org.au/afd/taxa/cfeda8ec-73fa-4bff-8822-7b097a0a3a82,dr493,"[{'key': 'vernacularName', 'value': 'giant petaltail'}, {'key': 'category', 'value': 'UK'}, {'key': 'WildNetTaxonID', 'value': '35260'}, {'key': 'generalisation', 'value': '2 km'}]",giant petaltail,UK,35260,,2 km
