scientificName,vernacularName,family,genus,sourceStatus,listedSpratTaxonId,currentSpratTaxonId,status
Acacia rhamphophylla,Kundip Wattle,Fabaceae,Acacia,Endangered,64659,,Endangered
Acacia rhetinocarpa,"Neat Wattle, Resin Wattle (SA)",Fabaceae,Acacia,Vulnerable,11282,,Vulnerable
Acacia ruppii,Rupp's Wattle,Fabaceae,Acacia,Endangered,7559,,Endangered
Acacia sciophanes,"Wundowlin Wattle, Ghost Wattle",Fabaceae,Acacia,Endangered,17877,,Endangered
Acacia spilleriana,Spiller's Wattle,Fabaceae,Acacia,Endangered,34123,,Endangered
Acacia splendens,"Splendid Wattle, Dandaragan Wattle",Fabaceae,Acacia,Endangered,81510,,Endangered
Acacia subflexuosa subsp. capillata,Hairy-stemmed Zig-Zag Wattle,Fabaceae,Acacia,Endangered,64828,,Endangered
Acacia terminalis subsp. terminalis MS,Sunshine Wattle (Sydney region),Fabaceae,Acacia,Endangered,88882,91564.0,Endangered
Acacia undoolyana,"Undoolya Wattle, Sickle-leaf Wattle",Fabaceae,Acacia,Vulnerable,3073,,Vulnerable
Acacia unguicula,a shrub,Fabaceae,Acacia,Critically Endangered,55592,,Critically Endangered
Acacia vassalii,Vassal's Wattle,Fabaceae,Acacia,Endangered,6144,,Endangered
Acacia volubilis,"Tangled Wattle, Tangle Wattle",Fabaceae,Acacia,Endangered,6476,,Endangered
Acacia whibleyana,"Whibley Wattle, Whibley's Wattle",Fabaceae,Acacia,Endangered,64497,,Endangered
Acacia wilsonii,Wilson's Wattle,Fabaceae,Acacia,Endangered,65228,,Endangered
Acacia woodmaniorum,Woodman's Wattle,Fabaceae,Acacia,Endangered,85026,,Endangered
Acanthiza iredalei rosinae,Slender-billed Thornbill (Gulf St Vincent),Pardalotidae,Acanthiza,Vulnerable,67080,,Vulnerable
Acanthiza lineata whitei,Kangaroo Island Striated Thornbill,Acanthizidae,Acanthiza,Vulnerable,80759,,Vulnerable
Acanthiza pusilla magnirostris,"King Island Brown Thornbill, Brown Thornbill (King Island)",Acanthizidae,Acanthiza,Endangered,91709,,Endangered
Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Asteraceae,Acanthocladium,Critically Endangered,17632,,Critically Endangered
Acanthophis hawkei,Plains Death Adder,Elapidae,Acanthophis,Vulnerable,83821,,Vulnerable
Acanthornis magna greeniana,"King Island Scrubtit, Scrubtit (King Island)",Acanthizidae,Acanthornis,Critically Endangered,82329,,Critically Endangered
Accipiter hiogaster natalis,Christmas Island Goshawk,Accipitridae,Accipiter,Endangered,82408,,Endangered
Achyranthes arborescens,"Chaff Tree, Soft-wood",Amaranthaceae,Achyranthes,Critically Endangered,65879,,Critically Endangered
Achyranthes margaretarum,Phillip Island Chaffy Tree,Amaranthaceae,Achyranthes,Critically Endangered,68426,,Critically Endangered
Acianthus ledwardii,-,Orchidaceae,Acianthus,Extinct,11200,,Extinct
Acriopsis emarginata,Pale Chandelier Orchid,Orchidaceae,Acriopsis,Vulnerable,83928,,Vulnerable
Acronychia littoralis,Scented Acronychia,Rutaceae,Acronychia,Endangered,8582,,Endangered
Acrophyllum australe,-,Cunoniaceae,Acrophyllum,Vulnerable,3983,,Vulnerable
Actephila foetida,-,Euphorbiaceae,Actephila,Vulnerable,12078,,Vulnerable
Actinotus schwarzii,Desert Flannel-flower,Apiaceae,Actinotus,Vulnerable,18659,,Vulnerable
Adclarkia cameroni,Brigalow Woodland Snail,Camaenidae,Adclarkia,Endangered,83886,,Endangered
Adclarkia dawsonensis,"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Camaenidae,Adclarkia,Critically Endangered,67458,,Critically Endangered
Adclarkia dulacca,Dulacca Woodland Snail,Camaenidae,Adclarkia,Endangered,83885,,Endangered
Adenanthos dobagii,Fitzgerald Woollybush,Proteaceae,Adenanthos,Endangered,21253,,Endangered
Adenanthos ellipticus,Oval-leaf Adenanthos,Proteaceae,Adenanthos,Vulnerable,4570,,Vulnerable
Adenanthos eyrei,Toolinna Adenanthos,Proteaceae,Adenanthos,Endangered,7763,,Endangered
Adenanthos pungens subsp. effusus,Sprawling Spiky Adenanthos,Proteaceae,Adenanthos,Endangered,10742,,Endangered
Adenanthos pungens subsp. pungens,Spiky Adenanthos,Proteaceae,Adenanthos,Vulnerable,19429,,Vulnerable
Adenanthos velutinus,Velvet Woollybush,Proteaceae,Adenanthos,Endangered,21594,,Endangered
Advena campbellii,Campbell's Keeled Glass-snail,Helicarionidae,Advena,Critically Endangered,81250,,Critically Endangered
Aipysurus apraefrontalis,Short-nosed Seasnake,Hydrophiidae,Aipysurus,Critically Endangered,1115,,Critically Endangered
Aipysurus foliosquama,Leaf-scaled Seasnake,Hydrophiidae,Aipysurus,Critically Endangered,1118,,Critically Endangered
Alectryon ramiflorus,Isis Tamarind,Sapindaceae,Alectryon,Endangered,6416,,Endangered
Allocasuarina defungens,Dwarf Heath Casuarina,Casuarinaceae,Allocasuarina,Endangered,21924,,Endangered
Allocasuarina emuina,"Emu Mountain Sheoak, Mt Emu She-oak",Casuarinaceae,Allocasuarina,Endangered,21926,,Endangered
Allocasuarina fibrosa,Woolly Sheoak,Casuarinaceae,Allocasuarina,Vulnerable,17455,,Vulnerable
