scientificName,vernacularName,family,status,sourceStatus
Isoetes drummondii subsp. drummondii,plain quillwort,Isoetaceae,Rare,r
Isoetes elatior,tall quillwort,Isoetaceae,Rare,r
Isoetes humilior,veiled quillwort,Isoetaceae,Rare,r
Isoetes sp. Maxwell River,limestone quillwort,Isoetaceae,Rare,r
Isoetopsis graminifolia,grass cushion,Asteraceae,Vulnerable,v
Isolepis habra,wispy clubsedge,Cyperaceae,Rare,r
Isolepis stellata,star clubsedge,Cyperaceae,Rare,r
Isopogon ceratophyllus,horny conebush,Proteaceae,Vulnerable,v
Juncus fockei,slender jointleaf rush,Juncaceae,Rare,r
Juncus prismatocarpus,branching rush,Juncaceae,Rare,r
Juncus vaginatus,clustered rush,Juncaceae,Rare,r
Lachnagrostis billardierei subsp. tenuiseta,small-awn blowngrass,Poaceae,Rare,r
Lachnagrostis punicea subsp. filifolia,narrowleaf blowngrass,Poaceae,Rare,r
Lachnagrostis punicea subsp. punicea,bristle blowngrass,Poaceae,Rare,r
Lachnagrostis robusta,tall blowngrass,Poaceae,Rare,r
Lasiopetalum baueri,slender velvetbush,Malvaceae,Rare,r
Lasiopetalum discolor,coast velvetbush,Malvaceae,Rare,r
Lasiopetalum micranthum,tasmanian velvetbush,Malvaceae,Rare,r
Lepidium flexicaule,springy peppercress,Brassicaceae,Rare,r
Lepidium hyssopifolium,soft peppercress,Brassicaceae,Endangered,e
Lepidosperma forsythii,stout rapiersedge,Cyperaceae,Rare,r
Lepidosperma tortuosum,twisting rapiersedge,Cyperaceae,Rare,r
Lepidosperma viscidum,sticky swordsedge,Cyperaceae,Rare,r
Lepilaena australis,southern watermat,Potomogetonaceae,Extinct,x
Lepilaena marina,sea watermat,Potomogetonaceae,Rare,r
Lepilaena patentifolia,spreading watermat,Potomogetonaceae,Rare,r
Lepilaena preissii,slender watermat,Potomogetonaceae,Rare,r
Leptorhynchos elongatus,lanky buttons,Asteraceae,Endangered,e
Leucochrysum albicans subsp. tricolor ,grassland paperdaisy,Asteraceae,Endangered,e
Leucopogon affinis,lanceleaf beardheath,Ericaceae,Rare,r
Leucopogon esquamatus,swamp beardheath,Ericaceae,Rare,r
Leucopogon virgatus var. brevifolius,shortleaf beardheath,Ericaceae,Rare,r
Levenhookia dubia,hairy stylewort,Stylidiaceae,Extinct,x
Limonium australe var. australe,yellow sea-lavender,Plumbaginaceae,Rare,r
Limonium australe var. baudinii,tasmanian sea-lavender,Plumbaginaceae,Vulnerable,v
Liparophyllum exaltatum,erect marshwort,Menyanthaceae,Rare,r
Lobelia pratioides,poison lobelia,Campanulaceae,Vulnerable,v
Lobelia rhombifolia,tufted lobelia,Campanulaceae,Rare,r
Lomatia tasmanica,kings lomatia,Proteaceae,Endangered,e
Lotus australis,australian trefoil,Fabaceae,Rare,r
Luzula atrata,slender woodrush,Juncaceae,Rare,r
Lycopus australis,australian gypsywort,Lamiaceae,Endangered,e
Lythrum salicaria,purple loosestrife,Lythraceae,Vulnerable,v
Melaleuca pustulata,warty paperbark,Myrtaceae,Rare,r
Mentha australis,river mint,Lamiaceae,Endangered,e
Micrantheum serpentinum,western tridentbush,Picrodendraceae,Rare,r
Microtidium atratum,yellow onion-orchid ,Orchidaceae,Rare,r
Milligania johnstonii,shortleaf milligania,Asteliaceae,Rare,r
Milligania longifolia,longleaf milligania,Asteliaceae,Rare,r
Millotia muelleri,clustered bowflower,Asteraceae,Endangered,e
Mirbelia oxylobioides,sandstone bushpea,Fabaceae,Vulnerable,v
Monotoca submutica var. autumnalis,roundleaf broomheath,Ericaceae,Rare,r
Muehlenbeckia axillaris,matted lignum,Polygonaceae,Rare,r
Myoporum parvifolium,creeping boobialla,Scrophulariaceae,Vulnerable,v
Myosurus australis,southern mousetail,Ranunculaceae,Endangered,e
Myriophyllum glomeratum,clustered watermilfoil,Haloragaceae,Extinct,x
Myriophyllum integrifolium,tiny watermilfoil,Haloragaceae,Vulnerable,v
Myriophyllum muelleri,hooded watermilfoil,Haloragaceae,Rare,r
Odixia achlaena,golden everlastingbush,Asteraceae,Rare,r
Olearia hookeri,crimsontip daisybush,Asteraceae,Rare,r
Orites milliganii,toothed orites,Proteaceae,Rare,r
Orthoceras strictum,horned orchid,Orchidaceae,Rare,r
Ozothamnus floribundus,flowery everlastingbush,Asteraceae,Endangered,e
Ozothamnus lycopodioides,clubmoss everlastingbush,Asteraceae,Rare,r
Ozothamnus reflexifolius,reflexed everlastingbush,Asteraceae,Vulnerable,v
Ozothamnus selaginoides,table mountain everlastingbush,Asteraceae,Extinct,x
Pandorea pandorana,wonga vine,Bignoniaceae,Rare,r
Parietaria debilis,shade pellitory,Urticaceae,Rare,r
Pellaea calidirupium,hotrock fern,Adiantaceae,Rare,r
Pentachondra ericifolia,fine frillyheath,Ericaceae,Rare,r
Persicaria decipiens,slender waterpepper,Polygonaceae,Vulnerable,v
Persicaria subsessilis,bristly waterpepper,Polygonaceae,Endangered,e
Persoonia moscalii,creeping geebung,Proteaceae,Rare,r
Persoonia muelleri subsp. angustifolia,narrowleaf geebung,Proteaceae,Rare,r
Phebalium daviesii,davies waxflower,Rutaceae,Endangered,e
Pherosphaera hookeriana,drooping pine,Podocarpaceae,Vulnerable,v
Philotheca freyciana,freycinet waxflower,Rutaceae,Endangered,e
Phyllangium distylis,tiny mitrewort,Loganiaceae,Rare,r
Phyllangium divergens,wiry mitrewort,Loganiaceae,Vulnerable,v
Phylloglossum drummondii,pygmy clubmoss,Lycopodiaceae,Rare,r
Pilularia novae-hollandiae,australian pillwort,Marsileaceae,Rare,r
Pimelea axiflora subsp. axiflora,bootlace bush,Thymelaeaceae,Endangered,e
Pimelea curviflora var. gracilis,slender curved riceflower,Thymelaeaceae,Rare,r
Pimelea curviflora var. sericea,silky curved riceflower,Thymelaeaceae,Rare,r
Pimelea flava subsp. flava,yellow riceflower,Thymelaeaceae,Rare,r
Pimelea milliganii,silver riceflower,Thymelaeaceae,Rare,r
Pimelea sp. Tunbridge,grassland riceflower,Thymelaeaceae,Endangered,e
Planocarpa nitida,black cheeseberry,Ericaceae,Rare,r
Planocarpa sulcata,grooved cheeseberry,Ericaceae,Rare,r
Plantago debilis,shade plantain,Plantaginaceae,Rare,r
Plantago glacialis,small star plantain,Plantaginaceae,Rare,r
Pneumatopteris pennigera,lime fern,Thelypteridaceae,Endangered,e
Poa cookii,cooks tussockgrass,Poaceae,Endangered,e
Poa halmaturina,dune tussockgrass,Poaceae,Rare,r
Poa mollis,soft tussockgrass,Poaceae,Rare,r
Podotheca angustifolia,sticky longheads,Asteraceae,Extinct,x
Polyscias sp. Douglas-Denison,ferny panax,Araliaceae,Endangered,e
Polystichum vestitum,prickly shieldfern,Dryopteridaceae,Endangered,e
Pomaderris elachophylla,small-leaf dogwood,Rhamnaceae,Vulnerable,v
Pomaderris intermedia,lemon dogwood,Rhamnaceae,Rare,r
Pomaderris oraria subsp. oraria,bassian dogwood,Rhamnaceae,Rare,r
Pomaderris paniculosa subsp. paralia,shining dogwood,Rhamnaceae,Rare,r
Pomaderris phylicifolia subsp. ericoides,revolute narrowleaf dogwood,Rhamnaceae,Rare,r
Pomaderris phylicifolia subsp. phylicifolia,narrowleaf dogwood,Rhamnaceae,Rare,r
Pomaderris pilifera subsp. talpicutica,moleskin dogwood,Rhamnaceae,Vulnerable,v
Poranthera petalifera,mountain poranthera,Phyllanthaceae,Vulnerable,v
Prasophyllum abblittiorum,pallid leek-orchid,Orchidaceae,Endangered,e
Prasophyllum amoenum,dainty leek-orchid,Orchidaceae,Vulnerable,v
Prasophyllum apoxychilum,tapered leek-orchid,Orchidaceae,Vulnerable,v
Prasophyllum atratum,three hummock leek-orchid,Orchidaceae,Endangered,e
Prasophyllum castaneum,chestnut leek-orchid,Orchidaceae,Endangered,e
Prasophyllum crebriflorum,crowded leek-orchid,Orchidaceae,Endangered,e
Prasophyllum favonium,western leek-orchid,Orchidaceae,Endangered,e
Prasophyllum incorrectum,golfers leek-orchid,Orchidaceae,Endangered,e
Prasophyllum limnetes,marsh leek-orchid,Orchidaceae,Endangered,e
Prasophyllum milfordense,milford leek-orchid,Orchidaceae,Endangered,e
Prasophyllum olidum,pungent leek-orchid,Orchidaceae,Endangered,e
Prasophyllum perangustum,knocklofty leek-orchid,Orchidaceae,Endangered,e
Prasophyllum pulchellum,pretty leek-orchid,Orchidaceae,Endangered,e
Prasophyllum robustum,robust leek-orchid,Orchidaceae,Endangered,e
Prasophyllum secutum,northern leek-orchid,Orchidaceae,Endangered,e
Prasophyllum sp. Arthurs Lake,mountain leek-orchid,Orchidaceae,Endangered,e
Prasophyllum stellatum,ben lomond leek-orchid,Orchidaceae,Endangered,e
Prasophyllum tadgellianum,tadgells leek-orchid,Orchidaceae,Rare,r
Prasophyllum taphanyx,graveside leek-orchid,Orchidaceae,Endangered,e
Prasophyllum tunbridgense,tunbridge leek-orchid,Orchidaceae,Endangered,e
Prostanthera cuneata,alpine mintbush,Lamiaceae,Extinct,x
Prostanthera rotundifolia,roundleaf mintbush,Lamiaceae,Vulnerable,v
Pterostylis atriola,snug greenhood,Orchidaceae,Rare,r
Pterostylis commutata,midlands greenhood,Orchidaceae,Endangered,e
Pterostylis cucullata subsp. cucullata,leafy greenhood,Orchidaceae,Endangered,e
Pterostylis falcata,sickle greenhood,Orchidaceae,Endangered,e
Pterostylis grandiflora,superb greenhood,Orchidaceae,Rare,r
Pterostylis lustra,small sickle greenhood,Orchidaceae,Endangered,e
Pterostylis pratensis,liawenee greenhood,Orchidaceae,Vulnerable,v
Pterostylis rubenachii,arthur river greenhood,Orchidaceae,Endangered,e
Pterostylis sanguinea,banded greenhood,Orchidaceae,Rare,r
Pterostylis squamata,ruddy greenhood,Orchidaceae,Vulnerable,v
Pterostylis tunstallii,tunstalls greenhood,Orchidaceae,Endangered,e
Pterostylis wapstrarum,fleshy greenhood,Orchidaceae,Endangered,e
Pterostylis ziegeleri,grassland greenhood,Orchidaceae,Vulnerable,v
Puccinellia perlaxa,spreading saltmarshgrass,Poaceae,Rare,r
Pultenaea humilis,dwarf bushpea,Fabaceae,Vulnerable,v
Pultenaea mollis,soft bushpea,Fabaceae,Vulnerable,v
Pultenaea prostrata,silky bushpea,Fabaceae,Vulnerable,v
Pultenaea sericea,chaffy bushpea,Fabaceae,Vulnerable,v
Ranunculus acaulis,dune buttercup,Ranunculaceae,Rare,r
Ranunculus collicola,lake augusta buttercup,Ranunculaceae,Rare,r
Ranunculus diminutus,brackish buttercup,Ranunculaceae,Endangered,e
Ranunculus jugosus,twinned buttercup,Ranunculaceae,Rare,r
Ranunculus prasinus,midlands buttercup,Ranunculaceae,Endangered,e
Ranunculus pumilio var. pumilio,ferny buttercup,Ranunculaceae,Rare,r
