scientificName,vernacularName,status,sourceStatus
Dillwynia prostrata,Matted Parrot-pea,Endangered,Endangered
Dillwynia sieberi,Sieber's Parrot-pea,Vulnerable,Vulnerable
Dillwynia uncinata,Silky Parrot-pea,Vulnerable,Vulnerable
Dinckleria pleurata,Delicate Featherwort,Critically Endangered,Critically Endangered
Diplachne fusca subsp. fusca,Brown Beetle-grass,Endangered,Endangered
Diplaspis nivis,Snow Pennywort,Endangered,Endangered
Dipodium campanulatum,Bell-flower Hyacinth-orchid,Endangered,Endangered
Dipodium interaneum,Yellow Hyacinth-orchid,Endangered,Endangered
Dipodium pardalinum,Spotted Hyacinth-orchid,Endangered,Endangered
Dipodium variegatum,Blotched Hyacinth-orchid,Endangered,Endangered
Discaria nitida,Shining Anchor Plant,Endangered,Endangered
Discaria pubescens,Australian Anchor Plant,Critically Endangered,Critically Endangered
Dissocarpus biflorus var. biflorus,Twin-flower Saltbush,Critically Endangered,Critically Endangered
Distichium capillaceum,Fine Fringe-moss,Endangered,Endangered
Distichophyllum crispulum,Crisped Mitre-moss,Endangered,Endangered
Diuris X fastidiosa,Proud Diuris,Endangered,Endangered
Diuris X palachila,Broad-lip Diuris,Endangered,Endangered
Diuris basaltica,Small Golden Moths,Critically Endangered,Critically Endangered
Diuris behrii,Golden Cowslips,Endangered,Endangered
Diuris daltonii,Western Purple Diuris,Critically Endangered,Critically Endangered
Diuris dendrobioides,Wedge Diuris,Critically Endangered,Critically Endangered
Diuris fragrantissima,Sunshine Diuris,Critically Endangered,Critically Endangered
Diuris gregaria,Clumping Golden Moths,Critically Endangered,Critically Endangered
Diuris ochroma,Pale Golden Moths,Endangered,Endangered
Diuris palustris,Swamp Diuris,Endangered,Endangered
Diuris protena,Northern Golden Moths,Critically Endangered,Critically Endangered
Diuris punctata var. punctata,Purple Diuris,Endangered,Endangered
Diuris sp. aff. dendrobioides (Bairnsdale),Blotched Diuris,Critically Endangered,Critically Endangered
Diuris subalpina,Small Snake-orchid,Endangered,Endangered
Diuris tricolor,Painted Diuris,Critically Endangered,Critically Endangered
Dodonaea boroniifolia,Hairy Hop-bush,Endangered,Endangered
Dodonaea heteromorpha,Maple-fruited Hop-bush,Extinct,Extinct
Dodonaea hexandra,Horned Hop-bush,Endangered,Endangered
